交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2023/02/10,RIF,202302  ,-,-,-,-,-,-,0.0,17.06,0,17.06,17.2,-,-,,一般,,
2023/02/10,RIF,202303  ,17.06,17.11,17.05,17.07,-0.06,-0.35%,11.0,17.07,11,17.03,17.11,17.11,17.05,,一般,,
2023/02/10,RIF,202306  ,-,-,-,-,-,-,0.0,17.15,0,16.77,-,-,-,,一般,,
2023/02/10,RIF,202309  ,-,-,-,-,-,-,0.0,17.23,0,16.8,-,-,-,,一般,,
2023/02/10,RIF,202312  ,-,-,-,-,-,-,0.0,17.3,0,16.77,-,-,-,,一般,,
2023/02/13,RIF,202302  ,-,-,-,-,-,-,0.0,17.12,0,17.01,17.25,-,-,,一般,,
2023/02/13,RIF,202303  ,17.02,17.17,17.02,17.16,0.09,0.53%,11.0,17.16,19,17.15,17.16,17.17,17.02,,一般,,
2023/02/13,RIF,202306  ,-,-,-,-,-,-,0.0,17.21,0,17.09,17.54,-,-,,一般,,
2023/02/13,RIF,202309  ,-,-,-,-,-,-,0.0,17.29,0,16.72,17.54,-,-,,一般,,
2023/02/13,RIF,202312  ,-,-,-,-,-,-,0.0,17.36,0,16.72,17.54,-,-,,一般,,
2023/02/14,RIF,202302  ,-,-,-,-,-,-,0.0,17.24,0,17.1,17.34,-,-,,一般,,
2023/02/14,RIF,202303  ,17.17,17.3,17.17,17.27,0.11,0.64%,33.0,17.27,44,17.26,17.37,17.3,17.02,,一般,,
2023/02/14,RIF,202306  ,-,-,-,-,-,-,0.0,17.22,0,16.81,17.63,-,-,,一般,,
2023/02/14,RIF,202309  ,-,-,-,-,-,-,0.0,17.22,0,16.81,17.63,-,-,,一般,,
2023/02/14,RIF,202312  ,-,-,-,-,-,-,0.0,17.22,0,16.81,17.63,-,-,,一般,,
2023/02/15,RIF,202302  ,17.19,17.19,17.19,17.19,-0.05,-0.29%,51.0,0,51,17.15,17.19,17.19,17.19,,一般,,
2023/02/15,RIF,202303  ,17.27,17.27,17.2,17.2,-0.07,-0.41%,42.0,17.2,82,17.21,17.35,17.3,17.02,,一般,,
2023/02/15,RIF,202306  ,-,-,-,-,-,-,0.0,17.17,0,16.91,17.65,-,-,,一般,,
2023/02/15,RIF,202309  ,-,-,-,-,-,-,0.0,17.17,0,16.91,17.65,-,-,,一般,,
2023/02/15,RIF,202312  ,-,-,-,-,-,-,0.0,17.17,0,16.91,17.65,-,-,,一般,,
2023/02/16,RIF,202303  ,16.93,17.08,16.93,17,0.07,0.41%,43.0,17,99,16.99,17.08,17.3,16.93,,一般,,
2023/02/16,RIF,202304  ,17.09,17.09,17.09,17.09,0.18,1.06%,2.0,17.09,2,17.04,17.19,17.09,17.09,,一般,,
2023/02/16,RIF,202306  ,-,-,-,-,-,-,0.0,16.97,0,16.7,17.37,-,-,,一般,,
2023/02/16,RIF,202309  ,-,-,-,-,-,-,0.0,16.97,0,16.7,17.37,-,-,,一般,,
2023/02/16,RIF,202312  ,-,-,-,-,-,-,0.0,16.97,0,16.7,17.37,-,-,,一般,,
2023/02/17,RIF,202303  ,17.07,17.07,17.05,17.05,0.05,0.29%,2.0,17.05,101,17.01,17.07,17.3,16.93,,一般,,
2023/02/17,RIF,202304  ,-,-,-,-,-,-,0.0,17.14,2,17,17.18,17.09,17.09,,一般,,
2023/02/17,RIF,202306  ,-,-,-,-,-,-,0.0,17.02,0,17.1,17.36,-,-,,一般,,
2023/02/17,RIF,202309  ,-,-,-,-,-,-,0.0,17.02,0,16.72,17.36,-,-,,一般,,
2023/02/17,RIF,202312  ,-,-,-,-,-,-,0.0,17.02,0,16.72,17.36,-,-,,一般,,
2023/02/20,RIF,202303  ,17.06,17.14,17.06,17.14,0.09,0.53%,8.0,17.14,97,17.1,17.14,17.3,16.93,,一般,,
2023/02/20,RIF,202304  ,-,-,-,-,-,-,0.0,17.23,2,17.1,17.45,17.09,17.09,,一般,,
2023/02/20,RIF,202306  ,17.4,17.4,17.4,17.4,0.38,2.23%,1.0,17.12,1,16.81,17.43,17.4,17.4,,一般,,
