交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2023/07/31,RJ1,202308  ,36.5,38,36.5,37.35,0,0.00%,189.0,37.5,1735,37.4,37.5,41.8,36.5,,一般,,
2023/07/31,RJ1,202309  ,37.5,37.5,37.2,37.4,0.2,0.54%,16.0,37.4,452,-,37.5,41.75,37.1,,一般,,
2023/07/31,RJ1,202312  ,-,-,-,-,-,-,0.0,37.3,2,-,-,38.4,37.1,,一般,,
2023/07/31,RJ1,202308/202309    ,-0.02,-0.02,-0.02,-0.02,-,-,8.0,-,-,-,-0.02,-0.02,-0.12,,一般,8.0,
2023/08/01,RJ1,202308  ,37.5,37.5,37.05,37.4,-0.1,-0.27%,58.0,37.5,1727,37.3,37.4,41.8,36.5,,一般,,
2023/08/01,RJ1,202309  ,37.4,37.4,37.25,37.3,-0.1,-0.27%,5.0,37.3,452,36.3,37.35,41.75,37.1,,一般,,
2023/08/01,RJ1,202312  ,-,-,-,-,-,-,0.0,37.3,2,-,-,38.4,37.1,,一般,,
2023/08/02,RJ1,202308  ,37.95,40.8,37.95,39.25,1.75,4.67%,683.0,39.25,1687,39.15,39.25,41.8,36.5,,一般,,
2023/08/02,RJ1,202309  ,39,40,39,39.95,2.65,7.10%,21.0,39.05,452,34,39.15,41.75,37.1,,一般,,
2023/08/02,RJ1,202312  ,-,-,-,-,-,-,0.0,39.05,2,-,39.8,38.4,37.1,,一般,,
2023/08/04,RJ1,202308  ,38.6,39.25,35.35,37.15,-2.1,-5.35%,157.0,37.25,1616,37.05,37.25,41.8,35.35,,一般,,
2023/08/04,RJ1,202309  ,35.95,37.45,35.2,37,-2.05,-5.25%,31.0,37.05,453,36.9,37.2,41.75,35.2,,一般,,
2023/08/04,RJ1,202312  ,-,-,-,-,-,-,0.0,37.05,2,-,-,38.4,37.1,,一般,,
2023/08/07,RJ1,202308  ,36.8,36.8,36.2,36.75,-0.5,-1.34%,66.0,36.85,1565,36.65,36.85,41.8,35.35,,一般,,
2023/08/07,RJ1,202309  ,36.75,36.75,36.3,36.4,-0.65,-1.75%,31.0,36.8,456,36.35,37,41.75,35.2,,一般,,
2023/08/07,RJ1,202312  ,-,-,-,-,-,-,0.0,36.65,2,-,-,38.4,37.1,,一般,,
2023/08/08,RJ1,202308  ,37.2,37.2,36.35,36.35,-0.5,-1.36%,48.0,36.4,1557,35.9,36.5,41.8,35.35,,一般,,
2023/08/08,RJ1,202309  ,-,-,-,-,-,-,0.0,36.35,456,35.4,-,41.75,35.2,,一般,,
2023/08/08,RJ1,202312  ,-,-,-,-,-,-,0.0,36.2,2,-,-,38.4,37.1,,一般,,
2023/08/09,RJ1,202308  ,37,37.8,36.5,36.7,0.3,0.82%,44.0,36.85,1517,36.7,36.9,41.8,35.35,,一般,,
