交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2023/05/04,RJF,202305  ,29.15,31.7,29.15,31.45,2.5,8.64%,1348.0,31.35,515,31.25,31.45,31.7,29.15,,一般,,
2023/05/04,RJF,202306  ,29.45,31.45,29.45,31.4,2.4,8.28%,10.0,31.4,8,31.1,31.55,31.45,29.45,,一般,,
2023/05/04,RJF,202309  ,-,-,-,-,-,-,0.0,31.2,0,30.25,-,-,-,,一般,,
2023/05/04,RJF,202312  ,-,-,-,-,-,-,0.0,31.3,0,-,-,-,-,,一般,,
2023/05/04,RJF,202403  ,-,-,-,-,-,-,0.0,31.45,0,-,32.1,-,-,,一般,,
2023/05/05,RJF,202305  ,31.35,32.6,30.8,31.6,0.25,0.80%,1733.0,31.65,1062,31.6,31.65,32.6,29.15,,一般,,
2023/05/05,RJF,202306  ,31.9,32.1,30.85,31.45,0.05,0.16%,86.0,31.45,61,31.4,31.5,32.1,29.45,,一般,,
2023/05/05,RJF,202309  ,-,-,-,-,-,-,0.0,31.5,0,30.6,32.55,-,-,,一般,,
2023/05/05,RJF,202312  ,-,-,-,-,-,-,0.0,31.6,0,-,32.55,-,-,,一般,,
2023/05/05,RJF,202403  ,-,-,-,-,-,-,0.0,31.75,0,-,32.45,-,-,,一般,,
2023/05/08,RJF,202305  ,31.85,32.4,31,32.2,0.55,1.74%,1919.0,32.2,1934,32.2,32.25,32.6,29.15,,一般,,
2023/05/08,RJF,202306  ,31.9,32.2,30.9,32,0.55,1.75%,175.0,32,117,32,32.1,32.2,29.45,,一般,,
2023/05/08,RJF,202309  ,-,-,-,-,-,-,0.0,32.05,0,31.2,33.05,-,-,,一般,,
2023/05/08,RJF,202312  ,-,-,-,-,-,-,0.0,32.15,0,-,32.9,-,-,,一般,,
2023/05/08,RJF,202403  ,-,-,-,-,-,-,0.0,32.3,0,-,32.9,-,-,,一般,,
2023/05/09,RJF,202305  ,32.2,32.2,29.8,30.1,-2.1,-6.52%,1561.0,30.1,1186,30.1,30.15,32.6,29.15,,一般,,
2023/05/09,RJF,202306  ,31.45,31.6,29.75,30.15,-1.85,-5.78%,174.0,30.15,126,29.9,30,32.2,29.45,,一般,,
2023/05/09,RJF,202309  ,-,-,-,-,-,-,0.0,29.95,0,29.1,30.95,-,-,,一般,,
2023/05/09,RJF,202312  ,-,-,-,-,-,-,0.0,30.05,0,-,30.85,-,-,,一般,,
2023/05/09,RJF,202403  ,-,-,-,-,-,-,0.0,30.2,0,-,30.8,-,-,,一般,,
2023/05/10,RJF,202305  ,31.1,32.1,30.5,31.15,1.05,3.49%,1792.0,31.15,1078,31.1,31.2,32.6,29.15,,一般,,
2023/05/10,RJF,202306  ,31.45,31.5,30.3,30.95,0.8,2.65%,202.0,30.95,219,30.85,31.05,32.2,29.45,,一般,,
2023/05/10,RJF,202309  ,-,-,-,-,-,-,0.0,31,0,-,32,-,-,,一般,,
2023/05/10,RJF,202312  ,-,-,-,-,-,-,0.0,31.1,0,-,31.85,-,-,,一般,,
