交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2023/05/04,RLF,202305  ,-,-,-,-,-,-,0.0,37.2,0,-,-,-,-,,一般,,
2023/05/04,RLF,202306  ,-,-,-,-,-,-,0.0,37.25,0,-,-,-,-,,一般,,
2023/05/04,RLF,202309  ,-,-,-,-,-,-,0.0,37.45,0,-,-,-,-,,一般,,
2023/05/04,RLF,202312  ,-,-,-,-,-,-,0.0,37.6,0,-,-,-,-,,一般,,
2023/05/04,RLF,202403  ,-,-,-,-,-,-,0.0,37.8,0,-,-,-,-,,一般,,
2023/05/05,RLF,202305  ,38,38,36.4,36.4,-0.8,-2.15%,85.0,36.4,32,-,36.55,38,36.4,,一般,,
2023/05/05,RLF,202306  ,37.9,37.9,36.45,36.45,-0.8,-2.15%,7.0,36.45,6,-,36.65,37.9,36.45,,一般,,
2023/05/05,RLF,202309  ,-,-,-,-,-,-,0.0,36.65,0,-,37.65,-,-,,一般,,
2023/05/05,RLF,202312  ,-,-,-,-,-,-,0.0,36.8,0,-,37.55,-,-,,一般,,
2023/05/05,RLF,202403  ,-,-,-,-,-,-,0.0,37,0,-,37.55,-,-,,一般,,
2023/05/08,RLF,202305  ,36.3,36.3,35.9,35.9,-0.5,-1.37%,19.0,35.9,39,35,35.95,38,35.9,,一般,,
2023/05/08,RLF,202306  ,35.95,35.95,35.95,35.95,-0.5,-1.37%,2.0,35.95,8,35,35.95,37.9,35.95,,一般,,
2023/05/08,RLF,202309  ,-,-,-,-,-,-,0.0,36.15,0,-,37.05,-,-,,一般,,
2023/05/08,RLF,202312  ,-,-,-,-,-,-,0.0,36.2,0,-,36.95,-,-,,一般,,
2023/05/08,RLF,202403  ,-,-,-,-,-,-,0.0,36.4,0,-,36.9,-,-,,一般,,
2023/05/09,RLF,202305  ,35.6,35.6,33.3,33.8,-2.1,-5.85%,57.0,33.8,36,33.4,35.9,38,33.3,,一般,,
2023/05/09,RLF,202306  ,34.25,34.25,33.4,33.65,-2.3,-6.40%,14.0,33.65,19,32.4,35.95,37.9,33.4,,一般,,
2023/05/09,RLF,202309  ,-,-,-,-,-,-,0.0,34.05,0,-,36.95,-,-,,一般,,
2023/05/09,RLF,202312  ,-,-,-,-,-,-,0.0,34.1,0,-,36.85,-,-,,一般,,
2023/05/09,RLF,202403  ,-,-,-,-,-,-,0.0,34.3,0,-,36.85,-,-,,一般,,
2023/05/10,RLF,202305  ,34.3,34.5,34.25,34.5,0.7,2.07%,8.0,34.5,34,34.2,34.6,38,33.3,,一般,,
2023/05/10,RLF,202306  ,34.3,34.6,34.3,34.6,0.95,2.82%,13.0,34.6,18,33.7,35.6,37.9,33.4,,一般,,
2023/05/10,RLF,202309  ,-,-,-,-,-,-,0.0,34.75,0,33.1,35.6,-,-,,一般,,
2023/05/10,RLF,202312  ,-,-,-,-,-,-,0.0,34.8,0,33.1,35.5,-,-,,一般,,
2023/05/10,RLF,202403  ,-,-,-,-,-,-,0.0,35,0,33.1,35.5,-,-,,一般,,
2023/05/11,RLF,202305  ,34.05,34.05,33.85,33.85,-0.65,-1.88%,7.0,33.85,30,33.3,34,38,33.3,,一般,,
2023/05/11,RLF,202306  ,34.3,34.3,33.9,33.9,-0.7,-2.02%,6.0,33.9,19,33.5,34.2,37.9,33.4,,一般,,
2023/05/11,RLF,202309  ,-,-,-,-,-,-,0.0,34,0,-,35,-,-,,一般,,
2023/05/11,RLF,202312  ,-,-,-,-,-,-,0.0,34.05,0,-,34.9,-,-,,一般,,
2023/05/11,RLF,202403  ,-,-,-,-,-,-,0.0,34.25,0,-,34.9,-,-,,一般,,
2023/05/12,RLF,202305  ,33.85,34.6,33.85,34.55,0.7,2.07%,9.0,34.55,26,-,35.3,38,33.3,,一般,,
2023/05/12,RLF,202306  ,34.15,34.15,34.1,34.1,0.2,0.59%,4.0,34.1,20,-,34.3,37.9,33.4,,一般,,
2023/05/12,RLF,202309  ,-,-,-,-,-,-,0.0,34.6,0,-,-,-,-,,一般,,
2023/05/12,RLF,202312  ,-,-,-,-,-,-,0.0,34.65,0,-,-,-,-,,一般,,
2023/05/12,RLF,202403  ,-,-,-,-,-,-,0.0,34.85,0,-,-,-,-,,一般,,
2023/05/15,RLF,202305  ,35.1,35.1,34.7,34.9,0.35,1.01%,16.0,34.9,22,34.55,34.95,38,33.3,,一般,,
2023/05/15,RLF,202306  ,35,35.05,34.65,34.8,0.7,2.05%,6.0,34.8,19,34.55,34.95,37.9,33.4,,一般,,
2023/05/15,RLF,202309  ,-,-,-,-,-,-,0.0,34.95,0,-,36,-,-,,一般,,
2023/05/15,RLF,202312  ,-,-,-,-,-,-,0.0,35,0,-,36,-,-,,一般,,
