交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2023/08/15,RM1,202308  ,-,-,-,-,-,-,0.0,542,3,-,-,701,580,,一般,,
2023/08/15,RM1,202309  ,-,-,-,-,-,-,0.0,542,1,-,-,595,595,,一般,,
2023/08/16,RM1,202308  ,534,534,534,534,-8,-1.48%,1.0,0,3,-,534,701,534,,一般,,
2023/08/16,RM1,202309  ,534,534,534,534,-8,-1.48%,1.0,530,1,-,-,595,534,,一般,,
2023/08/17,RM1,202309  ,529,529,529,529,-1,-0.19%,1.0,529,1,-,-,595,529,,一般,,
2023/08/18,RM1,202309  ,-,-,-,-,-,-,0.0,529,1,-,-,595,529,,一般,,
2023/08/21,RM1,202309  ,-,-,-,-,-,-,0.0,525,1,-,-,595,529,,一般,,
2023/08/22,RM1,202309  ,-,-,-,-,-,-,0.0,525,1,-,-,595,529,,一般,,
2023/08/23,RM1,202309  ,-,-,-,-,-,-,0.0,519,1,-,-,595,529,,一般,,
2023/08/24,RM1,202309  ,-,-,-,-,-,-,0.0,528,1,-,-,595,529,,一般,,
2023/08/25,RM1,202309  ,-,-,-,-,-,-,0.0,510,1,-,-,595,529,,一般,,
2023/08/28,RM1,202309  ,-,-,-,-,-,-,0.0,511,1,-,-,595,529,,一般,,
2023/08/29,RM1,202309  ,-,-,-,-,-,-,0.0,524,1,-,-,595,529,,一般,,
2023/08/30,RM1,202309  ,-,-,-,-,-,-,0.0,526,1,-,-,595,529,,一般,,
2023/08/31,RM1,202309  ,-,-,-,-,-,-,0.0,519,1,-,-,595,529,,一般,,
2023/08/16,RM1,202308/202309    ,-,-,-,-,-,-,0.0,-,-,-,-,-,-,,一般,1.0,
2023/09/01,RM1,202309  ,-,-,-,-,-,-,0.0,523,1,-,-,595,529,,一般,,
2023/09/04,RM1,202309  ,-,-,-,-,-,-,0.0,528,1,-,-,595,529,,一般,,
2023/09/05,RM1,202309  ,-,-,-,-,-,-,0.0,525,1,-,-,595,529,,一般,,
2023/09/06,RM1,202309  ,-,-,-,-,-,-,0.0,520,1,-,-,595,529,,一般,,
2023/09/07,RM1,202309  ,-,-,-,-,-,-,0.0,505,1,-,-,595,529,,一般,,
2023/09/08,RM1,202309  ,-,-,-,-,-,-,0.0,507,1,-,-,595,529,,一般,,
2023/09/11,RM1,202309  ,-,-,-,-,-,-,0.0,497.5,1,-,-,595,529,,一般,,
2023/09/12,RM1,202309  ,-,-,-,-,-,-,0.0,508,1,-,-,595,529,,一般,,
2023/09/13,RM1,202309  ,-,-,-,-,-,-,0.0,507,1,-,-,595,529,,一般,,
2023/09/14,RM1,202309  ,-,-,-,-,-,-,0.0,510,1,-,-,595,529,,一般,,
2023/09/15,RM1,202309  ,-,-,-,-,-,-,0.0,522,1,-,-,595,529,,一般,,
2023/09/18,RM1,202309  ,-,-,-,-,-,-,0.0,511,1,-,-,595,529,,一般,,
2023/09/19,RM1,202309  ,-,-,-,-,-,-,0.0,504,1,-,-,595,529,,一般,,
2023/09/20,RM1,202309  ,-,-,-,-,-,-,0.0,0,1,457.5,552,595,529,,一般,,
