交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2023/06/16,RN1,202306  ,206.5,218.5,204.5,217,10,4.83%,47.0,217,136,215.5,217,246.5,204.5,,一般,,
2023/06/16,RN1,202307  ,211,218,211,215,8.5,4.12%,6.0,217,84,-,217,244,211,,一般,,
2023/06/19,RN1,202306  ,217,221.5,217,218.5,1.5,0.69%,8.0,215.5,132,214.5,217,246.5,204.5,,一般,,
2023/06/19,RN1,202307  ,217,219.5,217,219.5,2.5,1.15%,6.0,218,89,214.5,217.5,244,211,,一般,,
2023/06/20,RN1,202306  ,215.5,-,-,215.5,0,0.00%,5.0,215,129,197,215.5,246.5,204.5,,一般,,
2023/06/20,RN1,202307  ,218,-,-,218,0,0.00%,5.0,215.5,92,197,215.5,244,211,,一般,,
2023/06/21,RN1,202306  ,215,215,210,210,-5,-2.33%,10.0,0,121,210,210.5,246.5,204.5,,一般,,
2023/06/21,RN1,202307  ,212,212,212,212,-3.5,-1.62%,4.0,211,95,208.5,211,244,211,,一般,,
2023/06/26,RN1,202307  ,207,211.5,207,210,-1,-0.47%,13.0,211,84,190.5,225,244,207,,一般,,
2023/06/27,RN1,202307  ,217.5,225,217.5,221,10,4.74%,6.0,221,83,220.5,224.5,244,207,,一般,,
2023/06/28,RN1,202307  ,220.5,220.5,220.5,220.5,-0.5,-0.23%,5.0,220,79,199,220.5,244,207,,一般,,
2023/06/29,RN1,202307  ,222,222,221,221,1,0.45%,2.0,221,78,213,221.5,244,207,,一般,,
2023/06/30,RN1,202307  ,221,222.5,217,217,-4,-1.81%,13.0,217,65,-,219.5,244,207,,一般,,
2023/06/20,RN1,202306/202307    ,-0.01,0.43,-0.01,0.25,-,-,5.0,-,-,-,0,0.43,-0.01,,一般,0.0,
2023/06/21,RN1,202306/202307    ,0,0,0,0,-,-,3.0,-,-,-,-,0.43,-0.01,,一般,1.0,
2023/07/03,RN1,202307  ,-,-,-,-,-,-,0.0,212,65,206,213,244,207,,一般,,
2023/07/04,RN1,202307  ,212.5,212.5,211.5,211.5,-0.5,-0.24%,2.0,211,63,210.5,214,244,207,,一般,,
2023/07/05,RN1,202307  ,-,-,-,-,-,-,0.0,209.5,63,204.5,210,244,207,,一般,,
2023/07/06,RN1,202307  ,209.5,209.5,207.5,207.5,-2,-0.95%,2.0,206,61,-,207,244,207,,一般,,
2023/07/07,RN1,202307  ,-,-,-,-,-,-,0.0,205.5,61,-,-,244,207,,一般,,
2023/07/10,RN1,202307  ,-,-,-,-,-,-,0.0,208.5,61,-,220,244,207,,一般,,
2023/07/11,RN1,202307  ,-,-,-,-,-,-,0.0,206.5,61,191,-,244,207,,一般,,
2023/07/12,RN1,202307  ,-,-,-,-,-,-,0.0,201,61,188,222.5,244,207,,一般,,
2023/07/13,RN1,202307  ,199,199,193,193,-8,-3.98%,3.0,193,60,186,202,244,193,,一般,,
2023/07/14,RN1,202307  ,198,198,198,198,5,2.59%,1.0,198,59,194.5,-,244,193,,一般,,
2023/07/17,RN1,202307  ,208,214,208,213,15,7.58%,3.0,211.5,58,209,215,244,193,,一般,,
2023/07/18,RN1,202307  ,207,207,207,207,-4.5,-2.13%,1.0,202,58,190.5,220,244,193,,一般,,
2023/07/19,RN1,202307  ,207.5,210,206,208.5,6.5,3.22%,14.0,0,50,208.5,209,244,193,,一般,,
