交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2023/07/07,RR1,202307  ,563,563,538,539,-19,-3.41%,25.0,541,45,537,542,601,522,,一般,,
2023/07/07,RR1,202308  ,543,543,543,543,-15,-2.69%,1.0,543,5,-,-,587,543,,一般,,
2023/07/10,RR1,202307  ,541,541,541,541,0,0.00%,1.0,541,44,535,544,601,522,,一般,,
2023/07/10,RR1,202308  ,-,-,-,-,-,-,0.0,542,5,-,-,587,543,,一般,,
2023/07/11,RR1,202307  ,544,552,544,552,11,2.03%,5.0,552,40,543,553,601,522,,一般,,
2023/07/11,RR1,202308  ,-,-,-,-,-,-,0.0,553,5,-,-,587,543,,一般,,
2023/07/12,RR1,202307  ,547,547,547,547,-5,-0.91%,1.0,552,40,500,552,601,522,,一般,,
2023/07/12,RR1,202308  ,-,-,-,-,-,-,0.0,553,5,-,-,587,543,,一般,,
2023/07/13,RR1,202307  ,-,-,-,-,-,-,0.0,546,40,497,549,601,522,,一般,,
2023/07/13,RR1,202308  ,-,-,-,-,-,-,0.0,548,5,-,-,587,543,,一般,,
2023/07/14,RR1,202307  ,528,528,528,528,-18,-3.30%,1.0,528,39,517,527,601,522,,一般,,
2023/07/14,RR1,202308  ,-,-,-,-,-,-,0.0,528,5,-,-,587,543,,一般,,
2023/07/17,RR1,202307  ,526,529,526,529,1,0.19%,3.0,529,39,520,529,601,522,,一般,,
2023/07/17,RR1,202308  ,537,537,537,537,9,1.70%,1.0,531,6,518,-,587,537,,一般,,
2023/07/18,RR1,202307  ,520,520,520,520,-9,-1.70%,1.0,522,39,522,530,601,520,,一般,,
2023/07/18,RR1,202308  ,-,-,-,-,-,-,0.0,523,6,-,-,587,537,,一般,,
2023/07/19,RR1,202307  ,-,-,-,-,-,-,0.0,0,39,499.5,515,601,520,,一般,,
2023/07/19,RR1,202308  ,516,516,516,516,-7,-1.34%,2.0,516,6,513,-,587,516,,一般,,
2023/07/20,RR1,202308  ,-,-,-,-,-,-,0.0,529,6,-,-,587,516,,一般,,
2023/07/21,RR1,202308  ,-,-,-,-,-,-,0.0,523,6,477,569,587,516,,一般,,
2023/07/24,RR1,202308  ,-,-,-,-,-,-,0.0,532,6,482,-,587,516,,一般,,
2023/07/25,RR1,202308  ,-,-,-,-,-,-,0.0,521,6,-,-,587,516,,一般,,
2023/07/26,RR1,202308  ,-,-,-,-,-,-,0.0,512,6,-,-,587,516,,一般,,
2023/07/27,RR1,202308  ,-,-,-,-,-,-,0.0,514,6,-,-,587,516,,一般,,
2023/07/28,RR1,202308  ,-,-,-,-,-,-,0.0,521,6,-,-,587,516,,一般,,
2023/07/31,RR1,202308  ,-,-,-,-,-,-,0.0,514,6,-,-,587,516,,一般,,
2023/07/07,RR1,202307/202308    ,-,-,-,-,-,-,0.0,-,-,-,-,-,-,,一般,1.0,
2023/08/01,RR1,202308  ,-,-,-,-,-,-,0.0,498,6,-,-,587,516,,一般,,
2023/08/02,RR1,202308  ,-,-,-,-,-,-,0.0,485,6,-,-,587,516,,一般,,
2023/08/04,RR1,202308  ,-,-,-,-,-,-,0.0,507,6,-,-,587,516,,一般,,
2023/08/07,RR1,202308  ,-,-,-,-,-,-,0.0,518,6,-,-,587,516,,一般,,
2023/08/08,RR1,202308  ,510,510,510,510,-8,-1.54%,1.0,509,6,506,-,587,510,,一般,,
2023/08/09,RR1,202308  ,-,-,-,-,-,-,0.0,512,6,501,-,587,510,,一般,,
2023/08/10,RR1,202308  ,510,512,510,512,0,0.00%,3.0,510,8,511,-,587,510,,一般,,
2023/08/11,RR1,202308  ,510,510,507,507,-3,-0.59%,4.0,507,6,-,-,587,507,,一般,,
2023/08/14,RR1,202308  ,-,-,-,-,-,-,0.0,509,6,-,-,587,507,,一般,,
2023/08/15,RR1,202308  ,503,503,503,503,-6,-1.18%,1.0,492,5,-,-,587,503,,一般,,
2023/08/16,RR1,202308  ,-,-,-,-,-,-,0.0,0,5,443,541,587,503,,一般,,
