交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2023/08/01,RZF,202308  ,31.49,31.54,31.49,31.53,0.31,0.99%,3.0,31.53,3,31.5,31.52,31.54,31.49,,一般,,
2023/08/01,RZF,202309  ,31.53,31.61,31.51,31.56,0.27,0.86%,27.0,31.56,27,31.53,31.56,31.61,31.51,,一般,,
2023/08/01,RZF,202312  ,-,-,-,-,-,-,0.0,31.74,0,31.67,36.13,-,-,,一般,,
2023/08/01,RZF,202403  ,-,-,-,-,-,-,0.0,31.89,0,31.8,36.3,-,-,,一般,,
2023/08/01,RZF,202406  ,-,-,-,-,-,-,0.0,32.04,0,31.8,36.47,-,-,,一般,,
2023/08/02,RZF,202308  ,31.3,31.3,31.3,31.3,-0.23,-0.73%,1.0,31.3,4,31.16,31.22,31.54,31.3,,一般,,
2023/08/02,RZF,202309  ,31.53,31.53,31.25,31.25,-0.31,-0.98%,27.0,31.25,46,31.21,31.26,31.61,31.25,,一般,,
2023/08/02,RZF,202312  ,-,-,-,-,-,-,0.0,31.51,0,30.8,36.49,-,-,,一般,,
2023/08/02,RZF,202403  ,-,-,-,-,-,-,0.0,31.66,0,31.3,36.66,-,-,,一般,,
2023/08/02,RZF,202406  ,-,-,-,-,-,-,0.0,31.81,0,31.2,36.83,-,-,,一般,,
2023/08/04,RZF,202308  ,31.03,31.03,30.5,30.91,-0.39,-1.25%,6.0,30.91,9,30.85,30.95,31.54,30.5,,一般,,
2023/08/04,RZF,202309  ,31,31,30.75,30.95,-0.3,-0.96%,34.0,30.95,71,30.9,30.96,31.61,30.75,,一般,,
2023/08/04,RZF,202312  ,-,-,-,-,-,-,0.0,31.12,0,30.2,-,-,-,,一般,,
2023/08/04,RZF,202403  ,-,-,-,-,-,-,0.0,31.27,0,30.3,36.39,-,-,,一般,,
2023/08/04,RZF,202406  ,-,-,-,-,-,-,0.0,31.42,0,30.3,36.53,-,-,,一般,,
