交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2022/06/27,SHF,202207  ,191.35,202.05,191.35,201.85,15,8.03%,342.0,201.85,55,201.8,202.2,202.05,191.35,,一般,,
2022/06/27,SHF,202208  ,185.7,-,-,185.7,0,0.00%,6.0,200.7,0,198.05,202.8,-,-,,一般,,
2022/06/27,SHF,202209  ,-,-,-,-,-,-,0.0,200.3,0,195.9,203.6,-,-,,一般,,
2022/06/27,SHF,202212  ,-,-,-,-,-,-,0.0,199.9,0,-,-,-,-,,一般,,
2022/06/27,SHF,202303  ,-,-,-,-,-,-,0.0,199.05,0,-,-,-,-,,一般,,
2022/06/27,SHF,202306  ,-,-,-,-,-,-,0.0,198.75,0,-,-,-,-,,一般,,
2022/06/28,SHF,202207  ,200.55,201.85,193.8,201.1,-0.75,-0.37%,349.0,201.1,60,200.75,201.15,202.05,191.35,,一般,,
2022/06/28,SHF,202208  ,194,194.75,194,194.75,-5.95,-2.96%,47.0,199.75,1,198.75,200.75,194.75,194,,一般,,
2022/06/28,SHF,202209  ,-,-,-,-,-,-,0.0,199.55,0,194.85,204.05,-,-,,一般,,
2022/06/28,SHF,202212  ,-,-,-,-,-,-,0.0,199.15,0,-,-,-,-,,一般,,
2022/06/28,SHF,202303  ,-,-,-,-,-,-,0.0,198.3,0,-,-,-,-,,一般,,
2022/06/28,SHF,202306  ,-,-,-,-,-,-,0.0,198,0,-,-,-,-,,一般,,
2022/06/29,SHF,202207  ,200,200,194,194,-7.1,-3.53%,194.0,194,59,194,194.3,202.05,191.35,,一般,,
2022/06/29,SHF,202208  ,195.3,195.85,195.3,195.85,-3.9,-1.95%,10.0,192.65,1,191.1,194.25,195.85,194,,一般,,
2022/06/29,SHF,202209  ,-,-,-,-,-,-,0.0,192.45,0,188.1,197.2,-,-,,一般,,
