交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2022/06/27,SOF,202207  ,3851,3884,3811,3867,131,3.51%,950.0,3867,63,3862,3867,3884,3811,,一般,,
2022/06/27,SOF,202208  ,3816,3862,3816,3832,105,2.82%,175.0,3832,12,3823,3848,3862,3816,,一般,,
2022/06/27,SOF,202209  ,-,-,-,-,-,-,0.0,3849,0,3753,3936,-,-,,一般,,
2022/06/27,SOF,202212  ,-,-,-,-,-,-,0.0,3835,0,3733,3916,-,-,,一般,,
2022/06/27,SOF,202303  ,-,-,-,-,-,-,0.0,3814,0,-,-,-,-,,一般,,
2022/06/27,SOF,202306  ,-,-,-,-,-,-,0.0,3811,0,-,-,-,-,,一般,,
2022/06/28,SOF,202207  ,3856,3856,3740,3753,-114,-2.95%,528.0,3753,138,3751,3758,3884,3740,,一般,,
2022/06/28,SOF,202207  ,3850,3876,3840,3853,-14,-0.36%,45.0,-,-,3852,3875,3884,3811,,盤後,,
2022/06/28,SOF,202208  ,3730,3748,3730,3739,-93,-2.43%,143.0,3739,12,3729,3742,3862,3730,,一般,,
2022/06/28,SOF,202208  ,3856,3856,3834,3835,3,0.08%,13.0,-,-,3809,3862,3862,3816,,盤後,,
2022/06/28,SOF,202209  ,-,-,-,-,-,-,0.0,3735,0,3632,3807,-,-,,一般,,
2022/06/28,SOF,202209  ,-,-,-,-,-,-,0.0,-,-,3733,3924,-,-,,盤後,,
2022/06/28,SOF,202212  ,-,-,-,-,-,-,0.0,3721,0,3602,3797,-,-,,一般,,
2022/06/28,SOF,202212  ,-,-,-,-,-,-,0.0,-,-,3713,3904,-,-,,盤後,,
2022/06/28,SOF,202303  ,-,-,-,-,-,-,0.0,3700,0,3582,3787,-,-,,一般,,
2022/06/28,SOF,202303  ,-,-,-,-,-,-,0.0,-,-,-,-,-,-,,盤後,,
2022/06/28,SOF,202306  ,-,-,-,-,-,-,0.0,3697,0,3650,3777,-,-,,一般,,
2022/06/28,SOF,202306  ,-,-,-,-,-,-,0.0,-,-,-,-,-,-,,盤後,,
2022/06/29,SOF,202207  ,3700,3745,3682,3685,-68,-1.81%,191.0,3685,149,3682,3690,3884,3682,,一般,,
2022/06/29,SOF,202207  ,3761,3773,3698,3706,-47,-1.25%,83.0,-,-,3705,3723,3884,3698,,盤後,,
2022/06/29,SOF,202208  ,3700,3700,3684,3684,-55,-1.47%,11.0,3684,14,3662,3689,3862,3684,,一般,,
2022/06/29,SOF,202208  ,3749,3749,3684,3684,-55,-1.47%,4.0,-,-,3675,3719,3862,3684,,盤後,,
2022/06/29,SOF,202209  ,-,-,-,-,-,-,0.0,3667,0,3563,3739,-,-,,一般,,
2022/06/29,SOF,202209  ,-,-,-,-,-,-,0.0,-,-,3586,3782,-,-,,盤後,,
2022/06/29,SOF,202212  ,-,-,-,-,-,-,0.0,3653,0,3543,3719,-,-,,一般,,
2022/06/29,SOF,202212  ,-,-,-,-,-,-,0.0,-,-,3566,3762,-,-,,盤後,,
2022/06/29,SOF,202303  ,-,-,-,-,-,-,0.0,3632,0,3589,-,-,-,,一般,,
2022/06/29,SOF,202303  ,-,-,-,-,-,-,0.0,-,-,3546,3742,-,-,,盤後,,
2022/06/29,SOF,202306  ,-,-,-,-,-,-,0.0,3629,0,-,-,-,-,,一般,,
2022/06/29,SOF,202306  ,-,-,-,-,-,-,0.0,-,-,3619,3732,-,-,,盤後,,
2022/06/30,SOF,202207  ,3660,3660,3571,3572,-113,-3.07%,193.0,3572,186,3566,3572,3884,3571,,一般,,
2022/06/30,SOF,202207  ,3672,3673,3653,3659,-26,-0.71%,48.0,-,-,3654,3685,3884,3653,,盤後,,
2022/06/30,SOF,202208  ,3584,3588,3543,3543,-141,-3.83%,12.0,3543,14,3526,3570,3862,3543,,一般,,
2022/06/30,SOF,202208  ,3647,3649,3647,3649,-35,-0.95%,22.0,-,-,3625,3683,3862,3647,,盤後,,
2022/06/30,SOF,202209  ,-,-,-,-,-,-,0.0,3554,0,3467,3621,-,-,,一般,,
2022/06/30,SOF,202209  ,-,-,-,-,-,-,0.0,-,-,3555,3744,-,-,,盤後,,
2022/06/30,SOF,202212  ,-,-,-,-,-,-,0.0,3540,0,-,-,-,-,,一般,,
2022/06/30,SOF,202212  ,-,-,-,-,-,-,0.0,-,-,3505,3734,-,-,,盤後,,
2022/06/30,SOF,202303  ,-,-,-,-,-,-,0.0,3519,0,-,-,-,-,,一般,,
2022/06/30,SOF,202303  ,-,-,-,-,-,-,0.0,-,-,3455,3724,-,-,,盤後,,
2022/06/30,SOF,202306  ,-,-,-,-,-,-,0.0,3516,0,3328,-,-,-,,一般,,
2022/06/30,SOF,202306  ,-,-,-,-,-,-,0.0,-,-,3405,3714,-,-,,盤後,,
2022/06/27,SOF,202207/202208    ,-13,-13,-19,-19,-,-,38.0,-,-,-39,-19,-13,-19,,一般,1.0,
2022/06/28,SOF,202207/202208    ,-26,-26,-26,-26,-,-,16.0,-,-,-26,-16,-13,-26,,一般,1.0,
2022/06/28,SOF,202207/202208  ,-,-,-,-,-,-,0.0,-,-,-43,-13,-13,-19,,盤後,1.0,
2022/06/29,SOF,202207/202208    ,-18,-18,-18,-18,-,-,8.0,-,-,-29,-1,-13,-26,,一般,1.0,
2022/06/30,SOF,202207/202208    ,-,-,-,-,-,-,0.0,-,-,-40,-2,-13,-26,,一般,1.0,
2022/07/01,SOF,202207  ,3585,3585,3378,3382,-190,-5.32%,347.0,3383,316,3383,3386,3884,3378,,一般,,
2022/07/01,SOF,202207  ,3565,3587,3530,3585,13,0.36%,86.0,-,-,3572,3589,3884,3530,,盤後,,
2022/07/01,SOF,202208  ,3532,3532,3407,3408,-135,-3.81%,10.0,3408,19,3368,3388,3862,3407,,一般,,
2022/07/01,SOF,202208  ,3520,3545,3520,3545,2,0.06%,25.0,-,-,3544,3580,3862,3520,,盤後,,
2022/07/01,SOF,202209  ,-,-,-,-,-,-,0.0,3365,0,-,-,-,-,,一般,,
2022/07/01,SOF,202209  ,-,-,-,-,-,-,0.0,-,-,3473,3648,-,-,,盤後,,
2022/07/01,SOF,202212  ,-,-,-,-,-,-,0.0,3351,0,-,-,-,-,,一般,,
2022/07/01,SOF,202212  ,-,-,-,-,-,-,0.0,-,-,3423,3638,-,-,,盤後,,
2022/07/01,SOF,202303  ,-,-,-,-,-,-,0.0,3330,0,-,-,-,-,,一般,,
2022/07/01,SOF,202303  ,-,-,-,-,-,-,0.0,-,-,3373,3628,-,-,,盤後,,
2022/07/01,SOF,202306  ,-,-,-,-,-,-,0.0,3327,0,-,-,-,-,,一般,,
2022/07/01,SOF,202306  ,-,-,-,-,-,-,0.0,-,-,3323,3618,-,-,,盤後,,
2022/07/04,SOF,202207  ,3385,3419,3348,3375,-8,-0.24%,134.0,3375,341,3366,3383,3884,3348,,一般,,
2022/07/04,SOF,202207  ,3412,3432,3388,3396,13,0.38%,124.0,-,-,3305,3401,3884,3378,,盤後,,
2022/07/04,SOF,202208  ,3387,3400,3341,3341,-67,-1.97%,12.0,3341,27,3339,3375,3862,3341,,一般,,
2022/07/04,SOF,202208  ,3372,3410,3372,3387,-21,-0.62%,33.0,-,-,3287,3396,3862,3372,,盤後,,
2022/07/04,SOF,202209  ,-,-,-,-,-,-,0.0,3357,0,3237,3432,-,-,,一般,,
2022/07/04,SOF,202209  ,-,-,-,-,-,-,0.0,-,-,3176,3460,-,-,,盤後,,
2022/07/04,SOF,202212  ,-,-,-,-,-,-,0.0,3343,0,-,-,-,-,,一般,,
2022/07/04,SOF,202212  ,-,-,-,-,-,-,0.0,-,-,3106,3450,-,-,,盤後,,
2022/07/04,SOF,202303  ,-,-,-,-,-,-,0.0,3322,0,-,-,-,-,,一般,,
2022/07/04,SOF,202303  ,-,-,-,-,-,-,0.0,-,-,3056,3440,-,-,,盤後,,
2022/07/04,SOF,202306  ,-,-,-,-,-,-,0.0,3319,0,-,-,-,-,,一般,,
2022/07/04,SOF,202306  ,-,-,-,-,-,-,0.0,-,-,-,3430,-,-,,盤後,,
2022/07/05,SOF,202207  ,3405,3444,3294,3402,27,0.80%,160.0,3402,362,3376,3402,3884,3294,,一般,,
2022/07/05,SOF,202207  ,3377,3393,3375,3389,14,0.41%,24.0,-,-,3380,3405,3884,3348,,盤後,,
2022/07/05,SOF,202208  ,3427,3427,3325,3375,34,1.02%,4.0,3375,27,3328,3384,3862,3325,,一般,,
2022/07/05,SOF,202208  ,3367,3367,3367,3367,26,0.78%,1.0,-,-,3338,3401,3862,3341,,盤後,,
2022/07/05,SOF,202209  ,-,-,-,-,-,-,0.0,3384,0,-,-,-,-,,一般,,
2022/07/05,SOF,202209  ,-,-,-,-,-,-,0.0,-,-,3251,3454,-,-,,盤後,,
2022/07/05,SOF,202212  ,-,-,-,-,-,-,0.0,3370,0,-,-,-,-,,一般,,
2022/07/05,SOF,202212  ,-,-,-,-,-,-,0.0,-,-,-,-,-,-,,盤後,,
2022/07/05,SOF,202303  ,-,-,-,-,-,-,0.0,3349,0,-,-,-,-,,一般,,
2022/07/05,SOF,202303  ,-,-,-,-,-,-,0.0,-,-,-,-,-,-,,盤後,,
2022/07/05,SOF,202306  ,-,-,-,-,-,-,0.0,3346,0,-,-,-,-,,一般,,
2022/07/05,SOF,202306  ,-,-,-,-,-,-,0.0,-,-,-,-,-,-,,盤後,,
2022/07/06,SOF,202207  ,3400,3400,3266,3268,-134,-3.94%,111.0,3268,389,3256,3269,3884,3266,,一般,,
2022/07/06,SOF,202207  ,3385,3420,3330,3419,17,0.50%,120.0,-,-,3410,3429,3884,3294,,盤後,,
2022/07/06,SOF,202208  ,3304,3311,3260,3260,-115,-3.41%,25.0,3260,29,3250,3259,3862,3260,,一般,,
2022/07/06,SOF,202208  ,3349,3349,3323,3348,-27,-0.80%,92.0,-,-,3363,3419,3862,3323,,盤後,,
2022/07/06,SOF,202209  ,-,-,-,-,-,-,0.0,3250,0,3127,3318,-,-,,一般,,
2022/07/06,SOF,202209  ,-,-,-,-,-,-,0.0,-,-,3078,3670,-,-,,盤後,,
2022/07/06,SOF,202212  ,-,-,-,-,-,-,0.0,3236,0,-,-,-,-,,一般,,
2022/07/06,SOF,202212  ,-,-,-,-,-,-,0.0,-,-,-,-,-,-,,盤後,,
2022/07/06,SOF,202303  ,-,-,-,-,-,-,0.0,3215,0,-,-,-,-,,一般,,
2022/07/06,SOF,202303  ,-,-,-,-,-,-,0.0,-,-,-,-,-,-,,盤後,,
2022/07/06,SOF,202306  ,-,-,-,-,-,-,0.0,3212,0,-,-,-,-,,一般,,
2022/07/06,SOF,202306  ,-,-,-,-,-,-,0.0,-,-,-,-,-,-,,盤後,,
2022/07/07,SOF,202207  ,3270,3433,3270,3426,158,4.83%,263.0,3426,299,3409,3417,3884,3266,,一般,,
2022/07/07,SOF,202207  ,3278,3304,3270,3290,22,0.67%,38.0,-,-,3290,3296,3884,3266,,盤後,,
2022/07/07,SOF,202208  ,3288,3414,3282,3414,154,4.72%,65.0,3414,24,3394,3412,3862,3260,,一般,,
2022/07/07,SOF,202208  ,3264,3275,3262,3275,15,0.46%,5.0,-,-,3260,3286,3862,3260,,盤後,,
2022/07/07,SOF,202209  ,-,-,-,-,-,-,0.0,3408,0,3280,3466,-,-,,一般,,
2022/07/07,SOF,202209  ,-,-,-,-,-,-,0.0,-,-,3161,3345,-,-,,盤後,,
2022/07/07,SOF,202212  ,-,-,-,-,-,-,0.0,3394,0,-,-,-,-,,一般,,
2022/07/07,SOF,202212  ,-,-,-,-,-,-,0.0,-,-,-,-,-,-,,盤後,,
2022/07/07,SOF,202303  ,-,-,-,-,-,-,0.0,3373,0,-,-,-,-,,一般,,
