交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,TE,201501,368.35,370.65,365.1,369.75,-0.05,-0.01%,4640,369.65,3581,369.65,369.75,372.85,350.75,,
2015/1/5,TE,201502,368,370.3,365.25,369.55,-0.1,-0.03%,150,369.45,201,369.35,369.6,372.3,351.55,,
2015/1/5,TE,201503,365.95,366.85,365.95,366.85,-2.55,-0.69%,2,369.3,25,368.95,369.7,369.9,330,,
2015/1/5,TE,201506,-,-,-,-,-,-,-,366.95,26,365.95,369.95,365,333.45,,
2015/1/5,TE,201509,-,-,-,-,-,-,-,355.85,3,355.35,359.35,346.9,339,,
2015/1/6,TE,201501,365.65,365.75,359,360.95,-8.7,-2.35%,5687,360.9,3243,360.8,361,372.85,350.75,,
2015/1/6,TE,201502,365.65,365.65,358.9,360.6,-8.85,-2.40%,207,360.6,175,360.5,360.8,372.3,351.55,,
2015/1/6,TE,201503,364.7,364.7,364.7,364.7,-4.6,-1.25%,1,360.45,26,360,360.9,369.9,330,,
2015/1/6,TE,201506,-,-,-,-,-,-,-,358.2,26,357.4,360.95,365,333.45,,
2015/1/6,TE,201509,-,-,-,-,-,-,-,347.1,3,346.8,354,346.9,339,,
2015/1/7,TE,201501,359.8,363.2,359.65,361.15,0.25,0.07%,4045,361.1,3273,361.1,361.25,372.85,350.75,,
2015/1/7,TE,201502,359.8,362.85,359.35,361.2,0.6,0.17%,93,361.2,177,360.85,361,372.3,351.55,,
2015/1/7,TE,201503,361,361.6,361,361.6,1.15,0.32%,2,360.65,26,360.45,360.9,369.9,330,,
2015/1/7,TE,201506,-,-,-,-,-,-,-,358.4,26,357.6,362.85,365,333.45,,
2015/1/7,TE,201509,-,-,-,-,-,-,-,347.3,3,347,350.4,346.9,339,,
2015/1/8,TE,201501,365,370.8,364.65,370.65,9.55,2.64%,5607,370.6,3491,370.65,370.8,372.85,350.75,,
2015/1/8,TE,201502,364.05,370.4,364.05,370.15,8.95,2.48%,218,370.25,237,370.35,370.6,372.3,351.55,,
2015/1/8,TE,201503,365,367.4,365,367.4,6.75,1.87%,4,370.25,27,369.95,370.55,369.9,330,,
2015/1/8,TE,201506,-,-,-,-,-,-,-,367.9,26,367.85,369.55,365,333.45,,
2015/1/8,TE,201509,-,-,-,-,-,-,-,356.8,3,357.15,359.7,346.9,339,,
2015/1/9,TE,201501,373,373.75,367.6,368,-2.6,-0.70%,5425,368.05,3264,368.05,368.15,373.75,350.75,,
2015/1/9,TE,201502,373.8,373.8,367.75,368,-2.25,-0.61%,174,368.0,261,368.05,368.2,373.8,351.55,,
2015/1/9,TE,201503,368.7,368.7,367.4,367.9,-2.35,-0.63%,3,367.9,28,367.6,368.15,369.9,330,,
2015/1/9,TE,201506,-,-,-,-,-,-,-,365.35,26,364.95,369.5,365,333.45,,
2015/1/9,TE,201509,360,360,360,360,3.2,0.90%,1,355.75,4,354.25,357.3,360,339,,
2015/1/12,TE,201501,367.05,368.6,364.8,364.85,-3.2,-0.87%,4650,364.9,3496,364.8,364.9,373.75,350.75,,
2015/1/12,TE,201502,368,368.4,364.85,364.95,-3.05,-0.83%,196,364.95,229,364.85,364.95,373.8,351.55,,
2015/1/12,TE,201503,368,368,368,368,0.1,0.03%,1,364.75,29,364.5,365.05,369.9,330,,
2015/1/12,TE,201506,-,-,-,-,-,-,-,362.2,26,361.6,366.3,365,333.45,,
2015/1/12,TE,201509,-,-,-,-,-,-,-,352.6,4,350.8,357.9,360,339,,
2015/1/13,TE,201501,365.9,368.05,363.7,367.15,2.25,0.62%,5067,367.05,3453,367.05,367.1,373.75,350.75,,
2015/1/13,TE,201502,365.4,368,363.75,366.95,2,0.55%,272,366.95,270,367.1,367.15,373.8,351.55,,
2015/1/13,TE,201503,-,-,-,-,-,-,-,366.9,29,366.75,367.35,369.9,330,,
2015/1/13,TE,201506,-,-,-,-,-,-,-,364.35,26,363.95,368.5,365,333.45,,
2015/1/13,TE,201509,-,-,-,-,-,-,-,354.75,4,352.95,356.5,360,339,,
2015/1/14,TE,201501,366.3,366.65,363,363.7,-3.35,-0.91%,4088,363.7,3471,363.65,363.9,373.75,350.75,,
2015/1/14,TE,201502,366.2,366.5,363.15,363.7,-3.25,-0.89%,270,363.65,320,363.65,364,373.8,351.55,,
2015/1/14,TE,201503,-,-,-,-,-,-,-,363.55,29,363.6,363.95,369.9,330,,
2015/1/14,TE,201506,-,-,-,-,-,-,-,361.0,26,360.35,365.25,365,333.45,,
2015/1/14,TE,201509,-,-,-,-,-,-,-,351.4,4,349.35,353.3,360,339,,
2015/1/15,TE,201501,365,367,363.1,366,2.3,0.63%,5058,365.85,3225,365.9,366,373.75,350.75,,
2015/1/15,TE,201502,365.25,367,363.4,365.9,2.25,0.62%,452,365.85,402,365.95,366.1,373.8,351.55,,
2015/1/15,TE,201503,365.8,365.8,363.75,364.3,0.75,0.21%,5,365.85,30,365.55,366.15,369.9,330,,
2015/1/15,TE,201506,-,-,-,-,-,-,-,363.15,26,362.85,366.75,365,333.45,,
2015/1/15,TE,201509,-,-,-,-,-,-,-,353.55,4,351.8,355.25,360,339,,
2015/1/16,TE,201501,367.4,369.8,363.5,364.25,-1.6,-0.44%,7522,364.15,2685,364.25,364.3,373.75,350.75,,
2015/1/16,TE,201502,366.1,369.9,363.65,364.15,-1.7,-0.46%,1135,364.25,882,364.25,364.3,373.8,351.55,,
2015/1/16,TE,201503,364.2,364.2,364.2,364.2,-1.65,-0.45%,1,364.2,29,363.8,364.35,369.9,330,,
2015/1/16,TE,201506,-,-,-,-,-,-,-,361.45,26,362.25,364.5,365,333.45,,
2015/1/16,TE,201509,-,-,-,-,-,-,-,351.85,4,349.65,353.85,360,339,,
2015/1/19,TE,201501,368.85,369.9,365.3,367.4,3.25,0.89%,4233,367.35,2591,367.3,367.4,373.75,350.75,,
2015/1/19,TE,201502,368.25,369.9,365.5,367.45,3.2,0.88%,933,367.4,1039,367.35,367.45,373.8,351.55,,
2015/1/19,TE,201503,366.9,366.9,366.9,366.9,2.7,0.74%,1,366.9,28,367,367.55,369.9,330,,
2015/1/19,TE,201506,-,-,-,-,-,-,-,364.65,26,364.5,368.7,365,333.45,,
2015/1/19,TE,201509,-,-,-,-,-,-,-,355.05,4,353.5,356.35,360,339,,
2015/1/20,TE,201501,369,370.95,366.8,370.9,3.55,0.97%,5136,370.8,2245,370.85,370.9,373.75,350.75,,
2015/1/20,TE,201502,369,371,366.85,371,3.6,0.98%,1897,370.9,1802,370.9,371,373.8,351.55,,
2015/1/20,TE,201503,369,370.7,369,370.7,3.8,1.04%,4,370.7,30,370.45,370.8,370.7,330,,
2015/1/20,TE,201506,368.8,368.8,368.8,368.8,4.15,1.14%,3,368.8,28,368.45,369.7,368.8,333.45,,
2015/1/20,TE,201509,-,-,-,-,-,-,-,358.5,4,358,360.2,360,339,,
2015/1/21,TE,201501,372.15,373.2,371.4,372.15,1.35,0.36%,2216,0.0,1381,372.1,372.15,373.75,350.75,,
2015/1/21,TE,201502,372.15,373.45,371.8,372.65,1.75,0.47%,3532,372.5,2965,372.5,372.55,373.8,351.55,,
2015/1/21,TE,201503,372.3,372.8,372.3,372.5,1.8,0.49%,10,372.5,35,372.3,372.45,372.8,330,,
2015/1/21,TE,201506,-,-,-,-,-,-,-,370.15,28,369.7,371.2,368.8,333.45,,
2015/1/21,TE,201509,-,-,-,-,-,-,-,359.85,4,355.55,362.15,360,339,,
