交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/12/21,TJF,201601,1502,1535,1502,1524.5,-11,-0.72%,5103,1524.25,128,1524.75,1525,1535,1502,,
2015/12/21,TJF,201602,1530,1533.5,1509.5,1525,-10.75,-0.70%,1261,1524.5,50,1524.25,1525.5,1533.5,1509.5,,
2015/12/21,TJF,201603,1520,1532.75,1510,1523.5,-10,-0.65%,1103,1523.5,1,1519.75,1523.5,1532.75,1510,,
2015/12/21,TJF,201606,1334,1334,1334,1334,-190,-12.47%,1,1518.25,0,1503,1533.5,1334,1334,,
2015/12/21,TJF,201609,1460,1460,1460,1460,-63.5,-4.17%,1,1514,0,1494.75,1533.5,1460,1460,,
2015/12/22,TJF,201601,1527,1536.25,1524,1529.25,5,0.33%,1780,1529,119,1528.5,1529.5,1536.25,1502,,
2015/12/22,TJF,201602,1526.5,1533.25,1526.5,1533.25,8.75,0.57%,81,1533.25,33,1528.25,1529.5,1533.5,1509.5,,
2015/12/22,TJF,201603,1528,1529,1523.75,1523.75,0.25,0.02%,4,1528,1,1526.25,1530,1532.75,1510,,
2015/12/22,TJF,201606,-,-,-,-,-,-,-,1523,0,1508.5,1534.5,1334,1334,,
2015/12/22,TJF,201609,-,-,-,-,-,-,-,1518.75,0,1503.5,1534.5,1460,1460,,
2015/12/23,TJF,201601,1532,1540.25,1531,1538.5,9.5,0.62%,947,1538.25,190,1535,1538.75,1540.25,1502,,
2015/12/23,TJF,201602,1531.5,1534,1531.5,1534,0.75,0.05%,64,1536.75,44,1534.5,1539,1534,1509.5,,
2015/12/23,TJF,201603,-,-,-,-,-,-,-,1537.25,1,1530.25,1539,1532.75,1510,,
2015/12/23,TJF,201606,-,-,-,-,-,-,-,1532.25,0,1513,1548.75,1334,1334,,
2015/12/23,TJF,201609,-,-,-,-,-,-,-,1528,0,1490,1548.75,1460,1460,,
2015/12/24,TJF,201601,1543.5,1546.5,1520.25,1520.75,-17.5,-1.14%,1605,1520.75,264,1520.75,1521.75,1546.5,1502,,
2015/12/24,TJF,201602,1543.75,1543.75,1525.5,1525.5,-11.25,-0.73%,94,1521.25,124,1520.5,1522,1543.75,1509.5,,
2015/12/24,TJF,201603,1537.25,1537.25,1537.25,1537.25,0,0.00%,1,1516.75,1,1511,1522.5,1537.25,1510,,
2015/12/24,TJF,201606,-,-,-,-,-,-,-,1514.75,0,1487.5,1658,1334,1334,,
2015/12/24,TJF,201609,-,-,-,-,-,-,-,1510.5,0,1482.5,1738,1460,1460,,
2015/12/25,TJF,201601,1520.75,1522.75,1511.75,1516.25,-4.5,-0.30%,957,1516.25,276,1515.25,1516.5,1546.5,1502,,
2015/12/25,TJF,201602,1516,1520.75,1515.25,1515.25,-6,-0.39%,7,1515.25,128,1515,1516.75,1543.75,1509.5,,
2015/12/25,TJF,201603,-,-,-,-,-,-,-,1512.25,1,1505.5,1526.25,1537.25,1510,,
2015/12/25,TJF,201606,-,-,-,-,-,-,-,1510.25,0,1481,1526.5,1334,1334,,
2015/12/25,TJF,201609,-,-,-,-,-,-,-,1506,0,1476,1526.5,1460,1460,,
2015/12/28,TJF,201601,1518,1534,1515,1532.5,16.25,1.07%,975,1532.5,243,1532,1533,1546.5,1502,,
2015/12/28,TJF,201602,1521.5,1530.5,1521.5,1529,13.75,0.91%,47,1529,153,1531.5,1532.5,1543.75,1509.5,,
2015/12/28,TJF,201603,1510,1510,1509,1509,-3.25,-0.21%,4,1528.5,1,1522.5,1541,1537.25,1509,,
2015/12/28,TJF,201606,-,-,-,-,-,-,-,1526.5,0,1497,1660,1334,1334,,
2015/12/28,TJF,201609,-,-,-,-,-,-,-,1522.25,0,1492,1660,1460,1460,,
2015/12/29,TJF,201601,1527.5,1549,1521,1549,16.5,1.08%,1042,1549,305,1549,1549.25,1549,1502,,
2015/12/29,TJF,201602,1521.75,1545,1521.75,1545,16,1.05%,73,1545,174,1548.75,1549.75,1545,1509.5,,
