交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2017/5/15,UDF,201706,20856,20883,20856,20870,30,0.14%,712,20870,41,20869,20870,20883,20856,,一般,,
2017/5/15,UDF,201709,20820,20828,20814,20828,15,0.07%,30,20828,2,20814,20825,20828,20814,,一般,,
2017/5/15,UDF,201712,20780,20790,20780,20790,20,0.10%,46,20790,0,19810,21790,20790,20780,,一般,,
2017/5/15,UDF,201803,-,-,-,-,-,-,0,20770,0,19450,22000,-,-,,一般,,
2017/5/16,UDF,201706,20889,20953,20866,20948,78,0.37%,2688,-,-,20941,20947,20953,20856,,盤後,,
2017/5/16,UDF,201706,20945,20945,20914,20926,56,0.27%,615,20926,174,20925,20926,20953,20856,,一般,,
2017/5/16,UDF,201709,20887,20887,20887,20887,59,0.28%,1,-,-,19455,20965,20887,20814,,盤後,,
2017/5/16,UDF,201709,20875,20875,20875,20875,47,0.23%,1,20875,4,20872,20878,20887,20814,,一般,,
2017/5/16,UDF,201712,20800,20835,20790,20835,45,0.22%,24,-,-,19350,22230,20835,20780,,盤後,,
2017/5/16,UDF,201712,-,-,-,-,-,-,0,20846,0,20796,20854,20835,20780,,一般,,
2017/5/16,UDF,201803,-,-,-,-,-,-,0,-,-,19320,22200,-,-,,盤後,,
2017/5/16,UDF,201803,-,-,-,-,-,-,0,20826,0,20746,20814,-,-,,一般,,
2017/5/17,UDF,201706,20929,20993,20897,20954,28,0.13%,3473,-,-,20928,20954,20993,20856,,盤後,,
2017/5/17,UDF,201706,20812,20920,20810,20830,-96,-0.46%,926,20830,357,20827,20829,20993,20810,,一般,,
2017/5/17,UDF,201709,20878,20937,20849,20909,34,0.16%,1393,-,-,20848,20929,20937,20814,,盤後,,
2017/5/17,UDF,201709,20800,20800,20778,20778,-97,-0.46%,2,20778,44,20773,20778,20937,20778,,一般,,
2017/5/17,UDF,201712,-,-,-,-,-,-,0,-,-,20780,20893,20835,20780,,盤後,,
2017/5/17,UDF,201712,-,-,-,-,-,-,0,20750,0,20692,20778,20835,20780,,一般,,
2017/5/17,UDF,201803,20790,20790,20790,20790,-36,-0.17%,1,-,-,20729,20850,20790,20790,,盤後,,
2017/5/17,UDF,201803,-,-,-,-,-,-,0,20730,1,20658,20728,20790,20790,,一般,,
2017/5/18,UDF,201706,20827,20862,20589,20591,-239,-1.15%,4545,-,-,20590,20600,20993,20589,,盤後,,
2017/5/18,UDF,201706,20611,20644,20595,20625,-205,-0.98%,1224,20625,622,20624,20627,20993,20589,,一般,,
2017/5/18,UDF,201709,20781,20806,20600,20600,-178,-0.86%,1523,-,-,20510,20620,20937,20600,,盤後,,
2017/5/18,UDF,201709,20575,20582,20575,20580,-198,-0.95%,153,20580,83,20573,20577,20937,20575,,一般,,
2017/5/18,UDF,201712,-,-,-,-,-,-,0,-,-,20431,20549,20835,20780,,盤後,,
2017/5/18,UDF,201712,-,-,-,-,-,-,0,20545,0,20480,20565,20835,20780,,一般,,
2017/5/18,UDF,201803,-,-,-,-,-,-,0,-,-,20421,20499,20790,20790,,盤後,,
2017/5/18,UDF,201803,-,-,-,-,-,-,0,20525,1,20445,20536,20790,20790,,一般,,
2017/5/19,UDF,201706,20635,20686,20482,20640,15,0.07%,6140,-,-,20607,20645,20993,20482,,盤後,,
2017/5/19,UDF,201706,20647,20654,20622,20646,21,0.10%,570,20646,555,20646,20647,20993,20482,,一般,,
2017/5/19,UDF,201709,20588,20600,20438,20600,20,0.10%,872,-,-,20533,20646,20937,20438,,盤後,,
2017/5/19,UDF,201709,20588,20595,20588,20595,15,0.07%,5,20595,78,20593,20599,20937,20438,,一般,,
2017/5/19,UDF,201712,-,-,-,-,-,-,0,-,-,20458,20584,20835,20780,,盤後,,
2017/5/19,UDF,201712,-,-,-,-,-,-,0,20566,0,20497,20586,20835,20780,,一般,,
2017/5/19,UDF,201803,-,-,-,-,-,-,0,-,-,20418,20544,20790,20790,,盤後,,
2017/5/19,UDF,201803,-,-,-,-,-,-,0,20546,1,20447,20546,20790,20790,,一般,,
2017/5/22,UDF,201706,20631,20815,20630,20795,149,0.72%,3247,-,-,20796,20800,20993,20482,,盤後,,
2017/5/22,UDF,201706,20799,20819,20785,20819,173,0.84%,370,20817,730,20817,20819,20993,20482,,一般,,
2017/5/22,UDF,201709,20600,20745,20600,20706,111,0.54%,197,-,-,20716,20747,20937,20438,,盤後,,
2017/5/22,UDF,201709,20716,20765,20716,20761,166,0.81%,74,20761,111,20764,20769,20937,20438,,一般,,
2017/5/22,UDF,201712,20510,20520,20510,20520,-46,-0.22%,2,-,-,20647,20739,20835,20510,,盤後,,
2017/5/22,UDF,201712,-,-,-,-,-,-,0,20737,0,20668,20748,20835,20510,,一般,,
2017/5/22,UDF,201803,-,-,-,-,-,-,0,-,-,20597,20699,20790,20790,,盤後,,
2017/5/22,UDF,201803,-,-,-,-,-,-,0,20717,1,20638,20708,20790,20790,,一般,,
2017/5/23,UDF,201706,20820,20884,20766,20875,58,0.28%,2632,-,-,20874,20875,20993,20482,,盤後,,
2017/5/23,UDF,201706,20838,20872,20838,20858,41,0.20%,471,20858,831,20856,20858,20993,20482,,一般,,
2017/5/23,UDF,201709,20752,20834,20730,20825,64,0.31%,379,-,-,20798,20850,20937,20438,,盤後,,
2017/5/23,UDF,201709,-,-,-,-,-,-,0,20802,114,20810,20817,20937,20438,,一般,,
2017/5/23,UDF,201712,-,-,-,-,-,-,0,-,-,20726,20803,20835,20510,,盤後,,
2017/5/23,UDF,201712,-,-,-,-,-,-,0,20778,0,20718,20786,20835,20510,,一般,,
2017/5/23,UDF,201803,-,-,-,-,-,-,0,-,-,20686,20763,20790,20790,,盤後,,
2017/5/23,UDF,201803,-,-,-,-,-,-,0,20758,1,20687,20746,20790,20790,,一般,,
2017/5/24,UDF,201706,20855,20928,20855,20908,50,0.24%,2154,-,-,20902,20923,20993,20482,,盤後,,
2017/5/24,UDF,201706,20910,20910,20897,20903,45,0.22%,315,20903,1003,20902,20904,20993,20482,,一般,,
2017/5/24,UDF,201709,20828,20880,20828,20852,50,0.24%,147,-,-,20846,20880,20937,20438,,盤後,,
2017/5/24,UDF,201709,-,-,-,-,-,-,0,20847,113,20842,20859,20937,20438,,一般,,
2017/5/24,UDF,201712,-,-,-,-,-,-,0,-,-,20764,20851,20835,20510,,盤後,,
2017/5/24,UDF,201712,-,-,-,-,-,-,0,20823,0,20753,20843,20835,20510,,一般,,
2017/5/24,UDF,201803,-,-,-,-,-,-,0,-,-,20718,20811,20790,20790,,盤後,,
2017/5/24,UDF,201803,-,-,-,-,-,-,0,20803,1,20723,20793,20790,20790,,一般,,
2017/5/25,UDF,201706,20907,20997,20900,20995,92,0.44%,1881,-,-,20991,20997,20997,20482,,盤後,,
2017/5/25,UDF,201706,20990,21076,20990,21076,173,0.83%,551,21076,1109,21073,21077,21076,20482,,一般,,
2017/5/25,UDF,201709,20880,20939,20861,20938,91,0.44%,22,-,-,20936,20950,20939,20438,,盤後,,
2017/5/25,UDF,201709,20950,21005,20950,21005,158,0.76%,16,21023,115,21018,21028,21005,20438,,一般,,
2017/5/25,UDF,201712,-,-,-,-,-,-,0,-,-,20842,20946,20835,20510,,盤後,,
2017/5/25,UDF,201712,-,-,-,-,-,-,0,20996,0,20939,21016,20835,20510,,一般,,
2017/5/25,UDF,201803,20817,20817,20817,20817,14,0.07%,1,-,-,20792,20896,20817,20790,,盤後,,
2017/5/25,UDF,201803,20900,20900,20900,20900,97,0.47%,1,20900,1,20874,20976,20900,20790,,一般,,
2017/5/26,UDF,201706,21076,21092,21030,21058,-18,-0.09%,1934,-,-,21053,21058,21092,20482,,盤後,,
2017/5/26,UDF,201706,21047,21058,21035,21044,-32,-0.15%,215,21044,1055,21043,21045,21092,20482,,一般,,
2017/5/26,UDF,201709,21016,21037,20997,21018,-5,-0.02%,118,-,-,20985,21017,21037,20438,,盤後,,
2017/5/26,UDF,201709,21023,-,-,21023,0,0.00%,1,20991,121,20988,20995,21037,20438,,一般,,
2017/5/26,UDF,201712,-,-,-,-,-,-,0,-,-,20914,20996,20835,20510,,盤後,,
2017/5/26,UDF,201712,-,-,-,-,-,-,0,20964,0,20898,20983,20835,20510,,一般,,
2017/5/26,UDF,201803,-,-,-,-,-,-,0,-,-,20855,20945,20900,20790,,盤後,,
2017/5/26,UDF,201803,-,-,-,-,-,-,0,20868,1,20844,20944,20900,20790,,一般,,
2017/5/31,UDF,201706,21047,21070,21017,21047,3,0.01%,1240,-,-,21046,21057,21092,20482,,盤後,,
2017/5/31,UDF,201706,21028,21035,21016,21016,-28,-0.13%,247,21016,1057,21016,21020,21092,20482,,一般,,
2017/5/31,UDF,201709,21012,21015,20975,20998,7,0.03%,49,-,-,20998,21042,21037,20438,,盤後,,
2017/5/31,UDF,201709,20973,20973,20973,20973,-18,-0.09%,10,20973,109,20966,20971,21037,20438,,一般,,
2017/5/31,UDF,201712,-,-,-,-,-,-,0,-,-,20897,20987,20835,20510,,盤後,,
2017/5/31,UDF,201712,-,-,-,-,-,-,0,20936,0,20877,20959,20835,20510,,一般,,
2017/5/31,UDF,201803,-,-,-,-,-,-,0,-,-,20877,20912,20900,20790,,盤後,,
2017/5/31,UDF,201803,-,-,-,-,-,-,0,20840,1,20837,20908,20900,20790,,一般,,
2017/6/1,UDF,201706,21029,21056,20931,21021,5,0.02%,2093,-,-,21020,21024,21092,20482,,盤後,,
2017/6/1,UDF,201706,21029,21035,21004,21019,3,0.01%,191,21019,1025,21017,21018,21092,20482,,一般,,
2017/6/1,UDF,201709,21006,21008,20892,20935,-38,-0.18%,291,-,-,20952,21000,21037,20438,,盤後,,
2017/6/1,UDF,201709,20966,20973,20958,20973,0,0.00%,6,20973,152,20963,20967,21037,20438,,一般,,
2017/6/1,UDF,201712,-,-,-,-,-,-,0,-,-,20881,20963,20835,20510,,盤後,,
2017/6/1,UDF,201712,-,-,-,-,-,-,0,20939,0,20828,20957,20835,20510,,一般,,
2017/6/1,UDF,201803,-,-,-,-,-,-,0,-,-,20821,20836,20900,20790,,盤後,,
2017/6/1,UDF,201803,20829,20829,20829,20829,-11,-0.05%,1,20837,0,20768,20907,20900,20790,,一般,,
2017/6/2,UDF,201706,21005,21142,20985,21141,122,0.58%,1878,-,-,21120,21141,21142,20482,,盤後,,
2017/6/2,UDF,201706,21168,21203,21168,21197,178,0.85%,499,21197,1091,21197,21199,21203,20482,,一般,,
