交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2018/01/22,XAF,201803  ,0.7991,0.7998,0.7978,0.7997,0,0.00%,754.0,0.7997,81,0.7994,0.7996,0.7998,0.7978,,一般,,
2018/01/22,XAF,201806  ,0.7988,0.7999,0.798,0.7997,0,0.00%,376.0,0.7997,65,0.7995,0.7999,0.7999,0.798,,一般,,
2018/01/22,XAF,201809  ,-,-,-,-,-,-,0.0,0.7999,0,0.777,0.823,-,-,,一般,,
2018/01/22,XAF,201812  ,-,-,-,-,-,-,0.0,0.8001,0,0.777,0.824,-,-,,一般,,
2018/01/23,XAF,201803  ,0.8016,0.8027,0.796,0.796,-0.0037,-0.46%,68.0,0.796,73,0.796,0.7964,0.8027,0.796,,一般,,
2018/01/23,XAF,201803  ,0.7999,0.8024,0.7999,0.8024,0.0027,0.34%,187.0,-,-,0.8005,0.806,0.8024,0.7978,,盤後,,
2018/01/23,XAF,201806  ,0.802,0.802,0.7961,0.7961,-0.0036,-0.45%,4.0,0.7961,66,0.7961,0.7964,0.802,0.7961,,一般,,
2018/01/23,XAF,201806  ,-,-,-,-,-,-,0.0,-,-,0.776,0.823,0.7999,0.798,,盤後,,
2018/01/23,XAF,201809  ,-,-,-,-,-,-,0.0,0.7962,0,0.777,0.823,-,-,,一般,,
2018/01/23,XAF,201809  ,-,-,-,-,-,-,0.0,-,-,0.777,0.823,-,-,,盤後,,
2018/01/23,XAF,201812  ,-,-,-,-,-,-,0.0,0.7964,0,0.777,0.824,-,-,,一般,,
2018/01/23,XAF,201812  ,-,-,-,-,-,-,0.0,-,-,0.777,0.824,-,-,,盤後,,
2018/01/24,XAF,201803  ,0.7998,0.8026,0.7993,0.8026,0.0066,0.83%,193.0,0.8026,35,0.8025,0.8029,0.8027,0.796,,一般,,
2018/01/24,XAF,201803  ,0.7961,0.7995,0.7961,0.7995,0.0035,0.44%,18.0,-,-,0.798,0.7999,0.8027,0.796,,盤後,,
2018/01/24,XAF,201806  ,0.8012,0.8012,0.8012,0.8012,0.0051,0.64%,26.0,0.8012,92,0.8025,0.8028,0.802,0.7961,,一般,,
2018/01/24,XAF,201806  ,-,-,-,-,-,-,0.0,-,-,0.773,0.819,0.802,0.7961,,盤後,,
2018/01/24,XAF,201809  ,-,-,-,-,-,-,0.0,0.8028,0,0.773,0.819,-,-,,一般,,
2018/01/24,XAF,201809  ,-,-,-,-,-,-,0.0,-,-,0.773,0.819,-,-,,盤後,,
2018/01/24,XAF,201812  ,-,-,-,-,-,-,0.0,0.803,0,0.773,0.82,-,-,,一般,,
2018/01/24,XAF,201812  ,-,-,-,-,-,-,0.0,-,-,0.773,0.82,-,-,,盤後,,
2018/01/25,XAF,201803  ,0.8063,0.8114,0.8061,0.8085,0.0059,0.74%,280.0,0.8085,58,0.8077,0.808,0.8114,0.796,,一般,,
2018/01/25,XAF,201803  ,0.8055,0.8079,0.8052,0.8078,0.0052,0.65%,17.0,-,-,0.802,0.8063,0.8079,0.796,,盤後,,
