交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2021/12/06,ZFF,202112  ,1654.8,1664.8,1642.8,1664.8,9.6,0.58%,861.0,1664.8,71,1664.2,1665.8,1664.8,1642.8,,一般,,
2021/12/06,ZFF,202201  ,1634.8,1649.6,1634.8,1649.6,-6.4,-0.39%,13.0,1663.6,0,1661.4,1665.6,1649.6,1634.8,,一般,,
2021/12/06,ZFF,202202  ,-,-,-,-,-,-,0.0,1659.4,0,1650.2,1664.6,-,-,,一般,,
2021/12/06,ZFF,202203  ,-,-,-,-,-,-,0.0,1641,0,1640.2,1677.8,-,-,,一般,,
2021/12/06,ZFF,202206  ,-,-,-,-,-,-,0.0,1635.2,0,1635.2,1675.8,-,-,,一般,,
2021/12/06,ZFF,202209  ,-,-,-,-,-,-,0.0,1579.6,0,1575.2,1646.8,-,-,,一般,,
2021/12/07,ZFF,202112  ,1664.8,1681,1655,1680.8,16,0.96%,856.0,1680.6,113,1680.2,1680.8,1681,1642.8,,一般,,
2021/12/07,ZFF,202201  ,-,-,-,-,-,-,0.0,1678.8,0,1677.4,1680,1649.6,1634.8,,一般,,
2021/12/07,ZFF,202202  ,-,-,-,-,-,-,0.0,1675.2,0,1665.4,1680.6,-,-,,一般,,
2021/12/07,ZFF,202203  ,-,-,-,-,-,-,0.0,1656.8,0,1656.2,1692.8,-,-,,一般,,
2021/12/07,ZFF,202206  ,-,-,-,-,-,-,0.0,1651,0,1651.2,1690.8,-,-,,一般,,
2021/12/07,ZFF,202209  ,-,-,-,-,-,-,0.0,1595.4,0,1591.2,1661.8,-,-,,一般,,
2021/12/08,ZFF,202112  ,1689,1689.4,1679.8,1688.8,8.2,0.49%,549.0,1688,92,1687.2,1688.2,1689.4,1642.8,,一般,,
2021/12/08,ZFF,202201  ,1679,1683,1679,1683,4.2,0.25%,3.0,1684.8,2,1684.4,1686.8,1683,1634.8,,一般,,
2021/12/08,ZFF,202202  ,-,-,-,-,-,-,0.0,1682.6,0,1671.2,1702.2,-,-,,一般,,
2021/12/08,ZFF,202203  ,-,-,-,-,-,-,0.0,1664.2,0,1663.2,1700.2,-,-,,一般,,
2021/12/08,ZFF,202206  ,-,-,-,-,-,-,0.0,1658.4,0,1658.2,1698.2,-,-,,一般,,
2021/12/08,ZFF,202209  ,-,-,-,-,-,-,0.0,1602.8,0,1598.2,1669.2,-,-,,一般,,
2021/12/09,ZFF,202112  ,1688,1694.8,1686,1690.8,2.8,0.17%,371.0,1690,212,1690.4,1691,1694.8,1642.8,,一般,,
2021/12/09,ZFF,202201  ,1688,1689.8,1683.6,1687.2,2.4,0.14%,23.0,1687.6,15,1688,1689.2,1689.8,1634.8,,一般,,
2021/12/09,ZFF,202202  ,-,-,-,-,-,-,0.0,1684.6,0,1674.4,1705,-,-,,一般,,
2021/12/09,ZFF,202203  ,-,-,-,-,-,-,0.0,1666.2,0,1666.4,1703,-,-,,一般,,
2021/12/09,ZFF,202206  ,-,-,-,-,-,-,0.0,1660.4,0,1661.4,1701,-,-,,一般,,
2021/12/09,ZFF,202209  ,-,-,-,-,-,-,0.0,1604.8,0,1601.4,1672,-,-,,一般,,
2021/12/10,ZFF,202112  ,1687.4,1694.2,1685,1689.4,-0.6,-0.04%,229.0,1689,192,1688.6,1690,1694.8,1642.8,,一般,,
2021/12/10,ZFF,202201  ,1691.4,1691.4,1687.2,1688,0.4,0.02%,68.0,1685.6,51,1685.8,1688.2,1691.4,1634.8,,一般,,
2021/12/10,ZFF,202202  ,-,-,-,-,-,-,0.0,1683.6,0,1674.8,1688.8,-,-,,一般,,
2021/12/10,ZFF,202203  ,-,-,-,-,-,-,0.0,1665.2,0,1664.6,1702,-,-,,一般,,
2021/12/10,ZFF,202206  ,-,-,-,-,-,-,0.0,1659.4,0,1659.6,1700,-,-,,一般,,
2021/12/10,ZFF,202209  ,-,-,-,-,-,-,0.0,1603.8,0,1599.6,1671,-,-,,一般,,
2021/12/13,ZFF,202112  ,1693.6,1703,1682.4,1685,-4,-0.24%,296.0,1685,207,1685,1686.6,1703,1642.8,,一般,,
2021/12/13,ZFF,202201  ,1695,1700.8,1680.2,1683.2,-2.4,-0.14%,98.0,1682.6,54,1682.2,1684.2,1700.8,1634.8,,一般,,
2021/12/13,ZFF,202202  ,1682.2,1682.2,1682.2,1682.2,-1.4,-0.08%,1.0,1679.6,1,1671.2,1684.6,1682.2,1682.2,,一般,,
2021/12/13,ZFF,202203  ,-,-,-,-,-,-,0.0,1661.2,0,1661,1698.6,-,-,,一般,,
2021/12/13,ZFF,202206  ,-,-,-,-,-,-,0.0,1655.4,0,1656,1696.6,-,-,,一般,,
2021/12/13,ZFF,202209  ,-,-,-,-,-,-,0.0,1599.8,0,1596,1667.6,-,-,,一般,,
2021/12/14,ZFF,202112  ,1670.6,1682.2,1667.4,1673,-12,-0.71%,225.0,1673.2,171,1673,1674.2,1703,1642.8,,一般,,
2021/12/14,ZFF,202201  ,1680,1680,1665.8,1671.4,-11.2,-0.67%,137.0,1670.8,92,1670.4,1672.4,1700.8,1634.8,,一般,,
2021/12/14,ZFF,202202  ,-,-,-,-,-,-,0.0,1667.8,1,1659,1688.2,1682.2,1682.2,,一般,,
2021/12/14,ZFF,202203  ,-,-,-,-,-,-,0.0,1649.4,0,1649,1686.2,-,-,,一般,,
2021/12/14,ZFF,202206  ,-,-,-,-,-,-,0.0,1643.6,0,1644,1684.2,-,-,,一般,,
2021/12/14,ZFF,202209  ,-,-,-,-,-,-,0.0,1588,0,1584,1655.2,-,-,,一般,,
2021/12/15,ZFF,202112  ,1675.6,1676,1665.2,1669,-4.2,-0.25%,196.0,0,161,1669,1669.4,1703,1642.8,,一般,,
2021/12/15,ZFF,202201  ,1675.2,1678.6,1665.2,1667.4,-3.4,-0.20%,391.0,1666.6,245,1666.6,1667.8,1700.8,1634.8,,一般,,
2021/12/15,ZFF,202202  ,1667.8,-,-,1667.8,0,0.00%,1.0,1664,2,1652.6,1676.8,1682.2,1682.2,,一般,,
2021/12/15,ZFF,202203  ,-,-,-,-,-,-,0.0,1645.6,0,1650.6,1681.8,-,-,,一般,,
2021/12/15,ZFF,202206  ,-,-,-,-,-,-,0.0,1639.8,0,1642.6,1679.8,-,-,,一般,,
2021/12/15,ZFF,202209  ,-,-,-,-,-,-,0.0,1584.2,0,1590.6,1648.8,-,-,,一般,,
2021/12/16,ZFF,202201  ,1671,1676,1668.4,1676,9.4,0.56%,349.0,1675.8,279,1675.8,1676,1700.8,1634.8,,一般,,
2021/12/16,ZFF,202202  ,1670,1670,1667,1667,3,0.18%,2.0,1674.6,2,1673,1675.6,1682.2,1667,,一般,,
2021/12/16,ZFF,202203  ,-,-,-,-,-,-,0.0,1654.8,0,1659.8,1690,-,-,,一般,,
2021/12/16,ZFF,202206  ,-,-,-,-,-,-,0.0,1649,0,1651.8,1688,-,-,,一般,,
2021/12/16,ZFF,202209  ,-,-,-,-,-,-,0.0,1593.4,0,1596.8,1657,-,-,,一般,,
2021/12/16,ZFF,202212  ,-,-,-,-,-,-,0.0,1623.4,0,1581.8,1655,-,-,,一般,,
2021/12/17,ZFF,202201  ,1674.6,1686.8,1674,1681,5.2,0.31%,465.0,1681.2,301,1681,1682,1700.8,1634.8,,一般,,
2021/12/17,ZFF,202202  ,-,-,-,-,-,-,0.0,1678,2,1678.4,1681.2,1682.2,1667,,一般,,
2021/12/17,ZFF,202203  ,-,-,-,-,-,-,0.0,1674,0,1665,1696,-,-,,一般,,
