交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2020/06/08,BTF,202006  ,4705,4708,4624,4628,-19,-0.41%,1191.0,4628,73,4628,4630,4708,4624,,一般,,
2020/06/08,BTF,202007  ,4583,4673,4580,4580,-32,-0.69%,235.0,4580,17,4581,4584,4673,4580,,一般,,
2020/06/08,BTF,202008  ,-,-,-,-,-,-,0.0,4549,0,-,-,-,-,,一般,,
2020/06/08,BTF,202009  ,-,-,-,-,-,-,0.0,4527,0,-,-,-,-,,一般,,
2020/06/08,BTF,202012  ,-,-,-,-,-,-,0.0,4524,0,-,-,-,-,,一般,,
2020/06/08,BTF,202103  ,-,-,-,-,-,-,0.0,4523,0,-,-,-,-,,一般,,
2020/06/09,BTF,202006  ,4648,4697,4634,4672,44,0.95%,471.0,4672,118,4671,4676,4708,4624,,一般,,
2020/06/09,BTF,202007  ,4595,4649,4589,4628,48,1.05%,202.0,4628,101,4630,4638,4673,4580,,一般,,
2020/06/09,BTF,202008  ,-,-,-,-,-,-,0.0,4593,0,4102,4995,-,-,,一般,,
2020/06/09,BTF,202009  ,-,-,-,-,-,-,0.0,4571,0,4076,4976,-,-,,一般,,
2020/06/09,BTF,202012  ,-,-,-,-,-,-,0.0,4568,0,4075,4972,-,-,,一般,,
2020/06/09,BTF,202103  ,-,-,-,-,-,-,0.0,4567,0,4075,4972,-,-,,一般,,
2020/06/10,BTF,202006  ,4703,4737,4703,4734,62,1.33%,300.0,4734,189,4729,4734,4737,4624,,一般,,
2020/06/10,BTF,202007  ,4674,4703,4674,4696,68,1.47%,81.0,4696,104,4690,4696,4703,4580,,一般,,
2020/06/10,BTF,202008  ,-,-,-,-,-,-,0.0,4655,0,-,-,-,-,,一般,,
2020/06/10,BTF,202009  ,-,-,-,-,-,-,0.0,4633,0,-,-,-,-,,一般,,
2020/06/10,BTF,202012  ,-,-,-,-,-,-,0.0,4630,0,-,-,-,-,,一般,,
2020/06/10,BTF,202103  ,-,-,-,-,-,-,0.0,4629,0,-,-,-,-,,一般,,
2020/06/11,BTF,202006  ,4734,4740,4524,4526,-208,-4.39%,465.0,4526,160,4524,4530,4740,4524,,一般,,
2020/06/11,BTF,202007  ,4681,4681,4485,4485,-211,-4.49%,76.0,4485,86,4488,4494,4703,4485,,一般,,
2020/06/11,BTF,202008  ,-,-,-,-,-,-,0.0,4447,0,-,-,-,-,,一般,,
2020/06/11,BTF,202009  ,-,-,-,-,-,-,0.0,4425,0,-,-,-,-,,一般,,
