交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,CB1,201503,-,-,-,-,-,-,-,26.65,5,-,-,25.8,25.4,,
2015/1/6,CB1,201503,-,-,-,-,-,-,-,26.2,5,-,-,25.8,25.4,,
2015/1/7,CB1,201503,-,-,-,-,-,-,-,26.4,5,-,-,25.8,25.4,,
2015/1/8,CB1,201503,-,-,-,-,-,-,-,26.6,5,-,-,25.8,25.4,,
2015/1/9,CB1,201503,-,-,-,-,-,-,-,26.55,5,-,-,25.8,25.4,,
2015/1/12,CB1,201503,-,-,-,-,-,-,-,26.55,5,-,-,25.8,25.4,,
2015/1/13,CB1,201503,-,-,-,-,-,-,-,26.65,5,-,-,25.8,25.4,,
2015/1/14,CB1,201503,-,-,-,-,-,-,-,26.7,5,-,-,25.8,25.4,,
2015/1/15,CB1,201503,-,-,-,-,-,-,-,26.4,5,-,-,25.8,25.4,,
2015/1/16,CB1,201503,-,-,-,-,-,-,-,26.15,5,-,-,25.8,25.4,,
2015/1/19,CB1,201503,-,-,-,-,-,-,-,26.2,5,-,-,25.8,25.4,,
2015/1/20,CB1,201503,-,-,-,-,-,-,-,26.65,5,-,-,25.8,25.4,,
2015/1/21,CB1,201503,-,-,-,-,-,-,-,26.75,5,26.4,26.7,25.8,25.4,,
2015/1/22,CB1,201503,-,-,-,-,-,-,-,26.6,5,26.45,26.75,25.8,25.4,,
2015/1/23,CB1,201503,-,-,-,-,-,-,-,26.65,5,26.45,26.75,25.8,25.4,,
2015/1/26,CB1,201503,-,-,-,-,-,-,-,26.5,5,26.25,26.55,25.8,25.4,,
2015/1/27,CB1,201503,26.5,26.5,26.5,26.5,0,0.00%,12,26.5,17,26.5,26.75,26.5,25.4,,
2015/1/28,CB1,201503,-,-,-,-,-,-,-,26.6,17,26.5,26.8,26.5,25.4,,
2015/1/29,CB1,201503,-,-,-,-,-,-,-,26.5,17,26.35,26.65,26.5,25.4,,
2015/1/30,CB1,201503,-,-,-,-,-,-,-,26.55,17,-,26.75,26.5,25.4,,
2015/2/2,CB1,201503,-,-,-,-,-,-,-,26.35,17,26.35,26.65,26.5,25.4,,
2015/2/3,CB1,201503,-,-,-,-,-,-,-,26.25,17,26.25,26.55,26.5,25.4,,
2015/2/4,CB1,201503,-,-,-,-,-,-,-,26.25,17,26.3,26.5,26.5,25.4,,
2015/2/5,CB1,201503,26.5,26.5,26.25,26.25,0,0.00%,2,26.3,17,26.3,26.6,26.5,25.4,,
2015/2/6,CB1,201503,-,-,-,-,-,-,-,26.3,17,26.3,26.6,26.5,25.4,,
2015/2/9,CB1,201503,-,-,-,-,-,-,-,26.1,17,26.05,-,26.5,25.4,,
2015/2/10,CB1,201503,26.2,26.2,26.2,26.2,0.1,0.38%,12,26.1,29,26.1,26.4,26.5,25.4,,
2015/2/11,CB1,201503,-,-,-,-,-,-,-,26.15,29,26.1,26.4,26.5,25.4,,
2015/2/12,CB1,201503,-,-,-,-,-,-,-,26.3,29,26.25,26.55,26.5,25.4,,
2015/2/13,CB1,201503,-,-,-,-,-,-,-,26.45,29,26.3,26.6,26.5,25.4,,
2015/2/24,CB1,201503,26.5,26.5,26.5,26.5,0.05,0.19%,5,26.55,34,26.45,-,26.5,25.4,,
2015/2/25,CB1,201503,-,-,-,-,-,-,-,26.3,34,26.05,-,26.5,25.4,,
2015/2/26,CB1,201503,26.2,26.2,26.2,26.2,-0.1,-0.38%,25,26.2,54,26.05,-,26.5,25.4,,
2015/3/2,CB1,201503,26.2,26.2,26.2,26.2,0,0.00%,36,26.0,61,25.85,26.15,26.5,25.4,,
2015/3/3,CB1,201503,25.95,25.95,25.95,25.95,-0.05,-0.19%,1,25.95,61,25.75,26.05,26.5,25.4,,
2015/3/4,CB1,201503,25.95,25.95,25.95,25.95,0,0.00%,19,25.95,62,25.8,26.1,26.5,25.4,,
2015/3/5,CB1,201503,-,-,-,-,-,-,-,25.85,62,25.65,25.95,26.5,25.4,,
2015/3/6,CB1,201503,-,-,-,-,-,-,-,25.85,62,25.7,26,26.5,25.4,,
2015/3/9,CB1,201503,-,-,-,-,-,-,-,25.75,62,25.6,25.9,26.5,25.4,,
2015/3/10,CB1,201503,-,-,-,-,-,-,-,25.65,62,25.5,25.8,26.5,25.4,,
2015/3/11,CB1,201503,-,-,-,-,-,-,-,25.55,62,25.45,25.6,26.5,25.4,,
2015/3/12,CB1,201503,-,-,-,-,-,-,-,25.55,62,25.5,-,26.5,25.4,,
2015/3/13,CB1,201503,-,-,-,-,-,-,-,25.5,62,25.35,25.6,26.5,25.4,,
2015/3/16,CB1,201503,-,-,-,-,-,-,-,25.35,62,25.3,25.5,26.5,25.4,,
2015/3/17,CB1,201503,-,-,-,-,-,-,-,25.55,62,25.35,25.6,26.5,25.4,,
2015/3/18,CB1,201503,-,-,-,-,-,-,-,0.0,62,-,-,26.5,25.4,,
