交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,CCF,201501,14.55,15.45,14.5,15.25,0.4,2.69%,2185,15.25,1537,15.25,15.3,15.45,13.45,,
2015/1/5,CCF,201502,14.65,15.5,14.65,15.25,0.4,2.69%,1266,15.25,770,15.2,15.25,15.5,13.8,,
2015/1/5,CCF,201503,15.4,15.4,15.4,15.4,0.65,4.41%,1,15.4,55,-,15.35,16.1,12.1,,
2015/1/5,CCF,201506,-,-,-,-,-,-,-,15.15,8,-,15.3,14.75,12.55,,
2015/1/5,CCF,201509,-,-,-,-,-,-,-,15.1,8,-,-,14.7,12.3,,
2015/1/6,CCF,201501,15,15.1,14.75,14.75,-0.5,-3.28%,2741,14.75,1443,14.75,14.8,15.45,13.45,,
2015/1/6,CCF,201502,15.05,15.05,14.7,14.7,-0.55,-3.61%,1308,14.7,735,14.7,14.75,15.5,13.8,,
2015/1/6,CCF,201503,14.8,14.9,14.8,14.9,-0.5,-3.25%,16,14.9,61,14.8,-,16.1,12.1,,
2015/1/6,CCF,201506,14.8,14.85,14.8,14.85,-0.3,-1.98%,7,14.85,12,14.75,-,14.85,12.55,,
2015/1/6,CCF,201509,-,-,-,-,-,-,-,14.6,8,14.6,-,14.7,12.3,,
2015/1/7,CCF,201501,14.65,15,14.65,14.75,0,0.00%,2138,14.75,1475,14.7,14.75,15.45,13.45,,
2015/1/7,CCF,201502,14.8,14.95,14.65,14.75,0.05,0.34%,970,14.75,680,14.7,14.8,15.5,13.8,,
2015/1/7,CCF,201503,14.75,14.75,14.75,14.75,-0.15,-1.01%,1,14.75,60,-,-,16.1,12.1,,
2015/1/7,CCF,201506,14.75,14.75,14.75,14.75,-0.1,-0.67%,1,14.75,12,-,-,14.85,12.55,,
2015/1/7,CCF,201509,-,-,-,-,-,-,-,14.6,8,-,-,14.7,12.3,,
2015/1/8,CCF,201501,14.95,15.1,14.85,14.85,0.1,0.68%,2029,14.85,1729,14.85,14.9,15.45,13.45,,
2015/1/8,CCF,201502,14.95,15.05,14.9,14.9,0.15,1.02%,1317,14.9,844,14.85,14.9,15.5,13.8,,
2015/1/8,CCF,201503,-,-,-,-,-,-,-,14.85,60,-,15,16.1,12.1,,
2015/1/8,CCF,201506,-,-,-,-,-,-,-,14.85,12,-,15.05,14.85,12.55,,
2015/1/8,CCF,201509,-,-,-,-,-,-,-,14.7,8,-,15.05,14.7,12.3,,
2015/1/9,CCF,201501,15.15,15.25,15.05,15.05,0.2,1.35%,909,15.05,1609,15,15.1,15.45,13.45,,
