交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/10/2,CN2,201510,17.2,17.2,17.2,17.2,0.2,1.18%,1,17.1,978,17.1,17.25,30.95,17.2,,
2015/10/2,CN2,201512,-,-,-,-,-,-,-,17.15,24,-,-,29.7,28.7,,
2015/10/5,CN2,201510,17.25,17.3,17.25,17.3,0.2,1.17%,2,17.15,978,17.15,17.3,30.95,17.2,,
2015/10/5,CN2,201512,-,-,-,-,-,-,-,17.2,24,-,-,29.7,28.7,,
2015/10/6,CN2,201510,17.4,17.4,17.2,17.2,0.05,0.29%,4,17.2,978,17.2,17.3,30.95,17.2,,
2015/10/6,CN2,201512,-,-,-,-,-,-,-,17.25,24,-,-,29.7,28.7,,
2015/10/7,CN2,201510,17.3,17.3,17.15,17.15,-0.05,-0.29%,6,17.25,976,17.2,17.35,30.95,17.15,,
2015/10/7,CN2,201512,-,-,-,-,-,-,-,17.3,24,-,-,29.7,28.7,,
2015/10/8,CN2,201510,17.35,17.35,17.35,17.35,0.1,0.58%,1,17.3,976,17.25,17.5,30.95,17.15,,
2015/10/8,CN2,201512,-,-,-,-,-,-,-,17.35,24,-,-,29.7,28.7,,
2015/10/12,CN2,201510,17.85,17.85,17.85,17.85,0.55,3.18%,1,17.85,975,-,-,30.95,17.15,,
2015/10/12,CN2,201512,-,-,-,-,-,-,-,17.85,24,-,-,29.7,28.7,,
2015/10/13,CN2,201510,17.85,18.2,17.85,18.2,0.35,1.96%,20,18.25,959,17.8,18.35,30.95,17.15,,
2015/10/13,CN2,201512,-,-,-,-,-,-,-,18.25,24,-,-,29.7,28.7,,
2015/10/14,CN2,201510,-,-,-,-,-,-,-,18.3,959,18,18.4,30.95,17.15,,
2015/10/14,CN2,201512,-,-,-,-,-,-,-,18.3,24,-,-,29.7,28.7,,
2015/10/15,CN2,201510,20,20,20,20,1.7,9.29%,1,18.25,959,18.2,18.35,30.95,17.15,,
2015/10/15,CN2,201512,-,-,-,-,-,-,-,18.25,24,-,-,29.7,28.7,,
2015/10/16,CN2,201510,-,-,-,-,-,-,-,18.65,959,18.55,18.65,30.95,17.15,,
2015/10/16,CN2,201512,-,-,-,-,-,-,-,18.65,24,-,-,29.7,28.7,,
2015/10/19,CN2,201510,18.85,18.95,18.85,18.9,0.25,1.34%,3,19.0,959,18.9,-,30.95,17.15,,
