交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/8/6,CQ1,201508,54,54,53.3,53.7,0,0.00%,174,53.3,2049,53.6,54.2,57.3,52.3,,
2015/8/6,CQ1,201509,53.9,53.9,53.5,53.6,-0.1,-0.19%,74,53.4,244,53.6,54,57.2,53.5,,
2015/8/6,CQ1,201603,53.1,53.1,53.1,53.1,-1.1,-2.03%,960,53.1,537,-,-,56.6,53.1,,
2015/8/7,CQ1,201508,53,53.3,52.9,53.3,0,0.00%,87,53.2,1990,52.9,53.6,57.3,52.3,,
2015/8/7,CQ1,201509,53.2,53.2,52.9,52.9,-0.5,-0.94%,12,52.9,240,50.2,53.7,57.2,52.9,,
2015/8/7,CQ1,201603,52.8,52.8,52.6,52.6,-0.5,-0.94%,480,52.8,57,-,-,56.6,52.6,,
2015/8/10,CQ1,201508,53.7,56.1,53.7,55.5,2.3,4.32%,203,55.5,1822,53.2,55.8,57.3,52.3,,
2015/8/10,CQ1,201509,54.7,56.2,54.7,55.8,2.9,5.48%,9,55.7,235,48.25,55.9,57.2,52.9,,
2015/8/10,CQ1,201603,-,-,-,-,-,-,-,55.1,57,-,-,56.6,52.6,,
2015/8/11,CQ1,201508,55.6,55.6,54.2,54.2,-1.3,-2.34%,34,54.1,1821,53.2,55.7,57.3,52.3,,
2015/8/11,CQ1,201509,55.3,55.3,54.1,54.2,-1.5,-2.69%,4,54.2,233,54.2,55.9,57.2,52.9,,
2015/8/11,CQ1,201603,-,-,-,-,-,-,-,53.7,57,-,-,56.6,52.6,,
2015/8/12,CQ1,201508,55.6,55.6,55.3,55.4,1.3,2.40%,464,55.4,1486,55.4,56.3,57.3,52.3,,
2015/8/12,CQ1,201509,54.2,55.6,54.2,55.3,1.1,2.03%,24,55.4,243,53.8,56,57.2,52.9,,
2015/8/12,CQ1,201603,-,-,-,-,-,-,-,55.0,57,-,-,56.6,52.6,,
2015/8/13,CQ1,201508,55.4,55.5,55.3,55.5,0.1,0.18%,18,55.5,1473,54.7,55.4,57.3,52.3,,
2015/8/13,CQ1,201509,55.2,55.4,55.1,55.1,-0.3,-0.54%,21,55.3,251,51.2,56.5,57.2,52.9,,
2015/8/13,CQ1,201603,-,-,-,-,-,-,-,55.1,57,-,-,56.6,52.6,,
2015/8/14,CQ1,201508,56.1,56.2,56.1,56.1,0.6,1.08%,40,57.0,1443,56.6,57.2,57.3,52.3,,
2015/8/14,CQ1,201509,55.3,57,55.3,56.8,1.5,2.71%,30,57.0,245,51.5,56.8,57.2,52.9,,
2015/8/14,CQ1,201603,-,-,-,-,-,-,-,56.6,57,-,-,56.6,52.6,,
2015/8/17,CQ1,201508,56.5,57.6,56.5,57.4,0.4,0.70%,142,57.3,1367,56.6,57.8,57.6,52.3,,
2015/8/17,CQ1,201509,57.7,57.7,57.3,57.3,0.3,0.53%,13,57.2,232,57,57.5,57.7,52.9,,
2015/8/17,CQ1,201603,-,-,-,-,-,-,-,56.9,57,-,-,56.6,52.6,,
2015/8/18,CQ1,201508,58.2,59.7,58,59,1.7,2.97%,197,59.0,1186,59,60.6,59.7,52.3,,
2015/8/18,CQ1,201509,57.8,59.9,57.8,59.3,2.1,3.67%,38,59.3,219,57.3,59.7,59.9,52.9,,
2015/8/18,CQ1,201603,-,-,-,-,-,-,-,58.6,57,-,-,56.6,52.6,,
2015/8/19,CQ1,201508,58.7,58.8,58.6,58.6,-0.4,-0.68%,105,0.0,1081,57.3,-,59.7,52.3,,
2015/8/19,CQ1,201509,58.7,58.7,57.8,57.8,-1.5,-2.53%,48,58.2,227,57.7,59.7,59.9,52.9,,
2015/8/19,CQ1,201603,-,-,-,-,-,-,-,58.2,57,-,-,56.6,52.6,,
2015/8/20,CQ1,201509,58.3,58.7,58,58.7,0.5,0.86%,32,58.6,217,58.3,59.7,59.9,52.9,,
2015/8/20,CQ1,201603,-,-,-,-,-,-,-,58.6,57,-,-,56.6,52.6,,
2015/8/21,CQ1,201509,58.1,58.1,57.3,57.3,-1.3,-2.22%,40,57.0,200,57,60.7,59.9,52.9,,
2015/8/21,CQ1,201603,-,-,-,-,-,-,-,57.0,57,-,-,56.6,52.6,,
2015/8/24,CQ1,201509,56.1,56.1,52.7,52.7,-4.3,-7.54%,158,55.2,142,54,56.4,59.9,52.7,,
2015/8/24,CQ1,201603,-,-,-,-,-,-,-,55.2,57,-,-,56.6,52.6,,
2015/8/25,CQ1,201509,55.5,55.5,54.4,55,-0.2,-0.36%,24,55.2,149,55,57.9,59.9,52.7,,
2015/8/25,CQ1,201603,-,-,-,-,-,-,-,55.2,57,-,-,56.6,52.6,,
2015/8/26,CQ1,201509,55,56.6,55,56.6,1.4,2.54%,9,56.6,147,55.7,59.9,59.9,52.7,,
2015/8/26,CQ1,201603,-,-,-,-,-,-,-,56.6,57,-,-,56.6,52.6,,
2015/8/27,CQ1,201509,55.1,55.1,55.1,55.1,-1.5,-2.65%,1,55.8,147,55.2,57.7,59.9,52.7,,
2015/8/27,CQ1,201603,-,-,-,-,-,-,-,55.8,57,-,-,56.6,52.6,,
2015/8/28,CQ1,201509,56.1,56.1,56.1,56.1,0.3,0.54%,2,56.1,145,-,57.9,59.9,52.7,,
2015/8/28,CQ1,201603,-,-,-,-,-,-,-,56.1,57,-,-,56.6,52.6,,
2015/8/31,CQ1,201509,55.1,56.5,55.1,56.5,0.4,0.71%,11,57.8,142,55.8,58.5,59.9,52.7,,
2015/8/31,CQ1,201603,-,-,-,-,-,-,-,57.8,57,-,-,56.6,52.6,,
2015/9/1,CQ1,201509,56.4,56.4,55.7,55.8,-2,-3.46%,23,55.6,123,-,60.5,59.9,52.7,,
2015/9/1,CQ1,201603,-,-,-,-,-,-,-,55.6,57,-,-,56.6,52.6,,
2015/9/2,CQ1,201509,56.2,56.9,56.2,56.9,1.3,2.34%,8,56.3,123,53.1,57.2,59.9,52.7,,
2015/9/2,CQ1,201603,-,-,-,-,-,-,-,56.3,57,-,-,56.6,52.6,,
2015/9/3,CQ1,201509,56.8,56.8,56.8,56.8,0.5,0.89%,15,57.0,115,55.6,-,59.9,52.7,,
2015/9/3,CQ1,201603,-,-,-,-,-,-,-,57.0,57,-,-,56.6,52.6,,
2015/9/4,CQ1,201509,-,-,-,-,-,-,-,55.8,115,55.2,56.5,59.9,52.7,,
2015/9/4,CQ1,201603,-,-,-,-,-,-,-,55.8,57,-,-,56.6,52.6,,
2015/9/7,CQ1,201509,-,-,-,-,-,-,-,54.4,115,54.1,55.4,59.9,52.7,,
2015/9/7,CQ1,201603,-,-,-,-,-,-,-,54.4,57,-,-,56.6,52.6,,
