交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,CQF,201501,49.5,50,49.05,50,0,0.00%,88,50.0,387,49.3,49.95,50.3,47,,
2015/1/5,CQF,201502,49.8,49.8,49.05,49.35,-0.75,-1.50%,24,49.35,61,49.35,49.9,50,47.3,,
2015/1/5,CQF,201503,-,-,-,-,-,-,-,50.3,0,-,-,-,-,,
2015/1/5,CQF,201506,-,-,-,-,-,-,-,49.45,5,-,-,49,47.2,,
2015/1/5,CQF,201509,-,-,-,-,-,-,-,50.7,0,-,-,-,-,,
2015/1/6,CQF,201501,49.25,49.25,48.1,48.1,-1.9,-3.80%,65,48.1,359,48.1,48.65,50.3,47,,
2015/1/6,CQF,201502,49.3,49.3,48,48,-1.35,-2.74%,36,48.0,82,48.05,48.7,50,47.3,,
2015/1/6,CQF,201503,-,-,-,-,-,-,-,48.4,0,-,-,-,-,,
2015/1/6,CQF,201506,-,-,-,-,-,-,-,47.55,5,-,-,49,47.2,,
2015/1/6,CQF,201509,-,-,-,-,-,-,-,48.8,0,-,-,-,-,,
2015/1/7,CQF,201501,48.1,48.3,48.05,48.05,-0.05,-0.10%,34,48.05,343,47.95,48.2,50.3,47,,
2015/1/7,CQF,201502,48.2,48.2,48.15,48.15,0.15,0.31%,4,48.15,83,48,48.15,50,47.3,,
2015/1/7,CQF,201503,-,-,-,-,-,-,-,48.35,0,48.15,-,-,-,,
2015/1/7,CQF,201506,-,-,-,-,-,-,-,47.5,5,-,-,49,47.2,,
2015/1/7,CQF,201509,-,-,-,-,-,-,-,48.75,0,-,-,-,-,,
2015/1/8,CQF,201501,48.15,49.4,48.15,49.35,1.3,2.71%,143,49.35,378,49.25,49.4,50.3,47,,
2015/1/8,CQF,201502,48.15,49.35,48.15,49.35,1.2,2.49%,71,49.35,80,49.2,49.35,50,47.3,,
2015/1/8,CQF,201503,-,-,-,-,-,-,-,49.65,0,-,-,-,-,,
2015/1/8,CQF,201506,48.7,48.7,48.7,48.7,1.2,2.53%,1,48.7,4,-,-,49,47.2,,
2015/1/8,CQF,201509,-,-,-,-,-,-,-,50.1,0,-,-,-,-,,
2015/1/9,CQF,201501,49.15,50.1,49.15,49.95,0.6,1.22%,62,49.95,349,49.75,49.95,50.3,47,,
2015/1/9,CQF,201502,49.15,50.1,49.15,49.9,0.55,1.11%,151,49.9,94,49.8,49.9,50.1,47.3,,
2015/1/9,CQF,201503,-,-,-,-,-,-,-,50.3,0,49.4,-,-,-,,
2015/1/9,CQF,201506,-,-,-,-,-,-,-,49.3,4,-,-,49,47.2,,
2015/1/9,CQF,201509,-,-,-,-,-,-,-,50.7,0,-,-,-,-,,
2015/1/12,CQF,201501,49.2,49.2,49.1,49.1,-0.85,-1.70%,4,49.1,348,48.8,49.35,50.3,47,,
2015/1/12,CQF,201502,49.3,49.35,49.2,49.2,-0.7,-1.40%,5,49.2,94,48.85,49.3,50.1,47.3,,
2015/1/12,CQF,201503,-,-,-,-,-,-,-,49.45,0,49.3,-,-,-,,
2015/1/12,CQF,201506,-,-,-,-,-,-,-,48.45,4,-,-,49,47.2,,
2015/1/12,CQF,201509,-,-,-,-,-,-,-,49.85,0,-,-,-,-,,
2015/1/13,CQF,201501,49.6,50.5,49.55,50.4,1.3,2.65%,73,50.4,347,50.3,50.7,50.5,47,,
2015/1/13,CQF,201502,49.6,50.5,49.6,50.5,1.3,2.64%,47,50.5,90,50.2,50.7,50.5,47.3,,
2015/1/13,CQF,201503,-,-,-,-,-,-,-,50.8,0,49.5,-,-,-,,
2015/1/13,CQF,201506,-,-,-,-,-,-,-,49.75,4,-,-,49,47.2,,
2015/1/13,CQF,201509,-,-,-,-,-,-,-,51.2,0,-,-,-,-,,
2015/1/14,CQF,201501,50.2,50.2,49.45,49.55,-0.85,-1.69%,119,49.55,335,49.4,49.7,50.5,47,,
2015/1/14,CQF,201502,50.1,50.1,49.5,49.6,-0.9,-1.78%,25,49.6,87,49.5,49.8,50.5,47.3,,
2015/1/14,CQF,201503,-,-,-,-,-,-,-,49.95,0,-,-,-,-,,
2015/1/14,CQF,201506,-,-,-,-,-,-,-,48.9,4,-,-,49,47.2,,
2015/1/14,CQF,201509,-,-,-,-,-,-,-,50.4,0,-,-,-,-,,
2015/1/15,CQF,201501,49.8,50.5,49.8,50.5,0.95,1.92%,75,50.5,350,50.4,50.9,50.5,47,,
2015/1/15,CQF,201502,49.95,50.5,49.95,50.5,0.9,1.81%,44,50.5,90,50.4,50.8,50.5,47.3,,
2015/1/15,CQF,201503,-,-,-,-,-,-,-,50.9,0,-,-,-,-,,
2015/1/15,CQF,201506,-,-,-,-,-,-,-,49.85,4,-,-,49,47.2,,
