交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/7/30,CR1,201508,30,31,30,30.05,0.1,0.33%,14,30.05,303,-,30,33.1,30,,
2015/7/30,CR1,201509,-,-,-,-,-,-,-,30.1,63,-,-,32.45,31.35,,
2015/7/31,CR1,201508,29.55,29.55,29.55,29.55,-0.5,-1.66%,14,29.65,296,29.5,29.8,33.1,29.55,,
2015/7/31,CR1,201509,-,-,-,-,-,-,-,29.7,63,29.5,29.8,32.45,31.35,,
2015/8/3,CR1,201508,-,-,-,-,-,-,-,30.15,296,26.75,-,33.1,29.55,,
2015/8/3,CR1,201509,30.2,30.2,30.2,30.2,0.5,1.68%,1,30.2,63,29.9,-,32.45,30.2,,
2015/8/4,CR1,201508,30.4,30.4,30.4,30.4,0.25,0.83%,6,30.45,302,30.35,30.65,33.1,29.55,,
2015/8/4,CR1,201509,-,-,-,-,-,-,-,30.5,63,30.35,30.7,32.45,30.2,,
2015/8/5,CR1,201508,30.95,30.95,30.95,30.95,0.5,1.64%,1,30.75,302,30.9,31.15,33.1,29.55,,
2015/8/5,CR1,201509,-,-,-,-,-,-,-,30.8,63,30.9,31.15,32.45,30.2,,
2015/8/6,CR1,201508,-,-,-,-,-,-,-,30.6,302,30.4,30.85,33.1,29.55,,
2015/8/6,CR1,201509,-,-,-,-,-,-,-,30.65,63,30.4,-,32.45,30.2,,
2015/8/7,CR1,201508,-,-,-,-,-,-,-,30.2,302,29.9,30.15,33.1,29.55,,
2015/8/7,CR1,201509,-,-,-,-,-,-,-,30.15,63,29.9,-,32.45,30.2,,
2015/8/10,CR1,201508,-,-,-,-,-,-,-,30.1,302,29.95,30.25,33.1,29.55,,
2015/8/10,CR1,201509,-,-,-,-,-,-,-,30.05,63,29.95,30.25,32.45,30.2,,
2015/8/11,CR1,201508,29.8,29.8,29.8,29.8,-0.3,-1.00%,1,29.2,302,29.15,29.45,33.1,29.55,,
2015/8/11,CR1,201509,-,-,-,-,-,-,-,29.35,63,29.2,29.5,32.45,30.2,,
2015/8/12,CR1,201508,29.5,29.5,29.45,29.45,0.25,0.86%,21,29.2,322,29.25,29.6,33.1,29.45,,
2015/8/12,CR1,201509,29.5,29.5,29.1,29.1,-0.25,-0.85%,24,29.2,75,29.25,29.65,32.45,29.1,,
2015/8/13,CR1,201508,29.5,29.5,29.5,29.5,0.3,1.03%,5,29.25,322,-,29.25,33.1,29.45,,
2015/8/13,CR1,201509,29.65,29.65,29.3,29.3,0.1,0.34%,21,29.3,91,29,29.25,32.45,29.1,,
2015/8/14,CR1,201508,-,-,-,-,-,-,-,29.3,322,29.3,29.55,33.1,29.45,,
2015/8/14,CR1,201509,-,-,-,-,-,-,-,29.25,91,29.3,29.55,32.45,29.1,,
2015/8/17,CR1,201508,-,-,-,-,-,-,-,29.05,322,28.95,29.35,33.1,29.45,,
2015/8/17,CR1,201509,-,-,-,-,-,-,-,29.0,91,28.95,29.25,32.45,29.1,,
2015/8/18,CR1,201508,-,-,-,-,-,-,-,29.0,322,28.75,29,33.1,29.45,,
2015/8/18,CR1,201509,-,-,-,-,-,-,-,28.95,91,28.8,29.05,32.45,29.1,,
2015/8/19,CR1,201508,28.9,28.9,28.8,28.8,-0.2,-0.69%,6,0.0,320,28.8,-,33.1,28.8,,
2015/8/19,CR1,201509,29,29,28.95,28.95,0,0.00%,11,28.95,100,28.8,29.1,32.45,28.95,,
2015/8/20,CR1,201509,-,-,-,-,-,-,-,28.7,100,-,28.65,32.45,28.95,,
2015/8/21,CR1,201509,-,-,-,-,-,-,-,27.65,100,27.5,27.75,32.45,28.95,,
2015/8/24,CR1,201509,-,-,-,-,-,-,-,25.55,100,-,25.95,32.45,28.95,,
2015/8/25,CR1,201509,-,-,-,-,-,-,-,27.05,100,26.95,-,32.45,28.95,,
2015/8/26,CR1,201509,-,-,-,-,-,-,-,27.55,100,27.05,27.6,32.45,28.95,,
2015/8/27,CR1,201509,-,-,-,-,-,-,-,27.85,100,27.5,28.05,32.45,28.95,,
2015/8/28,CR1,201509,-,-,-,-,-,-,-,28.35,100,27.5,-,32.45,28.95,,
2015/8/31,CR1,201509,28.3,28.3,28.3,28.3,-0.05,-0.18%,10,28.7,100,27.7,28.4,32.45,28.3,,
2015/9/1,CR1,201509,-,-,-,-,-,-,-,28.3,100,27.2,28.35,32.45,28.3,,
2015/9/2,CR1,201509,27.65,27.65,27.65,27.65,-0.65,-2.30%,2,27.65,98,27.3,27.8,32.45,27.65,,
2015/9/3,CR1,201509,-,-,-,-,-,-,-,27.95,98,27.7,-,32.45,27.65,,
2015/9/4,CR1,201509,28.3,28.3,28.3,28.3,0.35,1.25%,5,28.3,93,27.85,-,32.45,27.65,,
2015/9/7,CR1,201509,-,-,-,-,-,-,-,28.2,93,-,28.4,32.45,27.65,,
2015/9/8,CR1,201509,-,-,-,-,-,-,-,28.4,93,28.25,28.55,32.45,27.65,,
2015/9/9,CR1,201509,-,-,-,-,-,-,-,29.2,93,28.75,30.4,32.45,27.65,,
2015/9/10,CR1,201509,-,-,-,-,-,-,-,29.4,93,28.6,-,32.45,27.65,,
2015/9/11,CR1,201509,29.85,29.85,29.85,29.85,0.45,1.53%,5,29.85,93,29.75,30,32.45,27.65,,
2015/9/14,CR1,201509,-,-,-,-,-,-,-,29.75,93,29.55,29.9,32.45,27.65,,
2015/9/15,CR1,201509,30.1,30.15,30.1,30.1,0.35,1.18%,41,30.1,53,30.2,30.4,32.45,27.65,,
2015/9/16,CR1,201509,-,-,-,-,-,-,-,0.0,53,-,-,32.45,27.65,,
