交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,CRF,201501,31.05,31.05,30.9,30.95,-0.05,-0.16%,27,30.95,68,29,31.4,31.4,29.45,,
2015/1/5,CRF,201502,31,31.05,30.95,30.95,-0.05,-0.16%,14,30.95,67,29,31.9,31.5,29.5,,
2015/1/5,CRF,201503,-,-,-,-,-,-,-,31.0,0,-,-,-,-,,
2015/1/5,CRF,201506,-,-,-,-,-,-,-,31.05,0,-,-,-,-,,
2015/1/5,CRF,201509,-,-,-,-,-,-,-,31.25,0,-,-,-,-,,
2015/1/6,CRF,201501,30.9,30.9,30.5,30.5,-0.45,-1.45%,10,30.5,68,30.35,30.9,31.4,29.45,,
2015/1/6,CRF,201502,30.9,30.9,30.5,30.5,-0.45,-1.45%,8,30.5,61,29.8,31.45,31.5,29.5,,
2015/1/6,CRF,201503,-,-,-,-,-,-,-,30.55,0,-,-,-,-,,
2015/1/6,CRF,201506,-,-,-,-,-,-,-,30.6,0,-,-,-,-,,
2015/1/6,CRF,201509,-,-,-,-,-,-,-,30.8,0,-,-,-,-,,
2015/1/7,CRF,201501,30.5,30.8,30.5,30.8,0.3,0.98%,7,30.8,65,30.4,30.7,31.4,29.45,,
2015/1/7,CRF,201502,-,-,-,-,-,-,-,30.8,61,30.1,30.65,31.5,29.5,,
2015/1/7,CRF,201503,-,-,-,-,-,-,-,30.85,0,-,-,-,-,,
2015/1/7,CRF,201506,-,-,-,-,-,-,-,30.9,0,-,-,-,-,,
2015/1/7,CRF,201509,-,-,-,-,-,-,-,31.1,0,-,-,-,-,,
2015/1/8,CRF,201501,30.9,30.9,30.9,30.9,0.1,0.32%,4,30.9,64,30.75,31.1,31.4,29.45,,
2015/1/8,CRF,201502,-,-,-,-,-,-,-,30.9,61,30.2,31.65,31.5,29.5,,
2015/1/8,CRF,201503,-,-,-,-,-,-,-,30.95,0,-,-,-,-,,
2015/1/8,CRF,201506,-,-,-,-,-,-,-,31.0,0,-,-,-,-,,
2015/1/8,CRF,201509,-,-,-,-,-,-,-,31.2,0,-,-,-,-,,
2015/1/9,CRF,201501,31,31,31,31,0.1,0.32%,1,31.0,64,30.1,31.9,31.4,29.45,,
2015/1/9,CRF,201502,31.15,31.15,31.1,31.1,0.2,0.65%,7,31.1,63,30.15,31.95,31.5,29.5,,
2015/1/9,CRF,201503,-,-,-,-,-,-,-,31.05,0,31.2,-,-,-,,
2015/1/9,CRF,201506,-,-,-,-,-,-,-,31.1,0,-,-,-,-,,
2015/1/9,CRF,201509,-,-,-,-,-,-,-,31.3,0,-,-,-,-,,
2015/1/12,CRF,201501,31.15,31.15,31.1,31.1,0.1,0.32%,5,31.1,60,30.1,31.4,31.4,29.45,,
