交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,CUF,201501,4.53,4.67,4.52,4.59,0.08,1.77%,419,4.59,78,4.55,4.63,4.67,4.07,,
2015/1/5,CUF,201502,4.53,4.66,4.52,4.59,0.11,2.46%,360,4.59,65,4.55,4.63,4.66,4.19,,
2015/1/5,CUF,201503,-,-,-,-,-,-,-,4.57,15,-,-,4.87,4.18,,
2015/1/5,CUF,201506,4.56,4.56,4.56,4.56,0.05,1.11%,1,4.56,2,-,-,4.56,4.52,,
2015/1/5,CUF,201509,-,-,-,-,-,-,-,4.6,0,-,-,4.46,4.33,,
2015/1/6,CUF,201501,4.53,4.53,4.47,4.47,-0.12,-2.61%,161,4.47,79,4.42,4.5,4.67,4.07,,
2015/1/6,CUF,201502,4.53,4.53,4.47,4.47,-0.12,-2.61%,155,4.47,70,4.42,4.5,4.66,4.19,,
2015/1/6,CUF,201503,-,-,-,-,-,-,-,4.45,15,-,-,4.87,4.18,,
2015/1/6,CUF,201506,-,-,-,-,-,-,-,4.44,2,-,-,4.56,4.52,,
2015/1/6,CUF,201509,-,-,-,-,-,-,-,4.48,0,-,-,4.46,4.33,,
2015/1/7,CUF,201501,4.51,4.53,4.48,4.51,0.04,0.89%,283,4.51,251,4.5,4.52,4.67,4.07,,
2015/1/7,CUF,201502,4.51,4.52,4.48,4.52,0.05,1.12%,195,4.52,85,4.44,4.52,4.66,4.19,,
2015/1/7,CUF,201503,-,-,-,-,-,-,-,4.49,15,-,-,4.87,4.18,,
2015/1/7,CUF,201506,-,-,-,-,-,-,-,4.48,2,-,4.48,4.56,4.52,,
2015/1/7,CUF,201509,-,-,-,-,-,-,-,4.52,0,-,-,4.46,4.33,,
2015/1/8,CUF,201501,4.51,4.54,4.5,4.5,-0.01,-0.22%,260,4.5,140,4.48,4.56,4.67,4.07,,
2015/1/8,CUF,201502,4.52,4.52,4.5,4.51,-0.01,-0.22%,50,4.51,75,4.23,4.56,4.66,4.19,,
2015/1/8,CUF,201503,-,-,-,-,-,-,-,4.48,15,-,-,4.87,4.18,,
2015/1/8,CUF,201506,-,-,-,-,-,-,-,4.47,2,-,4.49,4.56,4.52,,
2015/1/8,CUF,201509,-,-,-,-,-,-,-,4.51,0,-,-,4.46,4.33,,
2015/1/9,CUF,201501,4.52,4.53,4.51,4.51,0.01,0.22%,431,4.51,241,4.49,4.54,4.67,4.07,,
2015/1/9,CUF,201502,4.52,4.53,4.51,4.51,0,0.00%,86,4.51,91,4.45,4.54,4.66,4.19,,
2015/1/9,CUF,201503,-,-,-,-,-,-,-,4.49,15,-,-,4.87,4.18,,
2015/1/9,CUF,201506,-,-,-,-,-,-,-,4.48,2,-,4.56,4.56,4.52,,
2015/1/9,CUF,201509,-,-,-,-,-,-,-,4.52,0,-,-,4.46,4.33,,
2015/1/12,CUF,201501,4.5,4.5,4.48,4.48,-0.03,-0.67%,46,4.48,241,4.46,4.51,4.67,4.07,,
2015/1/12,CUF,201502,4.49,4.49,4.47,4.47,-0.04,-0.89%,50,4.47,91,4.42,4.5,4.66,4.19,,
2015/1/12,CUF,201503,-,-,-,-,-,-,-,4.46,15,-,-,4.87,4.18,,
2015/1/12,CUF,201506,4.48,4.48,4.48,4.48,0,0.00%,1,4.48,2,-,-,4.56,4.48,,
2015/1/12,CUF,201509,-,-,-,-,-,-,-,4.49,0,-,-,4.46,4.33,,
2015/1/13,CUF,201501,4.49,4.5,4.49,4.5,0.02,0.45%,50,4.48,241,4.45,4.51,4.67,4.07,,
2015/1/13,CUF,201502,4.47,4.48,4.47,4.48,0.01,0.22%,60,4.48,81,4.44,4.58,4.66,4.19,,
2015/1/13,CUF,201503,-,-,-,-,-,-,-,4.46,15,-,-,4.87,4.18,,
2015/1/13,CUF,201506,-,-,-,-,-,-,-,4.48,2,-,-,4.56,4.48,,
2015/1/13,CUF,201509,-,-,-,-,-,-,-,4.49,0,-,-,4.46,4.33,,
2015/1/14,CUF,201501,4.47,4.48,4.44,4.44,-0.04,-0.89%,138,4.44,233,4.42,4.46,4.67,4.07,,
2015/1/14,CUF,201502,4.46,4.47,4.45,4.45,-0.03,-0.67%,121,4.45,77,4.4,4.46,4.66,4.19,,
2015/1/14,CUF,201503,-,-,-,-,-,-,-,4.42,15,-,-,4.87,4.18,,
2015/1/14,CUF,201506,-,-,-,-,-,-,-,4.44,2,-,-,4.56,4.48,,
2015/1/14,CUF,201509,-,-,-,-,-,-,-,4.45,0,-,-,4.46,4.33,,
2015/1/15,CUF,201501,4.45,4.45,4.44,4.45,0.01,0.23%,116,4.45,226,4.45,4.49,4.67,4.07,,
2015/1/15,CUF,201502,4.44,4.44,4.43,4.43,-0.02,-0.45%,70,4.43,62,4.41,4.49,4.66,4.19,,
2015/1/15,CUF,201503,-,-,-,-,-,-,-,4.43,15,-,-,4.87,4.18,,
2015/1/15,CUF,201506,-,-,-,-,-,-,-,4.45,2,-,-,4.56,4.48,,
2015/1/15,CUF,201509,-,-,-,-,-,-,-,4.46,0,-,-,4.46,4.33,,
