交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,CVF,201501,47.6,48.25,47.25,48.1,0.35,0.73%,42,48.1,245,47.75,48.2,49.25,44.25,,
2015/1/5,CVF,201502,47.5,48.1,47.3,48,0.1,0.21%,21,48.0,139,47.75,48.25,49.3,46.25,,
2015/1/5,CVF,201503,-,-,-,-,-,-,-,48.1,8,47.25,48.4,43.5,40.3,,
2015/1/5,CVF,201506,-,-,-,-,-,-,-,48.9,3,-,49.2,43.45,43.45,,
2015/1/5,CVF,201509,-,-,-,-,-,-,-,49.0,0,-,49.2,-,-,,
2015/1/6,CVF,201501,47.5,47.75,47.1,47.5,-0.6,-1.25%,102,47.5,244,47.5,47.65,49.25,44.25,,
2015/1/6,CVF,201502,47.75,47.75,47.3,47.65,-0.35,-0.73%,26,47.65,134,47.5,47.7,49.3,46.25,,
2015/1/6,CVF,201503,-,-,-,-,-,-,-,47.5,8,46.75,47.7,43.5,40.3,,
2015/1/6,CVF,201506,-,-,-,-,-,-,-,48.3,3,-,47.7,43.45,43.45,,
2015/1/6,CVF,201509,-,-,-,-,-,-,-,48.4,0,-,47.9,-,-,,
2015/1/7,CVF,201501,47.45,47.45,47.2,47.2,-0.3,-0.63%,6,47.2,248,47.05,47.5,49.25,44.25,,
2015/1/7,CVF,201502,47.4,47.45,47.35,47.35,-0.3,-0.63%,17,47.35,139,47.05,47.5,49.3,46.25,,
2015/1/7,CVF,201503,-,-,-,-,-,-,-,47.2,8,46.9,47.65,43.5,40.3,,
2015/1/7,CVF,201506,-,-,-,-,-,-,-,48.0,3,-,48.6,43.45,43.45,,
2015/1/7,CVF,201509,-,-,-,-,-,-,-,48.1,0,-,48.6,-,-,,
2015/1/8,CVF,201501,47.75,48.4,47.75,48.05,0.85,1.80%,96,48.05,228,47.9,48.3,49.25,44.25,,
2015/1/8,CVF,201502,47.8,48.4,47.8,47.85,0.5,1.06%,89,47.85,166,47.85,48.25,49.3,46.25,,
2015/1/8,CVF,201503,-,-,-,-,-,-,-,48.05,8,47.65,48.4,43.5,40.3,,
2015/1/8,CVF,201506,-,-,-,-,-,-,-,48.85,3,47.3,48.75,43.45,43.45,,
2015/1/8,CVF,201509,-,-,-,-,-,-,-,48.95,0,-,48.75,-,-,,
2015/1/9,CVF,201501,48.3,48.3,47.5,47.6,-0.45,-0.94%,51,47.6,231,47.4,48.05,49.25,44.25,,
2015/1/9,CVF,201502,48.3,48.3,47.45,47.45,-0.4,-0.84%,6,47.45,167,47.4,48.05,49.3,46.25,,
2015/1/9,CVF,201503,-,-,-,-,-,-,-,47.6,8,47.25,48.2,43.5,40.3,,
2015/1/9,CVF,201506,-,-,-,-,-,-,-,48.4,3,46.9,48.55,43.45,43.45,,
2015/1/9,CVF,201509,-,-,-,-,-,-,-,48.5,0,-,48.55,-,-,,
2015/1/12,CVF,201501,47.3,48,47.05,47.25,-0.35,-0.74%,39,47.25,211,47.4,47.8,49.25,44.25,,
2015/1/12,CVF,201502,47.6,48,47.1,47.4,-0.05,-0.11%,33,47.4,151,47.35,47.75,49.3,46.25,,
2015/1/12,CVF,201503,-,-,-,-,-,-,-,47.25,8,47.05,47.9,43.5,40.3,,
2015/1/12,CVF,201506,-,-,-,-,-,-,-,48.05,3,46.7,48.25,43.45,43.45,,
2015/1/12,CVF,201509,-,-,-,-,-,-,-,48.15,0,-,48.25,-,-,,
2015/1/13,CVF,201501,47.3,47.6,47.3,47.4,0.15,0.32%,54,47.4,191,47.3,47.6,49.25,44.25,,
2015/1/13,CVF,201502,47.4,47.45,47.3,47.45,0.05,0.11%,10,47.45,147,47.25,47.6,49.3,46.25,,
2015/1/13,CVF,201503,-,-,-,-,-,-,-,47.4,8,46.75,47.75,43.5,40.3,,
2015/1/13,CVF,201506,-,-,-,-,-,-,-,48.2,3,46.4,48.1,43.45,43.45,,
2015/1/13,CVF,201509,-,-,-,-,-,-,-,48.3,0,-,48.1,-,-,,
2015/1/14,CVF,201501,47.75,47.95,47.45,47.8,0.4,0.84%,46,47.8,198,47.45,47.95,49.25,44.25,,
2015/1/14,CVF,201502,47.8,47.95,47.6,47.9,0.45,0.95%,33,47.9,137,47.5,48,49.3,46.25,,
2015/1/14,CVF,201503,-,-,-,-,-,-,-,47.8,8,47.35,48.35,43.5,40.3,,
2015/1/14,CVF,201506,-,-,-,-,-,-,-,48.6,3,47,48.7,43.45,43.45,,
2015/1/14,CVF,201509,-,-,-,-,-,-,-,48.7,0,-,48.7,-,-,,
2015/1/15,CVF,201501,47.8,48.3,47.45,47.6,-0.2,-0.42%,79,47.6,174,47.5,47.95,49.25,44.25,,
2015/1/15,CVF,201502,48.3,48.3,47.55,47.9,0,0.00%,14,47.9,145,47.45,47.9,49.3,46.25,,
2015/1/15,CVF,201503,-,-,-,-,-,-,-,47.6,8,47.25,48.05,43.5,40.3,,
2015/1/15,CVF,201506,-,-,-,-,-,-,-,48.4,3,46.9,48.4,43.45,43.45,,
2015/1/15,CVF,201509,-,-,-,-,-,-,-,48.5,0,-,48.4,-,-,,
2015/1/16,CVF,201501,48.3,48.9,47.45,47.45,-0.15,-0.32%,78,47.45,198,47.3,47.9,49.25,44.25,,
2015/1/16,CVF,201502,48.3,48.8,47.35,47.35,-0.55,-1.15%,48,47.35,172,47.35,47.85,49.3,46.25,,
2015/1/16,CVF,201503,47.85,47.85,47.6,47.6,0,0.00%,2,47.6,6,47.2,48,47.85,40.3,,
2015/1/16,CVF,201506,-,-,-,-,-,-,-,48.25,3,46.85,48.35,43.45,43.45,,
2015/1/16,CVF,201509,-,-,-,-,-,-,-,48.35,0,-,48.35,-,-,,
2015/1/19,CVF,201501,48.35,48.35,47.7,47.9,0.45,0.95%,95,47.9,165,47.8,48.05,49.25,44.25,,
2015/1/19,CVF,201502,48.1,48.35,47.7,47.75,0.4,0.84%,38,47.75,198,47.75,48.1,49.3,46.25,,
2015/1/19,CVF,201503,47.75,47.75,47.75,47.75,0.15,0.32%,1,47.95,6,47.45,48.4,47.85,40.3,,
2015/1/19,CVF,201506,-,-,-,-,-,-,-,48.7,3,47.1,48.75,43.45,43.45,,
2015/1/19,CVF,201509,-,-,-,-,-,-,-,48.8,0,-,48.75,-,-,,
2015/1/20,CVF,201501,47.85,48.05,47.75,48,0.1,0.21%,35,48.0,152,47.9,48.3,49.25,44.25,,
2015/1/20,CVF,201502,48.1,48.25,47.65,47.95,0.2,0.42%,22,47.95,195,47.9,48.1,49.3,46.25,,
2015/1/20,CVF,201503,-,-,-,-,-,-,-,48.05,6,47.8,48.2,47.85,40.3,,
2015/1/20,CVF,201506,-,-,-,-,-,-,-,48.0,3,47.4,48.6,43.45,43.45,,
2015/1/20,CVF,201509,-,-,-,-,-,-,-,48.6,0,-,48.6,-,-,,
2015/1/21,CVF,201501,48.3,49.9,48.3,49.35,1.35,2.81%,115,0.0,72,49.35,-,49.9,44.25,,
