交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2017/8/7,CYF,201708,-,-,-,-,-,-,0,62,0,55.6,63.1,-,-,,一般,,
2017/8/7,CYF,201709,-,-,-,-,-,-,0,62.1,0,61.8,-,-,-,,一般,,
2017/8/7,CYF,201712,-,-,-,-,-,-,0,62.2,0,-,-,-,-,,一般,,
2017/8/7,CYF,201803,-,-,-,-,-,-,0,62.3,0,-,-,-,-,,一般,,
2017/8/7,CYF,201806,-,-,-,-,-,-,0,62.5,0,-,-,-,-,,一般,,
2017/8/8,CYF,201708,63.1,64,62.9,63.4,1.4,2.26%,19,63.4,4,63,66.4,64,62.9,,一般,,
2017/8/8,CYF,201709,62.7,63.7,62.5,63.7,1.6,2.58%,4,63.7,4,63.6,65.2,63.7,62.5,,一般,,
2017/8/8,CYF,201712,-,-,-,-,-,-,0,63.6,0,-,-,-,-,,一般,,
2017/8/8,CYF,201803,-,-,-,-,-,-,0,63.7,0,-,-,-,-,,一般,,
2017/8/8,CYF,201806,-,-,-,-,-,-,0,63.9,0,-,-,-,-,,一般,,
2017/8/9,CYF,201708,63,63.2,62.4,62.4,-1,-1.58%,8,62.4,4,-,62.7,64,62.4,,一般,,
2017/8/9,CYF,201709,62.9,63.3,62.5,62.8,-0.9,-1.41%,8,62.8,7,-,62.8,63.7,62.5,,一般,,
2017/8/9,CYF,201712,-,-,-,-,-,-,0,62.6,0,-,-,-,-,,一般,,
2017/8/9,CYF,201803,-,-,-,-,-,-,0,62.7,0,-,-,-,-,,一般,,
2017/8/9,CYF,201806,-,-,-,-,-,-,0,62.9,0,-,-,-,-,,一般,,
2017/8/10,CYF,201708,61.4,61.4,60.2,60.2,-2.2,-3.53%,3,60.2,4,60.4,63.8,64,60.2,,一般,,
2017/8/10,CYF,201709,61.4,61.4,60.1,60.5,-2.3,-3.66%,7,60.5,8,-,63.9,63.7,60.1,,一般,,
2017/8/10,CYF,201712,-,-,-,-,-,-,0,60.4,0,-,-,-,-,,一般,,
2017/8/10,CYF,201803,-,-,-,-,-,-,0,60.5,0,-,-,-,-,,一般,,
2017/8/10,CYF,201806,-,-,-,-,-,-,0,60.7,0,-,-,-,-,,一般,,
2017/8/11,CYF,201708,61.3,61.3,60.1,60.1,-0.1,-0.17%,4,60.1,5,60.2,60.6,64,60.1,,一般,,
2017/8/11,CYF,201709,60.1,60.1,60.1,60.1,-0.4,-0.66%,2,60.1,10,60.2,60.6,63.7,60.1,,一般,,
2017/8/11,CYF,201712,-,-,-,-,-,-,0,60.3,0,-,-,-,-,,一般,,
2017/8/11,CYF,201803,-,-,-,-,-,-,0,60.4,0,-,-,-,-,,一般,,
2017/8/11,CYF,201806,-,-,-,-,-,-,0,60.6,0,-,-,-,-,,一般,,
2017/8/14,CYF,201708,62.8,62.8,61.7,61.7,1.6,2.66%,2,61.7,4,60.1,63.2,64,60.1,,一般,,
2017/8/14,CYF,201709,61.3,61.9,61.3,61.4,1.3,2.16%,12,61.4,10,60.1,62.2,63.7,60.1,,一般,,
2017/8/14,CYF,201712,-,-,-,-,-,-,0,61.9,0,-,-,-,-,,一般,,
2017/8/14,CYF,201803,-,-,-,-,-,-,0,62,0,-,-,-,-,,一般,,
2017/8/14,CYF,201806,-,-,-,-,-,-,0,62.2,0,-,-,-,-,,一般,,
2017/8/15,CYF,201708,63.4,63.5,62.5,62.7,1,1.62%,18,62.7,7,62.3,62.9,64,60.1,,一般,,
2017/8/15,CYF,201709,62.8,62.8,62.5,62.5,1.1,1.79%,17,62.5,15,62.4,62.9,63.7,60.1,,一般,,
2017/8/15,CYF,201712,-,-,-,-,-,-,0,62.9,0,-,-,-,-,,一般,,
2017/8/15,CYF,201803,-,-,-,-,-,-,0,63,0,-,-,-,-,,一般,,
2017/8/15,CYF,201806,-,-,-,-,-,-,0,63.2,0,-,-,-,-,,一般,,
2017/8/16,CYF,201708,62.7,-,-,62.7,0,0.00%,2,0,5,61.1,62.1,64,60.1,,一般,,
2017/8/16,CYF,201709,62.5,62.5,61.8,62.1,-0.4,-0.64%,11,62.1,23,-,-,63.7,60.1,,一般,,
2017/8/16,CYF,201712,-,-,-,-,-,-,0,62.5,0,-,-,-,-,,一般,,
2017/8/16,CYF,201803,-,-,-,-,-,-,0,62.6,0,-,-,-,-,,一般,,
2017/8/16,CYF,201806,-,-,-,-,-,-,0,62.8,0,-,-,-,-,,一般,,
2017/8/17,CYF,201709,62.5,63.6,61.6,63.2,1.1,1.77%,160,63.2,142,62.8,63.6,63.7,60.1,,一般,,
2017/8/17,CYF,201710,62.5,62.8,62.4,62.8,0.6,0.96%,4,62.8,3,58.5,63,62.8,62.4,,一般,,
2017/8/17,CYF,201712,-,-,-,-,-,-,0,63.2,0,-,-,-,-,,一般,,
2017/8/17,CYF,201803,-,-,-,-,-,-,0,63.3,0,-,-,-,-,,一般,,
2017/8/17,CYF,201806,-,-,-,-,-,-,0,63.5,0,-,-,-,-,,一般,,
2017/8/18,CYF,201709,61.5,61.9,61.5,61.8,-1.4,-2.22%,7,61.8,143,61.7,62.5,63.7,60.1,,一般,,
2017/8/18,CYF,201710,61.8,61.8,61.8,61.8,-1,-1.59%,1,61.8,3,-,62.6,62.8,61.8,,一般,,
2017/8/18,CYF,201712,-,-,-,-,-,-,0,61.8,0,-,-,-,-,,一般,,
2017/8/18,CYF,201803,-,-,-,-,-,-,0,61.9,0,-,-,-,-,,一般,,
2017/8/18,CYF,201806,-,-,-,-,-,-,0,62.1,0,-,-,-,-,,一般,,
2017/8/21,CYF,201709,61.9,63.4,61.9,62.9,1.1,1.78%,101,62.9,171,62.7,62.9,63.7,60.1,,一般,,
2017/8/21,CYF,201710,62.7,62.7,62.7,62.7,0.9,1.46%,3,62.7,4,-,63,62.8,61.8,,一般,,
2017/8/21,CYF,201712,-,-,-,-,-,-,0,62.9,0,-,-,-,-,,一般,,
2017/8/21,CYF,201803,-,-,-,-,-,-,0,63,0,-,-,-,-,,一般,,
2017/8/21,CYF,201806,-,-,-,-,-,-,0,63.2,0,-,-,-,-,,一般,,
2017/8/22,CYF,201709,62.8,62.8,62.2,62.5,-0.4,-0.64%,21,62.5,162,62,62.9,63.7,60.1,,一般,,
2017/8/22,CYF,201710,-,-,-,-,-,-,0,62.3,4,-,63,62.8,61.8,,一般,,
2017/8/22,CYF,201712,-,-,-,-,-,-,0,62.5,0,-,-,-,-,,一般,,
2017/8/22,CYF,201803,-,-,-,-,-,-,0,62.6,0,-,-,-,-,,一般,,
2017/8/22,CYF,201806,-,-,-,-,-,-,0,62.8,0,-,-,-,-,,一般,,
2017/8/23,CYF,201709,63.3,63.3,62.6,62.9,0.4,0.64%,43,62.9,171,62.1,63.1,63.7,60.1,,一般,,
2017/8/23,CYF,201710,63.2,63.2,63,63,0.7,1.12%,10,63,14,61.5,63.2,63.2,61.8,,一般,,
2017/8/23,CYF,201712,-,-,-,-,-,-,0,62.9,0,-,-,-,-,,一般,,
2017/8/23,CYF,201803,-,-,-,-,-,-,0,63,0,-,-,-,-,,一般,,
2017/8/23,CYF,201806,-,-,-,-,-,-,0,63.2,0,-,-,-,-,,一般,,
