交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2022/08/01,DBF,202208  ,22.25,22.45,22,22.3,-0.3,-1.33%,86.0,22.3,82,22.25,22.3,22.45,22,,一般,,
2022/08/01,DBF,202209  ,22.3,22.3,22.3,22.3,-0.3,-1.33%,3.0,22.3,3,22.3,22.35,22.3,22.3,,一般,,
2022/08/01,DBF,202212  ,-,-,-,-,-,-,0.0,22.4,0,21.55,23,-,-,,一般,,
2022/08/01,DBF,202303  ,-,-,-,-,-,-,0.0,22.45,0,-,23,-,-,,一般,,
2022/08/01,DBF,202306  ,-,-,-,-,-,-,0.0,22.55,0,-,23,-,-,,一般,,
2022/08/02,DBF,202208  ,22,22,21.35,21.4,-0.9,-4.04%,456.0,21.4,461,21.3,21.5,22.45,21.35,,一般,,
2022/08/02,DBF,202209  ,21.75,21.75,21.4,21.45,-0.85,-3.81%,4.0,21.45,4,21.3,21.45,22.3,21.4,,一般,,
2022/08/02,DBF,202212  ,-,-,-,-,-,-,0.0,21.5,0,20.6,22.2,-,-,,一般,,
2022/08/02,DBF,202303  ,-,-,-,-,-,-,0.0,21.55,0,-,22.2,-,-,,一般,,
2022/08/02,DBF,202306  ,-,-,-,-,-,-,0.0,21.65,0,-,22.2,-,-,,一般,,
2022/08/03,DBF,202208  ,21.2,21.65,20.65,20.9,-0.5,-2.34%,618.0,20.85,861,20.8,20.95,22.45,20.65,,一般,,
2022/08/03,DBF,202209  ,21.6,21.6,20.8,20.95,-0.5,-2.33%,44.0,20.95,28,20.75,20.95,22.3,20.8,,一般,,
2022/08/03,DBF,202212  ,-,-,-,-,-,-,0.0,20.95,0,20.2,21.55,-,-,,一般,,
2022/08/03,DBF,202303  ,-,-,-,-,-,-,0.0,21,0,20.2,21.55,-,-,,一般,,
2022/08/03,DBF,202306  ,-,-,-,-,-,-,0.0,21.1,0,-,21.55,-,-,,一般,,
2022/08/04,DBF,202208  ,19.9,21.1,19.9,20.95,0.1,0.48%,1141.0,20.95,1025,20.95,21,22.45,19.9,,一般,,
2022/08/04,DBF,202209  ,20.7,21.05,20.3,20.8,-0.15,-0.72%,47.0,20.9,46,20.85,20.95,22.3,20.3,,一般,,
2022/08/04,DBF,202212  ,-,-,-,-,-,-,0.0,21.05,0,20.35,21.6,-,-,,一般,,
2022/08/04,DBF,202303  ,-,-,-,-,-,-,0.0,21.1,0,20.35,20.9,-,-,,一般,,
2022/08/04,DBF,202306  ,-,-,-,-,-,-,0.0,21.2,0,-,21.6,-,-,,一般,,
2022/08/05,DBF,202208  ,21.1,21.75,21.1,21.7,0.75,3.58%,621.0,21.7,966,21.65,21.7,22.45,19.9,,一般,,
2022/08/05,DBF,202209  ,21.25,21.7,21.25,21.7,0.8,3.83%,174.0,21.7,103,21.65,21.7,22.3,20.3,,一般,,
2022/08/05,DBF,202212  ,-,-,-,-,-,-,0.0,21.8,0,-,21.7,-,-,,一般,,
2022/08/05,DBF,202303  ,-,-,-,-,-,-,0.0,21.85,0,21.05,21.6,-,-,,一般,,
2022/08/05,DBF,202306  ,-,-,-,-,-,-,0.0,21.95,0,-,22.25,-,-,,一般,,
2022/08/08,DBF,202208  ,22.25,22.25,21.3,21.65,-0.05,-0.23%,304.0,21.65,990,21.6,21.65,22.45,19.9,,一般,,
2022/08/08,DBF,202209  ,21.5,21.7,21.35,21.7,0,0.00%,66.0,21.7,141,21.55,21.7,22.3,20.3,,一般,,
2022/08/08,DBF,202212  ,-,-,-,-,-,-,0.0,21.75,0,21.5,22.25,-,-,,一般,,
2022/08/08,DBF,202303  ,-,-,-,-,-,-,0.0,21.8,0,-,22.15,-,-,,一般,,
2022/08/08,DBF,202306  ,-,-,-,-,-,-,0.0,21.9,0,-,22.15,-,-,,一般,,
2022/08/09,DBF,202208  ,21.7,21.95,21.65,21.7,0.05,0.23%,345.0,21.7,1059,21.75,21.8,22.45,19.9,,一般,,
2022/08/09,DBF,202209  ,21.8,21.9,21.7,21.75,0.05,0.23%,105.0,21.75,147,21.65,21.8,22.3,20.3,,一般,,
2022/08/09,DBF,202212  ,-,-,-,-,-,-,0.0,21.8,0,21.05,22.5,-,-,,一般,,
2022/08/09,DBF,202303  ,-,-,-,-,-,-,0.0,21.85,0,21.05,22.5,-,-,,一般,,
2022/08/09,DBF,202306  ,-,-,-,-,-,-,0.0,21.95,0,-,22.5,-,-,,一般,,
2022/08/10,DBF,202208  ,20.6,22.05,20.6,21.75,0.05,0.23%,341.0,21.75,977,21.7,21.8,22.45,19.9,,一般,,
2022/08/10,DBF,202209  ,21.4,22.1,21.4,21.8,0.05,0.23%,137.0,21.8,176,21.65,21.8,22.3,20.3,,一般,,
2022/08/10,DBF,202212  ,-,-,-,-,-,-,0.0,21.85,0,21,22.5,-,-,,一般,,
2022/08/10,DBF,202303  ,-,-,-,-,-,-,0.0,21.9,0,21,22.5,-,-,,一般,,
2022/08/10,DBF,202306  ,-,-,-,-,-,-,0.0,22,0,-,22.5,-,-,,一般,,
2022/08/11,DBF,202208  ,22.4,23,21.9,22,0.25,1.15%,220.0,22,973,22,22.05,23,19.9,,一般,,
2022/08/11,DBF,202209  ,22.4,22.8,21.85,21.95,0.15,0.69%,82.0,21.95,226,21.85,22,22.8,20.3,,一般,,
2022/08/11,DBF,202212  ,-,-,-,-,-,-,0.0,22.1,0,21.3,22.75,-,-,,一般,,
2022/08/11,DBF,202303  ,-,-,-,-,-,-,0.0,22.15,0,21.3,22.75,-,-,,一般,,
2022/08/11,DBF,202306  ,-,-,-,-,-,-,0.0,22.25,0,-,22.75,-,-,,一般,,
2022/08/12,DBF,202208  ,21,22.05,21,22,0,0.00%,346.0,22,938,21.95,22,23,19.9,,一般,,
2022/08/12,DBF,202209  ,21.95,21.95,21.65,21.9,-0.05,-0.23%,283.0,21.9,479,21.85,21.9,22.8,20.3,,一般,,
2022/08/12,DBF,202212  ,-,-,-,-,-,-,0.0,22.1,0,21.25,22.7,-,-,,一般,,
