交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/8/12,DC1,201508,15.9,15.9,15.75,15.75,-0.45,-2.78%,18,15.85,73,-,15.85,18,15.75,,
2015/8/12,DC1,201509,15.8,15.8,15.75,15.75,-0.45,-2.78%,20,15.75,79,15.7,15.85,17.9,15.75,,
2015/8/12,DC1,201512,15.8,15.8,15.8,15.8,-0.65,-3.95%,280,15.8,20,-,-,18,15.8,,
2015/8/12,DC1,201603,15.9,15.9,15.8,15.8,-0.5,-3.07%,1344,15.8,94,14.8,-,17.8,15.8,,
2015/8/13,DC1,201508,15.75,15.75,15.75,15.75,-0.1,-0.63%,32,15.75,47,15.7,15.95,18,15.75,,
2015/8/13,DC1,201509,15.8,15.8,15.7,15.75,0,0.00%,55,15.75,53,15.7,-,17.9,15.7,,
2015/8/13,DC1,201512,-,-,-,-,-,-,-,15.7,20,-,-,18,15.8,,
2015/8/13,DC1,201603,-,-,-,-,-,-,-,15.7,94,-,-,17.8,15.8,,
2015/8/14,DC1,201508,15.75,15.75,15.75,15.75,0,0.00%,5,15.75,52,15.7,16,18,15.75,,
2015/8/14,DC1,201509,-,-,-,-,-,-,-,15.75,53,15.7,16,17.9,15.7,,
2015/8/14,DC1,201512,-,-,-,-,-,-,-,15.7,20,-,-,18,15.8,,
2015/8/14,DC1,201603,-,-,-,-,-,-,-,15.7,94,-,-,17.8,15.8,,
2015/8/17,DC1,201508,-,-,-,-,-,-,-,15.65,52,15.5,15.8,18,15.75,,
2015/8/17,DC1,201509,-,-,-,-,-,-,-,15.55,53,15.5,15.75,17.9,15.7,,
2015/8/17,DC1,201512,-,-,-,-,-,-,-,15.6,20,-,-,18,15.8,,
2015/8/17,DC1,201603,-,-,-,-,-,-,-,15.6,94,-,-,17.8,15.8,,
2015/8/18,DC1,201508,15.3,15.35,15.3,15.35,-0.3,-1.92%,10,15.5,47,15.5,15.65,18,15.3,,
2015/8/18,DC1,201509,-,-,-,-,-,-,-,15.4,53,15.45,-,17.9,15.7,,
2015/8/18,DC1,201512,-,-,-,-,-,-,-,15.45,20,-,-,18,15.8,,
2015/8/18,DC1,201603,-,-,-,-,-,-,-,15.45,94,-,-,17.8,15.8,,
2015/8/19,DC1,201508,15.1,15.1,15,15,-0.5,-3.23%,11,0.0,41,14.9,-,18,15,,
2015/8/19,DC1,201509,15,15,15,15,-0.4,-2.60%,10,14.9,53,14.75,15,17.9,15,,
2015/8/19,DC1,201512,-,-,-,-,-,-,-,14.95,20,-,-,18,15.8,,
2015/8/19,DC1,201603,-,-,-,-,-,-,-,14.95,94,-,-,17.8,15.8,,
2015/8/20,DC1,201509,-,-,-,-,-,-,-,14.7,53,14.55,-,17.9,15,,
2015/8/20,DC1,201512,-,-,-,-,-,-,-,14.75,20,-,-,18,15.8,,
2015/8/20,DC1,201603,-,-,-,-,-,-,-,14.75,94,-,-,17.8,15.8,,
2015/8/21,DC1,201509,14.3,14.35,14.3,14.35,-0.35,-2.38%,36,14.35,68,14.3,14.4,17.9,14.3,,
2015/8/21,DC1,201512,-,-,-,-,-,-,-,14.4,20,-,-,18,15.8,,
2015/8/21,DC1,201603,-,-,-,-,-,-,-,14.4,94,-,-,17.8,15.8,,
2015/8/24,DC1,201509,14,14,14,14,-0.35,-2.44%,3,14.05,68,13.7,14.15,17.9,14,,
2015/8/24,DC1,201512,-,-,-,-,-,-,-,14.1,20,-,-,18,15.8,,
2015/8/24,DC1,201603,-,-,-,-,-,-,-,14.1,94,-,-,17.8,15.8,,
2015/8/25,DC1,201509,14.1,14.2,14.1,14.15,0.1,0.71%,32,14.2,68,14.05,14.2,17.9,14,,
2015/8/25,DC1,201512,-,-,-,-,-,-,-,14.25,20,-,-,18,15.8,,
2015/8/25,DC1,201603,-,-,-,-,-,-,-,14.25,94,-,-,17.8,15.8,,
2015/8/26,DC1,201509,14.05,14.4,14.05,14.4,0.2,1.41%,13,14.55,71,14.15,14.65,17.9,14,,
2015/8/26,DC1,201512,-,-,-,-,-,-,-,14.6,20,-,-,18,15.8,,
2015/8/26,DC1,201603,-,-,-,-,-,-,-,14.6,94,-,-,17.8,15.8,,
2015/8/27,DC1,201509,14.7,15.05,14.7,15.05,0.5,3.44%,25,15.05,70,-,15.2,17.9,14,,
2015/8/27,DC1,201512,-,-,-,-,-,-,-,15.1,20,-,-,18,15.8,,
2015/8/27,DC1,201603,-,-,-,-,-,-,-,15.1,94,-,-,17.8,15.8,,
2015/8/28,DC1,201509,15.4,15.4,15.4,15.4,0.35,2.33%,5,15.5,75,-,15.45,17.9,14,,
2015/8/28,DC1,201512,-,-,-,-,-,-,-,15.55,20,-,-,18,15.8,,
2015/8/28,DC1,201603,-,-,-,-,-,-,-,15.55,94,-,-,17.8,15.8,,
2015/8/31,DC1,201509,15.15,15.35,15.15,15.2,-0.3,-1.94%,21,15.2,84,15.05,15.3,17.9,14,,
2015/8/31,DC1,201512,-,-,-,-,-,-,-,15.25,20,-,-,18,15.8,,
2015/8/31,DC1,201603,-,-,-,-,-,-,-,15.25,94,-,-,17.8,15.8,,
2015/9/1,DC1,201509,-,-,-,-,-,-,-,15.25,84,14.95,-,17.9,14,,
2015/9/1,DC1,201512,-,-,-,-,-,-,-,15.3,20,-,-,18,15.8,,
2015/9/1,DC1,201603,-,-,-,-,-,-,-,15.3,94,-,-,17.8,15.8,,
2015/9/2,DC1,201509,15.4,15.4,15.4,15.4,0.15,0.98%,5,15.55,79,15.35,15.8,17.9,14,,
2015/9/2,DC1,201512,-,-,-,-,-,-,-,15.6,20,-,-,18,15.8,,
2015/9/2,DC1,201603,-,-,-,-,-,-,-,15.6,94,-,-,17.8,15.8,,
2015/9/3,DC1,201509,-,-,-,-,-,-,-,15.75,79,15.25,15.75,17.9,14,,
2015/9/3,DC1,201512,-,-,-,-,-,-,-,15.8,20,-,-,18,15.8,,
2015/9/3,DC1,201603,-,-,-,-,-,-,-,15.8,94,-,-,17.8,15.8,,
2015/9/4,DC1,201509,-,-,-,-,-,-,-,15.75,79,15.4,15.7,17.9,14,,
2015/9/4,DC1,201512,-,-,-,-,-,-,-,15.8,20,-,-,18,15.8,,
2015/9/4,DC1,201603,-,-,-,-,-,-,-,15.8,94,-,-,17.8,15.8,,
2015/9/7,DC1,201509,15.55,15.55,15.55,15.55,-0.2,-1.27%,5,15.6,74,15.5,15.9,17.9,14,,
2015/9/7,DC1,201512,-,-,-,-,-,-,-,15.65,20,-,-,18,15.8,,
2015/9/7,DC1,201603,-,-,-,-,-,-,-,15.65,94,-,-,17.8,15.8,,
2015/9/8,DC1,201509,-,-,-,-,-,-,-,15.45,74,15.4,15.65,17.9,14,,
2015/9/8,DC1,201512,-,-,-,-,-,-,-,15.5,20,-,-,18,15.8,,
2015/9/8,DC1,201603,15.5,15.5,15.5,15.5,-0.15,-0.96%,44,15.5,50,-,-,17.8,15.5,,
2015/9/9,DC1,201509,-,-,-,-,-,-,-,16.0,74,15.35,16.95,17.9,14,,
2015/9/9,DC1,201512,-,-,-,-,-,-,-,16.05,20,-,-,18,15.8,,
2015/9/9,DC1,201603,-,-,-,-,-,-,-,16.05,50,-,-,17.8,15.5,,
2015/9/10,DC1,201509,15.95,15.95,15.9,15.9,-0.1,-0.63%,18,16.2,74,15.2,16,17.9,14,,
2015/9/10,DC1,201512,16.25,16.25,16.25,16.25,0.2,1.25%,20,16.25,0,-,-,18,15.8,,
2015/9/10,DC1,201603,16.25,16.25,16.25,16.25,0.2,1.25%,50,16.25,0,-,-,17.8,15.5,,
2015/9/11,DC1,201509,-,-,-,-,-,-,-,16.1,74,15.05,17.05,17.9,14,,
2015/9/14,DC1,201509,-,-,-,-,-,-,-,16.0,74,15.85,16.2,17.9,14,,
2015/9/15,DC1,201509,16,16,15.95,15.95,-0.05,-0.31%,6,16.05,70,-,16.15,17.9,14,,
2015/9/16,DC1,201509,-,-,-,-,-,-,-,0.0,63,-,-,17.9,14,,
交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2016/8/10,DC1,201608,16.2,16.45,16.2,16.4,0.25,1.55%,538,16.4,322,16.3,16.4,17.75,16.2,,
2016/8/10,DC1,201609,16.3,16.35,16.25,16.35,0.25,1.55%,188,16.4,93,16.25,16.5,17.5,16.25,,
2016/8/10,DC1,201612,-,-,-,-,-,-,-,16.5,79,-,-,15.65,15,,
2016/8/11,DC1,201608,16.35,16.35,16.1,16.3,-0.1,-0.61%,16,16.3,307,16.25,16.45,17.75,16.1,,
2016/8/11,DC1,201609,16.3,16.3,16.25,16.25,-0.15,-0.91%,55,16.3,90,16.2,16.35,17.5,16.25,,
2016/8/11,DC1,201612,-,-,-,-,-,-,-,16.4,79,-,-,15.65,15,,
