交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,DH1,201503,-,-,-,-,-,-,-,87.6,114,86.5,87.9,111.5,85.7,,
2015/1/5,DH1,201506,-,-,-,-,-,-,-,87.0,16,86,88.4,111.5,100,,
2015/1/6,DH1,201503,86.3,86.3,86.3,86.3,-1.3,-1.48%,2,84.5,115,84.6,85.9,111.5,85.7,,
2015/1/6,DH1,201506,-,-,-,-,-,-,-,84.5,16,84.1,86.4,111.5,100,,
2015/1/7,DH1,201503,-,-,-,-,-,-,-,85.4,115,83.9,86.3,111.5,85.7,,
2015/1/7,DH1,201506,-,-,-,-,-,-,-,85.1,16,83.4,86.8,111.5,100,,
2015/1/8,DH1,201503,-,-,-,-,-,-,-,86.6,115,86.5,87.6,111.5,85.7,,
2015/1/8,DH1,201506,-,-,-,-,-,-,-,86.7,16,86,88.1,111.5,100,,
2015/1/9,DH1,201503,-,-,-,-,-,-,-,86.8,115,86.1,87.3,111.5,85.7,,
2015/1/9,DH1,201506,-,-,-,-,-,-,-,86.3,16,85.6,87.8,111.5,100,,
2015/1/12,DH1,201503,-,-,-,-,-,-,-,85.8,115,85.6,86.7,111.5,85.7,,
2015/1/12,DH1,201506,-,-,-,-,-,-,-,85.8,16,85.1,87.2,111.5,100,,
2015/1/13,DH1,201503,-,-,-,-,-,-,-,86.4,115,85.5,86.9,111.5,85.7,,
2015/1/13,DH1,201506,-,-,-,-,-,-,-,86.4,16,85,87.4,111.5,100,,
2015/1/14,DH1,201503,-,-,-,-,-,-,-,85.4,115,84.7,85.9,111.5,85.7,,
2015/1/14,DH1,201506,-,-,-,-,-,-,-,85.5,16,84.2,86.4,111.5,100,,
2015/1/15,DH1,201503,-,-,-,-,-,-,-,84.7,115,84.7,86.1,111.5,85.7,,
2015/1/15,DH1,201506,-,-,-,-,-,-,-,84.8,16,84.2,86.6,111.5,100,,
2015/1/16,DH1,201503,83.9,84.1,83.9,84.1,-0.6,-0.71%,4,84.0,115,81.9,84.7,111.5,83.9,,
2015/1/16,DH1,201506,-,-,-,-,-,-,-,84.0,16,81.4,85.2,111.5,100,,
2015/1/19,DH1,201503,83.9,83.9,83.9,83.9,-0.1,-0.12%,2,83.9,115,83.3,84.6,111.5,83.9,,
2015/1/19,DH1,201506,-,-,-,-,-,-,-,83.8,16,82.8,85.1,111.5,100,,
2015/1/20,DH1,201503,-,-,-,-,-,-,-,84.7,115,84.5,85.3,111.5,83.9,,
2015/1/20,DH1,201506,-,-,-,-,-,-,-,84.7,16,84,85.8,111.5,100,,
2015/1/21,DH1,201503,-,-,-,-,-,-,-,85.3,115,85,85.3,111.5,83.9,,
2015/1/21,DH1,201506,-,-,-,-,-,-,-,85.2,16,84.5,85.8,111.5,100,,
2015/1/22,DH1,201503,85.4,85.4,85.4,85.4,0.1,0.12%,20,85.5,103,85.4,85.7,111.5,83.9,,
