交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,DHF,201501,87.3,87.5,86.8,87.1,-0.6,-0.68%,646,87.1,3237,87.1,87.3,98.2,84.3,,
2015/1/5,DHF,201502,87.3,87.5,86.7,87.2,-0.5,-0.57%,248,87.2,902,87.1,87.2,88.5,84.5,,
2015/1/5,DHF,201503,87.6,87.6,87.6,87.6,0,0.00%,1,87.6,95,87,87.6,98,85,,
2015/1/5,DHF,201506,87,87,87,87,-0.8,-0.91%,5,87.0,93,87,87.6,98,85,,
2015/1/5,DHF,201509,-,-,-,-,-,-,-,87.1,24,86.6,87.8,93,92,,
2015/1/6,DHF,201501,86.4,86.4,84.4,84.5,-2.6,-2.99%,1332,84.5,3463,84.5,84.8,98.2,84.3,,
2015/1/6,DHF,201502,86.1,86.3,84.4,84.5,-2.7,-3.10%,594,84.5,1119,84.4,84.7,88.5,84.4,,
2015/1/6,DHF,201503,85.1,85.1,84.5,84.5,-3.1,-3.54%,19,84.5,113,84.1,84.9,98,84.5,,
2015/1/6,DHF,201506,85.7,85.9,84.5,84.5,-2.5,-2.87%,59,84.5,115,84.1,84.7,98,84.5,,
2015/1/6,DHF,201509,-,-,-,-,-,-,-,84.5,24,84,85.2,93,92,,
2015/1/7,DHF,201501,84.5,85.7,84.3,85,0.5,0.59%,1026,85.1,3133,85,85.1,98.2,84.3,,
2015/1/7,DHF,201502,84.5,85.7,84.4,85.1,0.6,0.71%,296,85.1,1105,85,85.2,88.5,84.4,,
2015/1/7,DHF,201503,85.1,85.5,85.1,85.4,0.9,1.07%,7,85.4,118,85,85.6,98,84.5,,
2015/1/7,DHF,201506,-,-,-,-,-,-,-,85.1,115,84.8,85.6,98,84.5,,
2015/1/7,DHF,201509,-,-,-,-,-,-,-,85.1,24,85,85.6,93,92,,
2015/1/8,DHF,201501,85.8,87.2,85.7,87.1,2,2.35%,1153,87.0,2861,87,87.1,98.2,84.3,,
2015/1/8,DHF,201502,85.8,87.1,85.6,87,1.9,2.23%,404,87.0,1116,86.9,87,88.5,84.4,,
2015/1/8,DHF,201503,86.6,86.6,86.6,86.6,1.2,1.41%,1,86.6,119,86.7,87,98,84.5,,
