交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2017/8/9,DN2,201709,-,-,-,-,-,-,0,18.2,4,17,19,20.05,18.5,,一般,,
2017/8/9,DN2,201712,-,-,-,-,-,-,0,17.95,1,17,19,18.4,18.4,,一般,,
2017/8/10,DN2,201709,18.15,18.15,17.9,17.9,-0.3,-1.65%,15,18.1,17,17.1,18.05,20.05,17.9,,一般,,
2017/8/10,DN2,201712,-,-,-,-,-,-,0,17.85,1,16.85,19.05,18.4,18.4,,一般,,
2017/8/11,DN2,201709,17.8,17.9,17.8,17.9,-0.2,-1.10%,8,17.95,19,17,17.95,20.05,17.8,,一般,,
2017/8/11,DN2,201712,-,-,-,-,-,-,0,17.75,1,16.8,18.9,18.4,18.4,,一般,,
2017/8/14,DN2,201709,17.85,17.85,17.75,17.75,-0.2,-1.11%,18,17.85,33,17.75,17.85,20.05,17.75,,一般,,
2017/8/14,DN2,201712,-,-,-,-,-,-,0,17.55,1,16.95,17.9,18.4,18.4,,一般,,
2017/8/15,DN2,201709,17.85,17.85,17.85,17.85,0,0.00%,6,17.95,38,17.85,17.9,20.05,17.75,,一般,,
2017/8/15,DN2,201712,-,-,-,-,-,-,0,17.65,1,16.9,17.95,18.4,18.4,,一般,,
2017/8/16,DN2,201709,17.85,17.85,17.85,17.85,-0.1,-0.56%,10,17.85,43,17.8,17.85,20.05,17.75,,一般,,
2017/8/16,DN2,201712,-,-,-,-,-,-,0,17.65,1,-,-,18.4,18.4,,一般,,
2017/8/17,DN2,201709,18,18.15,18,18.15,0.3,1.68%,12,18.2,55,18.1,18.3,20.05,17.75,,一般,,
2017/8/17,DN2,201712,-,-,-,-,-,-,0,18,1,16.6,18.7,18.4,18.4,,一般,,
2017/8/18,DN2,201709,18.05,18.1,18.05,18.1,-0.1,-0.55%,8,18.15,61,18,18.2,20.05,17.75,,一般,,
2017/8/18,DN2,201712,-,-,-,-,-,-,0,17.95,1,16.9,19.1,18.4,18.4,,一般,,
2017/8/21,DN2,201709,17.95,18,17.95,18,-0.15,-0.83%,23,18.1,71,18.05,19.1,20.05,17.75,,一般,,
2017/8/21,DN2,201712,-,-,-,-,-,-,0,17.9,1,16.85,19.05,18.4,18.4,,一般,,
2017/8/22,DN2,201709,18.15,18.15,18.15,18.15,0.05,0.28%,3,18.15,74,18.05,18.2,20.05,17.75,,一般,,
2017/8/22,DN2,201712,-,-,-,-,-,-,0,17.95,1,16.85,18.95,18.4,18.4,,一般,,
2017/8/23,DN2,201709,18.15,18.15,18.1,18.15,0,0.00%,56,18.2,130,18.15,18.2,20.05,17.75,,一般,,
2017/8/23,DN2,201712,-,-,-,-,-,-,0,18,1,16.85,19.05,18.4,18.4,,一般,,
2017/8/24,DN2,201709,18.25,18.35,18.25,18.35,0.15,0.82%,7,18.4,130,18.3,18.5,20.05,17.75,,一般,,
2017/8/24,DN2,201712,-,-,-,-,-,-,0,18.2,1,16.9,19.1,18.4,18.4,,一般,,
2017/8/25,DN2,201709,-,-,-,-,-,-,0,18.5,130,18.4,18.6,20.05,17.75,,一般,,
2017/8/25,DN2,201712,-,-,-,-,-,-,0,18.3,1,17.1,19.3,18.4,18.4,,一般,,
2017/8/28,DN2,201709,18.6,18.6,18.55,18.6,0.1,0.54%,68,18.65,186,18.55,18.65,20.05,17.75,,一般,,
2017/8/28,DN2,201712,-,-,-,-,-,-,0,18.45,1,17.65,19.2,18.4,18.4,,一般,,
2017/8/29,DN2,201709,18.55,18.55,18.55,18.55,-0.1,-0.54%,2,18.6,188,18.45,18.7,20.05,17.75,,一般,,
2017/8/29,DN2,201712,-,-,-,-,-,-,0,18.4,1,17.35,19.55,18.4,18.4,,一般,,
2017/8/30,DN2,201709,-,-,-,-,-,-,0,18.75,188,18.7,18.9,20.05,17.75,,一般,,
2017/8/30,DN2,201712,-,-,-,-,-,-,0,18.55,1,17.3,19.5,18.4,18.4,,一般,,
2017/8/31,DN2,201709,18.7,18.7,18.7,18.7,-0.05,-0.27%,46,18.8,227,18.65,18.75,20.05,17.75,,一般,,
2017/8/31,DN2,201712,-,-,-,-,-,-,0,18.6,1,17.45,19.65,18.4,18.4,,一般,,
2017/9/1,DN2,201709,-,-,-,-,-,-,0,18.7,227,18.6,18.8,20.05,17.75,,一般,,
2017/9/1,DN2,201712,-,-,-,-,-,-,0,18.5,1,17.5,19.7,18.4,18.4,,一般,,
2017/9/4,DN2,201709,18.6,18.6,18.5,18.55,-0.15,-0.80%,17,18.55,238,18.5,18.65,20.05,17.75,,一般,,
2017/9/4,DN2,201712,-,-,-,-,-,-,0,18.35,1,17.4,19.6,18.4,18.4,,一般,,
2017/9/5,DN2,201709,18.5,18.5,18.5,18.5,-0.05,-0.27%,1,18.55,238,18.45,18.6,20.05,17.75,,一般,,
2017/9/5,DN2,201712,-,-,-,-,-,-,0,18.35,1,17.25,19.45,18.4,18.4,,一般,,
2017/9/6,DN2,201709,18.4,18.4,18.4,18.4,-0.15,-0.81%,19,18.5,255,18.4,18.45,20.05,17.75,,一般,,
2017/9/6,DN2,201712,-,-,-,-,-,-,0,18.3,1,17.25,19.45,18.4,18.4,,一般,,
2017/9/7,DN2,201709,18.4,18.4,18.35,18.35,-0.15,-0.81%,10,18.4,258,18.2,18.5,20.05,17.75,,一般,,
2017/9/7,DN2,201712,-,-,-,-,-,-,0,18.2,1,17.2,19.4,18.4,18.4,,一般,,
2017/9/8,DN2,201709,-,-,-,-,-,-,0,18.5,258,18.4,18.6,20.05,17.75,,一般,,
2017/9/8,DN2,201712,-,-,-,-,-,-,0,18.3,1,17.1,19.3,18.4,18.4,,一般,,
2017/9/11,DN2,201709,-,-,-,-,-,-,0,18.35,258,18.25,18.5,20.05,17.75,,一般,,
2017/9/11,DN2,201712,-,-,-,-,-,-,0,18.55,1,17.2,19.4,18.4,18.4,,一般,,
2017/9/12,DN2,201709,-,-,-,-,-,-,0,18.35,258,18.3,18.5,20.05,17.75,,一般,,
2017/9/12,DN2,201712,-,-,-,-,-,-,0,18.55,1,17.45,19.65,18.4,18.4,,一般,,
2017/9/13,DN2,201709,-,-,-,-,-,-,0,18.35,258,18.3,18.5,20.05,17.75,,一般,,
2017/9/13,DN2,201712,-,-,-,-,-,-,0,18.55,1,-,-,18.4,18.4,,一般,,
2017/9/14,DN2,201709,-,-,-,-,-,-,0,18.35,258,18.2,18.4,20.05,17.75,,一般,,
2017/9/14,DN2,201712,-,-,-,-,-,-,0,18.55,1,-,-,18.4,18.4,,一般,,
2017/9/15,DN2,201709,18.3,18.3,18.3,18.3,-0.05,-0.27%,55,18.35,288,18.3,18.35,20.05,17.75,,一般,,
