交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,DP1,201503,-,-,-,-,-,-,-,18.4,5,-,-,20.85,18.4,,
2015/1/5,DP1,201506,-,-,-,-,-,-,-,18.4,10,-,-,20.1,20.1,,
2015/1/6,DP1,201503,-,-,-,-,-,-,-,18.1,5,-,-,20.85,18.4,,
2015/1/6,DP1,201506,-,-,-,-,-,-,-,18.1,10,-,-,20.1,20.1,,
2015/1/7,DP1,201503,-,-,-,-,-,-,-,18.15,5,-,-,20.85,18.4,,
2015/1/7,DP1,201506,-,-,-,-,-,-,-,18.15,10,-,-,20.1,20.1,,
2015/1/8,DP1,201503,-,-,-,-,-,-,-,18.4,5,-,-,20.85,18.4,,
2015/1/8,DP1,201506,-,-,-,-,-,-,-,18.4,10,-,-,20.1,20.1,,
2015/1/9,DP1,201503,-,-,-,-,-,-,-,18.4,5,-,-,20.85,18.4,,
2015/1/9,DP1,201506,-,-,-,-,-,-,-,18.4,10,-,-,20.1,20.1,,
2015/1/12,DP1,201503,-,-,-,-,-,-,-,18.3,5,-,-,20.85,18.4,,
2015/1/12,DP1,201506,-,-,-,-,-,-,-,18.3,10,-,-,20.1,20.1,,
2015/1/13,DP1,201503,-,-,-,-,-,-,-,18.35,5,-,-,20.85,18.4,,
2015/1/13,DP1,201506,-,-,-,-,-,-,-,18.35,10,-,-,20.1,20.1,,
2015/1/14,DP1,201503,-,-,-,-,-,-,-,18.3,5,-,-,20.85,18.4,,
2015/1/14,DP1,201506,-,-,-,-,-,-,-,18.3,10,-,-,20.1,20.1,,
2015/1/15,DP1,201503,-,-,-,-,-,-,-,18.25,5,-,-,20.85,18.4,,
2015/1/15,DP1,201506,-,-,-,-,-,-,-,18.25,10,-,-,20.1,20.1,,
2015/1/16,DP1,201503,-,-,-,-,-,-,-,18.2,5,-,-,20.85,18.4,,
2015/1/16,DP1,201506,-,-,-,-,-,-,-,18.2,10,-,-,20.1,20.1,,
2015/1/19,DP1,201503,-,-,-,-,-,-,-,18.3,5,-,-,20.85,18.4,,
2015/1/19,DP1,201506,-,-,-,-,-,-,-,18.3,10,-,-,20.1,20.1,,
2015/1/20,DP1,201503,-,-,-,-,-,-,-,18.3,5,-,-,20.85,18.4,,
2015/1/20,DP1,201506,-,-,-,-,-,-,-,18.3,10,-,-,20.1,20.1,,
2015/1/21,DP1,201503,-,-,-,-,-,-,-,18.45,5,18.25,-,20.85,18.4,,
2015/1/21,DP1,201506,-,-,-,-,-,-,-,18.45,10,-,-,20.1,20.1,,
2015/1/22,DP1,201503,-,-,-,-,-,-,-,18.45,5,18.35,18.65,20.85,18.4,,
2015/1/22,DP1,201506,-,-,-,-,-,-,-,18.5,10,-,-,20.1,20.1,,
2015/1/23,DP1,201503,-,-,-,-,-,-,-,18.6,5,18.5,18.75,20.85,18.4,,
2015/1/23,DP1,201506,-,-,-,-,-,-,-,18.65,10,-,-,20.1,20.1,,
2015/1/26,DP1,201503,-,-,-,-,-,-,-,18.65,5,18.45,18.7,20.85,18.4,,
2015/1/26,DP1,201506,-,-,-,-,-,-,-,18.65,10,-,-,20.1,20.1,,
2015/1/27,DP1,201503,-,-,-,-,-,-,-,18.7,5,18.55,18.8,20.85,18.4,,
2015/1/27,DP1,201506,-,-,-,-,-,-,-,18.7,10,-,-,20.1,20.1,,
2015/1/28,DP1,201503,-,-,-,-,-,-,-,18.65,5,18.5,18.8,20.85,18.4,,
2015/1/28,DP1,201506,-,-,-,-,-,-,-,18.65,10,-,-,20.1,20.1,,
2015/1/29,DP1,201503,-,-,-,-,-,-,-,18.55,5,-,-,20.85,18.4,,
2015/1/29,DP1,201506,-,-,-,-,-,-,-,18.55,10,-,-,20.1,20.1,,
2015/1/30,DP1,201503,-,-,-,-,-,-,-,18.55,5,18.45,18.75,20.85,18.4,,
2015/1/30,DP1,201506,-,-,-,-,-,-,-,18.55,10,-,-,20.1,20.1,,
2015/2/2,DP1,201503,-,-,-,-,-,-,-,18.5,5,18.45,-,20.85,18.4,,
2015/2/2,DP1,201506,-,-,-,-,-,-,-,18.5,10,-,-,20.1,20.1,,
2015/2/3,DP1,201503,-,-,-,-,-,-,-,18.55,5,18.45,18.7,20.85,18.4,,
2015/2/3,DP1,201506,-,-,-,-,-,-,-,18.45,10,-,-,20.1,20.1,,
2015/2/4,DP1,201503,18.6,18.6,18.6,18.6,0.05,0.27%,5,18.6,5,18.6,18.85,20.85,18.4,,
2015/2/4,DP1,201506,-,-,-,-,-,-,-,18.65,10,-,-,20.1,20.1,,
2015/2/5,DP1,201503,18.65,18.75,18.65,18.75,0.15,0.81%,10,18.75,10,18.65,18.9,20.85,18.4,,
2015/2/5,DP1,201506,-,-,-,-,-,-,-,18.7,10,-,-,20.1,20.1,,
2015/2/6,DP1,201503,-,-,-,-,-,-,-,18.75,10,18.6,-,20.85,18.4,,
2015/2/6,DP1,201506,-,-,-,-,-,-,-,18.7,10,-,-,20.1,20.1,,
2015/2/9,DP1,201503,18.65,18.7,18.65,18.65,-0.1,-0.53%,15,18.65,20,18.6,18.85,20.85,18.4,,
2015/2/9,DP1,201506,-,-,-,-,-,-,-,18.65,10,-,-,20.1,20.1,,
2015/2/10,DP1,201503,18.65,18.65,18.65,18.65,0,0.00%,5,18.65,25,18.55,-,20.85,18.4,,
2015/2/10,DP1,201506,-,-,-,-,-,-,-,18.65,10,-,-,20.1,20.1,,
2015/2/11,DP1,201503,18.65,18.65,18.65,18.65,0,0.00%,5,18.65,30,18.55,18.8,20.85,18.4,,
2015/2/11,DP1,201506,-,-,-,-,-,-,-,18.55,10,-,-,20.1,20.1,,
2015/2/12,DP1,201503,-,-,-,-,-,-,-,18.7,30,18.5,-,20.85,18.4,,
2015/2/12,DP1,201506,-,-,-,-,-,-,-,18.65,10,-,-,20.1,20.1,,
2015/2/13,DP1,201503,-,-,-,-,-,-,-,18.65,30,18.45,18.7,20.85,18.4,,
2015/2/13,DP1,201506,-,-,-,-,-,-,-,18.65,10,-,-,20.1,20.1,,
2015/2/24,DP1,201503,18.7,18.7,18.7,18.7,0.05,0.27%,5,18.7,25,18.65,18.9,20.85,18.4,,
2015/2/24,DP1,201506,-,-,-,-,-,-,-,18.7,10,-,-,20.1,20.1,,
2015/2/25,DP1,201503,-,-,-,-,-,-,-,18.8,25,-,18.9,20.85,18.4,,
2015/2/25,DP1,201506,-,-,-,-,-,-,-,18.8,10,-,-,20.1,20.1,,
2015/2/26,DP1,201503,-,-,-,-,-,-,-,18.55,25,18.45,18.75,20.85,18.4,,
2015/2/26,DP1,201506,-,-,-,-,-,-,-,18.55,10,-,-,20.1,20.1,,
2015/3/2,DP1,201503,-,-,-,-,-,-,-,18.65,25,18.55,18.8,20.85,18.4,,
2015/3/2,DP1,201506,-,-,-,-,-,-,-,18.65,10,-,-,20.1,20.1,,
2015/3/3,DP1,201503,-,-,-,-,-,-,-,18.6,25,18.45,18.7,20.85,18.4,,
2015/3/3,DP1,201506,-,-,-,-,-,-,-,18.6,10,-,-,20.1,20.1,,
2015/3/4,DP1,201503,-,-,-,-,-,-,-,18.55,25,18.4,-,20.85,18.4,,
2015/3/4,DP1,201506,-,-,-,-,-,-,-,18.55,10,-,-,20.1,20.1,,
2015/3/5,DP1,201503,18.5,18.5,18.5,18.5,-0.05,-0.27%,5,18.45,25,18.3,18.55,20.85,18.4,,
2015/3/5,DP1,201506,-,-,-,-,-,-,-,18.45,10,-,-,20.1,20.1,,
2015/3/6,DP1,201503,-,-,-,-,-,-,-,18.55,25,18.45,18.7,20.85,18.4,,
2015/3/6,DP1,201506,-,-,-,-,-,-,-,18.55,10,-,-,20.1,20.1,,
2015/3/9,DP1,201503,-,-,-,-,-,-,-,18.5,25,18.35,18.6,20.85,18.4,,
2015/3/9,DP1,201506,-,-,-,-,-,-,-,18.5,10,-,-,20.1,20.1,,
2015/3/10,DP1,201503,18.45,18.45,18.45,18.45,-0.05,-0.27%,10,18.4,25,18.25,18.55,20.85,18.4,,
2015/3/10,DP1,201506,-,-,-,-,-,-,-,18.4,10,-,-,20.1,20.1,,
2015/3/11,DP1,201503,18.4,18.4,18.4,18.4,0,0.00%,10,18.4,25,-,18.45,20.85,18.4,,
2015/3/11,DP1,201506,-,-,-,-,-,-,-,18.4,10,-,-,20.1,20.1,,
2015/3/12,DP1,201503,-,-,-,-,-,-,-,18.5,25,18.35,18.6,20.85,18.4,,
2015/3/12,DP1,201506,-,-,-,-,-,-,-,18.5,10,-,-,20.1,20.1,,
2015/3/13,DP1,201503,-,-,-,-,-,-,-,18.4,25,-,18.55,20.85,18.4,,
2015/3/13,DP1,201506,-,-,-,-,-,-,-,18.4,10,-,-,20.1,20.1,,
2015/3/16,DP1,201503,-,-,-,-,-,-,-,18.35,25,18.3,18.6,20.85,18.4,,
2015/3/16,DP1,201506,-,-,-,-,-,-,-,18.35,10,-,-,20.1,20.1,,
2015/3/17,DP1,201503,-,-,-,-,-,-,-,18.4,25,18.25,18.5,20.85,18.4,,
2015/3/17,DP1,201506,-,-,-,-,-,-,-,18.4,10,-,-,20.1,20.1,,
2015/3/18,DP1,201503,-,-,-,-,-,-,-,0.0,25,-,-,20.85,18.4,,
2015/3/18,DP1,201506,-,-,-,-,-,-,-,18.5,10,-,-,20.1,20.1,,
2015/3/19,DP1,201506,-,-,-,-,-,-,-,18.6,10,-,-,20.1,20.1,,
2015/3/20,DP1,201506,-,-,-,-,-,-,-,18.5,10,-,-,20.1,20.1,,
2015/3/23,DP1,201506,-,-,-,-,-,-,-,18.5,10,-,-,20.1,20.1,,
2015/3/24,DP1,201506,-,-,-,-,-,-,-,18.55,10,-,-,20.1,20.1,,
2015/3/25,DP1,201506,-,-,-,-,-,-,-,18.5,10,-,-,20.1,20.1,,
2015/3/26,DP1,201506,-,-,-,-,-,-,-,18.6,10,-,-,20.1,20.1,,
2015/3/27,DP1,201506,-,-,-,-,-,-,-,18.45,10,-,-,20.1,20.1,,
2015/3/30,DP1,201506,-,-,-,-,-,-,-,18.55,10,-,-,20.1,20.1,,
2015/3/31,DP1,201506,-,-,-,-,-,-,-,18.7,10,-,-,20.1,20.1,,
2015/4/1,DP1,201506,-,-,-,-,-,-,-,18.75,10,-,-,20.1,20.1,,
2015/4/2,DP1,201506,-,-,-,-,-,-,-,18.75,10,-,-,20.1,20.1,,
2015/4/7,DP1,201506,-,-,-,-,-,-,-,18.8,10,-,-,20.1,20.1,,
2015/4/8,DP1,201506,-,-,-,-,-,-,-,18.7,10,-,-,20.1,20.1,,
2015/4/9,DP1,201506,-,-,-,-,-,-,-,18.85,10,-,-,20.1,20.1,,
2015/4/10,DP1,201506,-,-,-,-,-,-,-,18.9,10,-,-,20.1,20.1,,
2015/4/13,DP1,201506,-,-,-,-,-,-,-,18.9,10,-,-,20.1,20.1,,
2015/4/14,DP1,201506,-,-,-,-,-,-,-,19.0,10,-,-,20.1,20.1,,
2015/4/15,DP1,201506,-,-,-,-,-,-,-,18.8,10,-,19.05,20.1,20.1,,
2015/4/16,DP1,201506,-,-,-,-,-,-,-,18.95,10,18.7,19.1,20.1,20.1,,
2015/4/17,DP1,201506,-,-,-,-,-,-,-,18.8,10,18.6,19,20.1,20.1,,
2015/4/20,DP1,201506,-,-,-,-,-,-,-,18.75,10,18.55,18.9,20.1,20.1,,
2015/4/21,DP1,201506,-,-,-,-,-,-,-,18.7,10,18.5,18.9,20.1,20.1,,
2015/4/22,DP1,201506,-,-,-,-,-,-,-,18.75,10,18.55,18.9,20.1,20.1,,
2015/4/23,DP1,201506,19.2,19.2,19.2,19.2,0.45,2.40%,10,19.2,20,19.05,19.35,20.1,19.2,,
2015/4/24,DP1,201506,-,-,-,-,-,-,-,19.2,20,19.15,19.25,20.1,19.2,,
2015/4/27,DP1,201506,-,-,-,-,-,-,-,19.45,20,19.4,19.65,20.1,19.2,,
2015/4/28,DP1,201506,-,-,-,-,-,-,-,19.6,20,19.55,19.8,20.1,19.2,,
2015/4/29,DP1,201506,-,-,-,-,-,-,-,19.4,20,19.3,19.55,20.1,19.2,,
2015/4/30,DP1,201506,-,-,-,-,-,-,-,19.3,20,19.3,19.6,20.1,19.2,,
2015/5/4,DP1,201506,-,-,-,-,-,-,-,19.75,20,19.6,19.85,20.1,19.2,,
