交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,DSF,201501,21.05,21.15,20.8,21.15,-0.15,-0.70%,341,21.15,184,21,21.15,21.15,20.8,,
2015/1/5,DSF,201502,21,21.1,20.8,21.1,-0.15,-0.71%,193,21.1,61,20.9,21.15,21.1,20.8,,
2015/1/5,DSF,201503,-,-,-,-,-,-,-,21.1,0,20.75,21.2,-,-,,
2015/1/5,DSF,201506,-,-,-,-,-,-,-,21.3,0,-,22.15,-,-,,
2015/1/5,DSF,201509,-,-,-,-,-,-,-,21.25,0,-,22.15,-,-,,
2015/1/6,DSF,201501,21.1,21.1,20.55,20.65,-0.5,-2.36%,808,20.65,609,20.55,20.65,21.15,20.55,,
2015/1/6,DSF,201502,20.9,20.95,20.55,20.6,-0.5,-2.37%,338,20.6,257,20.5,20.65,21.1,20.55,,
2015/1/6,DSF,201503,-,-,-,-,-,-,-,20.6,0,20.2,20.7,-,-,,
2015/1/6,DSF,201506,-,-,-,-,-,-,-,20.8,0,-,21.65,-,-,,
2015/1/6,DSF,201509,-,-,-,-,-,-,-,20.75,0,-,21.65,-,-,,
2015/1/7,DSF,201501,20.75,20.8,20.65,20.75,0.1,0.48%,231,20.75,733,20.7,20.75,21.15,20.55,,
2015/1/7,DSF,201502,20.7,20.75,20.65,20.65,0.05,0.24%,117,20.65,314,20.65,20.75,21.1,20.55,,
2015/1/7,DSF,201503,-,-,-,-,-,-,-,20.7,0,20.5,20.8,-,-,,
2015/1/7,DSF,201506,-,-,-,-,-,-,-,20.9,0,-,21.75,-,-,,
2015/1/7,DSF,201509,-,-,-,-,-,-,-,20.85,0,-,21.75,-,-,,
2015/1/8,DSF,201501,20.9,20.95,20.85,20.95,0.2,0.96%,302,20.95,804,20.85,20.95,21.15,20.55,,
2015/1/8,DSF,201502,20.75,20.95,20.75,20.85,0.2,0.97%,207,20.85,360,20.8,20.9,21.1,20.55,,
2015/1/8,DSF,201503,-,-,-,-,-,-,-,20.9,0,20.65,20.95,-,-,,
2015/1/8,DSF,201506,-,-,-,-,-,-,-,21.1,0,20.3,21.4,-,-,,
2015/1/8,DSF,201509,-,-,-,-,-,-,-,21.05,0,-,21.4,-,-,,
2015/1/9,DSF,201501,20.9,21,20.85,20.9,-0.05,-0.24%,268,20.9,927,20.8,20.85,21.15,20.55,,
2015/1/9,DSF,201502,20.8,21,20.8,20.9,0.05,0.24%,201,20.9,423,20.75,20.85,21.1,20.55,,
2015/1/9,DSF,201503,-,-,-,-,-,-,-,20.85,0,20.6,20.9,-,-,,
2015/1/9,DSF,201506,-,-,-,-,-,-,-,21.05,0,20.25,21.35,-,-,,
2015/1/9,DSF,201509,-,-,-,-,-,-,-,21.0,0,-,21.35,-,-,,
2015/1/12,DSF,201501,20.8,20.8,20.55,20.6,-0.3,-1.44%,430,20.6,1156,20.55,20.6,21.15,20.55,,
2015/1/12,DSF,201502,20.65,20.65,20.55,20.55,-0.35,-1.67%,45,20.55,421,20.5,20.6,21.1,20.55,,
2015/1/12,DSF,201503,-,-,-,-,-,-,-,20.55,0,20.15,20.65,-,-,,
2015/1/12,DSF,201506,-,-,-,-,-,-,-,20.75,0,19.8,21.1,-,-,,
2015/1/12,DSF,201509,-,-,-,-,-,-,-,20.7,0,-,21.1,-,-,,
2015/1/13,DSF,201501,20.5,20.55,20.05,20.3,-0.3,-1.46%,575,20.3,1191,20.25,20.35,21.15,20.05,,
2015/1/13,DSF,201502,20.95,20.95,20,20.25,-0.3,-1.46%,341,20.25,479,20.2,20.3,21.1,20,,
2015/1/13,DSF,201503,-,-,-,-,-,-,-,20.25,0,20,20.35,-,-,,
2015/1/13,DSF,201506,-,-,-,-,-,-,-,20.45,0,19.65,20.8,-,-,,
2015/1/13,DSF,201509,-,-,-,-,-,-,-,20.4,0,-,20.8,-,-,,
2015/1/14,DSF,201501,20.45,20.7,20.3,20.6,0.3,1.48%,643,20.6,1352,20.55,20.6,21.15,20.05,,
2015/1/14,DSF,201502,20.4,20.65,20.3,20.55,0.3,1.48%,363,20.55,567,20.5,20.6,21.1,20,,
2015/1/14,DSF,201503,-,-,-,-,-,-,-,20.55,0,20.3,20.65,-,-,,
2015/1/14,DSF,201506,-,-,-,-,-,-,-,20.75,0,19.95,21.15,-,-,,
2015/1/14,DSF,201509,-,-,-,-,-,-,-,20.7,0,-,21.15,-,-,,
2015/1/15,DSF,201501,20.6,20.65,20.35,20.35,-0.25,-1.21%,259,20.35,1276,20.35,20.45,21.15,20.05,,
2015/1/15,DSF,201502,20.55,20.6,20.35,20.35,-0.2,-0.97%,330,20.35,626,20.3,20.45,21.1,20,,
2015/1/15,DSF,201503,-,-,-,-,-,-,-,20.3,0,20.1,20.5,-,-,,
2015/1/15,DSF,201506,-,-,-,-,-,-,-,20.5,0,19.75,20.95,-,-,,
2015/1/15,DSF,201509,-,-,-,-,-,-,-,20.45,0,-,20.95,-,-,,
2015/1/16,DSF,201501,20.3,20.4,20.15,20.2,-0.15,-0.74%,140,20.2,1294,20.15,20.2,21.15,20.05,,
2015/1/16,DSF,201502,20.3,20.3,20.1,20.1,-0.25,-1.23%,56,20.1,631,20.1,20.15,21.1,20,,
2015/1/16,DSF,201503,-,-,-,-,-,-,-,20.15,0,19.95,20.2,-,-,,
2015/1/16,DSF,201506,-,-,-,-,-,-,-,20.35,0,19.6,20.65,-,-,,
2015/1/16,DSF,201509,-,-,-,-,-,-,-,20.3,0,-,20.65,-,-,,
