交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,EAF,201503,68.5,68.5,68.5,68.5,-1.5,-2.14%,2,68.5,7,-,-,69.1,68.5,,
2015/1/5,EAF,201506,-,-,-,-,-,-,-,68.7,1,-,-,68.5,68.5,,
2015/1/5,EAF,201509,-,-,-,-,-,-,-,69.3,0,-,-,-,-,,
2015/1/6,EAF,201503,-,-,-,-,-,-,-,67.0,7,66.9,67.2,69.1,68.5,,
2015/1/6,EAF,201506,-,-,-,-,-,-,-,67.2,1,66.8,67.1,68.5,68.5,,
2015/1/6,EAF,201509,-,-,-,-,-,-,-,67.8,0,-,-,-,-,,
2015/1/7,EAF,201503,66.9,66.9,66.9,66.9,-0.1,-0.15%,1,66.9,6,66.5,66.8,69.1,66.9,,
2015/1/7,EAF,201506,-,-,-,-,-,-,-,66.8,1,66.4,66.7,68.5,68.5,,
2015/1/7,EAF,201509,-,-,-,-,-,-,-,67.4,0,-,-,-,-,,
2015/1/8,EAF,201503,67.2,67.2,67.2,67.2,0.3,0.45%,5,67.2,7,67.2,67.5,69.1,66.9,,
2015/1/8,EAF,201506,-,-,-,-,-,-,-,67.4,1,67,67.3,68.5,68.5,,
2015/1/8,EAF,201509,-,-,-,-,-,-,-,68.0,0,-,-,-,-,,
2015/1/9,EAF,201503,-,-,-,-,-,-,-,67.2,7,-,-,69.1,66.9,,
2015/1/9,EAF,201506,-,-,-,-,-,-,-,67.4,1,-,-,68.5,68.5,,
2015/1/9,EAF,201509,-,-,-,-,-,-,-,68.0,0,-,-,-,-,,
2015/1/12,EAF,201503,-,-,-,-,-,-,-,66.3,7,66.3,66.6,69.1,66.9,,
2015/1/12,EAF,201506,-,-,-,-,-,-,-,66.5,1,66.1,66.4,68.5,68.5,,
2015/1/12,EAF,201509,-,-,-,-,-,-,-,67.1,0,-,-,-,-,,
2015/1/13,EAF,201503,66.5,66.5,66.5,66.5,0.2,0.30%,1,66.5,7,66.3,66.6,69.1,66.5,,
2015/1/13,EAF,201506,66.4,66.4,66.4,66.4,-0.1,-0.15%,1,66.4,2,66.2,66.5,68.5,66.4,,
2015/1/13,EAF,201509,-,-,-,-,-,-,-,67.1,0,-,-,-,-,,
2015/1/14,EAF,201503,66.4,66.4,65.8,65.8,-0.7,-1.05%,2,66.2,6,66,66.3,69.1,65.8,,
2015/1/14,EAF,201506,-,-,-,-,-,-,-,66.2,2,65.8,66.1,68.5,66.4,,
2015/1/14,EAF,201509,-,-,-,-,-,-,-,66.9,0,-,-,-,-,,
2015/1/15,EAF,201503,66.1,66.1,66.1,66.1,-0.1,-0.15%,5,66.1,11,66,66.3,69.1,65.8,,
2015/1/15,EAF,201506,-,-,-,-,-,-,-,66.3,2,65.9,66.2,68.5,66.4,,
2015/1/15,EAF,201509,-,-,-,-,-,-,-,67.0,0,-,-,-,-,,
2015/1/16,EAF,201503,-,-,-,-,-,-,-,65.4,11,-,-,69.1,65.8,,
2015/1/16,EAF,201506,-,-,-,-,-,-,-,65.6,2,-,-,68.5,66.4,,
2015/1/16,EAF,201509,-,-,-,-,-,-,-,66.3,0,-,-,-,-,,
2015/1/19,EAF,201503,-,-,-,-,-,-,-,66.6,11,-,-,69.1,65.8,,
2015/1/19,EAF,201506,-,-,-,-,-,-,-,66.8,2,-,-,68.5,66.4,,
2015/1/19,EAF,201509,-,-,-,-,-,-,-,67.5,0,-,-,-,-,,
