交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/7/30,ED1,201508,-,-,-,-,-,-,-,15.55,13,-,-,18.6,16.8,,
2015/7/30,ED1,201509,-,-,-,-,-,-,-,15.55,2,-,-,16.9,16.75,,
2015/7/31,ED1,201508,-,-,-,-,-,-,-,15.35,13,15.25,15.7,18.6,16.8,,
2015/7/31,ED1,201509,-,-,-,-,-,-,-,15.35,2,15.25,15.7,16.9,16.75,,
2015/8/3,ED1,201508,-,-,-,-,-,-,-,15.15,13,15.05,15.5,18.6,16.8,,
2015/8/3,ED1,201509,-,-,-,-,-,-,-,15.15,2,15.05,15.5,16.9,16.75,,
2015/8/4,ED1,201508,-,-,-,-,-,-,-,14.95,13,-,15.35,18.6,16.8,,
2015/8/4,ED1,201509,-,-,-,-,-,-,-,14.95,2,14.8,15.35,16.9,16.75,,
2015/8/5,ED1,201508,-,-,-,-,-,-,-,15.45,13,15.3,15.75,18.6,16.8,,
2015/8/5,ED1,201509,-,-,-,-,-,-,-,15.45,2,15.3,15.75,16.9,16.75,,
2015/8/6,ED1,201508,-,-,-,-,-,-,-,15.25,13,15.1,15.5,18.6,16.8,,
2015/8/6,ED1,201509,-,-,-,-,-,-,-,15.25,2,15,15.6,16.9,16.75,,
2015/8/7,ED1,201508,-,-,-,-,-,-,-,15.2,13,-,15.4,18.6,16.8,,
2015/8/7,ED1,201509,-,-,-,-,-,-,-,15.2,2,15,15.4,16.9,16.75,,
2015/8/10,ED1,201508,-,-,-,-,-,-,-,15.1,13,-,15.35,18.6,16.8,,
2015/8/10,ED1,201509,-,-,-,-,-,-,-,15.1,2,14.9,-,16.9,16.75,,
2015/8/11,ED1,201508,-,-,-,-,-,-,-,15.05,13,14.8,15.25,18.6,16.8,,
2015/8/11,ED1,201509,-,-,-,-,-,-,-,15.05,2,14.8,-,16.9,16.75,,
2015/8/12,ED1,201508,-,-,-,-,-,-,-,14.95,13,14.65,-,18.6,16.8,,
2015/8/12,ED1,201509,-,-,-,-,-,-,-,14.95,2,14.65,-,16.9,16.75,,
