交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2023/11/28,EE1,202312  ,16.45,16.7,16.35,16.7,0.15,0.91%,88.0,16.65,258,16.45,16.7,17.85,15.75,,一般,,
2023/11/28,EE1,202401  ,16.4,16.4,16.4,16.4,-0.3,-1.80%,1.0,16.65,30,16.5,16.8,16.75,16.4,,一般,,
2023/11/28,EE1,202403  ,-,-,-,-,-,-,0.0,16.6,1,-,-,17.85,17.85,,一般,,
2023/11/29,EE1,202312  ,16.5,16.5,16.35,16.45,-0.2,-1.20%,40.0,16.4,225,16.2,16.55,17.85,15.75,,一般,,
2023/11/29,EE1,202401  ,16.6,16.65,16.5,16.55,-0.1,-0.60%,21.0,16.4,30,16.2,-,16.75,16.4,,一般,,
2023/11/29,EE1,202403  ,-,-,-,-,-,-,0.0,16.35,1,-,-,17.85,17.85,,一般,,
2023/11/30,EE1,202312  ,16.4,16.4,16.1,16.1,-0.3,-1.83%,7.0,16.2,220,16.1,16.3,17.85,15.75,,一般,,
2023/11/30,EE1,202401  ,-,-,-,-,-,-,0.0,16.25,30,-,-,16.75,16.4,,一般,,
2023/11/30,EE1,202403  ,-,-,-,-,-,-,0.0,16.35,1,-,-,17.85,17.85,,一般,,
2023/11/29,EE1,202312/202401    ,-,-,-,-,-,-,0.0,-,-,0.01,-,0.07,0.07,,一般,8.0,
2023/12/01,EE1,202312  ,16.3,16.3,16.25,16.25,0.05,0.31%,3.0,16.35,217,15.9,16.3,17.85,15.75,,一般,,
2023/12/01,EE1,202401  ,-,-,-,-,-,-,0.0,16.4,30,-,-,16.75,16.4,,一般,,
2023/12/01,EE1,202403  ,-,-,-,-,-,-,0.0,16.5,1,-,-,17.85,17.85,,一般,,
2023/12/04,EE1,202312  ,16.25,16.35,16.25,16.35,0,0.00%,8.0,16.4,213,16.2,16.95,17.85,15.75,,一般,,
2023/12/04,EE1,202401  ,-,-,-,-,-,-,0.0,16.45,30,-,-,16.75,16.4,,一般,,
2023/12/04,EE1,202403  ,-,-,-,-,-,-,0.0,16.55,1,-,-,17.85,17.85,,一般,,
2023/12/05,EE1,202312  ,16.25,16.25,16.25,16.25,-0.15,-0.91%,13.0,16.25,200,16.15,16.4,17.85,15.75,,一般,,
2023/12/05,EE1,202401  ,-,-,-,-,-,-,0.0,16.25,30,16.15,-,16.75,16.4,,一般,,
