交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,EEF,201501,16.85,17.05,16.8,17.05,0,0.00%,101,17.05,182,17,17.2,18.15,13.65,,
2015/1/5,EEF,201502,16.85,17,16.85,17,0,0.00%,107,17.0,138,16.9,17.25,18.15,16.2,,
2015/1/5,EEF,201503,-,-,-,-,-,-,-,17.1,0,-,-,-,-,,
2015/1/5,EEF,201506,-,-,-,-,-,-,-,17.3,1,-,-,16.75,16.75,,
2015/1/5,EEF,201509,-,-,-,-,-,-,-,17.25,0,-,-,-,-,,
2015/1/6,EEF,201501,16.85,16.85,16.65,16.7,-0.35,-2.05%,446,16.7,211,16.7,16.9,18.15,13.65,,
2015/1/6,EEF,201502,16.85,16.85,16.65,16.7,-0.3,-1.76%,704,16.7,147,16.65,16.95,18.15,16.2,,
2015/1/6,EEF,201503,-,-,-,-,-,-,-,16.75,0,-,-,-,-,,
2015/1/6,EEF,201506,-,-,-,-,-,-,-,16.95,1,-,-,16.75,16.75,,
2015/1/6,EEF,201509,-,-,-,-,-,-,-,16.9,0,-,-,-,-,,
2015/1/7,EEF,201501,16.65,16.65,16.3,16.3,-0.4,-2.40%,711,16.3,234,16.3,16.5,18.15,13.65,,
2015/1/7,EEF,201502,16.5,16.6,16.3,16.4,-0.3,-1.80%,765,16.4,150,16.3,16.55,18.15,16.2,,
2015/1/7,EEF,201503,-,-,-,-,-,-,-,16.35,0,-,-,-,-,,
2015/1/7,EEF,201506,-,-,-,-,-,-,-,16.55,1,-,-,16.75,16.75,,
2015/1/7,EEF,201509,-,-,-,-,-,-,-,16.5,0,-,-,-,-,,
2015/1/8,EEF,201501,16.55,17.4,16.55,17.4,1.1,6.75%,647,17.4,290,17.35,-,18.15,13.65,,
2015/1/8,EEF,201502,16.6,17.4,16.6,17.4,1,6.10%,591,17.4,187,17.4,-,18.15,16.2,,
2015/1/8,EEF,201503,-,-,-,-,-,-,-,17.45,0,-,-,-,-,,
2015/1/8,EEF,201506,16.8,16.8,16.8,16.8,0.25,1.51%,1,17.65,0,-,-,16.8,16.75,,
2015/1/8,EEF,201509,-,-,-,-,-,-,-,17.6,0,-,-,-,-,,
2015/1/9,EEF,201501,17.6,17.6,17.15,17.15,-0.25,-1.44%,1870,17.15,246,17.15,17.8,18.15,13.65,,
2015/1/9,EEF,201502,17.65,17.65,17.2,17.2,-0.2,-1.15%,1404,17.2,145,17.15,17.8,18.15,16.2,,
2015/1/9,EEF,201503,-,-,-,-,-,-,-,17.2,0,-,-,-,-,,
2015/1/9,EEF,201506,-,-,-,-,-,-,-,17.4,0,-,-,16.8,16.75,,
2015/1/9,EEF,201509,-,-,-,-,-,-,-,17.35,0,-,-,-,-,,
2015/1/12,EEF,201501,17.15,17.3,16.95,17.05,-0.1,-0.58%,513,17.05,216,16.95,17.05,18.15,13.65,,
2015/1/12,EEF,201502,17.1,17.2,17.05,17.1,-0.1,-0.58%,137,17.1,140,16.95,17.05,18.15,16.2,,
2015/1/12,EEF,201503,-,-,-,-,-,-,-,17.1,0,-,-,-,-,,
2015/1/12,EEF,201506,-,-,-,-,-,-,-,17.3,0,-,-,16.8,16.75,,
2015/1/12,EEF,201509,-,-,-,-,-,-,-,17.25,0,-,-,-,-,,
2015/1/13,EEF,201501,17,17.3,17,17,-0.05,-0.29%,499,17.0,192,17,17.15,18.15,13.65,,
2015/1/13,EEF,201502,17,17.25,17,17.1,0,0.00%,168,17.1,145,16.9,17.05,18.15,16.2,,
2015/1/13,EEF,201503,-,-,-,-,-,-,-,17.05,0,-,-,-,-,,
2015/1/13,EEF,201506,-,-,-,-,-,-,-,17.25,0,-,-,16.8,16.75,,
2015/1/13,EEF,201509,-,-,-,-,-,-,-,17.2,0,-,-,-,-,,
2015/1/14,EEF,201501,17.15,17.25,17,17.15,0.15,0.88%,114,17.15,159,17.15,17.35,18.15,13.65,,
2015/1/14,EEF,201502,17.15,17.2,17.15,17.15,0.05,0.29%,54,17.15,121,17.05,17.4,18.15,16.2,,
2015/1/14,EEF,201503,-,-,-,-,-,-,-,17.2,0,-,-,-,-,,
2015/1/14,EEF,201506,-,-,-,-,-,-,-,17.4,0,-,-,16.8,16.75,,
2015/1/14,EEF,201509,-,-,-,-,-,-,-,17.35,0,-,-,-,-,,
2015/1/15,EEF,201501,17,17.1,16.9,17.1,-0.05,-0.29%,128,17.1,156,17,17.15,18.15,13.65,,
2015/1/15,EEF,201502,17.1,17.15,16.9,17.1,-0.05,-0.29%,112,17.1,110,16.9,17.25,18.15,16.2,,
2015/1/15,EEF,201503,-,-,-,-,-,-,-,17.15,0,-,-,-,-,,
2015/1/15,EEF,201506,-,-,-,-,-,-,-,17.35,0,-,-,16.8,16.75,,
2015/1/15,EEF,201509,-,-,-,-,-,-,-,17.3,0,-,-,-,-,,
2015/1/16,EEF,201501,17,17.05,16.9,17,-0.1,-0.58%,134,17.0,123,17,17.2,18.15,13.65,,
2015/1/16,EEF,201502,16.9,17.05,16.9,16.95,-0.15,-0.88%,121,16.95,130,16.95,17.2,18.15,16.2,,
2015/1/16,EEF,201503,-,-,-,-,-,-,-,17.05,0,-,-,-,-,,
2015/1/16,EEF,201506,-,-,-,-,-,-,-,17.25,0,-,-,16.8,16.75,,
2015/1/16,EEF,201509,-,-,-,-,-,-,-,17.2,0,-,-,-,-,,
2015/1/19,EEF,201501,17.15,17.15,17,17,0,0.00%,32,17.0,117,17,17.05,18.15,13.65,,
2015/1/19,EEF,201502,17.1,17.15,16.95,17.05,0.1,0.59%,166,17.05,123,16.9,17.5,18.15,16.2,,
2015/1/19,EEF,201503,-,-,-,-,-,-,-,17.05,0,-,-,-,-,,
2015/1/19,EEF,201506,-,-,-,-,-,-,-,17.25,0,-,-,16.8,16.75,,
2015/1/19,EEF,201509,-,-,-,-,-,-,-,17.2,0,-,-,-,-,,
2015/1/20,EEF,201501,16.95,17.4,16.95,17.2,0.2,1.18%,366,17.2,78,16.9,17.2,18.15,13.65,,
2015/1/20,EEF,201502,16.95,17.5,16.95,17.15,0.1,0.59%,293,17.15,180,17.1,17.3,18.15,16.2,,
2015/1/20,EEF,201503,-,-,-,-,-,-,-,17.25,0,-,-,-,-,,
2015/1/20,EEF,201506,-,-,-,-,-,-,-,17.45,0,-,-,16.8,16.75,,
2015/1/20,EEF,201509,-,-,-,-,-,-,-,17.4,0,-,-,-,-,,
2015/1/21,EEF,201501,17.1,17.15,17,17.15,-0.05,-0.29%,56,0.0,95,-,-,18.15,13.65,,
2015/1/21,EEF,201502,17.15,17.2,16.95,16.95,-0.2,-1.17%,183,16.95,131,16.95,17.4,18.15,16.2,,
2015/1/21,EEF,201503,-,-,-,-,-,-,-,17.2,0,16.9,17.4,-,-,,
2015/1/21,EEF,201506,-,-,-,-,-,-,-,17.4,0,-,-,16.8,16.75,,
2015/1/21,EEF,201509,-,-,-,-,-,-,-,17.35,0,-,-,-,-,,
2015/1/22,EEF,201502,17.2,17.8,17.2,17.5,0.55,3.24%,197,17.5,155,17.5,17.6,18.15,16.2,,
2015/1/22,EEF,201503,17.3,17.7,17.3,17.65,0.45,2.62%,73,17.65,32,17.6,17.85,17.7,17.3,,
2015/1/22,EEF,201506,-,-,-,-,-,-,-,17.95,0,-,-,16.8,16.75,,
2015/1/22,EEF,201509,-,-,-,-,-,-,-,17.9,0,-,-,-,-,,
2015/1/22,EEF,201512,-,-,-,-,-,-,-,17.85,0,-,-,-,-,,
2015/1/23,EEF,201502,17.6,17.7,17.45,17.7,0.2,1.14%,266,17.7,231,17.65,17.9,18.15,16.2,,
2015/1/23,EEF,201503,17.4,17.65,17.4,17.65,0,0.00%,95,17.65,50,17.45,17.9,17.7,17.3,,
2015/1/23,EEF,201506,-,-,-,-,-,-,-,18.15,0,-,-,16.8,16.75,,
2015/1/23,EEF,201509,-,-,-,-,-,-,-,18.1,0,-,-,-,-,,
2015/1/23,EEF,201512,-,-,-,-,-,-,-,18.05,0,-,-,-,-,,
2015/1/26,EEF,201502,17.6,17.7,17.6,17.7,0,0.00%,101,17.7,195,17.65,17.75,18.15,16.2,,
2015/1/26,EEF,201503,17.6,17.7,17.6,17.65,0,0.00%,115,17.65,60,17.65,17.75,17.7,17.3,,
2015/1/26,EEF,201506,-,-,-,-,-,-,-,18.15,0,-,-,16.8,16.75,,
2015/1/26,EEF,201509,-,-,-,-,-,-,-,18.1,0,-,-,-,-,,
2015/1/26,EEF,201512,-,-,-,-,-,-,-,18.05,0,-,-,-,-,,
2015/1/27,EEF,201502,17.7,17.75,17.35,17.45,-0.25,-1.41%,110,17.45,191,17.15,17.65,18.15,16.2,,
2015/1/27,EEF,201503,17.65,17.65,17.3,17.3,-0.35,-1.98%,44,17.45,86,17.3,17.6,17.7,17.3,,
2015/1/27,EEF,201506,-,-,-,-,-,-,-,17.9,0,-,-,16.8,16.75,,
2015/1/27,EEF,201509,-,-,-,-,-,-,-,17.85,0,-,-,-,-,,
2015/1/27,EEF,201512,-,-,-,-,-,-,-,17.8,0,-,-,-,-,,
2015/1/28,EEF,201502,17.3,17.55,17.3,17.5,0.05,0.29%,69,17.5,160,17.3,17.5,18.15,16.2,,
2015/1/28,EEF,201503,17.5,17.55,17.5,17.5,0.05,0.29%,9,17.5,86,17.25,17.45,17.7,17.3,,
2015/1/28,EEF,201506,-,-,-,-,-,-,-,17.95,0,-,-,16.8,16.75,,
2015/1/28,EEF,201509,-,-,-,-,-,-,-,17.9,0,-,-,-,-,,
2015/1/28,EEF,201512,-,-,-,-,-,-,-,17.85,0,-,-,-,-,,
2015/1/29,EEF,201502,17.4,17.6,17.35,17.6,0.1,0.57%,225,17.6,139,17.45,17.7,18.15,16.2,,
2015/1/29,EEF,201503,17.4,17.55,17.4,17.55,0.05,0.29%,79,17.55,116,17.4,17.7,17.7,17.3,,
2015/1/29,EEF,201506,-,-,-,-,-,-,-,18.05,0,-,-,16.8,16.75,,
2015/1/29,EEF,201509,-,-,-,-,-,-,-,18.0,0,-,-,-,-,,
2015/1/29,EEF,201512,-,-,-,-,-,-,-,17.95,0,-,-,-,-,,
2015/1/30,EEF,201502,17.7,17.75,17.3,17.3,-0.3,-1.70%,814,17.3,244,17.05,17.45,18.15,16.2,,
2015/1/30,EEF,201503,17.7,17.75,17.4,17.4,-0.15,-0.85%,364,17.4,102,17.15,17.6,17.75,17.3,,
2015/1/30,EEF,201506,-,-,-,-,-,-,-,17.75,0,-,-,16.8,16.75,,
2015/1/30,EEF,201509,-,-,-,-,-,-,-,17.7,0,-,-,-,-,,
2015/1/30,EEF,201512,-,-,-,-,-,-,-,17.65,0,-,-,-,-,,
2015/2/2,EEF,201502,17.35,17.75,17.25,17.35,0.05,0.29%,326,17.35,227,17.3,17.4,18.15,16.2,,
2015/2/2,EEF,201503,17.3,17.7,17.3,17.35,-0.05,-0.29%,193,17.35,116,17.25,17.5,17.75,17.3,,
2015/2/2,EEF,201506,-,-,-,-,-,-,-,17.8,0,-,-,16.8,16.75,,
2015/2/2,EEF,201509,-,-,-,-,-,-,-,17.75,0,-,-,-,-,,
2015/2/2,EEF,201512,-,-,-,-,-,-,-,17.7,0,-,-,-,-,,
2015/2/3,EEF,201502,17.45,17.65,17.35,17.5,0.15,0.86%,169,17.5,222,17.35,17.55,18.15,16.2,,
2015/2/3,EEF,201503,17.4,17.7,17.4,17.45,0.1,0.58%,166,17.45,104,17.4,17.6,17.75,17.3,,
2015/2/3,EEF,201506,-,-,-,-,-,-,-,17.95,0,-,-,16.8,16.75,,
2015/2/3,EEF,201509,-,-,-,-,-,-,-,17.9,0,-,-,-,-,,
2015/2/3,EEF,201512,-,-,-,-,-,-,-,17.85,0,-,-,-,-,,
2015/2/4,EEF,201502,17.7,18.2,17.7,18.15,0.65,3.71%,269,18.15,178,18.1,18.15,18.2,16.2,,
2015/2/4,EEF,201503,17.6,18.3,17.6,18.2,0.75,4.30%,287,18.2,139,17.85,18.3,18.3,17.3,,
2015/2/4,EEF,201506,-,-,-,-,-,-,-,18.6,0,-,-,16.8,16.75,,
2015/2/4,EEF,201509,-,-,-,-,-,-,-,18.55,0,-,-,-,-,,
2015/2/4,EEF,201512,-,-,-,-,-,-,-,18.5,0,-,-,-,-,,
2015/2/5,EEF,201502,17.9,18.05,17.85,17.9,-0.25,-1.38%,98,17.9,212,17.7,17.95,18.2,16.2,,
2015/2/5,EEF,201503,17.95,18.05,17.9,17.9,-0.3,-1.65%,81,17.9,107,17.75,17.95,18.3,17.3,,
2015/2/5,EEF,201506,-,-,-,-,-,-,-,18.35,0,-,-,16.8,16.75,,
2015/2/5,EEF,201509,-,-,-,-,-,-,-,18.3,0,-,-,-,-,,
2015/2/5,EEF,201512,-,-,-,-,-,-,-,18.25,0,-,-,-,-,,
2015/2/6,EEF,201502,18.05,18.05,17.85,17.9,0,0.00%,63,17.9,203,17.55,17.9,18.2,16.2,,
2015/2/6,EEF,201503,18.05,18.05,17.8,17.85,-0.05,-0.28%,128,17.85,113,17.7,17.9,18.3,17.3,,
2015/2/6,EEF,201506,-,-,-,-,-,-,-,18.35,0,-,-,16.8,16.75,,
2015/2/6,EEF,201509,-,-,-,-,-,-,-,18.3,0,-,-,-,-,,
2015/2/6,EEF,201512,-,-,-,-,-,-,-,18.25,0,-,-,-,-,,
2015/2/9,EEF,201502,17.75,17.9,17.5,17.8,-0.1,-0.56%,385,17.8,94,17.85,17.95,18.2,16.2,,
2015/2/9,EEF,201503,17.75,17.9,17.45,17.85,0,0.00%,546,17.85,147,17.85,18,18.3,17.3,,
2015/2/9,EEF,201506,-,-,-,-,-,-,-,18.25,0,-,-,16.8,16.75,,
2015/2/9,EEF,201509,-,-,-,-,-,-,-,18.2,0,-,-,-,-,,
2015/2/9,EEF,201512,-,-,-,-,-,-,-,18.15,0,-,-,-,-,,
2015/2/10,EEF,201502,18.05,18.1,17.8,17.9,0.1,0.56%,411,17.9,204,17.85,17.95,18.2,16.2,,
2015/2/10,EEF,201503,18,18.1,17.8,17.85,0,0.00%,314,17.85,162,17.85,18,18.3,17.3,,
2015/2/10,EEF,201506,-,-,-,-,-,-,-,18.35,0,-,-,16.8,16.75,,
2015/2/10,EEF,201509,-,-,-,-,-,-,-,18.3,0,-,-,-,-,,
2015/2/10,EEF,201512,-,-,-,-,-,-,-,18.25,0,-,-,-,-,,
2015/2/11,EEF,201502,17.95,17.95,17.2,17.2,-0.7,-3.91%,183,17.2,92,17.15,17.2,18.2,16.2,,
2015/2/11,EEF,201503,17.65,17.7,17.2,17.2,-0.65,-3.64%,175,17.2,257,17.15,17.2,18.3,17.2,,
2015/2/11,EEF,201506,-,-,-,-,-,-,-,17.65,0,-,-,16.8,16.75,,
2015/2/11,EEF,201509,-,-,-,-,-,-,-,17.6,0,-,-,-,-,,
2015/2/11,EEF,201512,-,-,-,-,-,-,-,17.55,0,-,-,-,-,,
2015/2/12,EEF,201502,17.25,17.25,16.65,16.8,-0.4,-2.33%,105,16.8,63,16.6,17.05,18.2,16.2,,
2015/2/12,EEF,201503,17.2,17.25,16.55,16.85,-0.35,-2.03%,70,16.85,271,16.6,16.95,18.3,16.55,,
2015/2/12,EEF,201506,-,-,-,-,-,-,-,17.25,0,-,-,16.8,16.75,,
2015/2/12,EEF,201509,-,-,-,-,-,-,-,17.2,0,-,-,-,-,,
2015/2/12,EEF,201512,-,-,-,-,-,-,-,17.15,0,-,-,-,-,,
2015/2/13,EEF,201502,16.9,16.9,16.7,16.7,-0.1,-0.60%,9,16.7,70,16.55,17,18.2,16.2,,
2015/2/13,EEF,201503,16.8,16.8,16.7,16.75,-0.1,-0.59%,6,16.75,270,16.55,16.8,18.3,16.55,,
2015/2/13,EEF,201506,-,-,-,-,-,-,-,17.15,0,-,-,16.8,16.75,,
2015/2/13,EEF,201509,-,-,-,-,-,-,-,17.1,0,-,-,-,-,,
2015/2/13,EEF,201512,-,-,-,-,-,-,-,17.05,0,-,-,-,-,,
2015/2/24,EEF,201502,16.9,17.15,16.85,16.85,0.15,0.90%,208,0.0,52,-,-,18.2,16.2,,
2015/2/24,EEF,201503,17,17.1,16.75,16.75,0,0.00%,280,16.75,257,16.75,16.85,18.3,16.55,,
2015/2/24,EEF,201506,-,-,-,-,-,-,-,17.15,0,-,-,16.8,16.75,,
2015/2/24,EEF,201509,-,-,-,-,-,-,-,17.1,0,-,-,-,-,,
2015/2/24,EEF,201512,-,-,-,-,-,-,-,17.05,0,-,-,-,-,,
2015/2/25,EEF,201503,16.9,16.95,16.6,16.6,-0.15,-0.90%,172,16.6,247,16.55,16.85,18.3,16.55,,
2015/2/25,EEF,201504,16.65,16.7,16.6,16.6,-0.25,-1.48%,89,16.6,27,16.45,16.6,16.7,16.6,,
2015/2/25,EEF,201506,-,-,-,-,-,-,-,17.0,0,-,-,16.8,16.75,,
2015/2/25,EEF,201509,-,-,-,-,-,-,-,16.95,0,-,-,-,-,,
2015/2/25,EEF,201512,-,-,-,-,-,-,-,16.9,0,-,-,-,-,,
