交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,EGF,201501,11.75,12.25,11.5,12.2,0.55,4.72%,2654,12.2,1251,12.2,12.25,12.25,8.79,,
2015/1/5,EGF,201502,11.7,12.25,11.7,12.15,0.65,5.65%,1460,12.15,644,12.15,12.2,12.25,9.19,,
2015/1/5,EGF,201503,-,-,-,-,-,-,-,12.2,355,-,12.2,12.2,8.5,,
2015/1/5,EGF,201506,-,-,-,-,-,-,-,12.1,171,-,12.35,12.1,8.89,,
2015/1/5,EGF,201509,-,-,-,-,-,-,-,12.2,105,-,-,10.9,8.77,,
2015/1/6,EGF,201501,12.1,12.55,11.9,12.4,0.2,1.64%,2829,12.4,1020,12.4,12.45,12.55,8.79,,
2015/1/6,EGF,201502,11.9,12.55,11.9,12.4,0.25,2.06%,2785,12.4,576,12.35,12.45,12.55,9.19,,
2015/1/6,EGF,201503,12.3,12.3,12.3,12.3,0.1,0.82%,1,12.3,354,-,12.6,12.3,8.5,,
2015/1/6,EGF,201506,12.3,12.45,12.2,12.4,0.3,2.48%,18,12.4,153,-,12.9,12.45,8.89,,
2015/1/6,EGF,201509,12.3,12.3,12.2,12.3,0.1,0.82%,5,12.3,100,-,-,12.3,8.77,,
2015/1/7,EGF,201501,12.75,12.75,12.15,12.15,-0.25,-2.02%,1090,12.15,1041,12.15,12.25,12.75,8.79,,
2015/1/7,EGF,201502,12.5,12.7,12.2,12.2,-0.2,-1.61%,1024,12.2,614,12.2,12.25,12.7,9.19,,
2015/1/7,EGF,201503,12.35,12.35,12.35,12.35,0.05,0.41%,1,12.35,353,-,13.1,12.35,8.5,,
2015/1/7,EGF,201506,12.5,12.5,12.35,12.5,0.1,0.81%,14,12.5,139,-,13.25,12.5,8.89,,
2015/1/7,EGF,201509,-,-,-,-,-,-,-,12.05,100,-,-,12.3,8.77,,
2015/1/8,EGF,201501,12.4,12.55,12.25,12.3,0.15,1.23%,1286,12.3,743,12.3,12.4,12.75,8.79,,
2015/1/8,EGF,201502,12.35,12.6,12.3,12.35,0.15,1.23%,739,12.35,624,12.35,12.4,12.7,9.19,,
2015/1/8,EGF,201503,-,-,-,-,-,-,-,12.5,353,-,13,12.35,8.5,,
2015/1/8,EGF,201506,-,-,-,-,-,-,-,12.65,139,-,13,12.5,8.89,,
2015/1/8,EGF,201509,-,-,-,-,-,-,-,12.2,100,-,-,12.3,8.77,,
2015/1/9,EGF,201501,12.3,12.35,12.2,12.25,-0.05,-0.41%,956,12.25,925,12.25,12.35,12.75,8.79,,
2015/1/9,EGF,201502,12.45,12.55,12.2,12.25,-0.1,-0.81%,714,12.25,669,12.2,12.3,12.7,9.19,,
2015/1/9,EGF,201503,12.2,12.2,12.2,12.2,-0.3,-2.40%,3,12.2,350,-,12.4,12.35,8.5,,
2015/1/9,EGF,201506,-,-,-,-,-,-,-,12.6,139,-,13.2,12.5,8.89,,
2015/1/9,EGF,201509,-,-,-,-,-,-,-,12.15,100,-,-,12.3,8.77,,
2015/1/12,EGF,201501,12.15,12.25,11.85,11.85,-0.4,-3.27%,832,11.85,742,11.85,12,12.75,8.79,,
2015/1/12,EGF,201502,12.15,12.25,11.85,11.85,-0.4,-3.27%,583,11.85,617,11.9,12.05,12.7,9.19,,
2015/1/12,EGF,201503,-,-,-,-,-,-,-,11.8,350,11.9,12.2,12.35,8.5,,
2015/1/12,EGF,201506,12.2,12.2,12.2,12.2,-0.4,-3.17%,10,12.2,139,11.9,13,12.5,8.89,,
2015/1/12,EGF,201509,-,-,-,-,-,-,-,11.75,100,11.75,-,12.3,8.77,,
2015/1/13,EGF,201501,11.85,12.5,11.85,12.3,0.45,3.80%,1159,12.3,838,12.3,12.35,12.75,8.79,,
2015/1/13,EGF,201502,12.05,12.45,12.05,12.3,0.45,3.80%,1199,12.3,626,12.25,12.3,12.7,9.19,,
2015/1/13,EGF,201503,12.2,12.2,12.2,12.2,0.4,3.39%,2,12.2,348,12,12.4,12.35,8.5,,
2015/1/13,EGF,201506,-,-,-,-,-,-,-,12.6,139,-,12.6,12.5,8.89,,
2015/1/13,EGF,201509,12.2,12.2,12.2,12.2,0.45,3.83%,2,12.2,100,-,-,12.3,8.77,,
2015/1/14,EGF,201501,12.25,12.35,12.05,12.05,-0.25,-2.03%,823,12.05,824,12.1,12.2,12.75,8.79,,
2015/1/14,EGF,201502,12.3,12.35,12.05,12.05,-0.25,-2.03%,695,12.05,663,12.1,12.2,12.7,9.19,,
2015/1/14,EGF,201503,-,-,-,-,-,-,-,11.95,348,-,12.3,12.35,8.5,,
2015/1/14,EGF,201506,-,-,-,-,-,-,-,12.35,139,12.1,-,12.5,8.89,,
2015/1/14,EGF,201509,-,-,-,-,-,-,-,11.95,100,12.1,-,12.3,8.77,,
2015/1/15,EGF,201501,12.1,12.1,11.65,11.85,-0.2,-1.66%,426,11.85,820,11.8,11.85,12.75,8.79,,
2015/1/15,EGF,201502,12.1,12.15,11.7,11.85,-0.2,-1.66%,503,11.85,749,11.8,11.9,12.7,9.19,,
2015/1/15,EGF,201503,-,-,-,-,-,-,-,11.75,348,11.8,12,12.35,8.5,,
2015/1/15,EGF,201506,-,-,-,-,-,-,-,12.15,139,-,-,12.5,8.89,,
2015/1/15,EGF,201509,-,-,-,-,-,-,-,11.75,100,11.8,-,12.3,8.77,,
2015/1/16,EGF,201501,11.9,12,11.8,11.9,0.05,0.42%,891,11.9,1073,11.85,11.95,12.75,8.79,,
2015/1/16,EGF,201502,11.9,12,11.85,11.85,0,0.00%,1177,11.85,1100,11.85,12,12.7,9.19,,
2015/1/16,EGF,201503,-,-,-,-,-,-,-,11.8,348,-,12.15,12.35,8.5,,
2015/1/16,EGF,201506,-,-,-,-,-,-,-,12.2,139,11.9,-,12.5,8.89,,
2015/1/16,EGF,201509,-,-,-,-,-,-,-,11.8,100,11.75,-,12.3,8.77,,
2015/1/19,EGF,201501,11.95,12.15,11.8,11.85,-0.05,-0.42%,651,11.85,968,11.75,12,12.75,8.79,,
2015/1/19,EGF,201502,12,12.15,11.8,11.8,-0.05,-0.42%,781,11.8,1132,11.75,12,12.7,9.19,,
2015/1/19,EGF,201503,-,-,-,-,-,-,-,11.75,348,-,12.1,12.35,8.5,,
2015/1/19,EGF,201506,-,-,-,-,-,-,-,12.15,139,-,12.5,12.5,8.89,,
2015/1/19,EGF,201509,-,-,-,-,-,-,-,11.75,100,11.8,-,12.3,8.77,,
2015/1/20,EGF,201501,11.85,11.95,11.8,11.95,0.1,0.84%,853,11.95,958,11.9,12,12.75,8.79,,
2015/1/20,EGF,201502,11.9,12,11.8,11.95,0.15,1.27%,1378,11.95,1562,11.95,12,12.7,9.19,,
2015/1/20,EGF,201503,-,-,-,-,-,-,-,11.85,348,-,12.1,12.35,8.5,,
2015/1/20,EGF,201506,11.8,11.8,11.8,11.8,-0.35,-2.88%,1,11.8,138,-,-,12.5,8.89,,
2015/1/20,EGF,201509,-,-,-,-,-,-,-,11.85,100,11.8,-,12.3,8.77,,
2015/1/21,EGF,201501,12.05,12.05,11.75,11.8,-0.15,-1.26%,280,0.0,817,11.55,11.8,12.75,8.79,,
2015/1/21,EGF,201502,12.1,12.1,11.85,11.85,-0.1,-0.84%,976,11.85,2048,11.85,12,12.7,9.19,,
2015/1/21,EGF,201503,11.85,11.85,11.85,11.85,0,0.00%,4,11.85,348,11.85,12.05,12.35,8.5,,
2015/1/21,EGF,201506,-,-,-,-,-,-,-,11.85,138,11.85,-,12.5,8.89,,
2015/1/21,EGF,201509,-,-,-,-,-,-,-,11.8,100,11.8,-,12.3,8.77,,
2015/1/22,EGF,201502,12.15,12.45,12.05,12.35,0.5,4.22%,2839,12.4,1979,12.35,12.45,12.7,9.19,,
2015/1/22,EGF,201503,12.2,12.45,12.15,12.35,0.5,4.22%,1435,12.35,603,12.35,12.5,12.45,8.5,,
2015/1/22,EGF,201506,-,-,-,-,-,-,-,12.4,138,12.25,12.65,12.5,8.89,,
2015/1/22,EGF,201509,-,-,-,-,-,-,-,12.35,100,-,-,12.3,8.77,,
2015/1/22,EGF,201512,-,-,-,-,-,-,-,12.5,0,-,-,-,-,,
2015/1/23,EGF,201502,12.5,12.55,12.3,12.4,0,0.00%,2202,12.4,2299,12.35,12.45,12.7,9.19,,
2015/1/23,EGF,201503,12.55,12.55,12.3,12.3,-0.05,-0.40%,1056,12.3,549,12.25,12.45,12.55,8.5,,
2015/1/23,EGF,201506,-,-,-,-,-,-,-,12.4,138,12.35,13.2,12.5,8.89,,
2015/1/23,EGF,201509,-,-,-,-,-,-,-,12.35,100,12.35,-,12.3,8.77,,
2015/1/23,EGF,201512,-,-,-,-,-,-,-,12.5,0,-,-,-,-,,
2015/1/26,EGF,201502,12.4,12.45,12.35,12.35,-0.05,-0.40%,1486,12.35,2942,12.35,12.45,12.7,9.19,,
2015/1/26,EGF,201503,12.35,12.4,12.35,12.35,0.05,0.41%,594,12.35,645,12.3,12.4,12.55,8.5,,
2015/1/26,EGF,201506,12.35,12.35,12.35,12.35,-0.05,-0.40%,4,12.35,139,12.35,-,12.5,8.89,,
