交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,ENF,201501,77.6,77.6,76.8,76.8,-2.7,-3.40%,11,76.8,23,75.9,77.1,77.6,68.6,,
2015/1/5,ENF,201502,76.6,76.6,76.5,76.5,-2.9,-3.65%,6,76.5,12,76,77.2,76.6,71.6,,
2015/1/5,ENF,201503,-,-,-,-,-,-,-,76.7,0,-,-,-,-,,
2015/1/5,ENF,201506,-,-,-,-,-,-,-,77.2,0,-,-,-,-,,
2015/1/5,ENF,201509,-,-,-,-,-,-,-,76.8,0,-,-,-,-,,
2015/1/6,ENF,201501,75.2,75.2,73.4,74,-2.8,-3.65%,10,74.7,16,73.8,75.5,77.6,68.6,,
2015/1/6,ENF,201502,75.9,75.9,75.9,75.9,-0.6,-0.78%,6,74.9,11,74.2,75.5,76.6,71.6,,
2015/1/6,ENF,201503,-,-,-,-,-,-,-,74.6,0,73.5,-,-,-,,
2015/1/6,ENF,201506,-,-,-,-,-,-,-,75.1,0,-,-,-,-,,
2015/1/6,ENF,201509,-,-,-,-,-,-,-,74.7,0,-,-,-,-,,
2015/1/7,ENF,201501,73.9,74,73.9,74,-0.7,-0.94%,6,74.0,19,72.6,74.4,77.6,68.6,,
2015/1/7,ENF,201502,74,74,74,74,-0.9,-1.20%,5,74.0,16,73.2,75,76.6,71.6,,
2015/1/7,ENF,201503,-,-,-,-,-,-,-,73.9,0,-,-,-,-,,
2015/1/7,ENF,201506,-,-,-,-,-,-,-,74.4,0,-,-,-,-,,
2015/1/7,ENF,201509,-,-,-,-,-,-,-,74.0,0,-,-,-,-,,
2015/1/8,ENF,201501,-,-,-,-,-,-,-,75.0,19,74.1,75.8,77.6,68.6,,
2015/1/8,ENF,201502,-,-,-,-,-,-,-,75.0,16,74.7,75.8,76.6,71.6,,
2015/1/8,ENF,201503,-,-,-,-,-,-,-,74.9,0,-,-,-,-,,
2015/1/8,ENF,201506,-,-,-,-,-,-,-,75.4,0,-,-,-,-,,
2015/1/8,ENF,201509,-,-,-,-,-,-,-,75.0,0,-,-,-,-,,
2015/1/9,ENF,201501,-,-,-,-,-,-,-,75.6,19,74.6,76.3,77.6,68.6,,
2015/1/9,ENF,201502,75.6,75.6,75.6,75.6,0.6,0.80%,4,75.6,20,75.2,76.3,76.6,71.6,,
2015/1/9,ENF,201503,-,-,-,-,-,-,-,75.5,0,-,-,-,-,,
2015/1/9,ENF,201506,-,-,-,-,-,-,-,76.0,0,-,-,-,-,,
2015/1/9,ENF,201509,-,-,-,-,-,-,-,75.6,0,-,-,-,-,,
2015/1/12,ENF,201501,75.8,76.5,75.4,75.4,-0.2,-0.26%,3,75.4,18,75,76.7,77.6,68.6,,
2015/1/12,ENF,201502,75.8,76,75.8,76,0.4,0.53%,6,76.0,20,75.6,76.7,76.6,71.6,,
2015/1/12,ENF,201503,-,-,-,-,-,-,-,75.3,0,-,-,-,-,,
2015/1/12,ENF,201506,-,-,-,-,-,-,-,75.8,0,-,-,-,-,,
2015/1/12,ENF,201509,-,-,-,-,-,-,-,75.4,0,-,-,-,-,,
2015/1/13,ENF,201501,-,-,-,-,-,-,-,76.4,18,75.8,76.9,77.6,68.6,,
2015/1/13,ENF,201502,76,76,76,76,0,0.00%,4,76.5,16,75.9,77,76.6,71.6,,
2015/1/13,ENF,201503,-,-,-,-,-,-,-,76.3,0,-,-,-,-,,
2015/1/13,ENF,201506,-,-,-,-,-,-,-,76.8,0,75.8,-,-,-,,
2015/1/13,ENF,201509,-,-,-,-,-,-,-,76.4,0,-,-,-,-,,
2015/1/14,ENF,201501,-,-,-,-,-,-,-,75.6,18,75,76.1,77.6,68.6,,
2015/1/14,ENF,201502,-,-,-,-,-,-,-,75.7,16,75,76.2,76.6,71.6,,
2015/1/14,ENF,201503,-,-,-,-,-,-,-,75.5,0,-,-,-,-,,
2015/1/14,ENF,201506,-,-,-,-,-,-,-,76.0,0,75,-,-,-,,
2015/1/14,ENF,201509,-,-,-,-,-,-,-,75.6,0,-,-,-,-,,
2015/1/15,ENF,201501,-,-,-,-,-,-,-,75.1,18,74.8,76,77.6,68.6,,
2015/1/15,ENF,201502,75,75,75,75,-0.7,-0.92%,3,75.0,16,74.9,76,76.6,71.6,,
2015/1/15,ENF,201503,-,-,-,-,-,-,-,75.0,0,-,-,-,-,,
2015/1/15,ENF,201506,-,-,-,-,-,-,-,75.5,0,-,-,-,-,,
2015/1/15,ENF,201509,-,-,-,-,-,-,-,75.1,0,-,-,-,-,,
2015/1/16,ENF,201501,75.1,75.1,75.1,75.1,0,0.00%,1,75.1,18,74,75.2,77.6,68.6,,
2015/1/16,ENF,201502,75.1,75.1,75.1,75.1,0.1,0.13%,1,75.1,17,74,75.3,76.6,71.6,,
2015/1/16,ENF,201503,-,-,-,-,-,-,-,75.0,0,-,-,-,-,,
2015/1/16,ENF,201506,-,-,-,-,-,-,-,75.5,0,-,-,-,-,,
2015/1/16,ENF,201509,-,-,-,-,-,-,-,75.1,0,-,-,-,-,,
2015/1/19,ENF,201501,-,-,-,-,-,-,-,73.5,18,72.6,74.3,77.6,68.6,,
2015/1/19,ENF,201502,-,-,-,-,-,-,-,73.5,17,71.5,74.4,76.6,71.6,,
2015/1/19,ENF,201503,-,-,-,-,-,-,-,73.4,0,-,-,-,-,,
2015/1/19,ENF,201506,-,-,-,-,-,-,-,73.9,0,-,-,-,-,,
2015/1/19,ENF,201509,-,-,-,-,-,-,-,73.5,0,-,-,-,-,,
2015/1/20,ENF,201501,-,-,-,-,-,-,-,73.6,18,72.9,74,77.6,68.6,,
2015/1/20,ENF,201502,73.5,73.5,73.2,73.2,-0.3,-0.41%,4,73.6,15,73,74.1,76.6,71.6,,
2015/1/20,ENF,201503,-,-,-,-,-,-,-,73.5,0,73.1,-,-,-,,
2015/1/20,ENF,201506,-,-,-,-,-,-,-,74.0,0,-,-,-,-,,
2015/1/20,ENF,201509,-,-,-,-,-,-,-,73.6,0,-,-,-,-,,
2015/1/21,ENF,201501,73.9,73.9,73.9,73.9,0.3,0.41%,1,0.0,18,71,-,77.6,68.6,,
2015/1/21,ENF,201502,74,74,74,74,0.4,0.54%,1,74.0,15,73.6,74.7,76.6,71.6,,
2015/1/21,ENF,201503,-,-,-,-,-,-,-,73.8,0,73.6,74.7,-,-,,
2015/1/21,ENF,201506,-,-,-,-,-,-,-,74.3,0,-,-,-,-,,
2015/1/21,ENF,201509,-,-,-,-,-,-,-,73.9,0,-,-,-,-,,
2015/1/22,ENF,201502,74.5,74.5,74.5,74.5,0.5,0.68%,1,74.0,16,73.4,74.5,76.6,71.6,,
2015/1/22,ENF,201503,74.5,74.5,74.5,74.5,0.7,0.95%,6,74.0,6,73.4,74.5,74.5,74.5,,
2015/1/22,ENF,201506,-,-,-,-,-,-,-,74.3,0,-,-,-,-,,
2015/1/22,ENF,201509,-,-,-,-,-,-,-,73.9,0,-,-,-,-,,
2015/1/22,ENF,201512,-,-,-,-,-,-,-,74.8,0,-,-,-,-,,
2015/1/23,ENF,201502,74.4,74.4,74.2,74.2,0.2,0.27%,3,74.2,17,73.7,74.9,76.6,71.6,,
2015/1/23,ENF,201503,-,-,-,-,-,-,-,74.2,6,73.7,75,74.5,74.5,,
2015/1/23,ENF,201506,-,-,-,-,-,-,-,74.5,0,-,-,-,-,,
2015/1/23,ENF,201509,-,-,-,-,-,-,-,74.1,0,-,-,-,-,,
2015/1/23,ENF,201512,-,-,-,-,-,-,-,75.0,0,-,-,-,-,,
2015/1/26,ENF,201502,74.8,74.8,73.1,73.1,-1.1,-1.48%,11,73.1,19,73.2,73.9,76.6,71.6,,
2015/1/26,ENF,201503,-,-,-,-,-,-,-,73.1,6,73,73.9,74.5,74.5,,
2015/1/26,ENF,201506,-,-,-,-,-,-,-,73.4,0,-,-,-,-,,
2015/1/26,ENF,201509,-,-,-,-,-,-,-,73.0,0,-,-,-,-,,
2015/1/26,ENF,201512,-,-,-,-,-,-,-,73.9,0,-,-,-,-,,
2015/1/27,ENF,201502,73.1,73.1,73.1,73.1,0,0.00%,5,73.1,24,72.7,73.9,76.6,71.6,,
2015/1/27,ENF,201503,73.2,73.2,73.2,73.2,0.1,0.14%,1,73.2,7,72.8,73.9,74.5,73.2,,
2015/1/27,ENF,201506,-,-,-,-,-,-,-,73.4,0,73,-,-,-,,
2015/1/27,ENF,201509,-,-,-,-,-,-,-,73.0,0,-,-,-,-,,
