交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/7/27,EV1,201508,-,-,-,-,-,-,-,19.65,99,-,20.5,24.45,22.7,,
2015/7/27,EV1,201509,-,-,-,-,-,-,-,19.6,3,19.1,-,22.75,22.65,,
2015/7/28,EV1,201508,19.4,19.4,19.4,19.4,-0.25,-1.27%,1,19.4,98,19.25,19.85,24.45,19.4,,
2015/7/28,EV1,201509,-,-,-,-,-,-,-,19.35,3,17.75,19.45,22.75,22.65,,
2015/7/29,EV1,201508,19.35,19.35,19.35,19.35,-0.05,-0.26%,5,19.5,98,19.35,19.65,24.45,19.35,,
2015/7/29,EV1,201509,19.3,19.3,19.3,19.3,-0.05,-0.26%,1,19.45,4,17.55,19.65,22.75,19.3,,
2015/7/30,EV1,201508,-,-,-,-,-,-,-,19.25,98,19.3,19.75,24.45,19.35,,
2015/7/30,EV1,201509,-,-,-,-,-,-,-,19.2,4,17.7,19.75,22.75,19.3,,
2015/7/31,EV1,201508,-,-,-,-,-,-,-,19.2,98,18.95,19.4,24.45,19.35,,
2015/7/31,EV1,201509,-,-,-,-,-,-,-,19.15,4,19.05,19.35,22.75,19.3,,
2015/8/3,EV1,201508,-,-,-,-,-,-,-,18.7,98,18.35,-,24.45,19.35,,
2015/8/3,EV1,201509,18.9,18.9,18.8,18.8,-0.35,-1.83%,5,18.8,3,17.45,18.8,22.75,18.8,,
2015/8/4,EV1,201508,-,-,-,-,-,-,-,18.35,98,18.25,18.75,24.45,19.35,,
2015/8/4,EV1,201509,18.55,18.55,18.55,18.55,-0.25,-1.33%,1,18.45,3,18.2,18.75,22.75,18.55,,
2015/8/5,EV1,201508,-,-,-,-,-,-,-,18.7,98,18.7,19.15,24.45,19.35,,
2015/8/5,EV1,201509,-,-,-,-,-,-,-,18.8,3,-,19.15,22.75,18.55,,
2015/8/6,EV1,201508,-,-,-,-,-,-,-,18.75,98,-,19,24.45,19.35,,
2015/8/6,EV1,201509,-,-,-,-,-,-,-,18.85,3,18.45,19.05,22.75,18.55,,
2015/8/7,EV1,201508,-,-,-,-,-,-,-,18.85,98,-,19.05,24.45,19.35,,
2015/8/7,EV1,201509,-,-,-,-,-,-,-,18.95,3,18.6,19.05,22.75,18.55,,
2015/8/10,EV1,201508,19.5,19.5,19.5,19.5,0.65,3.45%,1,19.4,98,19.45,19.6,24.45,19.35,,
2015/8/10,EV1,201509,-,-,-,-,-,-,-,19.5,3,19.1,-,22.75,18.55,,
2015/8/11,EV1,201508,-,-,-,-,-,-,-,18.85,98,-,19.2,24.45,19.35,,
2015/8/11,EV1,201509,19.3,19.35,19.3,19.35,-0.15,-0.77%,2,18.95,1,18.7,19.15,22.75,18.55,,
2015/8/12,EV1,201508,-,-,-,-,-,-,-,18.6,98,18.7,-,24.45,19.35,,
2015/8/12,EV1,201509,-,-,-,-,-,-,-,18.7,1,18.7,19.3,22.75,18.55,,
2015/8/13,EV1,201508,-,-,-,-,-,-,-,18.95,98,18.7,19.2,24.45,19.35,,
2015/8/13,EV1,201509,18.8,18.8,18.8,18.8,0.1,0.53%,1,18.95,1,18.7,19.2,22.75,18.55,,
2015/8/14,EV1,201508,-,-,-,-,-,-,-,18.75,98,-,19.2,24.45,19.35,,
2015/8/14,EV1,201509,-,-,-,-,-,-,-,18.75,1,18.75,-,22.75,18.55,,
2015/8/17,EV1,201508,-,-,-,-,-,-,-,17.75,98,17.7,18.1,24.45,19.35,,
2015/8/17,EV1,201509,-,-,-,-,-,-,-,17.75,1,17.7,18.1,22.75,18.55,,
2015/8/18,EV1,201508,-,-,-,-,-,-,-,17.55,98,-,18,24.45,19.35,,
2015/8/18,EV1,201509,-,-,-,-,-,-,-,17.55,1,17.55,18,22.75,18.55,,
2015/8/19,EV1,201508,-,-,-,-,-,-,-,0.0,98,-,-,24.45,19.35,,
2015/8/19,EV1,201509,-,-,-,-,-,-,-,16.65,1,-,16.9,22.75,18.55,,
2015/8/20,EV1,201509,-,-,-,-,-,-,-,16.7,1,-,17,22.75,18.55,,
2015/8/21,EV1,201509,-,-,-,-,-,-,-,16.15,1,15.9,16.35,22.75,18.55,,
2015/8/24,EV1,201509,-,-,-,-,-,-,-,14.9,1,-,-,22.75,18.55,,
2015/8/25,EV1,201509,-,-,-,-,-,-,-,14.95,1,14.4,15.55,22.75,18.55,,
2015/8/26,EV1,201509,-,-,-,-,-,-,-,15.35,1,14.85,15.7,22.75,18.55,,
2015/8/27,EV1,201509,-,-,-,-,-,-,-,15.9,1,-,16.15,22.75,18.55,,
2015/8/28,EV1,201509,-,-,-,-,-,-,-,16.4,1,-,16.9,22.75,18.55,,
2015/8/31,EV1,201509,-,-,-,-,-,-,-,16.2,1,15.75,16.9,22.75,18.55,,
2015/9/1,EV1,201509,-,-,-,-,-,-,-,16.1,1,15.1,16.95,22.75,18.55,,
2015/9/2,EV1,201509,-,-,-,-,-,-,-,16.35,1,15.95,16.75,22.75,18.55,,
2015/9/3,EV1,201509,-,-,-,-,-,-,-,16.8,1,16.35,17.1,22.75,18.55,,
2015/9/4,EV1,201509,-,-,-,-,-,-,-,16.35,1,-,16.75,22.75,18.55,,
2015/9/7,EV1,201509,-,-,-,-,-,-,-,16.3,1,16.3,-,22.75,18.55,,
2015/9/8,EV1,201509,-,-,-,-,-,-,-,16.55,1,16.35,16.8,22.75,18.55,,
2015/9/9,EV1,201509,17.05,17.05,17.05,17.05,0.5,3.02%,1,17.05,2,-,17.45,22.75,17.05,,
