交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,EWF,201501,11,11.25,10.95,11.15,0.15,1.36%,109,11.15,138,11.1,11.35,11.4,9.89,,
2015/1/5,EWF,201502,10.95,11.25,10.95,11.15,0.2,1.83%,75,11.15,65,11.05,11.3,11.35,10,,
2015/1/5,EWF,201503,-,-,-,-,-,-,-,11.25,4,-,11.6,10.2,10.2,,
2015/1/5,EWF,201506,-,-,-,-,-,-,-,11.25,4,-,-,10,10,,
2015/1/5,EWF,201509,-,-,-,-,-,-,-,11.4,0,-,-,-,-,,
2015/1/6,EWF,201501,10.95,10.95,10.85,10.85,-0.3,-2.69%,453,10.85,131,10.6,11.1,11.4,9.89,,
2015/1/6,EWF,201502,10.95,10.95,10.85,10.85,-0.3,-2.69%,440,10.85,23,10.55,11.05,11.35,10,,
2015/1/6,EWF,201503,-,-,-,-,-,-,-,10.95,4,-,11.6,10.2,10.2,,
2015/1/6,EWF,201506,-,-,-,-,-,-,-,10.95,4,-,-,10,10,,
2015/1/6,EWF,201509,-,-,-,-,-,-,-,11.1,0,-,-,-,-,,
2015/1/7,EWF,201501,10.8,10.9,10.75,10.85,0,0.00%,775,10.85,111,10.5,11.05,11.4,9.89,,
2015/1/7,EWF,201502,10.8,10.9,10.75,10.85,0,0.00%,788,10.85,40,10.55,11,11.35,10,,
2015/1/7,EWF,201503,-,-,-,-,-,-,-,10.95,4,-,11.6,10.2,10.2,,
2015/1/7,EWF,201506,-,-,-,-,-,-,-,10.95,4,-,-,10,10,,
2015/1/7,EWF,201509,-,-,-,-,-,-,-,11.1,0,-,-,-,-,,
2015/1/8,EWF,201501,11,11.1,10.85,10.9,0.05,0.46%,440,10.9,86,10.7,11.1,11.4,9.89,,
2015/1/8,EWF,201502,11,11.1,10.85,10.85,0,0.00%,397,10.85,54,10.65,11.05,11.35,10,,
2015/1/8,EWF,201503,-,-,-,-,-,-,-,11.0,4,-,11.5,10.2,10.2,,
2015/1/8,EWF,201506,-,-,-,-,-,-,-,11.0,4,-,-,10,10,,
2015/1/8,EWF,201509,-,-,-,-,-,-,-,11.15,0,-,-,-,-,,
2015/1/9,EWF,201501,10.9,10.95,10.85,10.85,-0.05,-0.46%,148,10.85,107,10.6,11.05,11.4,9.89,,
2015/1/9,EWF,201502,10.95,10.95,10.85,10.85,0,0.00%,84,10.85,44,10.65,11,11.35,10,,
2015/1/9,EWF,201503,-,-,-,-,-,-,-,10.95,4,10.8,11.5,10.2,10.2,,
2015/1/9,EWF,201506,-,-,-,-,-,-,-,10.95,4,-,-,10,10,,
2015/1/9,EWF,201509,-,-,-,-,-,-,-,11.1,0,-,-,-,-,,
2015/1/12,EWF,201501,11.15,11.15,11.05,11.15,0.3,2.76%,98,11.15,94,10.9,11.35,11.4,9.89,,
2015/1/12,EWF,201502,11,11.15,11,11.15,0.3,2.76%,93,11.15,58,10.95,11.35,11.35,10,,
2015/1/12,EWF,201503,-,-,-,-,-,-,-,11.25,4,-,11.6,10.2,10.2,,
2015/1/12,EWF,201506,-,-,-,-,-,-,-,11.25,4,-,-,10,10,,
2015/1/12,EWF,201509,-,-,-,-,-,-,-,11.4,0,-,-,-,-,,
2015/1/13,EWF,201501,11.25,11.45,11.25,11.3,0.15,1.35%,841,11.3,135,11.15,11.6,11.45,9.89,,
2015/1/13,EWF,201502,11.25,11.45,11.25,11.35,0.2,1.79%,785,11.35,61,11.15,11.6,11.45,10,,
2015/1/13,EWF,201503,11.3,11.3,11.3,11.3,0.05,0.44%,4,11.3,0,10.55,-,11.3,10.2,,
2015/1/13,EWF,201506,11.3,11.3,11.3,11.3,0.05,0.44%,4,11.3,0,-,-,11.3,10,,
2015/1/13,EWF,201509,-,-,-,-,-,-,-,11.55,0,-,-,-,-,,
2015/1/14,EWF,201501,11.25,11.25,11.1,11.15,-0.15,-1.33%,890,11.15,141,10.85,11.5,11.45,9.89,,
2015/1/14,EWF,201502,11.3,11.3,11.1,11.15,-0.2,-1.76%,911,11.15,43,10.9,11.55,11.45,10,,
2015/1/14,EWF,201503,-,-,-,-,-,-,-,11.15,0,11,-,11.3,10.2,,
2015/1/14,EWF,201506,-,-,-,-,-,-,-,11.15,0,-,-,11.3,10,,
2015/1/14,EWF,201509,-,-,-,-,-,-,-,11.4,0,-,-,-,-,,
2015/1/15,EWF,201501,11.2,11.2,10.95,11.1,-0.05,-0.45%,136,11.1,170,10.85,11.3,11.45,9.89,,
2015/1/15,EWF,201502,11.2,11.2,11.05,11.05,-0.1,-0.90%,104,11.05,57,10.85,11.3,11.45,10,,
2015/1/15,EWF,201503,-,-,-,-,-,-,-,11.1,0,11,-,11.3,10.2,,
2015/1/15,EWF,201506,-,-,-,-,-,-,-,11.1,0,-,-,11.3,10,,
2015/1/15,EWF,201509,-,-,-,-,-,-,-,11.35,0,-,-,-,-,,
2015/1/16,EWF,201501,11.05,11.05,10.7,10.8,-0.3,-2.70%,203,10.8,156,-,10.95,11.45,9.89,,
2015/1/16,EWF,201502,11.05,11.05,10.7,10.8,-0.25,-2.26%,183,10.8,25,10.45,10.95,11.45,10,,
2015/1/16,EWF,201503,-,-,-,-,-,-,-,10.8,0,-,-,11.3,10.2,,
2015/1/16,EWF,201506,11,11,11,11,-0.1,-0.90%,2,10.8,2,-,-,11.3,10,,
2015/1/16,EWF,201509,-,-,-,-,-,-,-,11.05,0,-,-,-,-,,
2015/1/19,EWF,201501,10.9,10.9,10.75,10.8,0,0.00%,94,10.8,152,10.6,11.05,11.45,9.89,,
2015/1/19,EWF,201502,10.75,10.85,10.75,10.8,0,0.00%,120,10.8,29,10.6,11.5,11.45,10,,
2015/1/19,EWF,201503,-,-,-,-,-,-,-,10.8,0,-,-,11.3,10.2,,
2015/1/19,EWF,201506,-,-,-,-,-,-,-,10.8,2,-,-,11.3,10,,
2015/1/19,EWF,201509,-,-,-,-,-,-,-,11.05,0,-,-,-,-,,
2015/1/20,EWF,201501,10.8,10.85,10.7,10.8,0,0.00%,1005,10.8,114,10.6,11.05,11.45,9.89,,
2015/1/20,EWF,201502,10.8,10.85,10.7,10.8,0,0.00%,613,10.8,30,10.6,11.05,11.45,10,,
2015/1/20,EWF,201503,-,-,-,-,-,-,-,10.8,0,-,-,11.3,10.2,,
2015/1/20,EWF,201506,-,-,-,-,-,-,-,10.8,2,-,-,11.3,10,,
2015/1/20,EWF,201509,-,-,-,-,-,-,-,11.05,0,-,-,-,-,,
2015/1/21,EWF,201501,10.7,10.7,10.7,10.7,-0.1,-0.93%,4,0.0,114,-,-,11.45,9.89,,
2015/1/21,EWF,201502,10.8,10.8,10.7,10.7,-0.1,-0.93%,25,10.7,26,10.5,10.95,11.45,10,,
2015/1/21,EWF,201503,-,-,-,-,-,-,-,10.7,0,10.5,10.95,11.3,10.2,,
2015/1/21,EWF,201506,-,-,-,-,-,-,-,10.7,2,10.7,-,11.3,10,,
2015/1/21,EWF,201509,-,-,-,-,-,-,-,10.95,0,-,-,-,-,,
2015/1/22,EWF,201502,10.75,10.85,10.75,10.8,0.1,0.93%,31,10.8,20,10.65,11.05,11.45,10,,
2015/1/22,EWF,201503,10.85,10.85,10.8,10.8,0.1,0.93%,50,10.8,5,10.65,11.05,11.3,10.2,,
2015/1/22,EWF,201506,-,-,-,-,-,-,-,10.8,2,-,-,11.3,10,,
2015/1/22,EWF,201509,-,-,-,-,-,-,-,11.05,0,-,-,-,-,,
2015/1/22,EWF,201512,-,-,-,-,-,-,-,10.9,0,-,-,-,-,,
2015/1/23,EWF,201502,10.9,10.9,10.8,10.8,0,0.00%,75,10.8,20,10.05,11.05,11.45,10,,
2015/1/23,EWF,201503,10.9,10.9,10.75,10.8,0,0.00%,115,10.8,15,10.6,11.05,11.3,10.2,,
2015/1/23,EWF,201506,-,-,-,-,-,-,-,10.8,2,-,-,11.3,10,,
2015/1/23,EWF,201509,-,-,-,-,-,-,-,11.05,0,-,-,-,-,,
2015/1/23,EWF,201512,-,-,-,-,-,-,-,10.9,0,-,-,-,-,,
2015/1/26,EWF,201502,10.7,10.7,10.5,10.6,-0.2,-1.85%,215,10.6,20,10.45,10.85,11.45,10,,
2015/1/26,EWF,201503,10.7,10.7,10.5,10.65,-0.15,-1.39%,235,10.65,25,10.4,10.85,11.3,10.2,,
2015/1/26,EWF,201506,-,-,-,-,-,-,-,10.6,2,10.5,-,11.3,10,,
2015/1/26,EWF,201509,-,-,-,-,-,-,-,10.85,0,-,-,-,-,,
2015/1/26,EWF,201512,-,-,-,-,-,-,-,10.7,0,-,-,-,-,,
2015/1/27,EWF,201502,10.6,10.6,10.6,10.6,0,0.00%,20,10.6,20,10.45,10.9,11.45,10,,
2015/1/27,EWF,201503,10.65,10.65,10.6,10.6,-0.05,-0.47%,25,10.6,20,10.45,10.9,11.3,10.2,,
2015/1/27,EWF,201506,-,-,-,-,-,-,-,10.6,2,-,-,11.3,10,,
2015/1/27,EWF,201509,-,-,-,-,-,-,-,10.85,0,-,-,-,-,,
2015/1/27,EWF,201512,-,-,-,-,-,-,-,10.7,0,-,-,-,-,,
2015/1/28,EWF,201502,10.65,10.65,10.65,10.65,0.05,0.47%,10,10.65,20,10.45,10.9,11.45,10,,
2015/1/28,EWF,201503,10.65,10.65,10.65,10.65,0.05,0.47%,10,10.65,20,9.94,10.9,11.3,10.2,,
2015/1/28,EWF,201506,-,-,-,-,-,-,-,10.65,2,-,-,11.3,10,,
2015/1/28,EWF,201509,-,-,-,-,-,-,-,10.9,0,-,-,-,-,,
2015/1/28,EWF,201512,-,-,-,-,-,-,-,10.75,0,-,-,-,-,,
2015/1/29,EWF,201502,10.65,10.65,10.65,10.65,0,0.00%,10,10.65,20,10.4,10.85,11.45,10,,
2015/1/29,EWF,201503,10.65,10.65,10.65,10.65,0,0.00%,10,10.65,20,10.4,10.85,11.3,10.2,,
2015/1/29,EWF,201506,-,-,-,-,-,-,-,10.65,2,-,-,11.3,10,,
2015/1/29,EWF,201509,-,-,-,-,-,-,-,10.9,0,-,-,-,-,,
2015/1/29,EWF,201512,-,-,-,-,-,-,-,10.75,0,-,-,-,-,,
2015/1/30,EWF,201502,10.7,10.7,10.7,10.7,0.05,0.47%,40,10.7,24,10.5,10.9,11.45,10,,
2015/1/30,EWF,201503,10.7,10.7,10.7,10.7,0.05,0.47%,45,10.7,15,10.45,10.9,11.3,10.2,,
2015/1/30,EWF,201506,-,-,-,-,-,-,-,10.7,2,-,-,11.3,10,,
2015/1/30,EWF,201509,-,-,-,-,-,-,-,10.95,0,-,-,-,-,,
2015/1/30,EWF,201512,-,-,-,-,-,-,-,10.8,0,-,-,-,-,,
2015/2/2,EWF,201502,10.7,10.7,10.65,10.65,-0.05,-0.47%,35,10.65,24,10.45,10.9,11.45,10,,
2015/2/2,EWF,201503,10.7,10.7,10.65,10.65,-0.05,-0.47%,75,10.65,10,10.45,10.9,11.3,10.2,,
2015/2/2,EWF,201506,-,-,-,-,-,-,-,10.65,2,-,-,11.3,10,,
2015/2/2,EWF,201509,-,-,-,-,-,-,-,10.9,0,-,-,-,-,,
2015/2/2,EWF,201512,-,-,-,-,-,-,-,10.75,0,-,-,-,-,,
2015/2/3,EWF,201502,10.65,10.65,10.65,10.65,0,0.00%,20,10.65,24,10.4,10.85,11.45,10,,
2015/2/3,EWF,201503,10.65,10.65,10.65,10.65,0,0.00%,10,10.65,10,10.4,10.85,11.3,10.2,,
2015/2/3,EWF,201506,-,-,-,-,-,-,-,10.65,2,-,-,11.3,10,,
2015/2/3,EWF,201509,-,-,-,-,-,-,-,10.9,0,-,-,-,-,,
2015/2/3,EWF,201512,-,-,-,-,-,-,-,10.75,0,-,-,-,-,,
2015/2/4,EWF,201502,10.6,10.6,10.55,10.55,-0.1,-0.94%,35,10.55,20,10.35,10.8,11.45,10,,
2015/2/4,EWF,201503,10.6,10.6,10.55,10.6,-0.05,-0.47%,45,10.6,5,10.35,10.85,11.3,10.2,,
2015/2/4,EWF,201506,-,-,-,-,-,-,-,10.55,2,-,-,11.3,10,,
2015/2/4,EWF,201509,-,-,-,-,-,-,-,10.8,0,-,-,-,-,,
2015/2/4,EWF,201512,-,-,-,-,-,-,-,10.65,0,-,-,-,-,,
2015/2/5,EWF,201502,10.6,10.6,10.5,10.5,-0.05,-0.47%,65,10.5,20,10.35,10.8,11.45,10,,
2015/2/5,EWF,201503,10.6,10.6,10.5,10.5,-0.1,-0.94%,75,10.5,5,10.35,10.8,11.3,10.2,,
2015/2/5,EWF,201506,-,-,-,-,-,-,-,10.5,2,10.5,-,11.3,10,,
2015/2/5,EWF,201509,-,-,-,-,-,-,-,10.75,0,-,-,-,-,,
2015/2/5,EWF,201512,-,-,-,-,-,-,-,10.6,0,-,-,-,-,,
2015/2/6,EWF,201502,10.5,10.5,10.35,10.4,-0.1,-0.95%,90,10.4,20,10.05,10.5,11.45,10,,
2015/2/6,EWF,201503,10.5,10.5,10.35,10.4,-0.1,-0.95%,180,10.4,5,10.05,10.5,11.3,10.2,,
2015/2/6,EWF,201506,10.4,10.4,10.4,10.4,-0.1,-0.95%,2,10.4,4,-,-,11.3,10,,
2015/2/6,EWF,201509,-,-,-,-,-,-,-,10.65,0,-,-,-,-,,
2015/2/6,EWF,201512,-,-,-,-,-,-,-,10.5,0,-,-,-,-,,
2015/2/9,EWF,201502,10.25,10.35,10.2,10.3,-0.1,-0.96%,80,10.3,20,-,11.05,11.45,10,,
