交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,EYF,201501,10.5,10.65,10.4,10.55,0,0.00%,195,10.55,93,10.35,10.8,11.1,9.36,,
2015/1/5,EYF,201502,10.45,10.65,10.45,10.55,0,0.00%,160,10.55,54,10.35,10.8,11.1,9.69,,
2015/1/5,EYF,201503,-,-,-,-,-,-,-,10.5,5,-,-,10.95,7.65,,
2015/1/5,EYF,201506,-,-,-,-,-,-,-,10.55,0,-,-,10.55,7.65,,
2015/1/5,EYF,201509,-,-,-,-,-,-,-,10.5,0,-,-,-,-,,
2015/1/6,EYF,201501,10.5,10.55,10.4,10.4,-0.15,-1.42%,225,10.4,83,10.25,10.65,11.1,9.36,,
2015/1/6,EYF,201502,10.5,10.55,10.4,10.4,-0.15,-1.42%,141,10.4,54,10.25,10.65,11.1,9.69,,
2015/1/6,EYF,201503,-,-,-,-,-,-,-,10.35,5,-,-,10.95,7.65,,
2015/1/6,EYF,201506,-,-,-,-,-,-,-,10.4,0,-,-,10.55,7.65,,
2015/1/6,EYF,201509,-,-,-,-,-,-,-,10.35,0,-,-,-,-,,
2015/1/7,EYF,201501,10.45,10.7,10.45,10.6,0.2,1.92%,262,10.6,98,10.45,10.6,11.1,9.36,,
2015/1/7,EYF,201502,10.45,10.7,10.45,10.6,0.2,1.92%,204,10.6,64,10.35,10.7,11.1,9.69,,
2015/1/7,EYF,201503,-,-,-,-,-,-,-,10.55,5,-,-,10.95,7.65,,
2015/1/7,EYF,201506,-,-,-,-,-,-,-,10.6,0,-,-,10.55,7.65,,
2015/1/7,EYF,201509,-,-,-,-,-,-,-,10.55,0,-,-,-,-,,
2015/1/8,EYF,201501,10.65,10.7,10.55,10.6,0,0.00%,360,10.6,98,10.55,10.75,11.1,9.36,,
2015/1/8,EYF,201502,10.65,10.7,10.55,10.65,0.05,0.47%,311,10.65,60,10.45,10.85,11.1,9.69,,
2015/1/8,EYF,201503,-,-,-,-,-,-,-,10.55,5,-,-,10.95,7.65,,
2015/1/8,EYF,201506,-,-,-,-,-,-,-,10.6,0,-,-,10.55,7.65,,
2015/1/8,EYF,201509,-,-,-,-,-,-,-,10.55,0,-,-,-,-,,
2015/1/9,EYF,201501,10.6,10.65,10.5,10.5,-0.1,-0.94%,142,10.5,83,10.4,10.65,11.1,9.36,,
2015/1/9,EYF,201502,10.6,10.65,10.55,10.6,-0.05,-0.47%,155,10.6,49,10.3,10.75,11.1,9.69,,
2015/1/9,EYF,201503,-,-,-,-,-,-,-,10.45,5,-,-,10.95,7.65,,
2015/1/9,EYF,201506,-,-,-,-,-,-,-,10.5,0,-,-,10.55,7.65,,
2015/1/9,EYF,201509,-,-,-,-,-,-,-,10.45,0,-,-,-,-,,
