交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,FAF,201501,154.5,154.5,153.5,153.5,-2,-1.29%,3,153.5,15,153.5,156,161,149.5,,
2015/1/5,FAF,201502,154.5,154.5,154.5,154.5,-1,-0.64%,1,154.5,11,153,155.5,158,150,,
2015/1/5,FAF,201503,-,-,-,-,-,-,-,153.5,5,153,-,175,149,,
2015/1/5,FAF,201506,-,-,-,-,-,-,-,152.5,16,153,-,188.5,149,,
2015/1/5,FAF,201509,-,-,-,-,-,-,-,152.0,6,154,156.5,161,153.5,,
2015/1/6,FAF,201501,153,153,153,153,-0.5,-0.33%,1,153.0,15,152.5,155,161,149.5,,
2015/1/6,FAF,201502,-,-,-,-,-,-,-,154.0,11,151,155,158,150,,
2015/1/6,FAF,201503,-,-,-,-,-,-,-,153.0,5,-,-,175,149,,
2015/1/6,FAF,201506,-,-,-,-,-,-,-,152.0,16,-,-,188.5,149,,
2015/1/6,FAF,201509,-,-,-,-,-,-,-,151.5,6,153,-,161,153.5,,
2015/1/7,FAF,201501,-,-,-,-,-,-,-,154.0,15,151.5,156,161,149.5,,
2015/1/7,FAF,201502,-,-,-,-,-,-,-,155.0,11,153,155,158,150,,
2015/1/7,FAF,201503,-,-,-,-,-,-,-,154.0,5,-,-,175,149,,
2015/1/7,FAF,201506,-,-,-,-,-,-,-,153.0,16,151,156,188.5,149,,
2015/1/7,FAF,201509,-,-,-,-,-,-,-,152.5,6,154,156,161,153.5,,
2015/1/8,FAF,201501,154,158,154,158,4,2.60%,2,156.0,15,154,157.5,161,149.5,,
2015/1/8,FAF,201502,-,-,-,-,-,-,-,157.0,11,153,156,158,150,,
2015/1/8,FAF,201503,-,-,-,-,-,-,-,156.0,5,-,-,175,149,,
2015/1/8,FAF,201506,-,-,-,-,-,-,-,155.0,16,-,-,188.5,149,,
