交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,FBF,201501,24,24.15,24,24.15,0.15,0.63%,35,24.15,11,23.85,24.3,24.5,23,,
2015/1/5,FBF,201502,24,24,23.95,23.95,-0.15,-0.62%,17,24.15,19,23.85,24.45,24,23.15,,
2015/1/5,FBF,201503,-,-,-,-,-,-,-,24.05,0,-,-,-,-,,
2015/1/5,FBF,201506,-,-,-,-,-,-,-,24.15,0,-,-,-,-,,
2015/1/5,FBF,201509,-,-,-,-,-,-,-,24.45,0,-,-,-,-,,
2015/1/6,FBF,201501,23.95,23.95,23.9,23.9,-0.25,-1.04%,16,23.9,15,23.75,24.2,24.5,23,,
2015/1/6,FBF,201502,23.85,24,23.85,24,-0.15,-0.62%,12,24.0,24,23.75,24.2,24,23.15,,
2015/1/6,FBF,201503,-,-,-,-,-,-,-,23.8,0,-,-,-,-,,
2015/1/6,FBF,201506,-,-,-,-,-,-,-,23.9,0,-,-,-,-,,
2015/1/6,FBF,201509,-,-,-,-,-,-,-,24.2,0,-,-,-,-,,
2015/1/7,FBF,201501,24.15,24.15,24.05,24.05,0.15,0.63%,26,24.05,19,23.7,24.05,24.5,23,,
2015/1/7,FBF,201502,23.95,24.1,23.95,24.05,0.05,0.21%,16,24.05,14,23.7,24.1,24.1,23.15,,
2015/1/7,FBF,201503,-,-,-,-,-,-,-,23.95,0,-,-,-,-,,
2015/1/7,FBF,201506,-,-,-,-,-,-,-,24.05,0,-,-,-,-,,
2015/1/7,FBF,201509,-,-,-,-,-,-,-,24.35,0,-,-,-,-,,
2015/1/8,FBF,201501,24.05,24.15,24.05,24.1,0.05,0.21%,16,24.1,13,23.95,24.4,24.5,23,,
2015/1/8,FBF,201502,24.1,24.15,24.1,24.1,0.05,0.21%,16,24.1,10,23.95,24.3,24.15,23.15,,
2015/1/8,FBF,201503,-,-,-,-,-,-,-,24.0,0,-,-,-,-,,
2015/1/8,FBF,201506,-,-,-,-,-,-,-,24.1,0,-,-,-,-,,
2015/1/8,FBF,201509,-,-,-,-,-,-,-,24.4,0,-,-,-,-,,
2015/1/9,FBF,201501,23.95,23.95,23.95,23.95,-0.15,-0.62%,1,23.95,12,23.75,24.2,24.5,23,,
2015/1/9,FBF,201502,23.95,23.95,23.9,23.9,-0.2,-0.83%,6,23.9,14,23.65,24.5,24.15,23.15,,
2015/1/9,FBF,201503,-,-,-,-,-,-,-,23.85,0,-,-,-,-,,
2015/1/9,FBF,201506,-,-,-,-,-,-,-,23.95,0,-,-,-,-,,
2015/1/9,FBF,201509,-,-,-,-,-,-,-,24.25,0,-,-,-,-,,
2015/1/12,FBF,201501,23.85,24.1,23.85,24.05,0.1,0.42%,25,23.85,27,23.65,24.05,24.5,23,,
2015/1/12,FBF,201502,23.85,24.1,23.8,23.8,-0.1,-0.42%,35,23.8,16,23.6,24.05,24.15,23.15,,
2015/1/12,FBF,201503,-,-,-,-,-,-,-,23.75,0,-,-,-,-,,
2015/1/12,FBF,201506,-,-,-,-,-,-,-,23.85,0,-,-,-,-,,
2015/1/12,FBF,201509,-,-,-,-,-,-,-,24.15,0,-,-,-,-,,
2015/1/13,FBF,201501,24,24,23.95,23.95,0.1,0.42%,4,24.05,28,23.8,24.25,24.5,23,,
2015/1/13,FBF,201502,24,24,23.95,24,0.2,0.84%,8,24.0,19,23.8,24.1,24.15,23.15,,
2015/1/13,FBF,201503,-,-,-,-,-,-,-,23.95,0,-,-,-,-,,
2015/1/13,FBF,201506,-,-,-,-,-,-,-,24.05,0,-,-,-,-,,
2015/1/13,FBF,201509,-,-,-,-,-,-,-,24.35,0,-,-,-,-,,
2015/1/14,FBF,201501,-,-,-,-,-,-,-,24.1,28,23.8,24.25,24.5,23,,
2015/1/14,FBF,201502,24.05,24.1,23.95,24.1,0.1,0.42%,31,24.1,20,24.05,24.25,24.15,23.15,,
2015/1/14,FBF,201503,-,-,-,-,-,-,-,24.0,0,-,-,-,-,,
2015/1/14,FBF,201506,-,-,-,-,-,-,-,24.1,0,-,-,-,-,,
2015/1/14,FBF,201509,-,-,-,-,-,-,-,24.4,0,-,-,-,-,,
2015/1/15,FBF,201501,24,24,24,24,-0.1,-0.41%,4,24.0,31,23.75,24.2,24.5,23,,
2015/1/15,FBF,201502,23.9,23.9,23.9,23.9,-0.2,-0.83%,2,23.9,20,23.9,24.1,24.15,23.15,,
2015/1/15,FBF,201503,-,-,-,-,-,-,-,23.9,0,-,-,-,-,,
2015/1/15,FBF,201506,-,-,-,-,-,-,-,24.0,0,-,-,-,-,,
2015/1/15,FBF,201509,-,-,-,-,-,-,-,24.3,0,-,-,-,-,,
2015/1/16,FBF,201501,23.85,23.85,23.8,23.8,-0.2,-0.83%,17,23.8,24,22.55,23.95,24.5,23,,
2015/1/16,FBF,201502,23.85,23.85,23.8,23.8,-0.1,-0.42%,7,23.8,21,23.6,24.15,24.15,23.15,,
2015/1/16,FBF,201503,-,-,-,-,-,-,-,23.7,0,-,-,-,-,,
2015/1/16,FBF,201506,-,-,-,-,-,-,-,23.8,0,-,-,-,-,,
2015/1/16,FBF,201509,-,-,-,-,-,-,-,24.1,0,-,-,-,-,,
2015/1/19,FBF,201501,24,24,23.95,23.95,0.15,0.63%,3,23.95,24,23.55,24,24.5,23,,
2015/1/19,FBF,201502,23.95,23.95,23.75,23.8,0,0.00%,7,23.8,26,23.6,24,24.15,23.15,,
2015/1/19,FBF,201503,-,-,-,-,-,-,-,23.85,0,-,-,-,-,,
2015/1/19,FBF,201506,-,-,-,-,-,-,-,23.95,0,-,-,-,-,,
2015/1/19,FBF,201509,-,-,-,-,-,-,-,24.25,0,-,-,-,-,,
2015/1/20,FBF,201501,-,-,-,-,-,-,-,24.0,24,23.8,24.2,24.5,23,,
2015/1/20,FBF,201502,23.9,23.9,23.9,23.9,0.1,0.42%,1,23.9,26,23.65,23.95,24.15,23.15,,
2015/1/20,FBF,201503,-,-,-,-,-,-,-,23.9,0,-,-,-,-,,
2015/1/20,FBF,201506,-,-,-,-,-,-,-,24.0,0,-,-,-,-,,
2015/1/20,FBF,201509,-,-,-,-,-,-,-,24.3,0,-,-,-,-,,
2015/1/21,FBF,201501,23.95,23.95,23.95,23.95,-0.05,-0.21%,10,0.0,24,-,-,24.5,23,,
2015/1/21,FBF,201502,23.95,23.95,23.95,23.95,0.05,0.21%,10,23.95,26,23.85,24.3,24.15,23.15,,
2015/1/21,FBF,201503,-,-,-,-,-,-,-,23.85,0,23.85,24.3,-,-,,
2015/1/21,FBF,201506,-,-,-,-,-,-,-,23.95,0,-,-,-,-,,
2015/1/21,FBF,201509,-,-,-,-,-,-,-,24.25,0,-,-,-,-,,
2015/1/22,FBF,201502,-,-,-,-,-,-,-,24.0,26,23.85,24.15,24.15,23.15,,
2015/1/22,FBF,201503,24.05,24.05,24.05,24.05,0.2,0.84%,2,24.05,2,23.9,24.3,24.05,24.05,,
2015/1/22,FBF,201506,-,-,-,-,-,-,-,24.0,0,-,-,-,-,,
2015/1/22,FBF,201509,-,-,-,-,-,-,-,24.3,0,-,-,-,-,,
2015/1/22,FBF,201512,-,-,-,-,-,-,-,24.25,0,-,-,-,-,,
2015/1/23,FBF,201502,-,-,-,-,-,-,-,24.0,26,23.25,24.8,24.15,23.15,,
2015/1/23,FBF,201503,24,24,24,24,-0.05,-0.21%,2,24.0,2,23.8,24.25,24.05,24,,
2015/1/23,FBF,201506,-,-,-,-,-,-,-,24.0,0,-,-,-,-,,
2015/1/23,FBF,201509,-,-,-,-,-,-,-,24.3,0,-,-,-,-,,
2015/1/23,FBF,201512,-,-,-,-,-,-,-,24.25,0,-,-,-,-,,
2015/1/26,FBF,201502,23.9,23.95,23.8,23.8,-0.2,-0.83%,30,23.8,26,23.6,24,24.15,23.15,,
2015/1/26,FBF,201503,23.95,23.95,23.8,23.85,-0.15,-0.63%,30,23.85,2,23.55,24,24.05,23.8,,
2015/1/26,FBF,201506,-,-,-,-,-,-,-,23.8,0,-,-,-,-,,
2015/1/26,FBF,201509,-,-,-,-,-,-,-,24.1,0,-,-,-,-,,
2015/1/26,FBF,201512,-,-,-,-,-,-,-,24.05,0,-,-,-,-,,
2015/1/27,FBF,201502,23.85,23.85,23.85,23.85,0.05,0.21%,5,23.85,26,23.7,24.65,24.15,23.15,,
2015/1/27,FBF,201503,-,-,-,-,-,-,-,23.9,2,23.6,24.1,24.05,23.8,,
2015/1/27,FBF,201506,-,-,-,-,-,-,-,23.85,0,-,-,-,-,,
2015/1/27,FBF,201509,-,-,-,-,-,-,-,24.15,0,-,-,-,-,,
2015/1/27,FBF,201512,-,-,-,-,-,-,-,24.1,0,-,-,-,-,,
2015/1/28,FBF,201502,-,-,-,-,-,-,-,23.85,26,23.1,24.35,24.15,23.15,,
2015/1/28,FBF,201503,-,-,-,-,-,-,-,23.9,2,23.65,24.1,24.05,23.8,,
2015/1/28,FBF,201506,-,-,-,-,-,-,-,23.85,0,-,-,-,-,,
2015/1/28,FBF,201509,-,-,-,-,-,-,-,24.15,0,-,-,-,-,,
2015/1/28,FBF,201512,-,-,-,-,-,-,-,24.1,0,-,-,-,-,,
2015/1/29,FBF,201502,-,-,-,-,-,-,-,23.85,26,23.7,24.1,24.15,23.15,,
2015/1/29,FBF,201503,23.8,23.8,23.8,23.8,-0.1,-0.42%,5,23.8,5,23.65,24.1,24.05,23.8,,
2015/1/29,FBF,201506,-,-,-,-,-,-,-,23.85,0,-,-,-,-,,
2015/1/29,FBF,201509,-,-,-,-,-,-,-,24.15,0,-,-,-,-,,
2015/1/29,FBF,201512,-,-,-,-,-,-,-,24.1,0,-,-,-,-,,
2015/1/30,FBF,201502,-,-,-,-,-,-,-,23.75,26,23.7,24,24.15,23.15,,
2015/1/30,FBF,201503,-,-,-,-,-,-,-,23.7,5,23.6,24,24.05,23.8,,
2015/1/30,FBF,201506,-,-,-,-,-,-,-,23.75,0,-,-,-,-,,
2015/1/30,FBF,201509,-,-,-,-,-,-,-,24.05,0,-,-,-,-,,
2015/1/30,FBF,201512,-,-,-,-,-,-,-,24.0,0,-,-,-,-,,
2015/2/2,FBF,201502,23.7,23.7,23.7,23.7,-0.05,-0.21%,5,23.7,26,23.65,24.1,24.15,23.15,,
2015/2/2,FBF,201503,23.7,23.7,23.7,23.7,0,0.00%,5,23.7,7,22.6,24.1,24.05,23.7,,
2015/2/2,FBF,201506,-,-,-,-,-,-,-,23.7,0,-,-,-,-,,
2015/2/2,FBF,201509,-,-,-,-,-,-,-,24.0,0,-,-,-,-,,
2015/2/2,FBF,201512,-,-,-,-,-,-,-,23.95,0,-,-,-,-,,
2015/2/3,FBF,201502,23.75,23.75,23.75,23.75,0.05,0.21%,10,23.75,26,22.5,24,24.15,23.15,,
2015/2/3,FBF,201503,-,-,-,-,-,-,-,23.75,7,23.55,24,24.05,23.7,,
2015/2/3,FBF,201506,-,-,-,-,-,-,-,23.75,0,-,-,-,-,,
2015/2/3,FBF,201509,-,-,-,-,-,-,-,24.05,0,-,-,-,-,,
2015/2/3,FBF,201512,-,-,-,-,-,-,-,24.0,0,-,-,-,-,,
2015/2/4,FBF,201502,-,-,-,-,-,-,-,23.75,26,23.7,24,24.15,23.15,,
2015/2/4,FBF,201503,-,-,-,-,-,-,-,23.75,7,23.55,24,24.05,23.7,,
2015/2/4,FBF,201506,-,-,-,-,-,-,-,23.75,0,-,-,-,-,,
2015/2/4,FBF,201509,-,-,-,-,-,-,-,24.05,0,-,-,-,-,,
2015/2/4,FBF,201512,-,-,-,-,-,-,-,24.0,0,-,-,-,-,,
2015/2/5,FBF,201502,23.75,23.75,23.65,23.65,-0.1,-0.42%,21,23.65,26,23.5,23.95,24.15,23.15,,
2015/2/5,FBF,201503,23.75,23.75,23.65,23.65,-0.1,-0.42%,10,23.65,5,23.5,23.95,24.05,23.65,,
2015/2/5,FBF,201506,-,-,-,-,-,-,-,23.65,0,-,-,-,-,,
2015/2/5,FBF,201509,-,-,-,-,-,-,-,23.95,0,-,-,-,-,,
2015/2/5,FBF,201512,-,-,-,-,-,-,-,23.9,0,-,-,-,-,,
2015/2/6,FBF,201502,23.7,23.7,23.7,23.7,0.05,0.21%,5,23.7,26,23.55,24,24.15,23.15,,
