交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2018/11/01,FEF,201811  ,43.6,45.05,43.6,44.55,1.15,2.65%,132.0,44.55,42,44.5,44.8,45.05,43.6,,一般,,
2018/11/01,FEF,201812  ,43.7,45.05,43.7,44.65,1.2,2.76%,90.0,44.65,12,44.45,44.8,45.05,43.7,,一般,,
2018/11/01,FEF,201903  ,-,-,-,-,-,-,0.0,44.7,0,-,-,-,-,,一般,,
2018/11/01,FEF,201906  ,-,-,-,-,-,-,0.0,44.75,0,-,-,-,-,,一般,,
2018/11/01,FEF,201909  ,-,-,-,-,-,-,0.0,44.9,0,-,-,-,-,,一般,,
2018/11/02,FEF,201811  ,44.6,46.65,44.6,45.4,0.85,1.91%,139.0,45.4,72,44.6,45.5,46.65,43.6,,一般,,
2018/11/02,FEF,201812  ,45.25,46.65,45.05,45.3,0.65,1.46%,126.0,45.3,83,44.55,45.45,46.65,43.7,,一般,,
2018/11/02,FEF,201903  ,-,-,-,-,-,-,0.0,45.55,0,-,-,-,-,,一般,,
2018/11/02,FEF,201906  ,-,-,-,-,-,-,0.0,45.6,0,-,-,-,-,,一般,,
2018/11/02,FEF,201909  ,-,-,-,-,-,-,0.0,45.75,0,-,-,-,-,,一般,,
2018/11/05,FEF,201811  ,45.8,46.05,45.25,45.55,0.15,0.33%,125.0,45.55,82,45.2,45.75,46.65,43.6,,一般,,
2018/11/05,FEF,201812  ,46,46,45.2,45.8,0.5,1.10%,69.0,45.45,94,45.15,45.7,46.65,43.7,,一般,,
2018/11/05,FEF,201903  ,-,-,-,-,-,-,0.0,45.7,0,-,-,-,-,,一般,,
2018/11/05,FEF,201906  ,-,-,-,-,-,-,0.0,45.75,0,-,-,-,-,,一般,,
2018/11/05,FEF,201909  ,-,-,-,-,-,-,0.0,45.9,0,-,-,-,-,,一般,,
2018/11/06,FEF,201811  ,46.05,46.1,44.8,44.8,-0.75,-1.65%,42.0,44.8,87,-,45.35,46.65,43.6,,一般,,
2018/11/06,FEF,201812  ,45.95,45.95,45.1,45.15,-0.3,-0.66%,15.0,45.15,95,-,45.35,46.65,43.7,,一般,,
2018/11/06,FEF,201903  ,-,-,-,-,-,-,0.0,44.95,0,-,-,-,-,,一般,,
2018/11/06,FEF,201906  ,-,-,-,-,-,-,0.0,45,0,-,-,-,-,,一般,,
2018/11/06,FEF,201909  ,-,-,-,-,-,-,0.0,45.15,0,-,-,-,-,,一般,,
2018/11/07,FEF,201811  ,44.6,45.15,44.3,45,0.2,0.45%,54.0,45,78,45.1,45.15,46.65,43.6,,一般,,
2018/11/07,FEF,201812  ,44.3,45.1,44.3,45,-0.15,-0.33%,42.0,45,105,45.1,45.15,46.65,43.7,,一般,,
