交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,FFF,201501,264,264.5,261,264,-1.5,-0.56%,104,264.0,308,263,266.5,273.5,233,,
2015/1/5,FFF,201502,262,264,262,263.5,-1,-0.38%,7,263.5,47,262,266,269,251.5,,
2015/1/5,FFF,201503,-,-,-,-,-,-,-,263.0,5,261,267,289,242,,
2015/1/5,FFF,201506,-,-,-,-,-,-,-,265.0,0,-,267.5,-,-,,
2015/1/5,FFF,201509,-,-,-,-,-,-,-,265.5,0,-,267.5,-,-,,
2015/1/6,FFF,201501,261,261,251,251,-13,-4.92%,325,251.0,264,251,252,273.5,233,,
2015/1/6,FFF,201502,261,261,252,252.5,-11,-4.17%,26,252.5,47,250.5,252,269,251.5,,
2015/1/6,FFF,201503,253,253,253,253,-10,-3.80%,1,253.0,6,249.5,253,289,242,,
2015/1/6,FFF,201506,-,-,-,-,-,-,-,252.0,0,-,253,-,-,,
2015/1/6,FFF,201509,-,-,-,-,-,-,-,252.5,0,-,253,-,-,,
2015/1/7,FFF,201501,252,258,252,253,2,0.80%,121,253.0,266,252,253,273.5,233,,
2015/1/7,FFF,201502,255,255,252,252,-0.5,-0.20%,15,252.0,47,251.5,253,269,251.5,,
2015/1/7,FFF,201503,-,-,-,-,-,-,-,252.0,6,250,254,289,242,,
2015/1/7,FFF,201506,-,-,-,-,-,-,-,254.0,0,-,254,-,-,,
2015/1/7,FFF,201509,-,-,-,-,-,-,-,254.5,0,-,254,-,-,,
2015/1/8,FFF,201501,256,257.5,254,256.5,3.5,1.38%,83,256.5,256,256,257,273.5,233,,
2015/1/8,FFF,201502,254,257.5,254,256,4,1.59%,16,256.0,48,255.5,257.5,269,251.5,,
2015/1/8,FFF,201503,-,-,-,-,-,-,-,255.5,6,254.5,258,289,242,,
2015/1/8,FFF,201506,-,-,-,-,-,-,-,257.5,0,-,258,-,-,,
2015/1/8,FFF,201509,-,-,-,-,-,-,-,258.0,0,-,258,-,-,,
2015/1/9,FFF,201501,257.5,261.5,256,260.5,4,1.56%,111,260.5,263,260,260.5,273.5,233,,
2015/1/9,FFF,201502,257,261,257,261,5,1.95%,9,261.0,48,259.5,260.5,269,251.5,,
2015/1/9,FFF,201503,259.5,259.5,259.5,259.5,4,1.57%,1,259.5,5,257.5,261.5,289,242,,
2015/1/9,FFF,201506,-,-,-,-,-,-,-,261.5,0,-,261.5,-,-,,
2015/1/9,FFF,201509,-,-,-,-,-,-,-,262.0,0,-,261.5,-,-,,
2015/1/12,FFF,201501,259.5,261.5,256,257,-3.5,-1.34%,108,257.0,242,256,256.5,273.5,233,,
2015/1/12,FFF,201502,260,260,256,256.5,-4.5,-1.72%,15,256.5,50,255,256.5,269,251.5,,
2015/1/12,FFF,201503,-,-,-,-,-,-,-,256.0,5,254,257.5,289,242,,
2015/1/12,FFF,201506,-,-,-,-,-,-,-,258.0,0,-,257.5,-,-,,
2015/1/12,FFF,201509,-,-,-,-,-,-,-,258.5,0,-,257.5,-,-,,
2015/1/13,FFF,201501,257.5,261.5,257.5,258.5,1.5,0.58%,92,258.5,251,258,259,273.5,233,,
2015/1/13,FFF,201502,260,260.5,258,258,1.5,0.58%,5,258.0,50,257,259,269,251.5,,
2015/1/13,FFF,201503,-,-,-,-,-,-,-,257.5,5,255.5,260,289,242,,
2015/1/13,FFF,201506,-,-,-,-,-,-,-,259.5,0,-,260,-,-,,
2015/1/13,FFF,201509,-,-,-,-,-,-,-,260.0,0,-,260,-,-,,
2015/1/14,FFF,201501,260,261,257.5,259.5,1,0.39%,54,259.5,245,259,260,273.5,233,,
2015/1/14,FFF,201502,258,261,257.5,261,3,1.16%,15,261.0,55,258,260,269,251.5,,
2015/1/14,FFF,201503,261,261,261,261,3.5,1.36%,1,261.0,6,257,261,289,242,,
2015/1/14,FFF,201506,-,-,-,-,-,-,-,260.5,0,-,261,-,-,,
2015/1/14,FFF,201509,-,-,-,-,-,-,-,261.0,0,-,261,-,-,,
2015/1/15,FFF,201501,261.5,263.5,259,263.5,4,1.54%,87,263.5,238,263,263.5,273.5,233,,
2015/1/15,FFF,201502,261,262.5,259,262,1,0.38%,40,262.0,79,262.5,264,269,251.5,,
2015/1/15,FFF,201503,-,-,-,-,-,-,-,265.0,6,256.5,264.5,289,242,,
2015/1/15,FFF,201506,-,-,-,-,-,-,-,264.5,0,-,264.5,-,-,,
2015/1/15,FFF,201509,-,-,-,-,-,-,-,265.0,0,-,264.5,-,-,,
2015/1/16,FFF,201501,262.5,262.5,255,256,-7.5,-2.85%,122,256.0,197,256,256.5,273.5,233,,
2015/1/16,FFF,201502,259.5,259.5,256,256.5,-5.5,-2.10%,48,256.5,90,255.5,256,269,251.5,,
2015/1/16,FFF,201503,-,-,-,-,-,-,-,257.5,6,254,257,289,242,,
2015/1/16,FFF,201506,-,-,-,-,-,-,-,257.0,0,-,257,-,-,,
2015/1/16,FFF,201509,-,-,-,-,-,-,-,257.5,0,-,257,-,-,,
2015/1/19,FFF,201501,260,260,254.5,254.5,-1.5,-0.59%,55,254.5,197,254,255.5,273.5,233,,
2015/1/19,FFF,201502,255.5,257,254,255,-1.5,-0.58%,24,255.0,86,254,255,269,251.5,,
2015/1/19,FFF,201503,-,-,-,-,-,-,-,256.0,6,253,256,289,242,,
2015/1/19,FFF,201506,-,-,-,-,-,-,-,255.5,0,-,256,-,-,,
2015/1/19,FFF,201509,-,-,-,-,-,-,-,256.0,0,-,256,-,-,,
2015/1/20,FFF,201501,256,259,256,258,3.5,1.38%,42,258.0,186,258,259,273.5,233,,
2015/1/20,FFF,201502,256.5,259,256.5,259,4,1.57%,31,259.0,102,258,259,269,251.5,,
2015/1/20,FFF,201503,-,-,-,-,-,-,-,259.5,6,257,259.5,289,242,,
2015/1/20,FFF,201506,-,-,-,-,-,-,-,259.0,0,-,260,-,-,,
2015/1/20,FFF,201509,-,-,-,-,-,-,-,259.5,0,-,260,-,-,,
2015/1/21,FFF,201501,259.5,266,259.5,265,7,2.71%,109,0.0,153,264.5,265,273.5,233,,
2015/1/21,FFF,201502,260,266,259.5,264,5,1.93%,220,264.0,165,263.5,264.5,269,251.5,,
2015/1/21,FFF,201503,-,-,-,-,-,-,-,264.0,6,262.5,265,289,242,,
2015/1/21,FFF,201506,-,-,-,-,-,-,-,264.0,0,-,265.5,-,-,,
2015/1/21,FFF,201509,-,-,-,-,-,-,-,264.5,0,-,265.5,-,-,,
2015/1/22,FFF,201502,265.5,267,262.5,262.5,-1.5,-0.57%,111,262.5,182,262.5,263.5,269,251.5,,
2015/1/22,FFF,201503,265,266,262.5,262.5,-1.5,-0.57%,13,262.5,12,262.5,264,289,242,,
2015/1/22,FFF,201506,-,-,-,-,-,-,-,262.5,0,-,264.5,-,-,,
2015/1/22,FFF,201509,-,-,-,-,-,-,-,263.0,0,-,264.5,-,-,,
2015/1/22,FFF,201512,-,-,-,-,-,-,-,265.0,0,-,-,-,-,,
2015/1/23,FFF,201502,265,266.5,263.5,266,3.5,1.33%,109,266.0,210,265,266.5,269,251.5,,
2015/1/23,FFF,201503,266,267,264.5,265,2.5,0.95%,16,265.0,24,265,266.5,289,242,,
2015/1/23,FFF,201506,-,-,-,-,-,-,-,266.0,0,-,267.5,-,-,,
2015/1/23,FFF,201509,-,-,-,-,-,-,-,266.5,0,-,267.5,-,-,,
2015/1/23,FFF,201512,-,-,-,-,-,-,-,268.5,0,-,-,-,-,,
2015/1/26,FFF,201502,268.5,274.5,268.5,271.5,5.5,2.07%,319,271.5,259,271,272,274.5,251.5,,
2015/1/26,FFF,201503,271.5,273,271.5,272,7,2.64%,11,272.0,28,270.5,272,289,242,,
2015/1/26,FFF,201506,-,-,-,-,-,-,-,271.5,0,-,273,-,-,,
2015/1/26,FFF,201509,-,-,-,-,-,-,-,272.0,0,-,273,-,-,,
2015/1/26,FFF,201512,-,-,-,-,-,-,-,274.0,0,-,-,-,-,,
2015/1/27,FFF,201502,274.5,274.5,270,272.5,1,0.37%,115,272.5,249,272.5,273,274.5,251.5,,
2015/1/27,FFF,201503,272,272.5,270.5,272.5,0.5,0.18%,17,272.5,33,271.5,272.5,289,242,,
2015/1/27,FFF,201506,-,-,-,-,-,-,-,272.5,0,-,274,-,-,,
2015/1/27,FFF,201509,-,-,-,-,-,-,-,273.0,0,-,274,-,-,,
2015/1/27,FFF,201512,-,-,-,-,-,-,-,275.0,0,-,-,-,-,,
2015/1/28,FFF,201502,270.5,271,268,268.5,-4,-1.47%,80,268.5,237,269,270,274.5,251.5,,
2015/1/28,FFF,201503,268.5,269.5,267.5,268,-4.5,-1.65%,16,268.0,40,268.5,270.5,289,242,,
2015/1/28,FFF,201506,-,-,-,-,-,-,-,268.5,0,-,271,-,-,,
2015/1/28,FFF,201509,-,-,-,-,-,-,-,269.0,0,-,271,-,-,,
2015/1/28,FFF,201512,-,-,-,-,-,-,-,271.0,0,-,-,-,-,,
2015/1/29,FFF,201502,267,267,264,265.5,-3,-1.12%,93,265.5,216,265,266,274.5,251.5,,
2015/1/29,FFF,201503,267,267,263.5,265.5,-2.5,-0.93%,30,265.5,40,264,266,289,242,,
2015/1/29,FFF,201506,-,-,-,-,-,-,-,265.5,0,-,267,-,-,,
2015/1/29,FFF,201509,-,-,-,-,-,-,-,266.0,0,-,267,-,-,,
2015/1/29,FFF,201512,-,-,-,-,-,-,-,268.0,0,-,-,-,-,,
2015/1/30,FFF,201502,266.5,266.5,262,262,-3.5,-1.32%,60,262.0,200,261.5,263,274.5,251.5,,
2015/1/30,FFF,201503,266.5,266.5,262,263,-2.5,-0.94%,8,263.0,42,260.5,263,289,242,,
2015/1/30,FFF,201506,-,-,-,-,-,-,-,262.0,0,-,264,-,-,,
2015/1/30,FFF,201509,-,-,-,-,-,-,-,262.5,0,-,264,-,-,,
2015/1/30,FFF,201512,-,-,-,-,-,-,-,264.5,0,-,-,-,-,,
2015/2/2,FFF,201502,263.5,263.5,260.5,261.5,-0.5,-0.19%,35,261.5,197,262,262.5,274.5,251.5,,
2015/2/2,FFF,201503,263.5,263.5,260.5,260.5,-2.5,-0.95%,12,260.5,50,261,262.5,289,242,,
2015/2/2,FFF,201506,-,-,-,-,-,-,-,261.5,0,-,263.5,-,-,,
2015/2/2,FFF,201509,-,-,-,-,-,-,-,262.0,0,-,263.5,-,-,,
2015/2/2,FFF,201512,-,-,-,-,-,-,-,264.0,0,-,-,-,-,,
2015/2/3,FFF,201502,263.5,264.5,262,264,2.5,0.96%,55,264.0,186,262.5,264.5,274.5,251.5,,
2015/2/3,FFF,201503,263,264,262,262,1.5,0.58%,8,262.0,48,261.5,263.5,289,242,,
2015/2/3,FFF,201506,-,-,-,-,-,-,-,264.0,0,-,265.5,-,-,,
2015/2/3,FFF,201509,-,-,-,-,-,-,-,264.5,0,-,265.5,-,-,,
2015/2/3,FFF,201512,-,-,-,-,-,-,-,266.5,0,-,-,-,-,,
2015/2/4,FFF,201502,266,270,266,267,3,1.14%,96,267.0,172,266.5,267.5,274.5,251.5,,
2015/2/4,FFF,201503,267.5,268,266,267.5,5.5,2.10%,16,267.5,39,266,268,289,242,,
2015/2/4,FFF,201506,-,-,-,-,-,-,-,267.0,0,-,268.5,-,-,,
2015/2/4,FFF,201509,-,-,-,-,-,-,-,267.5,0,-,268.5,-,-,,
2015/2/4,FFF,201512,-,-,-,-,-,-,-,269.5,0,-,-,-,-,,
2015/2/5,FFF,201502,267,269,266,269,2,0.75%,54,269.0,168,269,269.5,274.5,251.5,,
2015/2/5,FFF,201503,267,268.5,267,268.5,1,0.37%,6,268.5,42,268.5,270,289,242,,
2015/2/5,FFF,201506,-,-,-,-,-,-,-,269.0,0,-,270.5,-,-,,
2015/2/5,FFF,201509,-,-,-,-,-,-,-,269.5,0,-,270.5,-,-,,
2015/2/5,FFF,201512,-,-,-,-,-,-,-,271.5,0,-,-,-,-,,
2015/2/6,FFF,201502,271.5,271.5,266.5,267.5,-1.5,-0.56%,38,267.5,150,267.5,268,274.5,251.5,,
2015/2/6,FFF,201503,267.5,268.5,266,267,-1.5,-0.56%,13,267.0,45,-,268.5,289,242,,
2015/2/6,FFF,201506,-,-,-,-,-,-,-,267.5,0,-,269,-,-,,
2015/2/6,FFF,201509,-,-,-,-,-,-,-,268.0,0,-,269,-,-,,
2015/2/6,FFF,201512,-,-,-,-,-,-,-,270.0,0,-,-,-,-,,
2015/2/9,FFF,201502,267.5,268,264,265,-2.5,-0.93%,69,265.0,142,265,265.5,274.5,251.5,,
2015/2/9,FFF,201503,267.5,268,263.5,264.5,-2.5,-0.94%,23,264.5,54,264,266,289,242,,
2015/2/9,FFF,201506,-,-,-,-,-,-,-,265.0,0,-,266.5,-,-,,
2015/2/9,FFF,201509,-,-,-,-,-,-,-,265.5,0,-,266.5,-,-,,
2015/2/9,FFF,201512,-,-,-,-,-,-,-,267.5,0,-,-,-,-,,
2015/2/10,FFF,201502,266,269,265.5,266.5,1.5,0.57%,66,266.5,127,265.5,266.5,274.5,251.5,,
2015/2/10,FFF,201503,269,269,265.5,265.5,1,0.38%,13,265.5,56,265.5,268.5,289,242,,
2015/2/10,FFF,201506,-,-,-,-,-,-,-,266.5,0,-,267.5,-,-,,
2015/2/10,FFF,201509,-,-,-,-,-,-,-,267.0,0,-,267.5,-,-,,
2015/2/10,FFF,201512,-,-,-,-,-,-,-,269.0,0,-,-,-,-,,
2015/2/11,FFF,201502,266,267.5,263,263,-3.5,-1.31%,64,263.0,112,262.5,264,274.5,251.5,,
2015/2/11,FFF,201503,266,266,263,263,-2.5,-0.94%,19,263.0,64,262,263.5,289,242,,
2015/2/11,FFF,201506,-,-,-,-,-,-,-,263.0,0,-,265,-,-,,
2015/2/11,FFF,201509,-,-,-,-,-,-,-,263.5,0,-,265,-,-,,
2015/2/11,FFF,201512,-,-,-,-,-,-,-,265.5,0,-,-,-,-,,
2015/2/12,FFF,201502,256,256,247,253.5,-9.5,-3.61%,448,254.0,68,252.5,254.5,274.5,247,,
2015/2/12,FFF,201503,252,254,248.5,252.5,-10.5,-3.99%,54,253.0,85,252.5,254.5,289,242,,
2015/2/12,FFF,201506,-,-,-,-,-,-,-,254.0,0,250,254.5,-,-,,
2015/2/12,FFF,201509,-,-,-,-,-,-,-,254.5,0,249,254.5,-,-,,
2015/2/12,FFF,201512,-,-,-,-,-,-,-,256.5,0,248,254.5,-,-,,
2015/2/13,FFF,201502,256.5,256.5,252,253,-1,-0.39%,61,253.0,55,252.5,255,274.5,247,,
2015/2/13,FFF,201503,256,256,252,252,-1,-0.40%,41,252.0,94,251.5,254.5,289,242,,
2015/2/13,FFF,201506,-,-,-,-,-,-,-,253.0,0,-,255,-,-,,
2015/2/13,FFF,201509,-,-,-,-,-,-,-,253.5,0,-,255,-,-,,
2015/2/13,FFF,201512,-,-,-,-,-,-,-,255.5,0,-,255,-,-,,
2015/2/24,FFF,201502,255.5,256.5,252,252,-1,-0.40%,34,0.0,47,251.5,252.5,274.5,247,,
2015/2/24,FFF,201503,255.5,256,250.5,251.5,-0.5,-0.20%,40,251.5,108,251,251.5,289,242,,
2015/2/24,FFF,201506,-,-,-,-,-,-,-,252.0,0,-,-,-,-,,
2015/2/24,FFF,201509,-,-,-,-,-,-,-,252.5,0,-,-,-,-,,
2015/2/24,FFF,201512,-,-,-,-,-,-,-,254.5,0,-,-,-,-,,
2015/2/25,FFF,201503,254,255.5,252,253,1.5,0.60%,48,253.0,105,252.5,253.5,289,242,,
2015/2/25,FFF,201504,-,-,-,-,-,-,-,254.0,0,251.5,254,-,-,,
2015/2/25,FFF,201506,-,-,-,-,-,-,-,253.5,0,-,-,-,-,,
2015/2/25,FFF,201509,-,-,-,-,-,-,-,254.0,0,-,-,-,-,,
2015/2/25,FFF,201512,-,-,-,-,-,-,-,256.0,0,-,-,-,-,,
2015/2/26,FFF,201503,252.5,256,252.5,254,1,0.40%,108,254.0,124,254,254.5,289,242,,
2015/2/26,FFF,201504,255,255.5,253.5,253.5,-0.5,-0.20%,14,253.5,11,253.5,255,255.5,253.5,,
2015/2/26,FFF,201506,-,-,-,-,-,-,-,254.5,0,-,-,-,-,,
2015/2/26,FFF,201509,-,-,-,-,-,-,-,255.0,0,-,-,-,-,,
2015/2/26,FFF,201512,-,-,-,-,-,-,-,257.0,0,-,-,-,-,,
2015/3/2,FFF,201503,254,254.5,251,252.5,-1.5,-0.59%,65,252.5,129,252,253,289,242,,
2015/3/2,FFF,201504,253,253,251,251.5,-2,-0.79%,7,251.5,17,251,253.5,255.5,251,,
2015/3/2,FFF,201506,-,-,-,-,-,-,-,253.0,0,242,258,-,-,,
2015/3/2,FFF,201509,-,-,-,-,-,-,-,253.5,0,-,-,-,-,,
2015/3/2,FFF,201512,-,-,-,-,-,-,-,255.5,0,-,-,-,-,,
2015/3/3,FFF,201503,253,254.5,251,251.5,-1,-0.40%,113,251.5,128,251,252,289,242,,
2015/3/3,FFF,201504,251,253,250.5,253,1.5,0.60%,18,253.0,23,250.5,252,255.5,250.5,,
