交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,FKF,201501,73.8,74,73.6,74,-0.2,-0.27%,23,74.1,78,73.8,74.3,74.7,70.5,,
2015/1/5,FKF,201502,73.7,73.7,73.6,73.6,-0.7,-0.94%,5,74.2,42,73.9,74.4,74.4,71.7,,
2015/1/5,FKF,201503,-,-,-,-,-,-,-,73.8,69,-,-,90.1,66.7,,
2015/1/5,FKF,201506,-,-,-,-,-,-,-,74.2,137,-,75.3,78.1,66.1,,
2015/1/5,FKF,201509,75.3,75.3,75.3,75.3,0.7,0.94%,1,74.5,57,75,-,75.3,67.2,,
2015/1/6,FKF,201501,73.3,73.4,72.8,72.9,-1.2,-1.62%,16,72.9,78,72.3,73.3,74.7,70.5,,
2015/1/6,FKF,201502,-,-,-,-,-,-,-,73.0,42,72.3,73.3,74.4,71.7,,
2015/1/6,FKF,201503,-,-,-,-,-,-,-,72.6,69,73,-,90.1,66.7,,
2015/1/6,FKF,201506,-,-,-,-,-,-,-,73.0,137,-,-,78.1,66.1,,
2015/1/6,FKF,201509,-,-,-,-,-,-,-,73.3,57,-,-,75.3,67.2,,
2015/1/7,FKF,201501,72.3,72.3,71.9,71.9,-1,-1.37%,4,71.9,82,71,71.9,74.7,70.5,,
2015/1/7,FKF,201502,72.3,72.3,71.7,71.9,-1.1,-1.51%,8,71.9,41,71,71.9,74.4,71.7,,
2015/1/7,FKF,201503,71.5,71.5,71.5,71.5,-1.1,-1.52%,5,71.5,74,70.6,-,90.1,66.7,,
2015/1/7,FKF,201506,-,-,-,-,-,-,-,72.0,137,-,-,78.1,66.1,,
2015/1/7,FKF,201509,-,-,-,-,-,-,-,72.3,57,-,-,75.3,67.2,,
2015/1/8,FKF,201501,73,73.6,73,73.6,1.7,2.36%,9,73.6,80,73.5,73.9,74.7,70.5,,
2015/1/8,FKF,201502,72.9,73.7,72.9,73.5,1.6,2.23%,13,73.5,42,73.4,74.1,74.4,71.7,,
2015/1/8,FKF,201503,72.9,72.9,72.9,72.9,1.4,1.96%,3,73.2,73,-,-,90.1,66.7,,
2015/1/8,FKF,201506,-,-,-,-,-,-,-,73.7,137,-,-,78.1,66.1,,
2015/1/8,FKF,201509,-,-,-,-,-,-,-,74.0,57,-,-,75.3,67.2,,
2015/1/9,FKF,201501,74.1,74.1,73.7,74,0.4,0.54%,24,74.0,86,74,75.4,74.7,70.5,,
2015/1/9,FKF,201502,-,-,-,-,-,-,-,73.9,42,73.6,74.3,74.4,71.7,,
2015/1/9,FKF,201503,-,-,-,-,-,-,-,73.6,73,-,-,90.1,66.7,,
2015/1/9,FKF,201506,73.7,73.7,73.7,73.7,0,0.00%,2,73.7,135,-,-,78.1,66.1,,
2015/1/9,FKF,201509,-,-,-,-,-,-,-,74.4,57,-,-,75.3,67.2,,
2015/1/12,FKF,201501,-,-,-,-,-,-,-,73.7,86,73.4,74.4,74.7,70.5,,
2015/1/12,FKF,201502,73.5,73.6,73.5,73.6,-0.3,-0.41%,3,73.6,41,73.7,75,74.4,71.7,,
2015/1/12,FKF,201503,-,-,-,-,-,-,-,73.3,73,-,-,90.1,66.7,,
2015/1/12,FKF,201506,-,-,-,-,-,-,-,73.4,135,-,-,78.1,66.1,,
2015/1/12,FKF,201509,-,-,-,-,-,-,-,74.1,57,-,-,75.3,67.2,,
2015/1/13,FKF,201501,73.4,74.5,73.2,74.5,0.8,1.09%,32,74.5,86,73.4,75.5,74.7,70.5,,
2015/1/13,FKF,201502,74,74.5,74,74.5,0.9,1.22%,9,74.5,46,73.9,74.4,74.5,71.7,,
2015/1/13,FKF,201503,-,-,-,-,-,-,-,74.1,73,-,-,90.1,66.7,,
2015/1/13,FKF,201506,-,-,-,-,-,-,-,74.2,135,-,-,78.1,66.1,,
2015/1/13,FKF,201509,-,-,-,-,-,-,-,74.9,57,-,-,75.3,67.2,,
2015/1/14,FKF,201501,74.3,74.4,73.7,73.7,-0.8,-1.07%,13,73.7,86,73.1,74.1,74.7,70.5,,
2015/1/14,FKF,201502,74.4,74.5,73.7,73.8,-0.7,-0.94%,7,73.8,52,73.3,74.2,74.5,71.7,,
2015/1/14,FKF,201503,-,-,-,-,-,-,-,73.3,73,73.9,-,90.1,66.7,,
2015/1/14,FKF,201506,-,-,-,-,-,-,-,73.4,135,-,-,78.1,66.1,,
2015/1/14,FKF,201509,-,-,-,-,-,-,-,74.1,57,-,75.3,75.3,67.2,,
2015/1/15,FKF,201501,73.5,74.2,73.5,74.2,0.5,0.68%,15,74.2,73,74.1,74.3,74.7,70.5,,
2015/1/15,FKF,201502,73.7,74.2,73.6,74.2,0.4,0.54%,10,74.2,52,74.2,74.3,74.5,71.7,,
2015/1/15,FKF,201503,-,-,-,-,-,-,-,73.8,73,-,-,90.1,66.7,,
2015/1/15,FKF,201506,-,-,-,-,-,-,-,73.9,135,-,-,78.1,66.1,,
2015/1/15,FKF,201509,-,-,-,-,-,-,-,74.6,57,-,-,75.3,67.2,,
2015/1/16,FKF,201501,73.6,73.6,72.6,73.1,-1.1,-1.48%,16,73.1,74,73,73.3,74.7,70.5,,
2015/1/16,FKF,201502,73.9,73.9,72.6,73.1,-1.1,-1.48%,26,73.1,51,73,73.4,74.5,71.7,,
2015/1/16,FKF,201503,72.7,72.7,72.7,72.7,-1.1,-1.49%,7,72.7,73,72.8,-,90.1,66.7,,
2015/1/16,FKF,201506,-,-,-,-,-,-,-,72.8,135,-,-,78.1,66.1,,
2015/1/16,FKF,201509,72.7,72.7,72.7,72.7,-1.9,-2.55%,1,72.7,57,-,75.3,75.3,67.2,,
2015/1/19,FKF,201501,73.7,74,73.7,73.9,0.8,1.09%,5,72.9,69,72.4,73.4,74.7,70.5,,
2015/1/19,FKF,201502,74.1,74.1,73.9,73.9,0.8,1.09%,3,73.0,51,72.5,73.5,74.5,71.7,,
2015/1/19,FKF,201503,-,-,-,-,-,-,-,72.5,73,-,-,90.1,66.7,,
2015/1/19,FKF,201506,-,-,-,-,-,-,-,72.6,135,-,-,78.1,66.1,,
2015/1/19,FKF,201509,-,-,-,-,-,-,-,72.5,57,-,-,75.3,67.2,,
2015/1/20,FKF,201501,74.1,74.1,73.8,74.1,1.2,1.65%,9,74.1,68,73.7,74.3,74.7,70.5,,
2015/1/20,FKF,201502,73.9,74.2,73.9,74.1,1.1,1.51%,15,74.1,55,73.7,74.2,74.5,71.7,,
2015/1/20,FKF,201503,-,-,-,-,-,-,-,73.7,73,-,-,90.1,66.7,,
2015/1/20,FKF,201506,-,-,-,-,-,-,-,73.8,135,-,-,78.1,66.1,,
2015/1/20,FKF,201509,-,-,-,-,-,-,-,73.7,57,-,-,75.3,67.2,,
2015/1/21,FKF,201501,74.3,74.5,74.3,74.5,0.4,0.54%,10,0.0,65,74.4,-,74.7,70.5,,
