交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,FLF,201501,63.8,64.2,63.5,63.5,-0.1,-0.16%,16,63.7,71,63.3,64.1,64.8,62.2,,
2015/1/5,FLF,201502,63.8,63.9,63.6,63.6,0,0.00%,12,63.7,10,63.3,64.1,64.4,62.4,,
2015/1/5,FLF,201503,-,-,-,-,-,-,-,63.6,0,-,-,-,-,,
2015/1/5,FLF,201506,-,-,-,-,-,-,-,63.1,0,-,-,-,-,,
2015/1/5,FLF,201509,-,-,-,-,-,-,-,63.9,0,-,-,-,-,,
2015/1/6,FLF,201501,63.5,63.7,63,63,-0.7,-1.10%,18,63.0,59,62.8,63.6,64.8,62.2,,
2015/1/6,FLF,201502,63.2,63.2,63,63.2,-0.5,-0.78%,21,63.2,15,62.8,63.9,64.4,62.4,,
2015/1/6,FLF,201503,-,-,-,-,-,-,-,62.9,0,-,-,-,-,,
2015/1/6,FLF,201506,-,-,-,-,-,-,-,62.4,0,-,-,-,-,,
2015/1/6,FLF,201509,-,-,-,-,-,-,-,63.2,0,-,-,-,-,,
2015/1/7,FLF,201501,62.6,62.6,62.6,62.6,-0.4,-0.63%,5,62.6,63,62,63,64.8,62.2,,
2015/1/7,FLF,201502,62.6,62.6,62.6,62.6,-0.6,-0.95%,5,62.6,11,62,62.8,64.4,62.4,,
2015/1/7,FLF,201503,-,-,-,-,-,-,-,62.5,0,-,-,-,-,,
2015/1/7,FLF,201506,-,-,-,-,-,-,-,62.0,0,-,-,-,-,,
2015/1/7,FLF,201509,-,-,-,-,-,-,-,62.8,0,-,-,-,-,,
2015/1/8,FLF,201501,63.2,63.2,63.2,63.2,0.6,0.96%,2,63.2,61,62.7,63.6,64.8,62.2,,
2015/1/8,FLF,201502,62.8,62.8,62.8,62.8,0.2,0.32%,1,62.8,10,62.7,63.6,64.4,62.4,,
2015/1/8,FLF,201503,-,-,-,-,-,-,-,63.1,0,-,-,-,-,,
2015/1/8,FLF,201506,-,-,-,-,-,-,-,62.6,0,-,-,-,-,,
2015/1/8,FLF,201509,-,-,-,-,-,-,-,63.4,0,-,-,-,-,,
2015/1/9,FLF,201501,62.9,62.9,62.9,62.9,-0.3,-0.47%,1,62.9,61,62.8,63.7,64.8,62.2,,
2015/1/9,FLF,201502,-,-,-,-,-,-,-,62.5,10,62.8,63.7,64.4,62.4,,
2015/1/9,FLF,201503,-,-,-,-,-,-,-,62.8,0,-,-,-,-,,
2015/1/9,FLF,201506,-,-,-,-,-,-,-,62.3,0,-,-,-,-,,
2015/1/9,FLF,201509,-,-,-,-,-,-,-,63.1,0,-,-,-,-,,
2015/1/12,FLF,201501,-,-,-,-,-,-,-,62.4,61,62.3,63.2,64.8,62.2,,
2015/1/12,FLF,201502,62.5,62.6,62.5,62.6,0.1,0.16%,6,62.6,16,62.5,63.2,64.4,62.4,,
2015/1/12,FLF,201503,-,-,-,-,-,-,-,62.3,0,-,-,-,-,,
2015/1/12,FLF,201506,-,-,-,-,-,-,-,61.8,0,-,-,-,-,,
2015/1/12,FLF,201509,-,-,-,-,-,-,-,62.6,0,-,-,-,-,,
2015/1/13,FLF,201501,62.6,63.2,62.6,63,0.6,0.96%,16,63.0,65,62.6,63.4,64.8,62.2,,
2015/1/13,FLF,201502,62.2,62.8,62.2,62.7,0.1,0.16%,5,62.7,21,62.6,63.5,64.4,62.2,,
2015/1/13,FLF,201503,-,-,-,-,-,-,-,62.9,0,58.6,-,-,-,,
2015/1/13,FLF,201506,-,-,-,-,-,-,-,62.4,0,-,-,-,-,,
2015/1/13,FLF,201509,-,-,-,-,-,-,-,63.2,0,-,-,-,-,,
2015/1/14,FLF,201501,63.1,63.2,62.5,62.5,-0.5,-0.79%,4,62.5,64,62.2,63.2,64.8,62.2,,
2015/1/14,FLF,201502,-,-,-,-,-,-,-,62.2,21,62.7,63.2,64.4,62.2,,
2015/1/14,FLF,201503,-,-,-,-,-,-,-,62.4,0,-,-,-,-,,
2015/1/14,FLF,201506,-,-,-,-,-,-,-,61.9,0,-,-,-,-,,
2015/1/14,FLF,201509,-,-,-,-,-,-,-,62.7,0,-,-,-,-,,
2015/1/15,FLF,201501,62.9,63,62.8,62.8,0.3,0.48%,4,62.8,62,62.5,63.4,64.8,62.2,,
2015/1/15,FLF,201502,-,-,-,-,-,-,-,62.5,21,62.6,63.3,64.4,62.2,,
2015/1/15,FLF,201503,-,-,-,-,-,-,-,62.7,0,58.8,-,-,-,,
2015/1/15,FLF,201506,-,-,-,-,-,-,-,62.2,0,-,-,-,-,,
2015/1/15,FLF,201509,-,-,-,-,-,-,-,63.0,0,-,-,-,-,,
2015/1/16,FLF,201501,62.1,62.3,62.1,62.2,-0.6,-0.96%,10,62.2,58,61.5,62.3,64.8,62.1,,
2015/1/16,FLF,201502,62.1,62.4,62.1,62.4,-0.1,-0.16%,18,62.4,29,61.4,62.3,64.4,62.1,,
2015/1/16,FLF,201503,-,-,-,-,-,-,-,62.1,0,-,-,-,-,,
2015/1/16,FLF,201506,-,-,-,-,-,-,-,61.6,0,-,-,-,-,,
2015/1/16,FLF,201509,-,-,-,-,-,-,-,62.4,0,-,-,-,-,,
2015/1/19,FLF,201501,-,-,-,-,-,-,-,61.8,58,61.3,62.2,64.8,62.1,,
