交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,FTF,201501,17.95,18.15,17.9,18.15,0.3,1.68%,339,18.15,429,18.15,18.2,18.65,16.65,,
2015/1/5,FTF,201502,17.95,18.2,17.95,18.15,0.3,1.68%,240,18.15,251,18.1,18.15,18.35,17.4,,
2015/1/5,FTF,201503,-,-,-,-,-,-,-,18.25,0,-,-,-,-,,
2015/1/5,FTF,201506,-,-,-,-,-,-,-,18.25,0,-,-,-,-,,
2015/1/5,FTF,201509,-,-,-,-,-,-,-,18.35,0,-,-,-,-,,
2015/1/6,FTF,201501,18.05,18.05,17.7,17.75,-0.4,-2.20%,352,17.75,500,17.6,17.95,18.65,16.65,,
2015/1/6,FTF,201502,18.05,18.05,17.7,17.9,-0.25,-1.38%,126,17.9,184,17.65,17.95,18.35,17.4,,
2015/1/6,FTF,201503,-,-,-,-,-,-,-,17.85,0,-,-,-,-,,
2015/1/6,FTF,201506,-,-,-,-,-,-,-,17.85,0,-,-,-,-,,
2015/1/6,FTF,201509,-,-,-,-,-,-,-,17.95,0,-,-,-,-,,
2015/1/7,FTF,201501,17.7,17.8,17.7,17.8,0.05,0.28%,68,17.8,541,17.65,17.8,18.65,16.65,,
2015/1/7,FTF,201502,17.75,17.8,17.7,17.8,-0.1,-0.56%,49,17.8,186,17.6,17.8,18.35,17.4,,
2015/1/7,FTF,201503,-,-,-,-,-,-,-,17.9,0,-,-,-,-,,
2015/1/7,FTF,201506,-,-,-,-,-,-,-,17.9,0,-,-,-,-,,
2015/1/7,FTF,201509,-,-,-,-,-,-,-,18.0,0,-,-,-,-,,
2015/1/8,FTF,201501,17.95,18.05,17.9,17.9,0.1,0.56%,349,17.9,417,17.85,18.15,18.65,16.65,,
2015/1/8,FTF,201502,17.95,18.05,17.95,18,0.2,1.12%,238,18.0,219,17.9,18.2,18.35,17.4,,
2015/1/8,FTF,201503,-,-,-,-,-,-,-,18.0,0,-,-,-,-,,
2015/1/8,FTF,201506,-,-,-,-,-,-,-,18.0,0,-,-,-,-,,
2015/1/8,FTF,201509,-,-,-,-,-,-,-,18.1,0,-,-,-,-,,
2015/1/9,FTF,201501,18,18.45,17.95,18.45,0.55,3.07%,487,18.3,478,18.2,18.4,18.65,16.65,,
2015/1/9,FTF,201502,18,18.45,18,18.45,0.45,2.50%,250,18.35,244,18.2,18.45,18.45,17.4,,
2015/1/9,FTF,201503,-,-,-,-,-,-,-,18.4,0,-,-,-,-,,
2015/1/9,FTF,201506,-,-,-,-,-,-,-,18.4,0,-,-,-,-,,
2015/1/9,FTF,201509,-,-,-,-,-,-,-,18.5,0,-,-,-,-,,
2015/1/12,FTF,201501,18.25,18.25,17.95,17.95,-0.35,-1.91%,538,17.95,494,17.7,17.95,18.65,16.65,,
2015/1/12,FTF,201502,18.2,18.2,18,18,-0.35,-1.91%,413,18.0,205,17.75,18,18.45,17.4,,
2015/1/12,FTF,201503,-,-,-,-,-,-,-,18.05,0,-,-,-,-,,
2015/1/12,FTF,201506,-,-,-,-,-,-,-,18.05,0,-,-,-,-,,
2015/1/12,FTF,201509,-,-,-,-,-,-,-,18.15,0,-,-,-,-,,
2015/1/13,FTF,201501,17.95,18.2,17.8,18.15,0.2,1.11%,762,18.15,421,18.05,18.15,18.65,16.65,,
2015/1/13,FTF,201502,18,18.15,17.8,18.1,0.1,0.56%,542,18.1,166,18.1,18.2,18.45,17.4,,
2015/1/13,FTF,201503,-,-,-,-,-,-,-,18.25,0,-,-,-,-,,
2015/1/13,FTF,201506,-,-,-,-,-,-,-,18.25,0,-,-,-,-,,
2015/1/13,FTF,201509,-,-,-,-,-,-,-,18.35,0,-,-,-,-,,
2015/1/14,FTF,201501,18.25,18.4,17.95,18,-0.15,-0.83%,469,18.0,443,17.85,18,18.65,16.65,,
2015/1/14,FTF,201502,18.2,18.4,18,18,-0.1,-0.55%,485,18.0,270,17.9,18.05,18.45,17.4,,
2015/1/14,FTF,201503,-,-,-,-,-,-,-,18.1,0,-,-,-,-,,
2015/1/14,FTF,201506,-,-,-,-,-,-,-,18.1,0,-,-,-,-,,
2015/1/14,FTF,201509,-,-,-,-,-,-,-,18.2,0,-,-,-,-,,
2015/1/15,FTF,201501,18,18.15,17.95,18.05,0.05,0.28%,365,18.05,464,17.85,18.15,18.65,16.65,,
2015/1/15,FTF,201502,18.1,18.15,17.95,18,0,0.00%,609,18.0,294,17.8,18.1,18.45,17.4,,
2015/1/15,FTF,201503,-,-,-,-,-,-,-,18.15,0,-,-,-,-,,
2015/1/15,FTF,201506,-,-,-,-,-,-,-,18.15,0,-,-,-,-,,
2015/1/15,FTF,201509,-,-,-,-,-,-,-,18.25,0,-,-,-,-,,
