交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,FVF,201501,26.45,26.8,26.45,26.8,0.05,0.19%,5,26.8,105,26.85,27.05,27.95,25.2,,
2015/1/5,FVF,201502,-,-,-,-,-,-,-,26.85,26,26.85,27.2,27.5,26.55,,
2015/1/5,FVF,201503,-,-,-,-,-,-,-,26.8,27,-,27.2,27.7,26,,
2015/1/5,FVF,201506,-,-,-,-,-,-,-,26.85,22,-,-,26.85,26.6,,
2015/1/5,FVF,201509,-,-,-,-,-,-,-,26.85,0,-,-,-,-,,
2015/1/6,FVF,201501,27,27.35,26.95,26.95,0.15,0.56%,12,26.95,95,26.9,27.15,27.95,25.2,,
2015/1/6,FVF,201502,27.5,27.5,27.25,27.25,0.4,1.49%,7,27.1,28,26.8,27.35,27.5,26.55,,
2015/1/6,FVF,201503,-,-,-,-,-,-,-,26.95,27,-,-,27.7,26,,
2015/1/6,FVF,201506,-,-,-,-,-,-,-,27.0,22,-,-,26.85,26.6,,
2015/1/6,FVF,201509,-,-,-,-,-,-,-,27.0,0,-,-,-,-,,
2015/1/7,FVF,201501,27.05,27.05,27,27.05,0.1,0.37%,6,27.05,94,27.05,27.25,27.95,25.2,,
2015/1/7,FVF,201502,27.1,27.1,27.05,27.05,-0.05,-0.18%,3,27.05,28,26.65,27.3,27.5,26.55,,
2015/1/7,FVF,201503,-,-,-,-,-,-,-,27.05,27,-,-,27.7,26,,
2015/1/7,FVF,201506,-,-,-,-,-,-,-,27.1,22,-,-,26.85,26.6,,
2015/1/7,FVF,201509,-,-,-,-,-,-,-,27.1,0,-,-,-,-,,
2015/1/8,FVF,201501,27.55,27.55,27.35,27.35,0.3,1.11%,48,27.35,75,27.05,27.35,27.95,25.2,,
2015/1/8,FVF,201502,27.35,27.35,27.35,27.35,0.3,1.11%,3,27.35,28,27.15,27.35,27.5,26.55,,
2015/1/8,FVF,201503,-,-,-,-,-,-,-,27.35,27,-,-,27.7,26,,
2015/1/8,FVF,201506,-,-,-,-,-,-,-,27.4,22,-,-,26.85,26.6,,
2015/1/8,FVF,201509,-,-,-,-,-,-,-,27.4,0,-,-,-,-,,
2015/1/9,FVF,201501,-,-,-,-,-,-,-,27.05,75,27,29,27.95,25.2,,
2015/1/9,FVF,201502,27.35,27.35,27.2,27.2,-0.15,-0.55%,2,27.2,28,26.85,27.05,27.5,26.55,,
2015/1/9,FVF,201503,-,-,-,-,-,-,-,27.05,27,-,-,27.7,26,,
2015/1/9,FVF,201506,-,-,-,-,-,-,-,27.1,22,-,-,26.85,26.6,,
2015/1/9,FVF,201509,-,-,-,-,-,-,-,27.1,0,-,-,-,-,,
2015/1/12,FVF,201501,27,27.05,26.75,26.75,-0.3,-1.11%,9,26.75,70,26.55,26.75,27.95,25.2,,
2015/1/12,FVF,201502,27.05,27.05,26.7,26.7,-0.5,-1.84%,17,26.7,43,26.65,26.85,27.5,26.55,,
2015/1/12,FVF,201503,-,-,-,-,-,-,-,26.75,27,-,-,27.7,26,,
2015/1/12,FVF,201506,-,-,-,-,-,-,-,26.8,22,-,-,26.85,26.6,,
2015/1/12,FVF,201509,-,-,-,-,-,-,-,26.8,0,-,-,-,-,,
2015/1/13,FVF,201501,26.85,27.1,26.85,27.1,0.35,1.31%,23,27.1,69,27.1,27.4,27.95,25.2,,
2015/1/13,FVF,201502,26.75,27.05,26.6,27.05,0.35,1.31%,52,27.05,48,26.55,27.4,27.5,26.55,,
2015/1/13,FVF,201503,-,-,-,-,-,-,-,27.1,27,-,-,27.7,26,,
2015/1/13,FVF,201506,-,-,-,-,-,-,-,27.15,22,-,-,26.85,26.6,,
2015/1/13,FVF,201509,-,-,-,-,-,-,-,27.15,0,-,-,-,-,,
2015/1/14,FVF,201501,27.95,28.6,27.7,28.1,1,3.69%,78,28.1,65,28.1,28.6,28.6,25.2,,
2015/1/14,FVF,201502,27.9,28.6,27.75,28.1,1.05,3.88%,58,28.1,62,28.1,28.3,28.6,26.55,,
2015/1/14,FVF,201503,-,-,-,-,-,-,-,28.1,27,-,-,27.7,26,,
2015/1/14,FVF,201506,-,-,-,-,-,-,-,28.15,22,-,-,26.85,26.6,,
2015/1/14,FVF,201509,-,-,-,-,-,-,-,28.15,0,-,-,-,-,,
2015/1/15,FVF,201501,27.7,27.7,27.7,27.7,-0.4,-1.42%,2,27.7,65,27.45,30,28.6,25.2,,
2015/1/15,FVF,201502,27.75,27.8,27.55,27.8,-0.3,-1.07%,5,27.8,66,27.5,27.95,28.6,26.55,,
2015/1/15,FVF,201503,-,-,-,-,-,-,-,27.7,27,-,-,27.7,26,,
2015/1/15,FVF,201506,-,-,-,-,-,-,-,27.75,22,-,-,26.85,26.6,,
2015/1/15,FVF,201509,-,-,-,-,-,-,-,27.75,0,-,-,-,-,,
2015/1/16,FVF,201501,26.9,27.1,26.75,27.1,-0.6,-2.17%,19,26.65,66,26.55,26.75,28.6,25.2,,
2015/1/16,FVF,201502,27.6,27.6,26.65,26.65,-1.15,-4.14%,37,26.65,72,-,26.85,28.6,26.55,,
2015/1/16,FVF,201503,-,-,-,-,-,-,-,26.65,27,-,-,27.7,26,,
2015/1/16,FVF,201506,-,-,-,-,-,-,-,26.7,22,-,-,26.85,26.6,,
2015/1/16,FVF,201509,-,-,-,-,-,-,-,26.7,0,-,-,-,-,,
2015/1/19,FVF,201501,26.95,26.95,26.5,26.5,-0.15,-0.56%,5,26.5,62,26.35,26.55,28.6,25.2,,
2015/1/19,FVF,201502,26.35,26.35,26.35,26.35,-0.3,-1.13%,3,26.35,72,26.35,27.8,28.6,26.35,,
2015/1/19,FVF,201503,26.7,26.7,26.7,26.7,0.05,0.19%,1,26.7,27,-,-,27.7,26,,
