交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/7/30,FW1,201508,10.45,10.45,10.45,10.45,0.1,0.97%,1,10.35,25,-,-,13.15,10.45,,
2015/7/30,FW1,201509,10.45,10.45,10.45,10.45,0.05,0.48%,1,10.35,2,-,-,16.45,10.45,,
2015/7/31,FW1,201508,-,-,-,-,-,-,-,10.15,25,9.97,11.2,13.15,10.45,,
2015/7/31,FW1,201509,-,-,-,-,-,-,-,10.1,2,9.97,10.4,16.45,10.45,,
2015/8/3,FW1,201508,-,-,-,-,-,-,-,10.15,25,-,10.85,13.15,10.45,,
2015/8/3,FW1,201509,-,-,-,-,-,-,-,10.1,2,9.93,10.35,16.45,10.45,,
2015/8/4,FW1,201508,-,-,-,-,-,-,-,10.0,25,-,10.7,13.15,10.45,,
2015/8/4,FW1,201509,-,-,-,-,-,-,-,9.95,2,9.79,10.3,16.45,10.45,,
2015/8/5,FW1,201508,-,-,-,-,-,-,-,9.92,25,9.74,10.55,13.15,10.45,,
2015/8/5,FW1,201509,-,-,-,-,-,-,-,9.87,2,9.73,10.15,16.45,10.45,,
2015/8/6,FW1,201508,9.93,9.93,9.93,9.93,0.01,0.10%,4,9.89,23,9.78,9.96,13.15,9.93,,
2015/8/6,FW1,201509,-,-,-,-,-,-,-,9.84,2,9.75,10,16.45,10.45,,
2015/8/7,FW1,201508,-,-,-,-,-,-,-,9.8,23,9.71,9.88,13.15,9.93,,
2015/8/7,FW1,201509,-,-,-,-,-,-,-,9.75,2,9.72,9.89,16.45,10.45,,
2015/8/10,FW1,201508,-,-,-,-,-,-,-,9.91,23,-,10,13.15,9.93,,
2015/8/10,FW1,201509,-,-,-,-,-,-,-,9.87,2,-,10,16.45,10.45,,
2015/8/11,FW1,201508,9.96,9.96,9.96,9.96,0.05,0.50%,1,9.96,22,9.78,-,13.15,9.93,,
2015/8/11,FW1,201509,-,-,-,-,-,-,-,9.92,2,9.79,9.96,16.45,10.45,,
2015/8/12,FW1,201508,-,-,-,-,-,-,-,9.82,22,9.69,9.94,13.15,9.93,,
2015/8/12,FW1,201509,-,-,-,-,-,-,-,9.78,2,9.69,9.94,16.45,10.45,,
2015/8/13,FW1,201508,-,-,-,-,-,-,-,9.8,22,9.71,9.88,13.15,9.93,,
2015/8/13,FW1,201509,-,-,-,-,-,-,-,9.76,2,9.71,9.89,16.45,10.45,,
2015/8/14,FW1,201508,10.05,10.05,9.91,9.91,0.11,1.12%,2,9.91,21,9.85,9.95,13.15,9.91,,
2015/8/14,FW1,201509,-,-,-,-,-,-,-,9.87,2,9.84,10.05,16.45,10.45,,
2015/8/17,FW1,201508,9.88,9.88,9.88,9.88,-0.03,-0.30%,3,9.92,18,9.83,10,13.15,9.88,,
2015/8/17,FW1,201509,-,-,-,-,-,-,-,9.88,2,-,10,16.45,10.45,,
2015/8/18,FW1,201508,-,-,-,-,-,-,-,9.9,18,9.81,9.98,13.15,9.88,,
2015/8/18,FW1,201509,-,-,-,-,-,-,-,9.86,2,-,9.98,16.45,10.45,,
2015/8/19,FW1,201508,-,-,-,-,-,-,-,0.0,18,-,-,13.15,9.88,,
2015/8/19,FW1,201509,-,-,-,-,-,-,-,9.71,2,-,9.77,16.45,10.45,,
2015/8/20,FW1,201509,-,-,-,-,-,-,-,9.69,2,9.58,-,16.45,10.45,,
2015/8/21,FW1,201509,-,-,-,-,-,-,-,9.17,2,-,9.28,16.45,10.45,,
2015/8/24,FW1,201509,8.65,8.65,8.65,8.65,-0.52,-5.67%,1,8.65,2,-,-,16.45,8.65,,
2015/8/25,FW1,201509,-,-,-,-,-,-,-,8.38,2,-,8.55,16.45,8.65,,
2015/8/26,FW1,201509,-,-,-,-,-,-,-,8.87,2,8.55,8.82,16.45,8.65,,
2015/8/27,FW1,201509,9.11,9.11,9.11,9.11,0.24,2.71%,1,9.11,1,8.91,9.18,16.45,8.65,,
2015/8/28,FW1,201509,9.34,9.36,9.34,9.36,0.25,2.74%,5,9.4,3,-,9.46,16.45,8.65,,
2015/8/31,FW1,201509,-,-,-,-,-,-,-,9.39,3,9.07,9.51,16.45,8.65,,
2015/9/1,FW1,201509,9.35,9.35,9.24,9.25,-0.14,-1.49%,4,9.35,6,8.79,9.51,16.45,8.65,,
2015/9/2,FW1,201509,-,-,-,-,-,-,-,9.23,6,-,-,16.45,8.65,,
2015/9/3,FW1,201509,-,-,-,-,-,-,-,9.46,6,9.18,-,16.45,8.65,,
2015/9/4,FW1,201509,-,-,-,-,-,-,-,9.31,6,9.13,9.31,16.45,8.65,,
2015/9/7,FW1,201509,-,-,-,-,-,-,-,9.46,6,9.3,-,16.45,8.65,,
2015/9/8,FW1,201509,-,-,-,-,-,-,-,9.4,6,9.32,9.49,16.45,8.65,,
2015/9/9,FW1,201509,-,-,-,-,-,-,-,9.64,6,9.62,9.78,16.45,8.65,,
2015/9/10,FW1,201509,-,-,-,-,-,-,-,9.83,6,9.74,9.92,16.45,8.65,,
2015/9/11,FW1,201509,-,-,-,-,-,-,-,10.2,6,10.05,10.3,16.45,8.65,,
2015/9/14,FW1,201509,10.05,10.05,10.05,10.05,-0.15,-1.47%,1,9.98,7,9.85,10.1,16.45,8.65,,
2015/9/15,FW1,201509,-,-,-,-,-,-,-,9.98,7,9.75,10.2,16.45,8.65,,
2015/9/16,FW1,201509,-,-,-,-,-,-,-,0.0,7,-,-,16.45,8.65,,
交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2021/11/22,FW1,202112  ,20.15,22.15,20.15,21.3,1.15,5.71%,127.0,21.5,183,20.75,21.55,24.95,18.55,,一般,,
2021/11/22,FW1,202203  ,-,-,-,-,-,-,0.0,21.45,13,20.2,-,23,18.95,,一般,,
2021/11/22,FW1,202206  ,-,-,-,-,-,-,0.0,21.5,5,20.2,-,20.5,18.9,,一般,,
2021/11/23,FW1,202112  ,20.5,20.5,20.3,20.3,-1.2,-5.58%,28.0,20.3,164,20.3,20.4,24.95,18.55,,一般,,
2021/11/23,FW1,202203  ,-,-,-,-,-,-,0.0,20.25,13,19.8,20.8,23,18.95,,一般,,
2021/11/23,FW1,202206  ,-,-,-,-,-,-,0.0,20.3,5,-,-,20.5,18.9,,一般,,
2021/11/24,FW1,202112  ,20.25,20.4,19.9,19.9,-0.4,-1.97%,12.0,20.05,164,19.9,20.15,24.95,18.55,,一般,,
2021/11/24,FW1,202203  ,-,-,-,-,-,-,0.0,20,13,-,-,23,18.95,,一般,,
2021/11/24,FW1,202206  ,-,-,-,-,-,-,0.0,20.05,5,-,-,20.5,18.9,,一般,,
2021/11/25,FW1,202112  ,19.95,19.95,19,19,-1.05,-5.24%,9.0,19.55,164,19.2,19.9,24.95,18.55,,一般,,
2021/11/25,FW1,202203  ,-,-,-,-,-,-,0.0,19.5,13,-,-,23,18.95,,一般,,
2021/11/25,FW1,202206  ,-,-,-,-,-,-,0.0,19.55,5,-,-,20.5,18.9,,一般,,
2021/11/26,FW1,202112  ,18.85,18.85,18.75,18.85,-0.7,-3.58%,3.0,18.85,164,18.65,19.25,24.95,18.55,,一般,,
2021/11/26,FW1,202203  ,-,-,-,-,-,-,0.0,18.8,13,-,-,23,18.95,,一般,,
2021/11/26,FW1,202206  ,-,-,-,-,-,-,0.0,18.85,5,-,-,20.5,18.9,,一般,,
2021/11/29,FW1,202112  ,18.25,18.45,18.25,18.3,-0.55,-2.92%,7.0,18.3,160,17.25,18.6,24.95,18.25,,一般,,
2021/11/29,FW1,202203  ,-,-,-,-,-,-,0.0,18.25,13,-,-,23,18.95,,一般,,
2021/11/29,FW1,202206  ,-,-,-,-,-,-,0.0,18.3,5,-,-,20.5,18.9,,一般,,
2021/11/30,FW1,202112  ,18.7,18.7,18.4,18.4,0.1,0.55%,3.0,18.3,160,18.1,18.65,24.95,18.25,,一般,,
2021/11/30,FW1,202203  ,18.25,18.25,18.25,18.25,0,0.00%,1.0,18.25,12,-,-,23,18.25,,一般,,
2021/11/30,FW1,202206  ,18.25,18.25,18.25,18.25,-0.05,-0.27%,1.0,18.3,4,-,-,20.5,18.25,,一般,,
2021/11/30,FW1,202203/202206    ,-,-,-,-,-,-,0.0,-,-,-,-,-,-,,一般,1.0,
2021/12/01,FW1,202112  ,-,-,-,-,-,-,0.0,18.2,160,17.95,18.4,24.95,18.25,,一般,,
2021/12/01,FW1,202203  ,-,-,-,-,-,-,0.0,18.15,12,-,-,23,18.25,,一般,,
2021/12/01,FW1,202206  ,-,-,-,-,-,-,0.0,18.2,4,-,-,20.5,18.25,,一般,,
2021/12/02,FW1,202112  ,18.25,18.4,18.25,18.35,0.15,0.82%,3.0,18.15,160,16.5,18.55,24.95,18.25,,一般,,
2021/12/02,FW1,202203  ,-,-,-,-,-,-,0.0,18.1,12,-,-,23,18.25,,一般,,
2021/12/02,FW1,202206  ,-,-,-,-,-,-,0.0,18.15,4,-,-,20.5,18.25,,一般,,
2021/12/03,FW1,202112  ,-,-,-,-,-,-,0.0,18.15,160,18.05,18.35,24.95,18.25,,一般,,
2021/12/03,FW1,202203  ,-,-,-,-,-,-,0.0,18.1,12,-,-,23,18.25,,一般,,
2021/12/03,FW1,202206  ,-,-,-,-,-,-,0.0,18.15,4,-,-,20.5,18.25,,一般,,
2021/12/06,FW1,202112  ,-,-,-,-,-,-,0.0,18.1,160,17.55,18.35,24.95,18.25,,一般,,
2021/12/06,FW1,202203  ,-,-,-,-,-,-,0.0,18.05,12,-,-,23,18.25,,一般,,
2021/12/06,FW1,202206  ,-,-,-,-,-,-,0.0,18.1,4,-,-,20.5,18.25,,一般,,
2021/12/07,FW1,202112  ,18.35,18.35,18.35,18.35,0.25,1.38%,2.0,18.35,160,18.2,18.4,24.95,18.25,,一般,,
2021/12/07,FW1,202203  ,-,-,-,-,-,-,0.0,18.3,12,-,-,23,18.25,,一般,,
2021/12/07,FW1,202206  ,-,-,-,-,-,-,0.0,18.35,4,-,-,20.5,18.25,,一般,,
2021/12/08,FW1,202112  ,18.45,18.55,18.45,18.55,0.2,1.09%,16.0,18.75,160,18.35,18.95,24.95,18.25,,一般,,
2021/12/08,FW1,202203  ,-,-,-,-,-,-,0.0,18.7,12,18.4,-,23,18.25,,一般,,
2021/12/08,FW1,202206  ,-,-,-,-,-,-,0.0,18.75,4,-,-,20.5,18.25,,一般,,
2021/12/09,FW1,202112  ,18.65,18.65,18.55,18.55,-0.2,-1.07%,3.0,18.7,160,18.4,18.75,24.95,18.25,,一般,,
2021/12/09,FW1,202203  ,-,-,-,-,-,-,0.0,18.65,12,-,-,23,18.25,,一般,,
2021/12/09,FW1,202206  ,-,-,-,-,-,-,0.0,18.7,4,-,-,20.5,18.25,,一般,,
2021/12/10,FW1,202112  ,18.6,19,18.6,19,0.3,1.60%,3.0,19.05,160,18.75,19.1,24.95,18.25,,一般,,
2021/12/10,FW1,202203  ,-,-,-,-,-,-,0.0,19,12,-,-,23,18.25,,一般,,
2021/12/10,FW1,202206  ,-,-,-,-,-,-,0.0,19.05,4,-,-,20.5,18.25,,一般,,
2021/12/13,FW1,202112  ,18.85,18.85,18.8,18.8,-0.25,-1.31%,7.0,18.85,160,-,19,24.95,18.25,,一般,,
2021/12/13,FW1,202203  ,-,-,-,-,-,-,0.0,18.8,12,-,-,23,18.25,,一般,,
