交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,FWF,201501,18.35,19.15,18.35,18.95,0.4,2.16%,81,18.95,45,18.65,19.1,19.15,16.1,,
2015/1/5,FWF,201502,18.5,19,18.4,18.9,0.25,1.34%,20,18.9,13,18.65,19.1,19,16.9,,
2015/1/5,FWF,201503,-,-,-,-,-,-,-,18.75,0,-,-,-,-,,
2015/1/5,FWF,201506,-,-,-,-,-,-,-,18.55,0,-,-,-,-,,
2015/1/5,FWF,201509,-,-,-,-,-,-,-,19.0,1,-,-,16.45,16.45,,
2015/1/6,FWF,201501,18.6,18.6,18.35,18.5,-0.45,-2.37%,83,18.5,55,18.4,18.65,19.15,16.1,,
2015/1/6,FWF,201502,18.6,18.65,18.45,18.45,-0.45,-2.38%,39,18.45,18,18.3,18.65,19,16.9,,
2015/1/6,FWF,201503,-,-,-,-,-,-,-,18.3,0,-,-,-,-,,
2015/1/6,FWF,201506,-,-,-,-,-,-,-,18.1,0,-,-,-,-,,
2015/1/6,FWF,201509,-,-,-,-,-,-,-,18.55,1,-,20.3,16.45,16.45,,
2015/1/7,FWF,201501,18.6,18.85,18.5,18.8,0.3,1.62%,97,18.8,77,18.4,18.8,19.15,16.1,,
2015/1/7,FWF,201502,18.5,18.85,18.45,18.7,0.25,1.36%,36,18.7,23,18.45,18.85,19,16.9,,
2015/1/7,FWF,201503,-,-,-,-,-,-,-,18.6,0,-,-,-,-,,
2015/1/7,FWF,201506,-,-,-,-,-,-,-,18.4,0,-,-,-,-,,
2015/1/7,FWF,201509,-,-,-,-,-,-,-,18.85,1,-,-,16.45,16.45,,
2015/1/8,FWF,201501,18.7,18.7,18.45,18.45,-0.35,-1.86%,38,18.45,79,18.3,18.65,19.15,16.1,,
2015/1/8,FWF,201502,18.8,18.8,18.5,18.5,-0.2,-1.07%,7,18.5,22,18.35,18.7,19,16.9,,
2015/1/8,FWF,201503,-,-,-,-,-,-,-,18.25,0,-,-,-,-,,
2015/1/8,FWF,201506,-,-,-,-,-,-,-,18.05,0,-,-,-,-,,
2015/1/8,FWF,201509,-,-,-,-,-,-,-,18.5,1,-,-,16.45,16.45,,
2015/1/9,FWF,201501,18.3,18.75,18.3,18.75,0.3,1.63%,81,18.75,82,18.5,18.95,19.15,16.1,,
2015/1/9,FWF,201502,18.4,18.8,18.3,18.8,0.3,1.62%,44,18.8,21,18.55,18.95,19,16.9,,
2015/1/9,FWF,201503,-,-,-,-,-,-,-,18.55,0,-,-,-,-,,
2015/1/9,FWF,201506,-,-,-,-,-,-,-,18.35,0,-,-,-,-,,
2015/1/9,FWF,201509,-,-,-,-,-,-,-,18.8,1,-,-,16.45,16.45,,
2015/1/12,FWF,201501,18.7,18.7,18.35,18.35,-0.4,-2.13%,30,18.35,87,18.05,18.6,19.15,16.1,,
2015/1/12,FWF,201502,18.65,18.65,18.4,18.5,-0.3,-1.60%,31,18.3,26,18.05,18.5,19,16.9,,
2015/1/12,FWF,201503,-,-,-,-,-,-,-,18.15,0,-,-,-,-,,
2015/1/12,FWF,201506,-,-,-,-,-,-,-,17.95,0,-,-,-,-,,
2015/1/12,FWF,201509,-,-,-,-,-,-,-,18.4,1,-,-,16.45,16.45,,
2015/1/13,FWF,201501,18.35,18.4,18.3,18.3,-0.05,-0.27%,14,18.3,77,18.1,18.5,19.15,16.1,,
2015/1/13,FWF,201502,18.45,18.45,18.3,18.4,0.1,0.55%,11,18.4,31,18.1,18.55,19,16.9,,
2015/1/13,FWF,201503,-,-,-,-,-,-,-,18.1,0,-,-,-,-,,
2015/1/13,FWF,201506,-,-,-,-,-,-,-,17.9,0,-,-,-,-,,
2015/1/13,FWF,201509,-,-,-,-,-,-,-,18.35,1,-,-,16.45,16.45,,
2015/1/14,FWF,201501,18.3,18.5,18.3,18.5,0.2,1.09%,3,18.5,75,18.2,18.65,19.15,16.1,,
2015/1/14,FWF,201502,18.4,18.5,18.3,18.5,0.1,0.54%,10,18.5,26,18.2,18.65,19,16.9,,
2015/1/14,FWF,201503,-,-,-,-,-,-,-,18.3,0,-,-,-,-,,
2015/1/14,FWF,201506,-,-,-,-,-,-,-,18.1,0,-,-,-,-,,
2015/1/14,FWF,201509,-,-,-,-,-,-,-,18.55,1,-,-,16.45,16.45,,
2015/1/15,FWF,201501,18.5,18.5,18.5,18.5,0,0.00%,2,18.5,77,18.2,18.55,19.15,16.1,,
2015/1/15,FWF,201502,18.4,18.4,18.4,18.4,-0.1,-0.54%,1,18.4,26,18.25,18.7,19,16.9,,
2015/1/15,FWF,201503,-,-,-,-,-,-,-,18.3,0,-,-,-,-,,
2015/1/15,FWF,201506,-,-,-,-,-,-,-,18.1,0,-,-,-,-,,
2015/1/15,FWF,201509,-,-,-,-,-,-,-,18.55,1,-,-,16.45,16.45,,
2015/1/16,FWF,201501,18.3,18.3,18.1,18.1,-0.4,-2.16%,20,18.1,69,17.85,18.3,19.15,16.1,,
2015/1/16,FWF,201502,-,-,-,-,-,-,-,18.0,26,17.85,18.3,19,16.9,,
2015/1/16,FWF,201503,-,-,-,-,-,-,-,17.9,0,-,-,-,-,,
2015/1/16,FWF,201506,-,-,-,-,-,-,-,17.7,0,-,-,-,-,,
2015/1/16,FWF,201509,-,-,-,-,-,-,-,18.15,1,-,-,16.45,16.45,,
2015/1/19,FWF,201501,18.05,18.05,17.8,17.8,-0.3,-1.66%,2,17.8,67,-,18.2,19.15,16.1,,
2015/1/19,FWF,201502,18.15,18.15,17.9,17.9,-0.1,-0.56%,9,17.9,31,17.7,18.2,19,16.9,,
2015/1/19,FWF,201503,-,-,-,-,-,-,-,17.6,0,-,-,-,-,,
2015/1/19,FWF,201506,-,-,-,-,-,-,-,17.4,0,-,-,-,-,,
2015/1/19,FWF,201509,-,-,-,-,-,-,-,17.85,1,-,-,16.45,16.45,,
2015/1/20,FWF,201501,17.95,17.95,17.95,17.95,0.15,0.84%,5,17.95,72,17.9,18.4,19.15,16.1,,
2015/1/20,FWF,201502,17.95,17.95,17.95,17.95,0.05,0.28%,1,17.95,31,17.9,18.4,19,16.9,,
2015/1/20,FWF,201503,-,-,-,-,-,-,-,17.85,0,-,-,-,-,,
2015/1/20,FWF,201506,-,-,-,-,-,-,-,17.65,0,-,-,-,-,,
2015/1/20,FWF,201509,-,-,-,-,-,-,-,18.0,1,-,-,16.45,16.45,,
2015/1/21,FWF,201501,18.1,18.1,18.1,18.1,0.15,0.84%,6,0.0,72,-,18.5,19.15,16.1,,
2015/1/21,FWF,201502,18.15,18.15,18,18,0.05,0.28%,11,18.0,27,17.85,18.3,19,16.9,,
2015/1/21,FWF,201503,-,-,-,-,-,-,-,18.0,0,17.85,18.3,-,-,,
2015/1/21,FWF,201506,-,-,-,-,-,-,-,17.8,0,-,-,-,-,,
2015/1/21,FWF,201509,-,-,-,-,-,-,-,18.15,1,-,-,16.45,16.45,,
2015/1/22,FWF,201502,18.3,18.35,18.3,18.35,0.35,1.94%,18,18.35,26,18.35,18.5,19,16.9,,
2015/1/22,FWF,201503,18.35,18.45,18.35,18.35,0.35,1.94%,13,18.35,12,18.15,18.6,18.45,18.35,,
2015/1/22,FWF,201506,-,-,-,-,-,-,-,18.15,0,-,-,-,-,,
2015/1/22,FWF,201509,-,-,-,-,-,-,-,18.5,1,-,-,16.45,16.45,,
2015/1/22,FWF,201512,-,-,-,-,-,-,-,18.7,0,-,-,-,-,,
2015/1/23,FWF,201502,18.45,18.45,18.25,18.3,-0.05,-0.27%,27,18.3,33,18,18.6,19,16.9,,
2015/1/23,FWF,201503,-,-,-,-,-,-,-,18.3,12,18,18.45,18.45,18.35,,
2015/1/23,FWF,201506,-,-,-,-,-,-,-,18.1,0,-,-,-,-,,
2015/1/23,FWF,201509,-,-,-,-,-,-,-,18.45,1,-,-,16.45,16.45,,
2015/1/23,FWF,201512,-,-,-,-,-,-,-,18.65,0,-,-,-,-,,
