交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2017/10/31,FZ1,201711,26,26.45,26,26.3,0.35,1.35%,410,26.6,1721,26.35,26.5,29.4,24.7,,一般,,
2017/10/31,FZ1,201712,26,26.45,26,26.35,0.3,1.15%,34,26.6,186,26.35,26.55,29,23.3,,一般,,
2017/10/31,FZ1,201803,-,-,-,-,-,-,0,26.4,255,-,-,28.4,23.85,,一般,,
2017/11/1,FZ1,201711,26.65,27.4,26.65,26.85,0.25,0.94%,544,26.85,1379,26.8,26.85,29.4,24.7,,一般,,
2017/11/1,FZ1,201712,26.6,27.35,26.6,26.8,0.2,0.75%,42,26.85,162,26.75,26.9,29,23.3,,一般,,
2017/11/1,FZ1,201803,-,-,-,-,-,-,0,26.65,255,-,-,28.4,23.85,,一般,,
2017/11/2,FZ1,201711,26.5,26.55,26.15,26.4,-0.45,-1.68%,115,26.35,1338,26.25,26.45,29.4,24.7,,一般,,
2017/11/2,FZ1,201712,26.25,26.25,26.1,26.1,-0.75,-2.79%,17,26.35,148,26.25,26.45,29,23.3,,一般,,
2017/11/2,FZ1,201803,-,-,-,-,-,-,0,26.15,255,-,-,28.4,23.85,,一般,,
2017/11/3,FZ1,201711,26.55,26.55,25.9,26,-0.35,-1.33%,222,26.05,1330,26,26.05,29.4,24.7,,一般,,
2017/11/3,FZ1,201712,26.55,26.55,25.85,25.95,-0.4,-1.52%,96,26,175,25.95,26,29,23.3,,一般,,
2017/11/3,FZ1,201803,-,-,-,-,-,-,0,25.85,255,-,-,28.4,23.85,,一般,,
2017/11/6,FZ1,201711,26.2,26.5,26.15,26.35,0.3,1.15%,113,26.45,1234,26.4,26.5,29.4,24.7,,一般,,
2017/11/6,FZ1,201712,26.35,26.45,26.3,26.3,0.3,1.15%,22,26.4,183,26.35,26.5,29,23.3,,一般,,
2017/11/6,FZ1,201803,-,-,-,-,-,-,0,26.25,255,-,-,28.4,23.85,,一般,,
2017/11/7,FZ1,201711,26.6,29.05,26.6,28.65,2.2,8.32%,505,28.65,1152,28.65,28.75,29.4,24.7,,一般,,
2017/11/7,FZ1,201712,26.75,28.9,26.75,28.7,2.3,8.71%,115,28.7,193,28.5,28.75,29,23.3,,一般,,
2017/11/7,FZ1,201803,-,-,-,-,-,-,0,27.65,255,-,-,28.4,23.85,,一般,,
2017/11/8,FZ1,201711,28.85,29.55,28.05,28.4,-0.25,-0.87%,202,28.45,1120,28.35,28.5,29.55,24.7,,一般,,
2017/11/8,FZ1,201712,29.2,29.35,27.95,27.95,-0.75,-2.61%,13,28.45,195,28.3,28.35,29.35,23.3,,一般,,
2017/11/8,FZ1,201803,-,-,-,-,-,-,0,27.3,255,-,28.55,28.4,23.85,,一般,,
2017/11/9,FZ1,201711,28.4,28.65,27.4,27.45,-1,-3.51%,149,27.55,1057,27.5,27.65,29.55,24.7,,一般,,
2017/11/9,FZ1,201712,28,28,27.55,27.55,-0.9,-3.16%,9,27.5,194,27.35,27.65,29.35,23.3,,一般,,
2017/11/9,FZ1,201803,-,-,-,-,-,-,0,26.4,255,-,-,28.4,23.85,,一般,,
2017/11/10,FZ1,201711,27.4,28.85,27,28.7,1.15,4.17%,103,28.7,1023,28.6,28.75,29.55,24.7,,一般,,
2017/11/10,FZ1,201712,28.5,28.55,28.4,28.55,1.05,3.82%,20,28.7,195,28.55,28.8,29.35,23.3,,一般,,
2017/11/10,FZ1,201803,28.5,28.5,28.5,28.5,2.1,7.95%,5,28.5,260,-,28.9,28.5,23.85,,一般,,
