交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2017/8/7,FZF,201708,18.2,18.45,18.2,18.4,0.3,1.66%,30,18.4,26,18.2,-,18.45,18.2,,一般,,
2017/8/7,FZF,201709,18.2,18.45,18.2,18.4,0.3,1.66%,8,18.4,8,-,-,18.45,18.2,,一般,,
2017/8/7,FZF,201712,-,-,-,-,-,-,0,18.45,0,-,-,-,-,,一般,,
2017/8/7,FZF,201803,-,-,-,-,-,-,0,18.5,0,-,-,-,-,,一般,,
2017/8/7,FZF,201806,-,-,-,-,-,-,0,18.55,0,-,-,-,-,,一般,,
2017/8/8,FZF,201708,18.6,18.75,18.3,18.55,0.15,0.82%,132,18.55,72,18.5,18.6,18.75,18.2,,一般,,
2017/8/8,FZF,201709,18.6,18.75,18.3,18.55,0.15,0.82%,69,18.55,40,18.4,18.6,18.75,18.2,,一般,,
2017/8/8,FZF,201712,-,-,-,-,-,-,0,18.6,0,-,-,-,-,,一般,,
2017/8/8,FZF,201803,-,-,-,-,-,-,0,18.65,0,-,-,-,-,,一般,,
2017/8/8,FZF,201806,-,-,-,-,-,-,0,18.7,0,-,-,-,-,,一般,,
2017/8/9,FZF,201708,18.45,18.6,18.3,18.3,-0.25,-1.35%,85,18.3,114,-,18.45,18.75,18.2,,一般,,
2017/8/9,FZF,201709,18.7,19.65,18.35,18.4,-0.15,-0.81%,26,18.4,63,-,18.4,19.65,18.2,,一般,,
2017/8/9,FZF,201712,-,-,-,-,-,-,0,18.35,0,-,-,-,-,,一般,,
2017/8/9,FZF,201803,-,-,-,-,-,-,0,18.4,0,-,-,-,-,,一般,,
2017/8/9,FZF,201806,-,-,-,-,-,-,0,18.45,0,-,-,-,-,,一般,,
2017/8/10,FZF,201708,18.45,18.45,17.8,17.9,-0.4,-2.19%,70,17.9,139,17.85,18.25,18.75,17.8,,一般,,
2017/8/10,FZF,201709,18.4,18.4,17.65,17.8,-0.6,-3.26%,56,17.8,106,17.75,17.85,19.65,17.65,,一般,,
2017/8/10,FZF,201712,-,-,-,-,-,-,0,17.95,0,-,-,-,-,,一般,,
2017/8/10,FZF,201803,-,-,-,-,-,-,0,18,0,-,-,-,-,,一般,,
2017/8/10,FZF,201806,-,-,-,-,-,-,0,18.05,0,-,-,-,-,,一般,,
2017/8/11,FZF,201708,17.9,18.4,17.9,18.25,0.35,1.96%,125,18.25,159,18.25,18.3,18.75,17.8,,一般,,
2017/8/11,FZF,201709,18.15,18.3,18.15,18.25,0.45,2.53%,87,18.25,162,18.2,18.3,19.65,17.65,,一般,,
2017/8/11,FZF,201712,-,-,-,-,-,-,0,18.3,0,-,-,-,-,,一般,,
2017/8/11,FZF,201803,-,-,-,-,-,-,0,18.35,0,-,-,-,-,,一般,,
2017/8/11,FZF,201806,-,-,-,-,-,-,0,18.4,0,-,-,-,-,,一般,,
2017/8/14,FZF,201708,17.85,17.9,17.65,17.7,0.05,0.28%,140,17.7,141,17.65,17.7,18.75,17.65,,一般,,
2017/8/14,FZF,201709,17.95,17.95,17.6,17.65,0,0.00%,97,17.65,192,17.55,17.6,19.65,17.6,,一般,,
2017/8/14,FZF,201712,-,-,-,-,-,-,0,17.75,0,-,-,-,-,,一般,,
2017/8/14,FZF,201803,-,-,-,-,-,-,0,17.8,0,-,-,-,-,,一般,,
2017/8/14,FZF,201806,-,-,-,-,-,-,0,17.85,0,-,-,-,-,,一般,,
2017/8/15,FZF,201708,17.9,17.9,17.35,17.7,0,0.00%,74,17.7,112,17.65,17.8,18.75,17.35,,一般,,
2017/8/15,FZF,201709,17.8,17.8,17.3,17.7,0.05,0.28%,327,17.7,433,17.65,17.8,19.65,17.3,,一般,,
2017/8/15,FZF,201712,-,-,-,-,-,-,0,17.75,0,-,-,-,-,,一般,,
2017/8/15,FZF,201803,-,-,-,-,-,-,0,17.8,0,-,-,-,-,,一般,,
2017/8/15,FZF,201806,-,-,-,-,-,-,0,17.85,0,-,-,-,-,,一般,,
2017/8/16,FZF,201708,17.65,18.05,17.65,17.95,0.25,1.41%,87,0,84,-,18,18.75,17.35,,一般,,
2017/8/16,FZF,201709,17.65,18.2,17.55,18.2,0.5,2.82%,578,18.2,809,18.1,18.2,19.65,17.3,,一般,,
2017/8/16,FZF,201712,-,-,-,-,-,-,0,18,0,-,-,-,-,,一般,,
2017/8/16,FZF,201803,-,-,-,-,-,-,0,18.05,0,-,-,-,-,,一般,,
