交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,GHF,201501,-,-,-,-,-,-,-,37.35,56,37.05,37.5,37.1,34.65,,
2015/1/5,GHF,201502,37,37.05,37,37.05,0.3,0.82%,6,37.3,26,37.05,37.5,37.05,35.4,,
2015/1/5,GHF,201503,-,-,-,-,-,-,-,37.35,0,-,-,-,-,,
2015/1/5,GHF,201506,-,-,-,-,-,-,-,37.5,47,37.35,-,39.75,31.6,,
2015/1/5,GHF,201509,-,-,-,-,-,-,-,37.45,0,-,-,-,-,,
2015/1/6,GHF,201501,37.4,37.5,37.35,37.5,0.15,0.40%,13,37.5,52,37,37.6,37.5,34.65,,
2015/1/6,GHF,201502,37.35,37.65,37.3,37.55,0.25,0.67%,22,37.55,26,37.05,37.55,37.65,35.4,,
2015/1/6,GHF,201503,-,-,-,-,-,-,-,37.5,0,-,-,-,-,,
2015/1/6,GHF,201506,-,-,-,-,-,-,-,37.65,47,-,-,39.75,31.6,,
2015/1/6,GHF,201509,-,-,-,-,-,-,-,37.6,0,37.1,-,-,-,,
2015/1/7,GHF,201501,37.7,37.9,37.4,37.45,-0.05,-0.13%,19,37.45,57,37.35,37.7,37.9,34.65,,
2015/1/7,GHF,201502,37.6,37.9,37.4,37.7,0.15,0.40%,22,37.7,33,37.4,37.7,37.9,35.4,,
2015/1/7,GHF,201503,-,-,-,-,-,-,-,37.45,0,-,-,-,-,,
2015/1/7,GHF,201506,-,-,-,-,-,-,-,37.6,47,-,-,39.75,31.6,,
2015/1/7,GHF,201509,-,-,-,-,-,-,-,37.55,0,-,-,-,-,,
2015/1/8,GHF,201501,37.8,38.3,37.65,38.1,0.65,1.74%,19,38.1,58,38.25,38.6,38.3,34.65,,
2015/1/8,GHF,201502,37.85,38.15,37.65,38.15,0.45,1.19%,6,38.15,34,38.3,38.6,38.15,35.4,,
2015/1/8,GHF,201503,-,-,-,-,-,-,-,38.1,0,-,-,-,-,,
2015/1/8,GHF,201506,-,-,-,-,-,-,-,38.25,47,-,-,39.75,31.6,,
2015/1/8,GHF,201509,-,-,-,-,-,-,-,38.2,0,-,-,-,-,,
2015/1/9,GHF,201501,37.5,37.6,37.4,37.55,-0.55,-1.44%,14,37.55,60,37.2,37.4,38.3,34.65,,
2015/1/9,GHF,201502,37.35,37.75,37.35,37.65,-0.5,-1.31%,31,37.65,46,37.3,37.65,38.15,35.4,,
