交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,GKF,201501,-,-,-,-,-,-,-,86.9,16,87,88.7,88.7,82.8,,
2015/1/5,GKF,201502,-,-,-,-,-,-,-,87.0,1,86.9,88.1,87.5,87.5,,
2015/1/5,GKF,201503,-,-,-,-,-,-,-,86.5,0,-,-,-,-,,
2015/1/5,GKF,201506,-,-,-,-,-,-,-,86.8,0,-,-,98,97.5,,
2015/1/5,GKF,201509,-,-,-,-,-,-,-,87.8,0,-,-,-,-,,
2015/1/6,GKF,201501,-,-,-,-,-,-,-,84.8,16,84.2,85.4,88.7,82.8,,
2015/1/6,GKF,201502,-,-,-,-,-,-,-,84.9,1,84.2,85.4,87.5,87.5,,
2015/1/6,GKF,201503,-,-,-,-,-,-,-,84.4,0,-,-,-,-,,
2015/1/6,GKF,201506,-,-,-,-,-,-,-,84.7,0,-,-,98,97.5,,
2015/1/6,GKF,201509,-,-,-,-,-,-,-,85.7,0,-,-,-,-,,
2015/1/7,GKF,201501,85,85,85,85,0.2,0.24%,1,84.3,16,83.7,84.8,88.7,82.8,,
2015/1/7,GKF,201502,-,-,-,-,-,-,-,84.3,1,83.7,84.9,87.5,87.5,,
2015/1/7,GKF,201503,-,-,-,-,-,-,-,83.9,0,-,-,-,-,,
2015/1/7,GKF,201506,-,-,-,-,-,-,-,84.2,0,-,-,98,97.5,,
2015/1/7,GKF,201509,-,-,-,-,-,-,-,85.2,0,-,-,-,-,,
2015/1/8,GKF,201501,87.7,87.7,86.7,86.7,2.4,2.85%,8,86.7,15,87,88.2,88.7,82.8,,
2015/1/8,GKF,201502,-,-,-,-,-,-,-,86.7,1,87,88.2,87.5,87.5,,
2015/1/8,GKF,201503,-,-,-,-,-,-,-,86.3,0,-,-,-,-,,
2015/1/8,GKF,201506,-,-,-,-,-,-,-,86.6,0,-,-,98,97.5,,
2015/1/8,GKF,201509,-,-,-,-,-,-,-,87.6,0,-,-,-,-,,
2015/1/9,GKF,201501,-,-,-,-,-,-,-,86.7,15,86.1,87.2,88.7,82.8,,
2015/1/9,GKF,201502,-,-,-,-,-,-,-,86.7,1,86.1,87.3,87.5,87.5,,
2015/1/9,GKF,201503,-,-,-,-,-,-,-,86.3,0,-,-,-,-,,
2015/1/9,GKF,201506,-,-,-,-,-,-,-,86.6,0,-,-,98,97.5,,
2015/1/9,GKF,201509,-,-,-,-,-,-,-,87.6,0,-,-,-,-,,
2015/1/12,GKF,201501,86.2,86.2,86.2,86.2,-0.5,-0.58%,1,86.2,14,85.6,86.7,88.7,82.8,,
2015/1/12,GKF,201502,-,-,-,-,-,-,-,86.2,1,85.6,86.8,87.5,87.5,,
2015/1/12,GKF,201503,-,-,-,-,-,-,-,85.8,0,-,-,-,-,,
2015/1/12,GKF,201506,-,-,-,-,-,-,-,86.1,0,-,-,98,97.5,,
2015/1/12,GKF,201509,-,-,-,-,-,-,-,87.1,0,-,-,-,-,,
2015/1/13,GKF,201501,87.2,87.2,87.2,87.2,1,1.16%,1,87.2,14,86.6,87.8,88.7,82.8,,
2015/1/13,GKF,201502,-,-,-,-,-,-,-,87.2,1,87.2,87.9,87.5,87.5,,
2015/1/13,GKF,201503,-,-,-,-,-,-,-,86.8,0,-,-,-,-,,
2015/1/13,GKF,201506,-,-,-,-,-,-,-,87.1,0,-,-,98,97.5,,
2015/1/13,GKF,201509,-,-,-,-,-,-,-,88.1,0,-,-,-,-,,
2015/1/14,GKF,201501,86.3,86.3,86.3,86.3,-0.9,-1.03%,1,86.3,14,85.2,86.9,88.7,82.8,,
2015/1/14,GKF,201502,-,-,-,-,-,-,-,86.3,1,85.8,86.9,87.5,87.5,,
2015/1/14,GKF,201503,-,-,-,-,-,-,-,85.9,0,-,-,-,-,,
2015/1/14,GKF,201506,-,-,-,-,-,-,-,86.2,0,-,-,98,97.5,,
2015/1/14,GKF,201509,-,-,-,-,-,-,-,87.2,0,-,-,-,-,,
2015/1/15,GKF,201501,-,-,-,-,-,-,-,86.2,14,85.6,86.7,88.7,82.8,,
2015/1/15,GKF,201502,86.1,86.1,86.1,86.1,-0.2,-0.23%,1,86.1,1,85.6,86.8,87.5,86.1,,
2015/1/15,GKF,201503,-,-,-,-,-,-,-,85.8,0,-,-,-,-,,
2015/1/15,GKF,201506,-,-,-,-,-,-,-,86.1,0,-,-,98,97.5,,
2015/1/15,GKF,201509,-,-,-,-,-,-,-,87.1,0,-,-,-,-,,
2015/1/16,GKF,201501,-,-,-,-,-,-,-,85.2,14,84.6,85.8,88.7,82.8,,
2015/1/16,GKF,201502,85.5,86,85.5,86,-0.1,-0.12%,2,86.0,2,84.6,85.9,87.5,85.5,,
