交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,GLF,201501,49.85,49.85,49.85,49.85,0.3,0.61%,7,50.7,66,50.4,50.9,53.2,49.85,,
2015/1/5,GLF,201502,49.8,50.9,49.8,50.9,1.35,2.72%,6,50.9,21,50.5,51,50.9,49.3,,
2015/1/5,GLF,201503,-,-,-,-,-,-,-,50.5,2,-,-,60.8,51.2,,
2015/1/5,GLF,201506,-,-,-,-,-,-,-,51.1,0,-,-,-,-,,
2015/1/5,GLF,201509,-,-,-,-,-,-,-,51.4,0,-,-,-,-,,
2015/1/6,GLF,201501,51.2,51.2,50.9,50.9,0.2,0.39%,11,50.9,58,50.9,51.1,53.2,49.85,,
2015/1/6,GLF,201502,50.9,51.3,50.9,50.9,0,0.00%,5,50.9,24,50.8,51.2,51.3,49.3,,
2015/1/6,GLF,201503,-,-,-,-,-,-,-,50.7,2,-,-,60.8,51.2,,
2015/1/6,GLF,201506,-,-,-,-,-,-,-,51.3,0,-,-,-,-,,
2015/1/6,GLF,201509,-,-,-,-,-,-,-,51.6,0,-,-,-,-,,
2015/1/7,GLF,201501,50.6,51.2,50.6,51.2,0.3,0.59%,4,51.0,55,50.7,51.2,53.2,49.85,,
2015/1/7,GLF,201502,50.7,51.2,50.7,50.9,0,0.00%,4,50.9,24,50.8,51.2,51.3,49.3,,
2015/1/7,GLF,201503,-,-,-,-,-,-,-,50.8,2,-,-,60.8,51.2,,
2015/1/7,GLF,201506,-,-,-,-,-,-,-,51.4,0,-,-,-,-,,
2015/1/7,GLF,201509,-,-,-,-,-,-,-,51.7,0,-,-,-,-,,
2015/1/8,GLF,201501,51.2,52.5,51.2,52,1,1.96%,36,52.0,40,50.8,52.6,53.2,49.85,,
2015/1/8,GLF,201502,51.3,52.3,51.1,51.9,1,1.96%,30,51.9,27,50.7,52.5,52.3,49.3,,
2015/1/8,GLF,201503,-,-,-,-,-,-,-,51.8,2,-,-,60.8,51.2,,
2015/1/8,GLF,201506,-,-,-,-,-,-,-,52.4,0,-,-,-,-,,
2015/1/8,GLF,201509,-,-,-,-,-,-,-,52.7,0,-,-,-,-,,
2015/1/9,GLF,201501,51.8,51.8,51.1,51.7,-0.3,-0.58%,77,51.7,61,51.6,52.9,53.2,49.85,,
2015/1/9,GLF,201502,51.8,51.8,51.4,51.6,-0.3,-0.58%,12,51.6,29,51.5,52.8,52.3,49.3,,
2015/1/9,GLF,201503,-,-,-,-,-,-,-,51.5,2,-,-,60.8,51.2,,
2015/1/9,GLF,201506,-,-,-,-,-,-,-,52.1,0,-,-,-,-,,
2015/1/9,GLF,201509,-,-,-,-,-,-,-,52.4,0,-,-,-,-,,
2015/1/12,GLF,201501,51.5,51.5,51.5,51.5,-0.2,-0.39%,1,51.5,61,50.6,51.4,53.2,49.85,,
2015/1/12,GLF,201502,51.5,51.6,51.5,51.6,0,0.00%,5,51.6,34,50.7,51.3,52.3,49.3,,
2015/1/12,GLF,201503,-,-,-,-,-,-,-,51.3,2,-,-,60.8,51.2,,
2015/1/12,GLF,201506,-,-,-,-,-,-,-,51.9,0,-,-,-,-,,
2015/1/12,GLF,201509,-,-,-,-,-,-,-,52.2,0,-,-,-,-,,
2015/1/13,GLF,201501,51.8,51.8,51.6,51.6,0.1,0.19%,2,51.6,60,51.6,51.8,53.2,49.85,,
2015/1/13,GLF,201502,51.5,51.9,51.5,51.9,0.3,0.58%,2,51.9,34,51.6,51.9,52.3,49.3,,
2015/1/13,GLF,201503,51.5,51.5,51.5,51.5,0.2,0.39%,2,51.5,1,-,-,60.8,51.2,,
2015/1/13,GLF,201506,-,-,-,-,-,-,-,52.0,0,-,-,-,-,,
2015/1/13,GLF,201509,-,-,-,-,-,-,-,52.3,0,-,-,-,-,,
2015/1/14,GLF,201501,51.5,52,51.5,51.7,0.1,0.19%,5,51.7,59,51.7,52,53.2,49.85,,
2015/1/14,GLF,201502,51.9,51.9,51.8,51.8,-0.1,-0.19%,4,51.8,35,51.8,52.1,52.3,49.3,,
2015/1/14,GLF,201503,-,-,-,-,-,-,-,51.6,1,-,-,60.8,51.2,,
2015/1/14,GLF,201506,-,-,-,-,-,-,-,52.1,0,-,-,-,-,,
2015/1/14,GLF,201509,-,-,-,-,-,-,-,52.4,0,-,-,-,-,,
2015/1/15,GLF,201501,52.9,53.2,52.7,52.9,1.2,2.32%,80,52.9,93,52.7,52.8,53.2,49.85,,
2015/1/15,GLF,201502,52.8,53.1,52.7,52.7,0.9,1.74%,16,52.7,29,52.7,52.9,53.1,49.3,,
2015/1/15,GLF,201503,-,-,-,-,-,-,-,52.8,1,50,55,60.8,51.2,,
2015/1/15,GLF,201506,-,-,-,-,-,-,-,53.3,0,-,-,-,-,,
2015/1/15,GLF,201509,-,-,-,-,-,-,-,53.6,0,-,-,-,-,,
2015/1/16,GLF,201501,52.9,53.1,52.3,52.3,-0.6,-1.13%,17,52.3,97,52.3,52.6,53.2,49.85,,
2015/1/16,GLF,201502,52.9,52.9,52.6,52.6,-0.1,-0.19%,9,52.6,31,52.2,52.7,53.1,49.3,,
2015/1/16,GLF,201503,-,-,-,-,-,-,-,52.2,1,-,-,60.8,51.2,,
2015/1/16,GLF,201506,-,-,-,-,-,-,-,52.7,0,-,-,-,-,,
2015/1/16,GLF,201509,-,-,-,-,-,-,-,53.0,0,-,-,-,-,,
2015/1/19,GLF,201501,52.7,53,52.7,53,0.7,1.34%,3,53.0,94,52.7,53.1,53.2,49.85,,
2015/1/19,GLF,201502,52.9,52.9,52.8,52.8,0.2,0.38%,2,52.8,29,52.7,53.1,53.1,49.3,,
2015/1/19,GLF,201503,-,-,-,-,-,-,-,52.9,1,51,-,60.8,51.2,,
2015/1/19,GLF,201506,-,-,-,-,-,-,-,53.4,0,-,-,-,-,,
2015/1/19,GLF,201509,-,-,-,-,-,-,-,53.7,0,-,-,-,-,,
2015/1/20,GLF,201501,54,56,54,55.5,2.5,4.72%,63,55.5,81,55.5,55.8,56,49.85,,
2015/1/20,GLF,201502,54.1,56.4,54.1,55.9,3.1,5.87%,135,55.9,52,55.7,55.9,56.4,49.3,,
2015/1/20,GLF,201503,-,-,-,-,-,-,-,55.4,1,-,-,60.8,51.2,,
2015/1/20,GLF,201506,-,-,-,-,-,-,-,55.9,0,-,-,-,-,,
2015/1/20,GLF,201509,-,-,-,-,-,-,-,56.2,0,-,-,-,-,,
2015/1/21,GLF,201501,56,56,55.3,55.7,0.2,0.36%,102,0.0,56,-,57.8,56,49.85,,
2015/1/21,GLF,201502,55.8,56,55.4,55.6,-0.3,-0.54%,118,55.6,95,55.6,55.9,56.4,49.3,,
2015/1/21,GLF,201503,-,-,-,-,-,-,-,55.6,1,55.3,56.1,60.8,51.2,,
2015/1/21,GLF,201506,-,-,-,-,-,-,-,56.1,0,-,-,-,-,,
2015/1/21,GLF,201509,-,-,-,-,-,-,-,56.4,0,-,-,-,-,,
2015/1/22,GLF,201502,56.3,56.6,55.8,55.8,0.2,0.36%,9,55.8,98,55.6,56,56.6,49.3,,
2015/1/22,GLF,201503,55.8,55.8,55.5,55.5,-0.1,-0.18%,3,55.5,4,55.5,56.4,60.8,51.2,,
2015/1/22,GLF,201506,-,-,-,-,-,-,-,56.3,0,-,-,-,-,,
2015/1/22,GLF,201509,-,-,-,-,-,-,-,56.6,0,-,-,-,-,,
2015/1/22,GLF,201512,-,-,-,-,-,-,-,56.6,0,-,-,-,-,,
2015/1/23,GLF,201502,56,56.5,56,56.1,0.3,0.54%,22,56.1,99,56.1,56.8,56.6,49.3,,
2015/1/23,GLF,201503,56.4,56.4,56.4,56.4,0.9,1.62%,1,56.4,4,55.9,56.7,60.8,51.2,,
2015/1/23,GLF,201506,-,-,-,-,-,-,-,56.6,0,-,-,-,-,,
2015/1/23,GLF,201509,-,-,-,-,-,-,-,56.9,0,-,-,-,-,,
2015/1/23,GLF,201512,-,-,-,-,-,-,-,56.9,0,-,-,-,-,,
2015/1/26,GLF,201502,56.5,56.8,56.4,56.7,0.6,1.07%,19,56.7,106,56.5,56.9,56.8,49.3,,
2015/1/26,GLF,201503,56.4,56.8,56.4,56.5,0.1,0.18%,20,56.5,13,56.3,57.1,60.8,51.2,,
2015/1/26,GLF,201506,-,-,-,-,-,-,-,57.2,0,-,-,-,-,,
2015/1/26,GLF,201509,-,-,-,-,-,-,-,57.5,0,-,-,-,-,,
2015/1/26,GLF,201512,-,-,-,-,-,-,-,57.5,0,-,-,-,-,,
2015/1/27,GLF,201502,57.1,57.1,56.4,56.7,0,0.00%,10,56.7,104,56.4,56.8,57.1,49.3,,
2015/1/27,GLF,201503,56.7,56.7,56.4,56.5,0,0.00%,12,56.5,14,56.4,56.8,60.8,51.2,,
2015/1/27,GLF,201506,-,-,-,-,-,-,-,57.2,0,-,-,-,-,,
2015/1/27,GLF,201509,-,-,-,-,-,-,-,57.5,0,-,-,-,-,,
2015/1/27,GLF,201512,-,-,-,-,-,-,-,57.5,0,-,-,-,-,,
2015/1/28,GLF,201502,56.5,56.5,56.4,56.5,-0.2,-0.35%,4,56.5,104,55.8,57.1,57.1,49.3,,
2015/1/28,GLF,201503,56.1,56.4,56.1,56.4,-0.1,-0.18%,2,56.4,16,56.2,56.8,60.8,51.2,,
2015/1/28,GLF,201506,-,-,-,-,-,-,-,57.0,0,-,-,-,-,,
2015/1/28,GLF,201509,-,-,-,-,-,-,-,57.3,0,-,-,-,-,,
2015/1/28,GLF,201512,-,-,-,-,-,-,-,57.3,0,-,-,-,-,,
2015/1/29,GLF,201502,56.2,56.3,55.7,55.7,-0.8,-1.42%,7,55.7,104,55.7,56.2,57.1,49.3,,
2015/1/29,GLF,201503,55.8,55.8,55.8,55.8,-0.6,-1.06%,3,55.8,19,55.4,56.8,60.8,51.2,,
2015/1/29,GLF,201506,-,-,-,-,-,-,-,56.2,0,-,-,-,-,,
2015/1/29,GLF,201509,-,-,-,-,-,-,-,56.5,0,-,-,-,-,,
2015/1/29,GLF,201512,-,-,-,-,-,-,-,56.5,0,-,-,-,-,,
2015/1/30,GLF,201502,56.5,56.6,56,56.4,0.7,1.26%,36,56.4,134,56.3,56.6,57.1,49.3,,
2015/1/30,GLF,201503,56.3,56.4,56.3,56.4,0.6,1.08%,9,56.4,19,55.8,56.7,60.8,51.2,,
2015/1/30,GLF,201506,-,-,-,-,-,-,-,56.9,0,-,-,-,-,,
2015/1/30,GLF,201509,-,-,-,-,-,-,-,57.2,0,-,-,-,-,,
2015/1/30,GLF,201512,-,-,-,-,-,-,-,57.2,0,-,-,-,-,,
2015/2/2,GLF,201502,56.4,56.4,56.2,56.3,-0.1,-0.18%,7,56.3,130,56.1,56.7,57.1,49.3,,
2015/2/2,GLF,201503,56.2,56.2,56.2,56.2,-0.2,-0.35%,3,56.2,19,56,56.7,60.8,51.2,,
2015/2/2,GLF,201506,-,-,-,-,-,-,-,56.8,0,-,-,-,-,,
2015/2/2,GLF,201509,-,-,-,-,-,-,-,57.1,0,-,-,-,-,,
2015/2/2,GLF,201512,-,-,-,-,-,-,-,57.1,0,-,-,-,-,,
2015/2/3,GLF,201502,56.5,56.5,56.4,56.4,0.1,0.18%,2,56.4,130,56.2,56.6,57.1,49.3,,
2015/2/3,GLF,201503,-,-,-,-,-,-,-,56.3,19,55.7,56.6,60.8,51.2,,
2015/2/3,GLF,201506,-,-,-,-,-,-,-,56.9,0,-,-,-,-,,
2015/2/3,GLF,201509,-,-,-,-,-,-,-,57.2,0,-,-,-,-,,
2015/2/3,GLF,201512,-,-,-,-,-,-,-,57.2,0,-,-,-,-,,
2015/2/4,GLF,201502,56.7,56.7,56,56,-0.4,-0.71%,13,56.0,140,55.4,56.4,57.1,49.3,,
2015/2/4,GLF,201503,56.7,56.7,56.3,56.3,0,0.00%,8,56.0,17,55.8,56.2,60.8,51.2,,
2015/2/4,GLF,201506,-,-,-,-,-,-,-,56.5,0,-,-,-,-,,
