交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,GMF,201501,71,71,70.2,70.2,-0.7,-0.99%,207,70.2,268,70.1,70.7,71.3,63.9,,
2015/1/5,GMF,201502,71,71,70.1,70.3,-1.2,-1.68%,94,70.3,295,70,70.6,71.5,64.9,,
2015/1/5,GMF,201503,-,-,-,-,-,-,-,70.3,0,69,71.1,-,-,,
2015/1/5,GMF,201506,-,-,-,-,-,-,-,71.1,0,-,71.8,-,-,,
2015/1/5,GMF,201509,-,-,-,-,-,-,-,70.9,0,-,71.8,-,-,,
2015/1/6,GMF,201501,68.9,69.5,68.5,68.6,-1.6,-2.28%,94,68.6,261,68.4,68.8,71.3,63.9,,
2015/1/6,GMF,201502,69.5,69.5,68.6,68.7,-1.6,-2.28%,30,68.7,305,68.5,68.9,71.5,64.9,,
2015/1/6,GMF,201503,-,-,-,-,-,-,-,68.7,0,68,69.3,-,-,,
2015/1/6,GMF,201506,-,-,-,-,-,-,-,69.5,0,-,69.8,-,-,,
2015/1/6,GMF,201509,-,-,-,-,-,-,-,69.3,0,-,69.8,-,-,,
2015/1/7,GMF,201501,68.2,68.9,68.2,68.9,0.3,0.44%,18,68.9,260,68.4,69.3,71.3,63.9,,
2015/1/7,GMF,201502,68.6,68.9,68.4,68.8,0.1,0.15%,8,68.8,304,68.3,69.2,71.5,64.9,,
2015/1/7,GMF,201503,-,-,-,-,-,-,-,68.6,0,67.5,69.7,-,-,,
2015/1/7,GMF,201506,-,-,-,-,-,-,-,69.8,0,-,70.3,-,-,,
2015/1/7,GMF,201509,-,-,-,-,-,-,-,69.6,0,-,70.3,-,-,,
2015/1/8,GMF,201501,69.2,69.3,68.9,68.9,0,0.00%,13,68.9,255,68.9,69.1,71.3,63.9,,
2015/1/8,GMF,201502,69.3,69.3,68.8,68.8,0,0.00%,2,68.8,304,68.9,69,71.5,64.9,,
2015/1/8,GMF,201503,-,-,-,-,-,-,-,68.6,0,68.4,69.5,-,-,,
2015/1/8,GMF,201506,-,-,-,-,-,-,-,69.8,0,-,70,-,-,,
2015/1/8,GMF,201509,-,-,-,-,-,-,-,69.6,0,-,70,-,-,,
2015/1/9,GMF,201501,68.5,70.3,68.5,70,1.1,1.60%,99,70.0,250,69.3,69.6,71.3,63.9,,
2015/1/9,GMF,201502,68.9,70.2,68.4,70,1.2,1.74%,92,70.0,348,69.4,69.6,71.5,64.9,,
2015/1/9,GMF,201503,-,-,-,-,-,-,-,69.7,0,68.9,70.1,-,-,,
2015/1/9,GMF,201506,-,-,-,-,-,-,-,70.9,0,-,70.6,-,-,,
2015/1/9,GMF,201509,-,-,-,-,-,-,-,70.7,0,-,70.6,-,-,,
2015/1/12,GMF,201501,70,71.6,70,70.9,0.9,1.29%,176,70.9,260,70.8,71.1,71.6,63.9,,
2015/1/12,GMF,201502,69.5,71.5,69.5,70.8,0.8,1.14%,94,70.8,391,70.7,71,71.5,64.9,,
2015/1/12,GMF,201503,-,-,-,-,-,-,-,70.6,0,70.2,71.6,-,-,,
2015/1/12,GMF,201506,-,-,-,-,-,-,-,71.8,0,-,72,-,-,,
2015/1/12,GMF,201509,-,-,-,-,-,-,-,71.6,0,-,72,-,-,,
2015/1/13,GMF,201501,70.8,71.1,70.5,71,0.1,0.14%,63,71.0,229,71,71.3,71.6,63.9,,
2015/1/13,GMF,201502,70.9,71.2,70.6,71.1,0.3,0.42%,63,71.1,416,71.1,71.3,71.5,64.9,,
2015/1/13,GMF,201503,-,-,-,-,-,-,-,71.3,0,70.6,71.9,-,-,,
2015/1/13,GMF,201506,-,-,-,-,-,-,-,71.9,0,-,72.3,-,-,,
2015/1/13,GMF,201509,-,-,-,-,-,-,-,71.7,0,-,72.3,-,-,,
2015/1/14,GMF,201501,71.3,71.8,71.3,71.7,0.7,0.99%,50,71.7,215,71.4,71.7,71.8,63.9,,
2015/1/14,GMF,201502,71.5,71.7,71.3,71.6,0.5,0.70%,35,71.6,433,71.3,71.8,71.7,64.9,,
2015/1/14,GMF,201503,-,-,-,-,-,-,-,72.0,0,-,72.2,-,-,,
2015/1/14,GMF,201506,-,-,-,-,-,-,-,72.6,0,-,72.7,-,-,,
2015/1/14,GMF,201509,-,-,-,-,-,-,-,72.4,0,-,72.7,-,-,,
2015/1/15,GMF,201501,71.4,73.5,71.4,72.7,1,1.39%,194,72.7,173,72.5,73.3,73.5,63.9,,
2015/1/15,GMF,201502,71.5,73.6,71.5,72.9,1.3,1.82%,125,72.9,431,72.4,73.2,73.6,64.9,,
2015/1/15,GMF,201503,-,-,-,-,-,-,-,73.0,0,71.9,73.8,-,-,,
2015/1/15,GMF,201506,-,-,-,-,-,-,-,73.6,0,-,74.2,-,-,,
2015/1/15,GMF,201509,-,-,-,-,-,-,-,73.4,0,-,74.2,-,-,,
2015/1/16,GMF,201501,72.9,73.1,71.4,71.5,-1.2,-1.65%,111,71.5,185,71.3,71.8,73.5,63.9,,
2015/1/16,GMF,201502,73.3,73.3,71.4,71.6,-1.3,-1.78%,75,71.6,452,71.3,71.8,73.6,64.9,,
2015/1/16,GMF,201503,-,-,-,-,-,-,-,71.8,0,70.7,72.4,-,-,,
2015/1/16,GMF,201506,-,-,-,-,-,-,-,72.4,0,-,72.8,-,-,,
2015/1/16,GMF,201509,-,-,-,-,-,-,-,72.2,0,-,72.8,-,-,,
2015/1/19,GMF,201501,71.7,71.7,70.2,70.2,-1.3,-1.82%,64,70.2,182,70.3,70.5,73.5,63.9,,
2015/1/19,GMF,201502,71.8,71.8,70.1,70.4,-1.2,-1.68%,93,70.4,457,70.3,70.4,73.6,64.9,,
2015/1/19,GMF,201503,-,-,-,-,-,-,-,70.5,0,69.8,71,-,-,,
2015/1/19,GMF,201506,-,-,-,-,-,-,-,71.1,0,-,71.4,-,-,,
2015/1/19,GMF,201509,-,-,-,-,-,-,-,70.9,0,-,71.4,-,-,,
2015/1/20,GMF,201501,70.7,73.4,70.7,72.9,2.7,3.85%,107,72.9,169,72.8,73,73.5,63.9,,
2015/1/20,GMF,201502,70.7,73.4,70.7,72.8,2.4,3.41%,179,72.8,499,72.7,73,73.6,64.9,,
2015/1/20,GMF,201503,-,-,-,-,-,-,-,73.2,0,72.2,73.5,-,-,,
2015/1/20,GMF,201506,-,-,-,-,-,-,-,73.8,0,-,74,-,-,,
2015/1/20,GMF,201509,-,-,-,-,-,-,-,73.6,0,-,74,-,-,,
2015/1/21,GMF,201501,73.5,74,73.3,73.5,0.6,0.82%,142,0.0,150,73.5,73.6,74,63.9,,
