交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,GPF,201501,25.85,25.9,25.8,25.8,-0.6,-2.27%,21,25.8,264,25.6,26.05,27.35,21.2,,
2015/1/5,GPF,201502,25.85,26,25.85,25.9,-0.45,-1.71%,22,25.9,77,25.55,26.1,27.2,23.95,,
2015/1/5,GPF,201503,-,-,-,-,-,-,-,25.75,4,-,-,36,26.3,,
2015/1/5,GPF,201506,-,-,-,-,-,-,-,25.7,0,-,-,-,-,,
2015/1/5,GPF,201509,-,-,-,-,-,-,-,25.75,0,-,-,-,-,,
2015/1/6,GPF,201501,25.15,25.2,24.55,24.8,-1,-3.88%,90,24.8,277,24.6,24.8,27.35,21.2,,
2015/1/6,GPF,201502,24.85,24.85,24.55,24.55,-1.35,-5.21%,5,24.55,81,24.55,24.8,27.2,23.95,,
2015/1/6,GPF,201503,-,-,-,-,-,-,-,24.75,4,-,-,36,26.3,,
2015/1/6,GPF,201506,-,-,-,-,-,-,-,24.7,0,-,-,-,-,,
2015/1/6,GPF,201509,-,-,-,-,-,-,-,24.75,0,-,-,-,-,,
2015/1/7,GPF,201501,25.1,25.6,24.75,25.4,0.6,2.42%,44,25.4,256,25.25,25.4,27.35,21.2,,
2015/1/7,GPF,201502,25.1,25.5,25.1,25.5,0.95,3.87%,6,25.5,76,25.3,25.45,27.2,23.95,,
2015/1/7,GPF,201503,-,-,-,-,-,-,-,25.35,4,-,-,36,26.3,,
2015/1/7,GPF,201506,-,-,-,-,-,-,-,25.3,0,-,-,-,-,,
2015/1/7,GPF,201509,-,-,-,-,-,-,-,25.35,0,-,-,-,-,,
2015/1/8,GPF,201501,25.8,26.25,25.4,26.25,0.85,3.35%,51,26.25,259,26.25,26.3,27.35,21.2,,
2015/1/8,GPF,201502,25.65,26.15,25.45,26.15,0.65,2.55%,10,26.15,80,26.2,26.35,27.2,23.95,,
2015/1/8,GPF,201503,-,-,-,-,-,-,-,26.2,4,-,-,36,26.3,,
2015/1/8,GPF,201506,-,-,-,-,-,-,-,26.15,0,-,-,-,-,,
2015/1/8,GPF,201509,-,-,-,-,-,-,-,26.2,0,-,-,-,-,,
2015/1/9,GPF,201501,26.65,26.65,26.1,26.5,0.25,0.95%,33,26.5,251,26.35,26.7,27.35,21.2,,
2015/1/9,GPF,201502,26.95,26.95,26.2,26.25,0.1,0.38%,9,26.6,87,26.4,26.75,27.2,23.95,,
2015/1/9,GPF,201503,-,-,-,-,-,-,-,26.45,4,-,-,36,26.3,,
2015/1/9,GPF,201506,-,-,-,-,-,-,-,26.4,0,-,-,-,-,,
2015/1/9,GPF,201509,-,-,-,-,-,-,-,26.45,0,-,-,-,-,,
2015/1/12,GPF,201501,26.3,26.35,25.95,26.05,-0.45,-1.70%,12,26.05,248,25.75,26.25,27.35,21.2,,
2015/1/12,GPF,201502,26.35,26.35,26.25,26.25,-0.35,-1.32%,3,25.95,86,25.7,26.2,27.2,23.95,,
2015/1/12,GPF,201503,-,-,-,-,-,-,-,26.0,4,-,-,36,26.3,,
2015/1/12,GPF,201506,-,-,-,-,-,-,-,25.95,0,-,-,-,-,,
2015/1/12,GPF,201509,-,-,-,-,-,-,-,26.0,0,-,-,-,-,,
2015/1/13,GPF,201501,26.2,26.25,26,26,-0.05,-0.19%,18,26.0,255,26.05,26.35,27.35,21.2,,
2015/1/13,GPF,201502,26.25,26.25,26.25,26.25,0.3,1.16%,5,26.25,81,26,26.3,27.2,23.95,,
2015/1/13,GPF,201503,-,-,-,-,-,-,-,25.95,4,-,-,36,26.3,,
2015/1/13,GPF,201506,-,-,-,-,-,-,-,25.9,0,-,-,-,-,,
2015/1/13,GPF,201509,-,-,-,-,-,-,-,25.95,0,-,-,-,-,,
2015/1/14,GPF,201501,26.45,26.55,26.35,26.35,0.35,1.35%,18,26.35,261,26.05,26.15,27.35,21.2,,
2015/1/14,GPF,201502,26.55,26.6,26.35,26.35,0.1,0.38%,7,26.35,85,26,26.2,27.2,23.95,,
2015/1/14,GPF,201503,-,-,-,-,-,-,-,26.3,4,-,-,36,26.3,,
2015/1/14,GPF,201506,-,-,-,-,-,-,-,26.25,0,-,-,-,-,,
2015/1/14,GPF,201509,-,-,-,-,-,-,-,26.3,0,-,-,-,-,,
2015/1/15,GPF,201501,26.35,26.4,26.2,26.25,-0.1,-0.38%,14,26.25,256,26,26.55,27.35,21.2,,
2015/1/15,GPF,201502,-,-,-,-,-,-,-,26.25,85,25.95,26.5,27.2,23.95,,
2015/1/15,GPF,201503,-,-,-,-,-,-,-,26.2,4,-,-,36,26.3,,
2015/1/15,GPF,201506,-,-,-,-,-,-,-,26.15,0,-,-,-,-,,
2015/1/15,GPF,201509,-,-,-,-,-,-,-,26.2,0,-,-,-,-,,
2015/1/16,GPF,201501,25.6,25.8,24.85,24.9,-1.35,-5.14%,57,24.9,236,24.65,24.9,27.35,21.2,,
2015/1/16,GPF,201502,26,26.05,24.75,24.75,-1.5,-5.71%,35,24.75,102,24.7,25.15,27.2,23.95,,
