交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,GTF,201501,139.75,140.95,139.25,140.95,0.55,0.39%,12,140.95,59,140.05,140.95,141.05,131,,
2015/1/5,GTF,201502,-,-,-,-,-,-,-,141.35,3,140.8,141.5,140.8,137.35,,
2015/1/5,GTF,201503,-,-,-,-,-,-,-,140.95,0,134.05,148.9,-,-,,
2015/1/5,GTF,201506,-,-,-,-,-,-,-,141.25,0,134.05,148.9,-,-,,
2015/1/5,GTF,201509,-,-,-,-,-,-,-,135.85,1,128.05,-,-,-,,
2015/1/6,GTF,201501,139.55,139.55,137.4,138.2,-2.75,-1.95%,9,138.2,56,137.35,139.2,141.05,131,,
2015/1/6,GTF,201502,-,-,-,-,-,-,-,138.6,3,136.6,140.05,140.8,137.35,,
2015/1/6,GTF,201503,-,-,-,-,-,-,-,138.2,0,132.4,148.15,-,-,,
2015/1/6,GTF,201506,-,-,-,-,-,-,-,138.5,0,132.4,148.15,-,-,,
2015/1/6,GTF,201509,-,-,-,-,-,-,-,133.1,1,127.4,-,-,-,,
2015/1/7,GTF,201501,138,138.25,137.9,137.9,-0.3,-0.22%,3,137.9,57,137.3,138.3,141.05,131,,
2015/1/7,GTF,201502,-,-,-,-,-,-,-,138.3,3,137.25,138.5,140.8,137.35,,
2015/1/7,GTF,201503,-,-,-,-,-,-,-,137.9,0,136.3,140.3,-,-,,
2015/1/7,GTF,201506,-,-,-,-,-,-,-,138.2,0,135.3,142.3,-,-,,
2015/1/7,GTF,201509,-,-,-,-,-,-,-,132.8,1,125.35,138.3,-,-,,
2015/1/8,GTF,201501,138,139.15,138,139,1.1,0.80%,6,139.0,58,139.05,139.4,141.05,131,,
2015/1/8,GTF,201502,-,-,-,-,-,-,-,139.4,3,138.65,139.95,140.8,137.35,,
2015/1/8,GTF,201503,-,-,-,-,-,-,-,139.0,0,138.1,141.35,-,-,,
2015/1/8,GTF,201506,-,-,-,-,-,-,-,139.3,0,137.1,143.35,-,-,,
2015/1/8,GTF,201509,-,-,-,-,-,-,-,133.9,1,127.1,139.4,-,-,,
2015/1/9,GTF,201501,140,140,139.1,139.1,0.1,0.07%,2,139.1,57,138.35,139.45,141.05,131,,
2015/1/9,GTF,201502,-,-,-,-,-,-,-,139.5,3,138.45,140.3,140.8,137.35,,
2015/1/9,GTF,201503,-,-,-,-,-,-,-,139.1,0,137.4,141.4,-,-,,
2015/1/9,GTF,201506,-,-,-,-,-,-,-,139.4,0,136.4,143.4,-,-,,
2015/1/9,GTF,201509,-,-,-,-,-,-,-,134.0,1,127.4,139.45,-,-,,
2015/1/12,GTF,201501,138.4,138.4,138.4,138.4,-0.7,-0.50%,1,138.4,57,138.2,138.65,141.05,131,,
2015/1/12,GTF,201502,-,-,-,-,-,-,-,138.8,3,137.35,139.45,140.8,137.35,,
2015/1/12,GTF,201503,-,-,-,-,-,-,-,138.4,0,131.25,144.6,-,-,,
2015/1/12,GTF,201506,-,-,-,-,-,-,-,138.7,0,131.25,144.6,-,-,,
2015/1/12,GTF,201509,-,-,-,-,-,-,-,133.3,1,126.25,-,-,-,,
2015/1/13,GTF,201501,138.95,138.95,138.8,138.8,0.4,0.29%,2,138.8,57,138.8,139,141.05,131,,
2015/1/13,GTF,201502,138.95,138.95,138.95,138.95,0.15,0.11%,1,138.95,4,138.9,139.75,140.8,137.35,,
2015/1/13,GTF,201503,-,-,-,-,-,-,-,138.8,0,137.85,140.95,-,-,,
2015/1/13,GTF,201506,-,-,-,-,-,-,-,139.1,0,136.85,142.95,-,-,,
2015/1/13,GTF,201509,-,-,-,-,-,-,-,133.7,1,126.85,139,-,-,,
2015/1/14,GTF,201501,138.05,138.3,138.05,138.3,-0.5,-0.36%,6,138.3,58,137.75,139.1,141.05,131,,
2015/1/14,GTF,201502,138,138.75,138,138.75,-0.2,-0.14%,3,138.75,5,138.4,139.9,140.8,137.35,,
2015/1/14,GTF,201503,-,-,-,-,-,-,-,138.3,0,136.8,140.85,-,-,,
2015/1/14,GTF,201506,-,-,-,-,-,-,-,138.6,0,135.8,141.55,-,-,,
2015/1/14,GTF,201509,-,-,-,-,-,-,-,133.2,1,126.8,139.1,-,-,,
2015/1/15,GTF,201501,139.75,139.75,138.6,138.85,0.55,0.40%,9,138.85,60,138.05,139.1,141.05,131,,
2015/1/15,GTF,201502,-,-,-,-,-,-,-,139.3,5,138.25,139.75,140.8,137.35,,
2015/1/15,GTF,201503,-,-,-,-,-,-,-,138.85,0,137.1,140.85,-,-,,
2015/1/15,GTF,201506,-,-,-,-,-,-,-,139.15,0,136.1,142.05,-,-,,
2015/1/15,GTF,201509,-,-,-,-,-,-,-,133.75,1,125.1,139.1,-,-,,
