交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,GWF,201501,47.6,47.85,47.45,47.85,-0.05,-0.10%,22,47.8,86,47.7,47.85,48.1,42.55,,
2015/1/5,GWF,201502,-,-,-,-,-,-,-,47.9,17,47.35,48.4,48,43.95,,
2015/1/5,GWF,201503,-,-,-,-,-,-,-,47.95,0,-,-,-,-,,
2015/1/5,GWF,201506,-,-,-,-,-,-,-,48.55,0,-,-,-,-,,
2015/1/5,GWF,201509,-,-,-,-,-,-,-,48.2,0,-,-,-,-,,
2015/1/6,GWF,201501,47.35,47.35,46.9,47,-0.8,-1.67%,21,47.0,85,46.4,47,48.1,42.55,,
2015/1/6,GWF,201502,46.95,46.95,46.7,46.7,-1.2,-2.51%,3,46.7,16,46.45,47.15,48,43.95,,
2015/1/6,GWF,201503,-,-,-,-,-,-,-,47.15,0,-,-,-,-,,
2015/1/6,GWF,201506,-,-,-,-,-,-,-,47.75,0,-,-,-,-,,
2015/1/6,GWF,201509,-,-,-,-,-,-,-,47.4,0,-,-,-,-,,
2015/1/7,GWF,201501,47.45,48.15,47.2,48.15,1.15,2.45%,105,48.15,84,48,48.15,48.15,42.55,,
2015/1/7,GWF,201502,48.2,48.2,48.2,48.2,1.5,3.21%,7,48.2,21,47.95,48.65,48.2,43.95,,
2015/1/7,GWF,201503,-,-,-,-,-,-,-,48.3,0,-,-,-,-,,
2015/1/7,GWF,201506,-,-,-,-,-,-,-,48.9,0,-,-,-,-,,
2015/1/7,GWF,201509,-,-,-,-,-,-,-,48.55,0,-,-,-,-,,
2015/1/8,GWF,201501,48.8,49.05,48.4,48.5,0.35,0.73%,35,48.5,80,48.4,48.55,49.05,42.55,,
2015/1/8,GWF,201502,49.4,49.4,48.5,48.65,0.45,0.93%,5,48.65,22,48.3,49.1,49.4,43.95,,
