交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2021/11/08,HA1,202111  ,18.2,19.4,18.2,19.4,1.2,6.59%,27.0,19.35,125,18.9,19.4,19.4,17.15,,一般,,
2021/11/08,HA1,202112  ,-,-,-,-,-,-,0.0,19.35,1,-,-,17.4,17.4,,一般,,
2021/11/09,HA1,202111  ,18.6,18.8,18.6,18.8,-0.55,-2.84%,4.0,19.1,123,18.9,19.05,19.4,17.15,,一般,,
2021/11/09,HA1,202112  ,19.35,-,-,19.35,0,0.00%,1.0,19.1,1,18.7,-,17.4,17.4,,一般,,
2021/11/10,HA1,202111  ,18.05,18.25,18.05,18.25,-0.85,-4.45%,18.0,18.25,121,18.1,18.4,19.4,17.15,,一般,,
2021/11/10,HA1,202112  ,18.75,18.75,18.75,18.75,-0.35,-1.83%,1.0,18.35,2,18,-,18.75,17.4,,一般,,
2021/11/11,HA1,202111  ,-,-,-,-,-,-,0.0,18.1,121,17.3,18.3,19.4,17.15,,一般,,
2021/11/11,HA1,202112  ,-,-,-,-,-,-,0.0,18.15,2,17.2,18.2,18.75,17.4,,一般,,
2021/11/12,HA1,202111  ,-,-,-,-,-,-,0.0,18.1,121,17.2,18.2,19.4,17.15,,一般,,
2021/11/12,HA1,202112  ,-,-,-,-,-,-,0.0,18.1,2,17.15,19.9,18.75,17.4,,一般,,
2021/11/15,HA1,202111  ,18.1,-,-,18.1,0,0.00%,2.0,17.75,121,-,17.8,19.4,17.15,,一般,,
2021/11/15,HA1,202112  ,18.1,-,-,18.1,0,0.00%,2.0,17.75,3,-,-,18.75,17.4,,一般,,
2021/11/16,HA1,202111  ,17.6,17.6,17.6,17.6,-0.15,-0.85%,2.0,17.6,121,17.1,17.65,19.4,17.15,,一般,,
2021/11/16,HA1,202112  ,-,-,-,-,-,-,0.0,17.7,3,17.05,-,18.75,17.4,,一般,,
2021/11/17,HA1,202111  ,17.65,17.85,17.65,17.85,0.25,1.42%,3.0,0,121,17.85,18,19.4,17.15,,一般,,
2021/11/17,HA1,202112  ,-,-,-,-,-,-,0.0,18.15,3,16,19.4,18.75,17.4,,一般,,
