交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,HAF,201501,16.65,16.65,16.65,16.65,-0.1,-0.60%,1,16.65,14,16.5,17,17.25,16.05,,
2015/1/5,HAF,201502,16.7,16.7,16.7,16.7,-0.05,-0.30%,5,16.7,19,16.5,17,17,16.05,,
2015/1/5,HAF,201503,-,-,-,-,-,-,-,16.55,0,-,-,-,-,,
2015/1/5,HAF,201506,-,-,-,-,-,-,-,16.6,1,-,-,17.3,17.3,,
2015/1/5,HAF,201509,-,-,-,-,-,-,-,16.95,0,-,-,-,-,,
2015/1/6,HAF,201501,16.75,16.8,16.75,16.8,0.15,0.90%,14,16.8,19,16.45,16.85,17.25,16.05,,
2015/1/6,HAF,201502,16.6,16.8,16.6,16.8,0.1,0.60%,8,16.8,19,16.45,16.9,17,16.05,,
2015/1/6,HAF,201503,-,-,-,-,-,-,-,16.7,0,-,-,-,-,,
2015/1/6,HAF,201506,-,-,-,-,-,-,-,16.75,1,-,-,17.3,17.3,,
2015/1/6,HAF,201509,-,-,-,-,-,-,-,17.1,0,-,-,-,-,,
2015/1/7,HAF,201501,-,-,-,-,-,-,-,16.9,19,16.65,17,17.25,16.05,,
2015/1/7,HAF,201502,-,-,-,-,-,-,-,16.9,19,16.65,17.1,17,16.05,,
2015/1/7,HAF,201503,-,-,-,-,-,-,-,16.8,0,-,-,-,-,,
2015/1/7,HAF,201506,-,-,-,-,-,-,-,16.85,1,-,-,17.3,17.3,,
2015/1/7,HAF,201509,-,-,-,-,-,-,-,17.2,0,-,-,-,-,,
2015/1/8,HAF,201501,17.1,17.1,16.95,16.95,0.05,0.30%,33,16.95,37,16.8,17.2,17.25,16.05,,
2015/1/8,HAF,201502,17,17,16.7,16.7,-0.2,-1.18%,3,16.7,19,16.7,17.2,17,16.05,,
2015/1/8,HAF,201503,-,-,-,-,-,-,-,16.85,0,-,-,-,-,,
2015/1/8,HAF,201506,-,-,-,-,-,-,-,16.9,1,-,-,17.3,17.3,,
2015/1/8,HAF,201509,-,-,-,-,-,-,-,17.25,0,-,-,-,-,,
2015/1/9,HAF,201501,16.95,18.05,16.95,18.05,1.1,6.49%,74,18.05,44,18,-,18.05,16.05,,
2015/1/9,HAF,201502,17.05,17.85,17.05,17.85,1.15,6.89%,60,17.85,23,17.85,-,17.85,16.05,,
2015/1/9,HAF,201503,-,-,-,-,-,-,-,17.95,0,-,-,-,-,,
2015/1/9,HAF,201506,-,-,-,-,-,-,-,18.0,1,-,-,17.3,17.3,,
2015/1/9,HAF,201509,-,-,-,-,-,-,-,18.35,0,-,-,-,-,,
2015/1/12,HAF,201501,17.75,17.8,17.55,17.65,-0.4,-2.22%,60,17.65,48,17.55,18.4,18.05,16.05,,
2015/1/12,HAF,201502,17.45,17.65,17.45,17.65,-0.2,-1.12%,37,17.65,34,17.55,18.05,17.85,16.05,,
2015/1/12,HAF,201503,-,-,-,-,-,-,-,17.55,0,-,-,-,-,,
2015/1/12,HAF,201506,-,-,-,-,-,-,-,17.6,1,-,-,17.3,17.3,,
2015/1/12,HAF,201509,-,-,-,-,-,-,-,17.95,0,-,-,-,-,,
2015/1/13,HAF,201501,17.45,17.65,17.45,17.5,-0.15,-0.85%,51,17.5,47,17,18.5,18.05,16.05,,
2015/1/13,HAF,201502,17.45,17.65,17.35,17.55,-0.1,-0.57%,41,17.55,44,17.55,17.6,17.85,16.05,,
2015/1/13,HAF,201503,-,-,-,-,-,-,-,17.4,0,-,-,-,-,,
2015/1/13,HAF,201506,-,-,-,-,-,-,-,17.45,1,-,-,17.3,17.3,,
2015/1/13,HAF,201509,-,-,-,-,-,-,-,17.8,0,-,-,-,-,,
2015/1/14,HAF,201501,17.6,17.6,17.5,17.5,0,0.00%,17,17.5,58,17.35,18.45,18.05,16.05,,
2015/1/14,HAF,201502,17.75,17.75,17.5,17.55,0,0.00%,15,17.55,48,17.35,17.9,17.85,16.05,,
2015/1/14,HAF,201503,-,-,-,-,-,-,-,17.4,0,17.5,-,-,-,,
2015/1/14,HAF,201506,17.5,17.5,17.5,17.5,0.05,0.29%,1,17.5,0,-,-,17.5,17.3,,
2015/1/14,HAF,201509,-,-,-,-,-,-,-,17.8,0,-,-,-,-,,
2015/1/15,HAF,201501,17.85,17.95,17.8,17.85,0.35,2.00%,26,17.85,43,17.65,18.1,18.05,16.05,,
2015/1/15,HAF,201502,17.85,17.9,17.75,17.8,0.25,1.42%,27,17.8,42,17.65,18,17.9,16.05,,
2015/1/15,HAF,201503,-,-,-,-,-,-,-,17.75,0,-,-,-,-,,
2015/1/15,HAF,201506,-,-,-,-,-,-,-,17.85,0,-,-,17.5,17.3,,
2015/1/15,HAF,201509,-,-,-,-,-,-,-,18.15,0,-,-,-,-,,
2015/1/16,HAF,201501,18.1,18.25,17.9,17.9,0.05,0.28%,69,17.9,32,17.55,18.1,18.25,16.05,,
2015/1/16,HAF,201502,17.95,18.2,17.9,18,0.2,1.12%,53,18.0,33,17.55,18.05,18.2,16.05,,
2015/1/16,HAF,201503,-,-,-,-,-,-,-,17.8,0,-,-,-,-,,
2015/1/16,HAF,201506,-,-,-,-,-,-,-,17.9,0,-,-,17.5,17.3,,
2015/1/16,HAF,201509,-,-,-,-,-,-,-,18.2,0,-,-,-,-,,
2015/1/19,HAF,201501,17.85,18,17.7,18,0.1,0.56%,51,18.0,18,17.7,18,18.25,16.05,,
2015/1/19,HAF,201502,18.05,18.05,17.65,17.8,-0.2,-1.11%,48,17.8,39,17.7,18,18.2,16.05,,
2015/1/19,HAF,201503,-,-,-,-,-,-,-,17.9,0,-,-,-,-,,
2015/1/19,HAF,201506,-,-,-,-,-,-,-,18.0,0,-,-,17.5,17.3,,
2015/1/19,HAF,201509,-,-,-,-,-,-,-,18.3,0,-,-,-,-,,
2015/1/20,HAF,201501,17.9,17.9,17.85,17.85,-0.15,-0.83%,20,17.85,23,17.65,18.9,18.25,16.05,,
2015/1/20,HAF,201502,17.9,17.9,17.9,17.9,0.1,0.56%,5,17.9,34,17.7,18.2,18.2,16.05,,
2015/1/20,HAF,201503,-,-,-,-,-,-,-,17.75,0,-,-,-,-,,
2015/1/20,HAF,201506,-,-,-,-,-,-,-,17.85,0,-,-,17.5,17.3,,
2015/1/20,HAF,201509,-,-,-,-,-,-,-,18.15,0,-,-,-,-,,
