交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,HEF,201503,-,-,-,-,-,-,-,16.65,32,16.5,-,17.3,15.7,,
2015/1/6,HEF,201503,16.55,16.65,16.5,16.65,0,0.00%,14,16.65,36,16.5,16.65,17.3,15.7,,
2015/1/7,HEF,201503,16.6,16.65,16.6,16.65,0,0.00%,6,16.65,30,16.6,16.75,17.3,15.7,,
2015/1/8,HEF,201503,16.65,16.7,16.65,16.7,0.05,0.30%,20,16.7,21,16.65,16.8,17.3,15.7,,
2015/1/9,HEF,201503,16.75,16.75,16.75,16.75,0.05,0.30%,1,16.75,22,-,-,17.3,15.7,,
2015/1/12,HEF,201503,16.75,16.75,16.75,16.75,0,0.00%,1,16.75,23,16.6,16.75,17.3,15.7,,
2015/1/13,HEF,201503,-,-,-,-,-,-,-,16.9,23,16.7,16.8,17.3,15.7,,
2015/1/14,HEF,201503,-,-,-,-,-,-,-,16.75,23,16.65,16.8,17.3,15.7,,
2015/1/15,HEF,201503,16.7,16.7,16.7,16.7,-0.05,-0.30%,2,16.7,21,16.7,16.85,17.3,15.7,,
2015/1/16,HEF,201503,-,-,-,-,-,-,-,16.5,21,-,-,17.3,15.7,,
2015/1/19,HEF,201503,-,-,-,-,-,-,-,16.35,21,-,16.5,17.3,15.7,,
2015/1/20,HEF,201503,-,-,-,-,-,-,-,16.4,21,-,-,17.3,15.7,,
2015/1/21,HEF,201503,-,-,-,-,-,-,-,16.55,21,16.35,16.65,17.3,15.7,,
2015/1/22,HEF,201503,16.65,16.7,16.65,16.7,0.15,0.91%,10,16.7,21,16.55,17.1,17.3,15.7,,
2015/1/23,HEF,201503,16.85,16.85,16.8,16.8,0.1,0.60%,6,16.8,22,16.55,-,17.3,15.7,,
2015/1/26,HEF,201503,16.7,16.7,16.7,16.7,-0.1,-0.60%,10,16.7,25,16.4,16.9,17.3,15.7,,
2015/1/27,HEF,201503,-,-,-,-,-,-,-,16.8,25,16.5,-,17.3,15.7,,
2015/1/28,HEF,201503,16.7,16.7,16.7,16.7,-0.1,-0.60%,5,16.7,24,16.45,17,17.3,15.7,,
2015/1/29,HEF,201503,16.65,16.75,16.65,16.75,0.05,0.30%,10,16.75,24,16.45,16.95,17.3,15.7,,
2015/1/30,HEF,201503,-,-,-,-,-,-,-,16.85,24,16.55,-,17.3,15.7,,
2015/2/2,HEF,201503,16.75,16.75,16.75,16.75,-0.1,-0.59%,2,16.75,22,16.4,16.9,17.3,15.7,,
2015/2/3,HEF,201503,-,-,-,-,-,-,-,16.65,22,16.6,16.7,17.3,15.7,,
2015/2/4,HEF,201503,16.65,16.65,16.65,16.65,0,0.00%,10,16.65,22,16.6,16.7,17.3,15.7,,
2015/2/5,HEF,201503,16.65,16.7,16.65,16.65,0,0.00%,25,16.65,22,16.4,17.1,17.3,15.7,,
2015/2/6,HEF,201503,16.65,16.7,16.65,16.7,0.05,0.30%,15,16.7,22,16.6,16.7,17.3,15.7,,
2015/2/9,HEF,201503,16.65,16.65,16.6,16.6,-0.1,-0.60%,25,16.6,19,16.4,16.75,17.3,15.7,,
2015/2/10,HEF,201503,16.6,16.7,16.6,16.7,0.1,0.60%,3,16.7,20,16.45,17.05,17.3,15.7,,
2015/2/11,HEF,201503,-,-,-,-,-,-,-,16.8,20,16.45,17.15,17.3,15.7,,
2015/2/12,HEF,201503,16.85,16.85,16.85,16.85,0.05,0.30%,5,16.85,23,16.45,17.1,17.3,15.7,,
2015/2/13,HEF,201503,17.2,17.6,17.2,17.4,0.55,3.26%,63,17.4,21,17.1,17.6,17.6,15.7,,
2015/2/24,HEF,201503,17.55,17.6,17.3,17.3,-0.1,-0.57%,8,17.3,17,17.1,17.6,17.6,15.7,,
